Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,94,1,Mar 28,PHI,,ATL,"W,10-4",GS-6,W(1-0),99,6.0,2,1,1,5,8.0,0,0,1.50,23,99,57,25,12,6,4,1,1,0,67,,,1,1,0,18,0,0,0,0,0,0,.91,0.252,2.24,27.30,51.00,1t start tie,6t 3 out a2,Aaron Nola
2,95,5,Apr 3,PHI,@,WSN,"L,8-9",GS-3,,5,3.0,5,6,6,2,2.0,3,0,7.00,16,63,36,11,6,6,6,1,1,0,25,,,1,0,0,14,1,0,0,0,0,0,.74,-0.388,-4.32,-5.45,-3.00,1b start a 2,3b 3 out d4,Aaron Nola
3,96,10,Apr 9,PHI,,WSN,"L,6-10",GS-7,,5,6.1,7,5,4,1,3.0,2,0,6.46,26,99,69,24,4,12,10,6,0,0,43,,,0,0,0,24,2,0,0,2,1,1,.75,-0.083,-1.51,7.45,16.00,1t start tie,7t --- 1 out a1,Aaron Nola
4,97,15,Apr 15,PHI,,NYM,"L,6-7",GS-4,,5,4.0,7,5,5,3,6.0,0,0,7.45,22,83,49,16,9,4,9,7,1,0,31,,,1,0,0,19,1,0,0,0,0,0,1.28,-0.335,-2.84,5.00,15.00,1t start tie,4t 3 out d2,Aaron Nola
5,98,20,Apr 20,PHI,@,COL,"W,8-5",GS-6,W(2-0),4,5.2,9,3,3,1,9.0,2,1,6.84,27,97,62,23,8,8,8,4,1,0,47,,,0,1,1,25,0,0,0,0,0,0,1.21,0.099,0.61,22.15,47.00,1b start tie,6b --- 2 out a1,Aaron Nola
6,99,25,Apr 25,PHI,,MIA,"L,1-3",GS-7,,4,6.2,7,1,1,1,4.0,0,1,5.68,27,103,68,20,7,9,12,6,0,0,59,,,0,1,0,24,0,0,0,1,0,0,1.30,0.260,2.26,15.60,29.00,1t start tie,7t 1-3 2 out tie,Aaron Nola
7,100,30,May 1,PHI,,DET,"W,7-3",GS-6,,5,5.2,7,1,1,3,6.0,0,0,5.06,26,102,63,20,10,6,11,7,1,0,54,,,0,1,0,23,1,0,1,0,0,0,1.48,0.153,1.78,16.75,32.00,1t start tie,6t 12- 2 out tie,Aaron Nola
8,101,35,May 7,PHI,@,STL,"W,11-1",GS-6,W(3-0),5,6.0,3,1,1,1,7.0,1,1,4.57,22,101,63,26,11,8,5,4,0,0,68,,,0,0,0,20,0,0,0,1,0,0,.39,0.123,2.11,26.50,48.00,1b start tie,6b 3 out a7,Aaron Nola
9,102,40,May 13,PHI,,MIL,"W,7-4",GS-3,,5,3.0,5,3,3,3,3.0,1,0,4.86,17,84,50,21,4,4,7,1,1,0,37,,,0,0,0,14,2,1,0,0,0,0,.89,-0.160,-1.38,1.95,9.00,1t start tie,3t 3 out d1,Aaron Nola
10,103,45,May 18,PHI,,COL,"W,2-1",GS-7,W(4-0),4,6.0,8,1,1,1,12.0,0,0,4.47,27,106,73,26,14,6,8,5,1,0,63,,,0,0,0,26,2,1,0,0,0,0,1.08,0.115,1.61,34.10,63.00,1t start tie,7t -2- 0 out a1,Aaron Nola
11,104,50,May 23,PHI,@,CHC,"W,9-7",GS-6,W(5-0),4,5.1,4,3,3,4,6.0,0,0,4.53,22,93,56,20,11,7,5,3,1,0,50,,,0,0,1,18,1,0,0,1,0,0,.80,0.106,-0.32,17.20,37.00,1b start a 2,6b 1-- 1 out a5,Aaron Nola
12,105,55,May 29,PHI,,STL,"W,11-4",GS-7,W(6-0),5,7.0,4,1,1,3,8.0,1,0,4.18,28,102,68,22,14,10,7,4,1,0,70,,,0,0,0,25,1,0,0,0,0,0,.68,0.167,2.78,29.55,54.00,1t start tie,7t 3 out a10,Aaron Nola
13,106,60,Jun 3,PHI,@,SDP,"L,2-8",GS-6,L(6-1),4,5.1,8,6,6,3,5.0,1,0,4.63,27,93,56,19,5,9,10,5,1,0,30,,,0,0,0,24,1,0,0,0,0,0,1.37,-0.229,-2.18,3.40,13.00,1b start tie,6b 1-3 1 out d3,Aaron Nola
14,107,65,Jun 9,PHI,,CIN,"L,3-4",GS-7,,5,6.2,4,3,3,3,7.0,0,0,4.58,27,104,70,26,8,10,7,3,3,0,58,,,0,0,0,24,0,0,1,0,0,0,1.00,0.260,2.32,18.80,32.00,1t start tie,7t 12- 2 out a2,Aaron Nola
15,108,70,Jun 15,PHI,@,ATL,"W,6-5",GS-5,,5,4.1,6,5,5,2,4.0,2,1,4.89,22,93,57,19,7,6,9,4,1,0,33,,,0,0,0,19,1,0,0,0,0,0,1.16,-0.360,-2.52,2.35,10.00,1b start tie,5b --- 1 out d1,Aaron Nola
16,109,75,Jun 21,PHI,,MIA,"L,1-2",GS-8,L(6-2),5,8.0,6,2,1,1,10.0,1,1,4.55,32,107,82,23,17,11,9,3,2,0,73,,,0,0,0,30,1,0,0,0,0,0,1.06,0.198,2.32,31.20,51.00,1t start tie,8t 3 out d1,Aaron Nola
17,110,81,Jun 27,PHI,,NYM,"W,6-3",GS-7,,5,7.0,1,0,0,1,10.0,0,1,4.22,25,102,65,20,11,10,3,0,0,0,84,,,0,0,0,23,0,0,0,0,0,1,1.14,0.465,3.78,33.95,51.00,1t start tie,7t 3 out a1,Aaron Nola
18,111,85,Jul 2,PHI,@,ATL,"W,2-0",GS-8,W(7-2),4,8.0,4,0,0,3,8.0,0,0,3.89,30,117,73,25,13,5,14,5,2,0,79,,,0,0,0,27,1,0,0,1,0,0,1.15,0.562,4.45,33.80,60.00,1b start tie,8b 3 out a2,Aaron Nola
19,112,90,Jul 7,PHI,@,NYM,"W,8-3",GS-7,W(8-2),4,6.2,3,2,1,3,6.0,1,0,3.74,27,99,68,17,13,12,6,1,0,0,65,,,0,0,0,24,0,0,0,0,0,1,.64,0.165,0.98,25.40,47.00,1b start a 4,7b 12- 2 out a4,Aaron Nola
20,113,92,Jul 13,PHI,,WSN,"L,3-4",GS-6,,5,6.0,5,1,1,4,9.0,0,0,3.63,26,110,73,23,13,5,8,3,1,0,63,,,1,0,0,22,2,0,0,0,0,0,1.03,0.249,2.24,24.10,42.00,1t start tie,6t 3 out a2,Aaron Nola
21,114,97,Jul 18,PHI,,LAD,"W,7-6",GS-5,,4,5.0,5,4,4,3,5.0,3,0,3.77,23,99,59,20,5,6,9,3,0,0,43,,,0,0,0,20,1,0,1,0,0,0,.99,-0.176,-1.30,8.45,18.00,1t start tie,5t 3 out d1,Aaron Nola
22,115,101,Jul 23,PHI,@,DET,"W,3-2",GS-7,,4,7.0,4,2,1,1,7.0,0,3,3.64,28,105,67,21,10,11,6,3,1,0,69,,,0,0,0,24,2,0,0,2,0,1,1.26,0.221,1.95,22.95,39.00,1b start tie,7b 3 out tie,Aaron Nola
23,116,105,Jul 28,PHI,,ATL,"W,9-4",GS-7,W(9-2),4,6.2,7,4,4,3,8.0,2,0,3.72,29,102,72,22,16,6,12,6,0,0,49,,,1,0,0,26,1,0,0,1,0,0,.91,0.133,-0.68,21.00,44.00,1t start tie,7t 12- 2 out a2,Aaron Nola
24,117,110,Aug 3,PHI,,CHW,"W,3-2",GS-7,W(10-2),5,7.0,3,1,1,2,10.0,0,0,3.60,26,94,66,21,16,9,5,5,0,0,75,,,0,0,0,24,2,0,0,0,0,0,1.22,0.345,2.78,34.75,60.00,1t start tie,7t 3 out a1,Aaron Nola
25,118,115,Aug 8,PHI,@,SFG,"L,0-5",GS-5,L(10-3),4,5.0,7,3,3,2,3.0,0,0,3.67,22,93,59,16,6,12,5,3,0,0,42,,,0,1,0,20,1,0,0,0,0,0,.88,-0.122,-0.52,5.85,15.00,1b start tie,5b 3 out d3,Aaron Nola
26,119,120,Aug 14,PHI,,CHC,"W,11-1",GS-7,W(11-3),5,7.0,3,1,1,1,7.0,1,0,3.56,24,105,74,28,9,10,6,3,1,0,73,,,0,1,0,23,0,0,0,0,0,0,.36,0.145,2.78,29.35,51.00,1t start tie,7t 3 out a10,Aaron Nola
27,120,125,Aug 20,PHI,@,BOS,"W,3-2",GS-7,W(12-3),5,7.0,4,2,2,1,7.0,1,0,3.51,25,104,71,16,13,8,9,5,0,0,67,,,1,0,0,24,1,0,0,1,0,0,1.31,0.325,2.06,26.75,48.00,1b start a 3,7b 3 out a1,Aaron Nola
28,121,129,Aug 25,PHI,@,MIA,"L,2-3",GS-7,L(12-4),4,7.0,5,3,3,1,7.0,0,0,3.53,25,97,65,18,15,9,8,4,0,0,61,,,0,1,0,24,2,0,0,1,0,0,1.08,-0.121,0.48,20.15,33.00,1b start tie,7b 3 out d1,Aaron Nola
29,122,133,Aug 30,PHI,,NYM,"L,5-11",GS-7,,4,6.1,4,1,1,2,7.0,0,1,3.45,26,104,67,19,15,8,8,3,2,0,66,,,0,0,0,23,1,0,0,0,0,0,1.34,0.033,1.16,22.05,37.00,1t start tie,7t 123 1 out tie,Aaron Nola
30,123,138,Sep 4,PHI,@,CIN,"L,5-8",GS-4,,4,4.0,5,5,5,3,6.0,1,0,3.63,19,76,48,16,9,5,5,2,0,0,35,,,0,0,0,16,2,1,0,1,0,0,.67,-0.271,-2.82,6.20,15.00,1b start tie,4b 3 out d5,Aaron Nola
31,124,143,Sep 9,PHI,,ATL,"L,2-7",GS-6,L(12-5),4,6.0,6,4,4,4,7.0,1,0,3.70,27,99,65,17,14,7,9,4,1,0,47,,,1,0,0,23,2,0,0,1,0,0,.67,-0.167,-0.76,13.50,27.00,1t start tie,6t 3 out d3,Aaron Nola
32,125,147,Sep 14,PHI,,BOS,"L,1-2",GS-7,,4,7.0,4,1,1,3,9.0,0,0,3.62,27,103,73,17,16,11,4,3,1,0,71,,,0,1,0,23,1,0,0,0,0,0,1.36,0.240,2.78,27.55,45.00,1t start tie,7t 3 out d1,Aaron Nola
