Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,1,83,Jun 27,ARI,@,SFG,"W,5-1",GS-6,W(1-0),99,5.0,3,1,1,1,5.0,1,1,1.80,20,74,47,10,8,4,9,2,1,0,61,,,0,0,0,18,1,0,0,0,0,0,1.11,-0.006,0.49,20.25,39.00,1b start tie,6b 12- 0 out a1,Alex Young
2,2,87,Jul 2,ARI,@,LAD,"L,4-5",4-6,,4,2.1,0,0,0,0,1.0,0,0,1.23,7,26,16,4,3,3,3,0,1,0,,1,0,0,0,0,7,0,0,0,0,0,0,1.06,0.192,1.25,7.25,10.00,4b 1-- 2 out tie,6b 3 out a1,Alex Young
3,3,91,Jul 7,ARI,,COL,"W,5-3",GS-6,W(2-0),4,6.0,0,0,0,1,3.0,0,0,0.68,19,71,45,14,12,7,8,4,3,0,74,,,0,0,0,17,0,0,0,0,0,0,.88,0.375,3.21,22.90,39.00,1t start tie,6t 3 out a1,Alex Young
4,4,95,Jul 16,ARI,@,TEX,"W,9-2",GS-6,W(3-0),8,5.1,3,1,1,1,4.0,1,0,0.96,19,79,50,7,13,9,5,1,0,0,61,,,0,0,1,18,0,0,0,0,0,0,1.03,0.224,2.35,19.60,37.00,1b start a 1,6b --- 1 out a4,Alex Young
5,5,100,Jul 21,ARI,,MIL,"L,4-7",GS-4,,4,4.0,3,4,4,3,5.0,1,0,2.38,18,80,46,17,12,2,8,1,0,0,42,,,0,0,0,15,1,0,0,0,0,0,.92,-0.161,-1.86,7.40,15.00,1t start tie,4t 3 out tie,Alex Young
6,6,105,Jul 27,ARI,@,MIA,"W,9-2",GS-7,W(4-0),5,6.0,8,2,2,1,2.0,1,0,2.51,25,87,61,18,6,10,12,5,1,0,49,,,0,0,0,24,2,0,0,1,0,0,.46,0.069,0.36,12.10,30.00,1b start tie,7b -2- 0 out a6,Alex Young
7,7,110,Aug 2,ARI,,WSN,"L,0-3",GS-6,L(4-1),5,6.0,3,2,2,3,9.0,0,1,2.60,25,89,58,20,12,6,6,2,2,0,64,,,1,0,0,21,2,0,1,0,0,0,1.12,0.055,1.21,23.30,39.00,1t start tie,6t 3 out d2,Alex Young
8,8,117,Aug 10,ARI,@,LAD,"L,0-4",GS-4,L(4-2),7,3.1,5,4,4,3,2.0,1,0,3.32,19,77,49,11,9,12,2,1,0,0,33,,,0,0,0,15,1,0,1,0,0,0,.87,-0.228,-3.55,-1.30,4.00,1b start tie,4b 123 1 out d4,Alex Young
9,9,122,Aug 15,ARI,,SFG,"L,0-7",GS-5,L(4-3),4,5.0,8,5,5,2,2.0,1,0,3.98,24,85,53,9,4,10,10,4,0,0,31,,,1,1,1,22,2,0,1,0,0,0,.87,-0.194,-2.33,-0.75,6.00,1t start tie,5t 3 out d5,Alex Young
10,10,127,Aug 20,ARI,,COL,"W,8-7",GS-6,W(5-3),4,6.0,7,3,3,1,4.0,1,0,4.04,25,81,55,13,8,10,10,8,0,0,49,,,0,0,0,24,2,0,0,1,0,0,1.17,-0.019,0.21,14.70,33.00,1t start tie,6t 3 out tie,Alex Young
11,11,132,Aug 26,ARI,@,SFG,"W,6-4",GS-6,W(6-3),5,5.1,4,2,1,2,4.0,0,0,3.81,24,98,58,12,13,9,9,4,2,0,56,,,0,0,0,22,0,0,0,0,0,2,1.11,0.031,0.46,18.40,37.00,1b start tie,6b 1-- 1 out a1,Alex Young
12,12,137,Sep 1,ARI,,LAD,"L,3-4",GS-5,,5,4.1,5,2,2,0,5.0,2,0,3.84,17,77,52,13,12,5,7,2,0,0,50,,,0,0,0,17,2,0,0,1,0,0,.77,0.016,0.39,12.75,22.00,1t start tie,5t --- 1 out a1,Alex Young
13,13,142,Sep 7,ARI,@,CIN,"W,2-0",GS-8,W(7-3),5,8.0,2,0,0,1,12.0,0,0,3.38,26,109,77,21,20,6,7,3,1,0,89,,,0,0,0,25,0,0,0,0,0,0,.98,0.554,4.36,44.20,72.00,1b start tie,8b 3 out a2,Alex Young
14,14,147,Sep 12,ARI,@,NYM,"L,1-11",GS-3,L(7-4),4,2.2,5,6,1,2,3.0,2,0,3.38,16,75,44,9,9,5,6,4,0,0,35,,,0,0,0,14,0,0,0,0,0,1,.91,-0.303,-4.64,5.80,14.00,1b start tie,3b --- 2 out d6,Alex Young
15,15,152,Sep 17,ARI,,MIA,"L,6-12",GS-5,,4,5.0,5,2,1,4,4.0,0,0,3.27,23,81,50,12,11,9,6,4,0,0,51,,,0,0,0,18,1,0,1,1,0,0,1.18,0.025,0.67,11.85,24.00,1t start tie,5t 3 out d1,Alex Young
16,16,157,Sep 23,ARI,,STL,"L,7-9",GS-5,L(7-5),5,5.0,7,6,6,2,5.0,3,1,3.74,26,90,59,19,12,8,10,2,0,0,32,,,0,0,0,23,2,0,0,0,0,1,.66,-0.346,-3.33,3.25,12.00,1t start tie,5t 3 out d4,Alex Young
17,17,162,Sep 29,ARI,,SDP,"W,1-0",2-5,,5,4.0,4,0,0,0,1.0,0,1,3.56,16,46,32,9,3,9,5,1,2,0,,0,0,0,0,0,15,0,0,0,1,0,0,1.52,0.239,2.14,8.00,15.00,2t --- 0 out tie,5t 3 out tie,Alex Young
