Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,62,52,May 26,LAA,,TEX,"W,7-6",GS-5,,99,5.0,2,2,2,1,8.0,2,0,3.60,18,85,53,16,13,3,6,0,1,0,62,,,0,0,0,17,0,0,0,0,0,0,.82,0.033,0.71,21.45,33.00,1t start tie,5t 3 out d1,Andrew Heaney
2,63,58,Jun 1,LAA,@,SEA,"W,6-3",GS-6,,5,6.0,5,3,3,0,10.0,2,0,4.09,23,92,65,16,22,2,11,3,2,0,60,,,1,0,0,23,0,0,0,0,0,0,.99,-0.054,0.08,24.50,39.00,1b start a 2,6b 3 out tie,Andrew Heaney
3,64,64,Jun 7,LAA,,SEA,"L,2-6",GS-6,L(0-1),5,5.2,6,5,5,2,10.0,2,1,5.40,26,107,74,16,20,4,9,1,3,0,45,,,0,0,0,23,0,0,0,0,0,0,1.08,-0.220,-1.87,17.35,32.00,1t start tie,6t --- 2 out d4,Andrew Heaney
4,65,70,Jun 14,LAA,@,TBR,"L,4-9",GS-6,,6,5.0,2,1,1,3,2.0,0,0,4.57,21,99,57,16,7,5,11,2,2,0,58,,,0,0,0,18,1,0,0,0,0,1,.94,0.186,2.05,10.25,18.00,1b start a 2,6b -2- 0 out a4,Andrew Heaney
5,66,75,Jun 19,LAA,@,TOR,"W,11-6",GS-4,,4,3.2,4,5,5,4,2.0,1,0,5.68,19,80,47,12,7,3,10,3,0,0,31,,,0,0,0,15,2,0,0,0,0,0,1.21,-0.268,-3.10,-2.55,2.00,1b start tie,4b 1-- 2 out a2,Andrew Heaney
6,67,80,Jun 25,LAA,,CIN,"W,5-1",GS-6,W(1-1),5,5.1,5,1,1,4,4.0,1,0,4.99,21,101,61,14,7,6,7,4,0,0,54,,,0,1,1,17,1,0,0,2,0,0,.96,0.147,1.69,16.60,37.00,1t start tie,6t 1-- 1 out a3,Andrew Heaney
7,68,85,Jun 30,LAA,,OAK,"L,3-12",GS-6,L(1-2),4,6.0,6,5,5,1,8.0,1,1,5.40,25,104,71,11,18,6,9,5,2,0,47,,,0,0,0,23,3,0,0,1,0,0,.87,-0.234,-1.75,14.70,27.00,1t start tie,6t 3 out d4,Andrew Heaney
8,69,90,Jul 6,LAA,@,HOU,"L,0-4",GS-5,L(1-3),5,5.0,5,2,2,2,5.0,0,0,5.18,22,85,49,13,14,7,8,2,1,0,52,,,0,0,0,20,1,0,0,0,0,0,1.07,0.033,0.85,13.05,24.00,1b start tie,5b 3 out d2,Andrew Heaney
9,70,96,Jul 16,LAA,,HOU,"W,7-2",GS-5,,9,4.1,9,2,2,2,5.0,0,0,5.09,23,103,63,16,8,5,11,6,0,0,40,,,0,0,0,21,1,0,0,1,0,0,.85,0.065,0.75,9.15,22.00,1t start tie,5t 12- 1 out a5,Andrew Heaney
10,71,118,Aug 10,LAA,@,BOS,"W,12-4",GS-4,,24,3.2,3,1,1,1,4.0,0,2,4.89,18,74,49,12,9,4,7,2,1,0,54,,,0,0,0,14,0,0,0,0,1,1,1.12,0.074,0.77,10.65,20.00,1b start a 3,4b 1-3 2 out a2,Andrew Heaney
