Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,310,5,Apr 3,WSN,,PHI,"W,9-8",GS-4,,99,4.0,4,4,4,4,3.0,0,0,9.00,20,76,45,20,3,4,9,5,2,0,37,,,0,0,0,16,1,0,1,0,0,0,1.17,-0.110,-1.75,2.20,9.00,1t start tie,4t 3 out a2,Anibal Sanchez
2,311,9,Apr 8,WSN,@,PHI,"L,3-4",GS-6,L(0-1),4,5.2,7,3,3,2,6.0,2,0,6.52,25,83,50,14,12,8,9,4,1,0,47,,,0,0,0,23,0,0,0,1,0,0,.98,-0.102,-0.22,13.35,26.00,1b start tie,6b 12- 2 out d1,Anibal Sanchez
3,312,13,Apr 13,WSN,,PIT,"W,3-2",GS-7,,4,7.0,7,2,2,1,2.0,1,0,4.86,29,100,63,17,5,10,16,9,1,0,56,,,0,0,0,28,2,1,0,1,0,1,1.06,0.141,1.93,10.95,21.00,1t start tie,7t 3 out d1,Anibal Sanchez
4,313,18,Apr 19,WSN,@,MIA,"L,2-3",GS-6,L(0-2),5,5.1,5,3,3,4,6.0,0,0,4.91,27,90,52,18,9,10,7,4,1,0,48,,,1,0,0,23,1,0,0,0,0,1,1.36,-0.081,-0.59,12.60,25.00,1b start a 1,6b 123 1 out d1,Anibal Sanchez
5,314,23,Apr 24,WSN,@,COL,"L,5-9",GS-5,L(0-3),4,5.0,9,6,6,5,3.0,1,0,6.00,29,98,61,10,11,3,18,8,5,0,23,,,0,0,0,23,4,1,2,0,1,0,1.01,-0.334,-2.88,-3.15,6.00,1b start tie,5b 3 out d3,Anibal Sanchez
6,315,28,Apr 30,WSN,,STL,"L,2-3",GS-5,L(0-4),5,5.0,5,3,3,2,7.0,0,0,5.91,22,94,60,15,13,2,11,5,0,0,50,,,0,0,0,20,1,0,0,0,0,0,1.20,-0.061,-0.19,15.05,27.00,1t start tie,5t 3 out d1,Anibal Sanchez
7,316,33,May 5,WSN,@,PHI,"L,1-7",GS-5,L(0-5),4,4.2,2,2,0,4,9.0,0,0,5.15,22,108,70,18,16,2,7,3,2,0,61,,,1,0,0,18,1,0,1,0,0,2,1.19,0.007,0.46,24.90,41.00,1b start tie,5b 1-- 2 out d1,Anibal Sanchez
8,317,38,May 10,WSN,@,LAD,"L,0-5",GS-5,L(0-6),4,4.1,6,3,3,2,3.0,2,0,5.27,21,89,57,16,5,6,10,6,1,0,40,,,2,0,0,19,1,1,1,0,0,0,.81,-0.113,-1.15,4.95,13.00,1b start tie,5b -2- 1 out d3,Anibal Sanchez
9,318,43,May 16,WSN,,NYM,"W,7-6",GS-2,,5,1.1,1,0,0,1,2.0,0,0,5.10,6,31,19,4,4,1,2,1,1,0,53,,,0,0,0,5,0,0,0,0,0,0,.66,0.020,0.15,5.80,10.00,1t start tie,2t 12- 1 out a4,Anibal Sanchez
10,319,56,May 29,WSN,@,ATL,"W,14-4",GS-6,W(1-6),12,6.0,1,0,0,1,7.0,0,0,4.47,20,80,52,15,8,4,8,2,0,0,76,,,0,0,0,19,0,0,0,0,0,0,.15,0.076,3.34,30.30,51.00,1b start a 4,6b 3 out a14,Anibal Sanchez
11,320,61,Jun 5,WSN,,CHW,"W,6-4",GS-6,,6,5.1,4,1,1,1,7.0,1,0,4.19,20,80,55,19,8,4,8,4,1,0,62,,,0,0,0,19,0,0,0,0,0,0,1.09,0.213,2.07,21.00,34.00,1t start tie,6t --- 1 out a1,Anibal Sanchez
12,321,66,Jun 10,WSN,@,CHW,"W,12-1",GS-7,W(2-6),4,6.0,4,1,1,1,1.0,1,0,3.92,22,69,48,12,2,11,9,2,1,0,60,,,0,0,1,21,0,0,0,0,0,0,.79,0.212,1.82,14.50,30.00,1b start tie,7b 1-- 0 out a3,Anibal Sanchez
13,322,71,Jun 16,WSN,,ARI,"W,15-5",GS-6,W(3-6),5,6.0,6,2,2,0,3.0,1,2,3.84,26,98,62,22,4,8,13,5,1,0,55,,,0,0,0,23,1,0,0,0,1,0,.59,0.094,1.37,14.70,33.00,1t start tie,6t 3 out a6,Anibal Sanchez
14,323,76,Jun 22,WSN,,ATL,"L,9-13",GS-6,,5,6.0,6,4,4,1,6.0,1,0,4.02,25,97,60,9,16,5,13,9,1,0,49,,,0,0,0,24,1,0,0,0,0,0,.78,-0.029,-0.63,13.30,24.00,1t start tie,6t 3 out a4,Anibal Sanchez
