Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,75,1,Mar 28,TBR,,HOU,"L,1-5",GS-6,L(0-1),99,6.0,6,5,5,2,3.0,3,0,7.50,24,91,55,16,10,6,13,3,3,0,41,,,0,2,0,22,1,0,0,0,0,0,.72,-0.249,-1.79,4.70,12.00,1t start tie,6t 3 out d4,Blake Snell
2,76,6,Apr 2,TBR,,COL,"W,4-0",GS-7,W(1-1),4,7.0,2,0,0,1,13.0,0,0,3.46,23,102,67,16,23,6,3,1,2,0,85,,,0,1,1,22,0,0,0,0,0,0,.67,0.320,3.75,43.95,72.00,1t start tie,7t 3 out a4,Blake Snell
3,77,11,Apr 8,TBR,@,CHW,"W,5-1",GS-6,W(2-1),5,6.0,6,1,1,0,11.0,1,0,2.84,23,100,66,19,22,6,6,3,1,0,67,,,1,0,0,23,1,0,0,1,0,0,1.01,0.220,2.22,33.90,60.00,1b start a 2,6b 3 out a3,Blake Snell
4,78,15,Apr 13,TBR,@,TOR,"L,1-3",GS-6,,4,6.0,1,0,0,1,9.0,0,0,2.16,19,82,52,16,19,4,5,2,3,0,78,,,0,0,0,18,0,0,0,1,0,0,.94,0.378,3.22,30.30,45.00,1b start tie,6b 3 out a1,Blake Snell
5,79,25,Apr 24,TBR,,KCR,"L,2-10",GS-4,L(2-2),10,3.1,5,3,2,2,3.0,1,0,2.54,15,65,42,11,10,4,6,2,1,0,41,,,1,1,0,13,0,0,0,0,0,1,1.10,-0.107,-0.83,5.30,13.00,1t start tie,4t --3 1 out d1,Blake Snell
6,80,30,May 1(2),TBR,@,KCR,"L,2-8",GS-4,L(2-3),6,3.0,6,7,7,3,2.0,1,0,4.31,18,75,43,11,9,6,7,3,0,0,18,,,2,0,0,15,2,0,0,0,0,0,.64,-0.284,-4.68,-8.65,-6.00,1b start tie,4b 1-3 0 out d5,Blake Snell
7,81,34,May 6,TBR,,ARI,"W,12-1",GS-6,W(3-3),4,6.0,1,0,0,0,9.0,0,1,3.62,20,83,61,16,18,4,6,2,2,0,79,,,0,0,0,19,0,0,0,0,0,0,.32,0.155,3.22,34.30,57.00,1t start tie,6t 3 out a7,Blake Snell
8,82,39,May 12,TBR,,NYY,"L,1-7",GS-6,L(3-4),5,5.2,4,2,2,2,12.0,0,0,3.56,23,96,68,12,24,4,5,3,0,0,63,,,0,0,0,21,2,0,0,0,0,0,1.03,0.028,0.88,29.15,47.00,1t start tie,6t -2- 2 out d2,Blake Snell
9,83,43,May 18,TBR,@,NYY,"W,2-1",GS-6,,5,6.0,6,1,1,1,9.0,0,0,3.31,23,93,58,13,17,4,9,6,1,0,64,,,0,0,0,22,0,0,0,1,0,1,1.08,0.191,2.25,25.30,42.00,1b start tie,6b 3 out d1,Blake Snell
10,84,48,May 24,TBR,@,CLE,"L,1-3",GS-7,,5,6.2,4,1,1,3,7.0,1,0,3.07,26,104,65,21,16,9,7,2,0,0,66,,,1,1,1,23,0,0,0,0,0,0,1.22,0.281,2.55,22.80,38.00,1b start a 1,7b 12- 2 out tie,Blake Snell
