Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,28,3,Mar 30,MIL,,STL,"W,4-2",GS-5,W(1-0),99,5.0,6,2,2,1,5.0,0,0,3.60,22,100,64,12,11,6,10,6,1,0,51,,,1,0,0,20,2,0,0,0,0,0,1.17,0.086,0.67,17.05,36.00,1t start tie,5t 3 out a2,Brandon Woodruff
2,29,8,Apr 5,MIL,,CHC,"W,13-10",GS-4,,5,4.0,6,4,4,2,8.0,1,1,6.00,21,88,57,20,10,5,5,2,1,0,40,,,0,0,0,18,1,0,0,0,0,0,.76,0.049,-1.86,11.60,24.00,1t start tie,4t 3 out a4,Brandon Woodruff
3,30,13,Apr 10,MIL,@,LAA,"L,2-4",GS-6,L(1-1),4,6.0,4,4,4,1,7.0,0,1,6.00,23,97,64,20,12,4,10,7,2,0,54,,,0,0,0,21,1,0,0,1,0,0,.80,-0.194,-0.75,15.90,27.00,1b start tie,6b 3 out d3,Brandon Woodruff
4,31,18,Apr 16,MIL,,STL,"W,8-4",GS-6,W(2-1),5,5.2,7,2,2,2,6.0,1,0,5.23,25,94,62,18,9,4,13,6,3,0,51,,,0,0,0,23,0,0,0,1,0,0,.57,0.193,0.75,19.35,41.00,1t start tie,6t 12- 2 out a6,Brandon Woodruff
5,32,23,Apr 21,MIL,,LAD,"L,5-6",GS-6,,4,5.2,7,5,5,3,6.0,2,0,5.81,27,99,64,18,9,9,9,4,2,0,38,,,1,0,0,24,2,0,0,0,0,0,.61,-0.235,-1.90,8.75,20.00,1t start tie,6t --- 2 out d3,Brandon Woodruff
6,33,28,Apr 27,MIL,@,NYM,"W,8-6",GS-5,W(3-1),5,5.0,6,1,1,1,6.0,0,1,5.17,21,87,58,14,11,6,7,5,0,0,56,,,0,1,0,19,0,0,0,1,0,0,1.22,0.142,1.43,20.45,42.00,1b start a 1,5b 3 out a4,Brandon Woodruff
7,34,34,May 3,MIL,,NYM,"W,3-1",GS-5,W(4-1),5,5.0,6,1,1,2,7.0,0,0,4.71,21,94,61,10,12,7,5,2,0,0,56,,,1,1,0,19,0,0,0,1,0,0,1.10,0.189,1.67,22.45,45.00,1t start tie,5t 3 out tie,Brandon Woodruff
8,35,39,May 8,MIL,,WSN,"W,7-3",GS-6,W(5-1),4,6.0,4,1,1,0,9.0,0,0,4.25,22,103,68,13,15,4,9,4,0,0,69,,,0,0,0,21,0,0,0,0,1,0,.43,0.143,2.21,31.10,54.00,1t start tie,6t 3 out a6,Brandon Woodruff
9,36,44,May 14,MIL,@,PHI,"W,6-1",GS-6,W(6-1),5,6.0,1,0,0,5,5.0,0,0,3.72,23,94,58,21,4,7,6,4,1,0,70,,,1,0,0,17,0,0,0,1,0,0,.85,0.220,3.24,23.90,45.00,1b start tie,6b 3 out a5,Brandon Woodruff
10,37,49,May 19,MIL,@,ATL,"W,3-2",GS-8,,4,8.0,5,2,2,0,6.0,2,0,3.51,28,93,65,12,18,10,12,2,3,0,70,,,0,0,0,28,0,0,0,1,0,0,1.12,0.288,2.45,23.00,36.00,1b start a 1,8b 3 out tie,Brandon Woodruff
11,38,54,May 26,MIL,,PHI,"W,9-1",GS-8,W(7-1),6,8.0,1,1,1,0,10.0,1,0,3.22,25,97,73,24,13,6,9,1,2,0,86,,,0,0,0,25,0,0,0,0,0,0,.47,0.290,3.28,39.40,63.00,1t start tie,8t 3 out a6,Brandon Woodruff
12,39,59,Jun 1,MIL,@,PIT,"W,12-10",GS-5,,5,4.0,10,6,6,2,5.0,0,1,3.82,25,92,63,6,10,8,9,5,1,0,21,,,0,0,0,22,1,0,0,0,0,0,1.19,-0.380,-3.97,-0.80,9.00,1b start a 2,5b 12- 0 out tie,Brandon Woodruff
13,40,64,Jun 7,MIL,,PIT,"W,10-4",GS-6,W(8-1),5,6.0,4,3,3,1,10.0,1,0,3.87,22,99,65,14,11,6,5,2,1,0,61,,,0,0,1,21,1,1,0,0,0,0,1.04,0.069,0.21,28.50,51.00,1t start tie,6t 3 out a1,Brandon Woodruff
14,41,68,Jun 12,MIL,@,HOU,"W,6-3",GS-7,,4,7.0,4,3,3,3,6.0,0,0,3.87,27,99,64,21,6,9,9,4,1,0,60,,,0,0,0,24,1,0,0,1,0,0,.97,0.066,0.98,17.55,30.00,1b start a 1,7b 3 out tie,Brandon Woodruff
15,42,73,Jun 18,MIL,@,SDP,"L,1-4",GS-6,L(8-2),5,6.0,7,4,4,1,6.0,1,0,4.02,27,90,66,17,9,8,12,7,1,0,47,,,2,0,0,26,1,0,0,0,0,1,1.14,-0.097,-0.99,12.70,24.00,1b start tie,6b 3 out d4,Brandon Woodruff
16,43,78,Jun 23,MIL,,CIN,"W,7-5",GS-7,W(9-2),4,7.0,7,3,3,1,12.0,1,0,4.01,26,103,71,15,14,6,7,5,0,0,62,,,0,1,0,25,0,0,0,2,0,0,.60,0.206,0.74,32.95,60.00,1t start tie,7t 3 out a4,Brandon Woodruff
17,44,83,Jun 29,MIL,,PIT,"W,3-1",GS-8,W(10-2),5,7.2,6,1,1,0,6.0,0,1,3.79,28,108,76,12,16,12,9,6,1,0,69,,,0,0,0,27,3,0,0,1,0,0,1.15,0.365,2.94,27.05,50.00,1t start tie,8t -2- 2 out a2,Brandon Woodruff
18,45,88,Jul 4,MIL,@,CIN,"L,0-1",GS-6,L(10-3),4,6.0,7,1,1,0,6.0,0,0,3.67,24,88,65,9,13,11,7,5,0,0,60,,,0,0,0,24,1,0,0,1,0,0,.99,0.195,2.27,19.30,33.00,1b start tie,6b 3 out d1,Brandon Woodruff
19,46,96,Jul 16,MIL,,ATL,"W,13-1",GS-7,W(11-3),11,6.2,5,1,1,2,7.0,1,0,3.53,27,101,64,15,14,8,10,4,3,0,65,,,2,0,0,25,0,0,0,0,0,0,1.08,0.254,2.50,26.80,50.00,1t start tie,7t 1-- 2 out a4,Brandon Woodruff
20,47,101,Jul 21,MIL,@,ARI,"W,7-4",GS-3,,4,3.0,6,4,4,2,3.0,1,0,3.75,16,76,48,11,6,4,7,2,0,0,32,,,0,0,0,13,1,0,0,1,1,0,.73,-0.223,-2.40,-0.05,6.00,1b start tie,3b 3 out d4,Brandon Woodruff
21,48,151,Sep 17,MIL,,SDP,"W,3-1",GS-2,,57,2.0,0,0,0,1,4.0,0,0,3.69,7,37,23,8,5,2,0,0,0,0,59,,,0,0,0,6,0,0,0,0,0,0,.67,0.102,1.07,11.90,18.00,1t start tie,2t 3 out tie,Brandon Woodruff
22,49,156,Sep 22,MIL,,PIT,"W,4-3",GS-2,,4,2.0,0,0,0,0,3.0,0,0,3.62,6,38,26,1,3,3,0,0,0,0,59,,,0,0,0,6,0,0,0,0,0,0,.66,0.102,1.07,10.50,15.00,1t start tie,2t 3 out tie,Brandon Woodruff
