Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,1,83,Jun 29,TBR,,TEX,"W,5-2",GS-6,W(1-0),99,6.0,1,0,0,1,3.0,0,0,0.00,20,81,55,15,10,6,10,5,1,0,72,,,0,0,0,18,0,0,0,0,0,0,.75,0.296,3.22,22.30,39.00,1t start tie,6t 3 out a3,Brendan McKay
2,2,89,Jul 5,TBR,,NYY,"L,4-8",GS-5,,5,5.0,6,3,3,0,3.0,1,0,2.45,20,83,54,11,5,6,11,6,3,0,46,,,0,0,0,20,0,0,0,1,0,0,1.12,-0.103,-0.32,7.65,15.00,1t start tie,5t 3 out d2,Brendan McKay
3,3,93,Jul 13(1),TBR,@,BAL,"L,1-2",GS-5,,7,5.0,3,0,0,0,7.0,0,0,1.69,18,86,61,7,18,6,5,4,1,0,68,,,1,0,0,18,0,0,0,0,0,0,1.29,0.309,2.74,23.45,36.00,1b start tie,5b 3 out a1,Brendan McKay
4,4,100,Jul 19,TBR,,CHW,"L,2-9",GS-4,L(1-1),5,3.1,10,6,6,0,5.0,1,0,4.19,20,76,52,15,8,4,11,5,2,0,21,,,0,0,0,20,5,0,0,0,0,0,.88,-0.403,-4.57,-0.50,7.00,1t start tie,4t -2- 1 out d4,Brendan McKay
5,5,111,Aug 1,TBR,@,BOS,"W,9-4",GS-6,W(2-1),12,5.1,7,3,3,1,7.0,2,0,4.38,24,90,61,18,10,5,11,5,1,0,48,,,0,0,0,23,2,0,0,0,0,0,1.07,-0.010,-0.26,19.20,40.00,1b start a 1,6b -2- 1 out a4,Brendan McKay
6,6,116,Aug 7,TBR,,TOR,"L,3-4",GS-6,L(2-2),5,5.0,6,3,3,1,8.0,2,0,4.55,23,93,69,17,14,3,11,3,1,0,50,,,0,0,0,22,2,0,0,0,0,1,.98,0.002,0.29,17.05,30.00,1t start tie,6t 1-- 0 out d2,Brendan McKay
7,7,121,Aug 13,TBR,@,SDP,"W,7-5",GS-4,,5,4.0,5,4,4,6,7.0,0,0,5.08,21,83,45,18,7,4,4,0,0,0,37,,,0,1,0,15,2,0,0,0,0,0,.94,-0.232,-1.99,8.40,21.00,1b start a 1,4b 3 out d2,Brendan McKay
8,8,126,Aug 19,TBR,,SEA,"L,3-9",GS-2,L(2-3),5,2.0,3,7,3,3,1.0,2,0,5.55,13,59,38,10,3,5,4,0,1,0,28,,,0,0,0,10,0,0,0,0,0,1,.90,-0.444,-5.93,-3.10,0.00,1t start tie,2t 3 out d6,Brendan McKay
9,9,143,Sep 6,TBR,,TOR,"W,5-0",GS-4,,17,3.2,1,0,0,0,7.0,0,0,5.03,12,59,36,11,8,2,3,0,0,0,66,,,0,0,0,12,0,1,0,0,0,0,.71,0.188,2.03,21.65,32.00,1t start tie,4t --- 2 out a3,Brendan McKay
10,10,148,Sep 12,TBR,@,TEX,"L,4-6",GS-4,L(2-4),5,3.1,6,3,3,2,2.0,0,0,5.27,19,64,42,13,5,7,8,3,1,0,36,,,0,0,0,17,2,0,0,0,0,1,1.18,0.035,0.43,0.70,7.00,1b start tie,4b 12- 1 out tie,Brendan McKay
11,11,153,Sep 18,TBR,@,LAD,"W,8-7",GS-4,,5,4.0,3,3,3,1,3.0,0,0,5.40,16,61,41,11,4,3,9,4,0,0,46,,,0,0,0,14,2,0,0,0,1,0,.84,-0.151,-0.97,6.60,12.00,1b start a 1,4b 3 out d2,Brendan McKay
12,12,158,Sep 24,TBR,,NYY,"W,2-1",5-6,,5,1.2,2,0,0,1,3.0,0,0,5.21,8,38,25,5,3,1,3,1,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,1.32,0.097,0.83,7.95,14.00,5t --- 0 out d1,6t 1-- 2 out tie,Brendan McKay
13,13,162,Sep 29,TBR,@,TOR,"L,3-8",3-3,,4,0.2,0,0,0,0,0.0,0,0,5.14,2,5,2,0,0,1,1,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.40,0.020,0.29,1.50,2.00,3b --- 1 out d2,3b 3 out d2,Brendan McKay
