Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,190,3,Apr 1,PIT,,STL,"L,5-6",GS-5,,99,5.0,2,0,0,3,8.0,0,1,0.00,20,99,60,17,17,3,5,2,1,0,68,,,0,1,0,16,0,0,0,0,0,0,.82,0.205,2.54,23.65,39.00,1t start tie,5t 3 out a4,Chris Archer
2,191,8,Apr 7,PIT,,CIN,"W,7-5",GS-6,W(1-0),5,6.0,5,3,3,2,7.0,2,0,2.45,25,100,62,12,13,5,11,5,0,0,55,,,1,1,0,23,0,0,1,1,0,2,.94,-0.025,0.05,21.30,42.00,1t start tie,6t 3 out a4,Chris Archer
3,192,13,Apr 13,PIT,@,WSN,"L,2-3",GS-7,,5,7.0,4,1,1,2,9.0,0,0,2.00,25,94,60,19,12,8,6,2,1,0,72,,,0,0,0,23,1,0,0,2,0,0,1.16,0.374,2.93,28.15,45.00,1b start tie,7b 3 out a1,Chris Archer
4,193,19,Apr 21,PIT,,SFG,"L,2-3",GS-5,L(1-1),7,5.0,6,3,3,2,2.0,1,0,2.74,23,83,55,11,8,6,13,6,1,0,43,,,0,0,0,21,1,0,0,0,0,0,1.17,-0.124,-0.46,4.45,12.00,1t start tie,5t 3 out d1,Chris Archer
5,194,24,Apr 26,PIT,@,LAD,"L,2-6",GS-4,L(1-2),4,4.0,6,6,6,3,3.0,2,0,4.33,20,88,53,16,7,3,11,4,1,0,26,,,0,0,0,16,1,0,0,0,0,0,.68,-0.391,-3.97,-2.40,3.00,1b start a 1,4b 3 out d4,Chris Archer
6,195,40,May 15,PIT,@,ARI,"L,1-11",GS-4,L(1-3),18,3.2,4,7,6,4,5.0,1,0,5.58,20,80,44,14,9,4,7,3,2,0,28,,,3,0,0,15,1,0,0,0,1,1,.87,-0.290,-4.97,1.45,8.00,1b start tie,4b --- 2 out d7,Chris Archer
7,196,45,May 21,PIT,,COL,"L,0-5",GS-5,L(1-4),5,5.0,6,4,3,2,3.0,1,0,5.55,24,92,58,10,13,6,13,5,1,0,42,,,0,0,0,21,1,1,0,0,0,0,.88,-0.180,-1.46,6.45,15.00,1t start tie,5t 3 out d4,Chris Archer
8,197,50,May 26,PIT,,LAD,"L,7-11",GS-5,L(1-5),4,5.0,6,4,4,6,3.0,1,0,5.75,27,105,61,18,7,11,7,1,1,0,36,,,0,0,0,19,0,0,0,0,0,0,1.46,-0.244,-1.46,2.05,12.00,1t start tie,5t 3 out d2,Chris Archer
9,198,56,May 31,PIT,,MIL,"W,9-4",GS-7,W(2-5),4,7.0,5,4,4,2,7.0,2,0,5.66,28,92,62,17,17,11,8,4,1,0,56,,,0,0,0,26,1,0,0,0,0,0,.60,0.066,-0.45,21.55,42.00,1t start tie,7t 3 out a5,Chris Archer
10,199,61,Jun 6,PIT,,ATL,"W,6-1",GS-7,W(3-5),5,6.0,6,1,1,2,6.0,1,0,5.20,26,97,67,13,13,9,9,7,0,0,60,,,0,0,0,23,1,0,0,0,0,0,1.06,0.075,1.05,22.70,45.00,1t start tie,7t 12- 0 out a2,Chris Archer
