Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,1,4.0,Mar 31,SDP,,SFG,"W,3-1",GS-5,,99,5.0,2,1,1,1,7,0,0,1.80,17,79,57,11,8,4,5,1,1,0,65,,,0,1,0,16,1,0,0,0,0,0,.91,0.127,1.51,21.45,33.0,1t start tie,5t 3 out d1,Chris Paddack
2,2,9.0,Apr 6,SDP,@,STL,"W,6-4",GS-4,,5,3.2,1,1,0,4,4,0,0,1.04,16,89,56,13,6,3,5,3,0,0,57,,,0,0,0,11,0,0,0,0,1,1,.96,0.059,0.63,13.25,23.0,1b start a 1,4b 12- 2 out tie,Chris Paddack
3,3,15.0,Apr 12,SDP,@,ARI,"W,2-1",GS-6,,5,5.1,3,1,1,1,5,0,0,1.29,20,88,66,16,11,6,8,4,1,0,62,,,0,0,0,19,2,0,0,0,0,0,1.01,0.212,1.92,17.60,28.0,1b start a 1,6b --- 1 out tie,Chris Paddack
4,4,20.0,Apr 18,SDP,,CIN,"L,1-4",GS-6,L(0-1),5,6.0,3,3,3,1,5,2,0,2.25,22,88,60,18,12,5,11,4,2,0,58,,,0,0,0,21,0,0,0,0,0,0,.68,-0.058,0.01,15.10,24.0,1t start tie,6t 3 out d3,Chris Paddack
5,5,25.0,Apr 24,SDP,,SEA,"W,1-0",GS-7,W(1-1),5,7.0,1,0,0,1,9,0,1,1.67,24,83,59,15,13,6,7,0,3,0,83,,,0,0,0,22,0,0,0,0,0,0,1.11,0.464,3.52,35.95,60.0,1t start tie,7t 3 out a1,Chris Paddack
6,6,30.0,Apr 30,SDP,@,ATL,"W,4-3",GS-6,W(2-1),5,6.0,4,2,2,1,5,0,0,1.91,23,89,68,17,9,6,11,4,2,0,60,,,0,0,0,22,0,0,0,0,0,0,1.08,0.165,1.34,20.50,39.0,1b start a 1,6b 3 out a2,Chris Paddack
7,7,36.0,May 6,SDP,,NYM,"W,4-0",GS-8,W(3-1),5,7.2,4,0,0,1,11,0,0,1.55,28,91,66,16,20,11,5,2,0,0,81,,,0,0,0,27,0,0,0,0,0,0,1.07,0.496,3.79,40.25,68.0,1t start tie,8t 1-- 2 out a2,Chris Paddack
8,8,42.0,May 14,SDP,@,LAD,"L,3-6",GS-5,L(3-2),7,4.2,5,6,3,1,3,2,1,1.99,22,92,62,18,3,7,10,6,1,0,38,,,0,0,0,19,2,0,0,0,0,1,.84,-0.397,-3.57,6.30,14.0,1b start a 1,5b --- 2 out d3,Chris Paddack
9,9,48.0,May 20,SDP,,ARI,"W,2-1",GS-6,W(4-2),5,6.0,5,1,1,0,7,0,1,1.93,23,89,63,18,12,9,6,2,1,0,65,,,0,0,0,22,1,0,0,1,0,0,1.04,0.192,2.01,25.90,48.0,1t start tie,6t 3 out d1,Chris Paddack
10,10,56.0,May 29,SDP,@,NYY,"L,0-7",GS-5,L(4-3),8,5.0,6,4,4,1,6,3,1,2.40,24,86,61,16,10,7,9,3,1,0,44,,,0,0,0,21,0,0,0,0,1,0,.59,-0.167,-1.29,10.45,21.0,1b start tie,5b 3 out d4,Chris Paddack
11,11,61.0,Jun 4,SDP,,PHI,"L,6-9",GS-5,L(4-4),5,4.1,8,6,5,0,4,2,0,2.97,22,91,65,17,4,5,13,6,4,0,29,,,0,0,0,22,3,0,0,0,0,1,.88,-0.310,-2.40,2.95,10.0,1t start tie,5t 12- 1 out d2,Chris Paddack
12,12,67.0,Jun 11,SDP,@,SFG,"L,5-6",GS-5,,6,5.0,6,3,3,1,6,1,0,3.15,21,85,57,14,9,6,8,4,1,0,48,,,0,0,0,19,0,0,0,1,0,1,1.28,-0.094,-0.52,13.05,24.0,1b start a 1,5b 3 out a1,Chris Paddack
13,13,77.0,Jun 22,SDP,@,PIT,"L,3-6",GS-5,,10,5.0,5,2,2,3,1,1,0,3.18,21,85,55,12,5,8,9,2,1,0,47,,,0,0,0,17,1,0,0,2,0,0,1.35,-0.026,0.54,4.45,12.0,1b start tie,5b 3 out d1,Chris Paddack
14,14,82.0,Jun 29,SDP,,STL,"W,12-2",GS-6,W(5-4),6,6.0,2,1,1,1,8,1,0,3.05,22,97,72,22,15,6,7,0,2,0,71,,,0,0,0,21,0,0,0,0,0,1,.36,0.037,2.01,29.70,51.0,1t start tie,6t 3 out a8,Chris Paddack
15,15,89.0,Jul 6,SDP,@,LAD,"W,3-1",GS-6,,6,5.2,3,0,0,1,6,0,0,2.84,21,96,71,16,9,6,8,7,0,0,68,,,0,0,0,20,1,0,0,0,0,0,1.18,0.340,2.94,22.35,35.0,1b start tie,6b --- 2 out tie,Chris Paddack
16,16,95.0,Jul 17,SDP,@,MIA,"W,3-2",GS-8,W(6-4),10,7.2,1,1,1,1,8,1,0,2.70,25,94,65,19,14,7,9,3,1,0,80,,,0,0,0,24,0,0,0,1,0,1,.82,0.359,2.87,34.05,56.0,1b start tie,8b --- 2 out a2,Chris Paddack
17,17,100.0,Jul 23,SDP,@,NYM,"L,2-5",GS-6,L(6-5),5,5.0,5,3,3,2,4,2,1,2.84,23,88,59,15,6,4,12,5,0,0,47,,,0,0,0,20,0,0,0,0,0,0,.79,-0.068,-0.95,8.45,18.0,1b start tie,6b 1-- 0 out d3,Chris Paddack
18,18,106.0,Jul 29,SDP,,BAL,"W,8-1",GS-6,W(7-5),5,5.1,3,1,1,2,5,0,0,2.78,23,93,59,17,10,7,9,4,2,0,61,,,0,0,0,21,0,0,0,0,0,2,.94,0.103,0.83,21.00,40.0,1t start tie,6t 1-3 1 out a4,Chris Paddack
19,19,111.0,Aug 4,SDP,@,LAD,"L,10-11",GS-5,,5,4.0,6,6,6,1,6,2,1,3.19,20,77,53,19,10,2,10,5,0,0,31,,,0,0,0,18,2,0,0,0,0,0,1.01,-0.473,-4.36,4.20,12.0,1b start tie,5b 1-- 0 out tie,Chris Paddack
20,20,116.0,Aug 10,SDP,,COL,"W,8-5",GS-6,,5,6.0,5,3,3,1,5,1,0,3.26,25,86,62,14,5,10,9,6,2,0,54,,,0,0,0,24,2,0,0,0,0,1,1.00,0.017,0.01,13.90,24.0,1t start tie,6t 3 out a2,Chris Paddack
21,21,121.0,Aug 16,SDP,@,PHI,"L,4-8",GS-5,L(7-6),5,4.2,9,5,4,1,6,2,0,3.44,24,93,67,7,14,7,10,4,3,0,33,,,0,0,0,23,2,0,0,0,0,0,.69,-0.196,-2.64,8.50,20.0,1b start tie,5b -2- 2 out d5,Chris Paddack
