Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,288,1,Mar 28,BOS,@,SEA,"L,4-12",GS-3,L(0-1),99,3.0,6,7,7,2,4.0,3,1,21.00,18,76,45,10,12,3,8,3,0,0,21,,,0,0,0,14,1,1,0,0,1,1,.84,-0.472,-5.46,-4.65,0.00,1b start a 1,3b 3 out d5,Chris Sale
2,289,6,Apr 2,BOS,@,OAK,"L,0-1",GS-6,L(0-2),4,6.0,3,1,1,2,1.0,1,1,8.00,24,87,60,20,5,10,10,3,2,0,61,,,0,0,0,21,0,0,0,0,0,0,.77,0.185,2.15,9.90,18.00,1b start tie,6b 3 out d1,Chris Sale
3,290,12,Apr 9,BOS,,TOR,"L,5-7",GS-4,L(0-3),6,4.0,7,5,5,0,3.0,0,0,9.00,19,76,54,13,10,10,6,3,0,0,31,,,1,0,0,17,0,0,0,0,1,0,1.16,-0.297,-2.68,0.80,6.00,1t start tie,4t 3 out d3,Chris Sale
4,291,18,Apr 16,BOS,@,NYY,"L,0-8",GS-5,L(0-4),6,5.0,7,4,4,1,6.0,1,0,8.50,23,93,64,15,12,7,9,5,0,0,42,,,1,0,0,22,2,0,0,0,0,0,.72,-0.159,-1.29,10.45,21.00,1b start tie,5b 3 out d4,Chris Sale
5,292,23,Apr 23(1),BOS,,DET,"L,4-7",GS-5,,6,5.0,5,2,2,2,10.0,1,0,7.43,22,97,72,23,13,2,8,4,0,0,57,,,1,0,0,20,2,0,0,0,0,0,1.13,0.072,0.90,23.05,39.00,1t start tie,5t 3 out tie,Chris Sale
6,293,28,Apr 28,BOS,,TBR,"L,2-5",GS-7,L(0-5),4,7.0,4,4,2,3,8.0,1,0,6.30,27,111,72,21,15,8,8,2,2,0,62,,,0,0,0,24,1,1,0,2,0,1,.59,-0.126,0.06,23.55,39.00,1t start tie,7t 3 out d3,Chris Sale
7,294,33,May 3,BOS,@,CHW,"W,6-1",GS-6,W(1-5),4,6.0,3,0,0,1,10.0,0,2,5.25,23,104,70,25,13,6,4,2,1,0,75,,,0,1,0,20,2,0,0,0,0,0,.89,0.273,3.22,33.90,60.00,1b start a 3,6b 3 out a6,Chris Sale
8,295,38,May 8,BOS,@,BAL,"W,2-1",GS-8,,4,8.0,3,1,1,0,14.0,0,2,4.50,29,108,80,20,23,4,9,4,3,0,86,,,2,0,0,27,1,0,0,0,0,0,1.31,0.418,3.38,41.00,63.00,1b start tie,8b 3 out tie,Chris Sale
9,296,42,May 14,BOS,,COL,"L,4-5",GS-7,,5,7.0,3,2,2,0,17.0,1,0,4.24,24,108,74,26,23,3,4,1,1,0,80,,,0,0,0,24,1,0,0,0,0,0,.89,0.222,2.06,43.95,66.00,1t start tie,7t 3 out a1,Chris Sale
10,297,46,May 19,BOS,,HOU,"W,4-3",GS-6,,4,5.1,4,3,3,5,10.0,1,1,4.31,26,106,63,17,18,1,9,2,1,0,53,,,1,0,0,20,3,0,0,0,0,0,1.19,-0.186,-1.18,20.00,37.00,1t start tie,6t 123 1 out tie,Chris Sale
11,298,51,May 24,BOS,@,HOU,"L,3-4",GS-6,L(1-6),4,6.0,3,4,2,2,5.0,1,0,4.19,26,89,56,15,7,5,14,4,3,0,57,,,0,0,0,23,0,0,0,0,1,2,.70,-0.124,-0.59,16.50,27.00,1b start tie,6b 3 out d3,Chris Sale
12,299,57,May 31,BOS,@,NYY,"L,1-4",GS-6,L(1-7),6,6.0,7,4,4,1,10.0,1,0,4.35,25,108,72,18,17,7,7,2,0,0,51,,,0,0,0,24,2,0,0,1,0,0,.87,-0.169,-0.75,20.70,36.00,1b start tie,6b 3 out d3,Chris Sale
13,300,61,Jun 5,BOS,@,KCR,"W,8-0",SHO,W(2-7),4,9.0,3,0,0,0,12.0,0,0,3.84,29,102,73,27,15,11,6,4,1,0,93,,,0,0,0,29,0,0,0,0,0,0,.45,0.277,5.02,51.45,75.00,1b start a 2,9b 3 out a8,Chris Sale
14,301,67,Jun 10,BOS,,TEX,"L,3-4",GS-7,,4,7.0,3,1,0,1,10.0,0,0,3.52,24,99,67,23,13,6,7,3,0,0,78,,,1,1,0,23,2,0,0,0,0,0,1.08,0.355,3.06,33.35,51.00,1t start tie,7t 3 out a1,Chris Sale
15,302,72,Jun 15,BOS,@,BAL,"W,7-2",GS-6,W(3-7),4,6.0,6,2,2,1,10.0,0,0,3.49,25,103,68,16,15,6,8,4,1,0,61,,,0,0,0,23,1,0,0,0,1,0,1.43,0.148,1.28,29.30,54.00,1b start tie,6b 3 out a1,Chris Sale
16,303,77,Jun 21,BOS,,TOR,"W,7-5",GS-5,,5,5.0,7,4,3,2,8.0,1,1,3.59,26,101,65,22,11,7,8,3,1,0,45,,,1,0,0,23,0,0,0,0,0,1,.85,-0.141,-1.10,15.25,30.00,1t start tie,5t 3 out d3,Chris Sale
17,304,82,Jun 26,BOS,,CHW,"L,7-8",GS-6,,4,6.0,6,5,5,1,10.0,1,2,3.82,27,102,71,18,18,9,5,3,0,0,49,,,0,0,0,23,1,0,0,0,0,0,.87,-0.169,-1.52,18.10,33.00,1t start tie,6t 3 out d2,Chris Sale
18,305,86,Jul 3,BOS,@,TOR,"L,3-6",GS-6,L(3-8),6,5.2,9,5,5,2,5.0,3,1,4.04,27,104,69,13,12,8,11,5,1,0,34,,,0,0,0,24,2,0,0,2,0,0,1.09,-0.299,-1.90,5.55,17.00,1b start tie,6b --- 2 out d2,Chris Sale
19,306,92,Jul 13,BOS,,LAD,"L,2-11",GS-5,L(3-9),9,4.2,7,5,5,1,7.0,1,1,4.27,22,92,57,12,14,6,7,6,0,0,36,,,0,0,0,20,2,0,0,1,0,0,.99,-0.248,-2.50,9.10,20.00,1t start tie,5t --3 2 out d4,Chris Sale
