Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,319,18,Apr 15,LAD,,CIN,"W,4-3",GS-7,,99,7.0,5,2,2,0,6.0,1,0,2.57,24,84,57,9,10,13,5,2,0,0,65,,,0,1,1,24,0,0,0,1,0,0,.96,0.213,1.56,20.75,33.00,1t start tie,7t 3 out tie,Clayton Kershaw
2,320,24,Apr 21,LAD,@,MIL,"W,6-5",GS-6,,5,6.0,2,2,2,4,7.0,1,0,2.77,24,92,59,14,14,6,7,3,0,0,63,,,0,0,0,20,0,1,0,0,0,0,.78,0.160,1.21,19.90,33.00,1b start a 2,6b 3 out a3,Clayton Kershaw
3,321,29,Apr 27,LAD,,PIT,"W,3-1",GS-7,W(1-0),5,7.0,4,1,1,0,8.0,0,0,2.25,25,101,67,14,13,10,7,5,0,0,73,,,0,0,0,24,1,0,0,0,0,0,.86,0.251,2.56,31.35,54.00,1t start tie,7t 3 out d1,Clayton Kershaw
4,322,34,May 3,LAD,@,SDP,"W,4-3",GS-6,,5,6.0,6,3,3,1,6.0,2,0,2.77,24,95,68,17,9,6,11,5,2,0,53,,,0,0,0,23,2,0,0,1,0,0,.60,-0.065,0.01,15.30,27.00,1b start tie,6b 3 out d1,Clayton Kershaw
5,323,39,May 8,LAD,,ATL,"W,9-4",GS-7,W(2-0),4,6.2,9,4,4,1,4.0,1,0,3.31,29,100,69,18,11,12,12,5,1,0,43,,,1,0,0,28,2,0,0,1,0,0,.90,0.062,0.05,13.00,32.00,1t start tie,7t 1-3 2 out a2,Clayton Kershaw
6,324,44,May 14,LAD,,SDP,"W,6-3",GS-7,W(3-0),5,7.0,5,3,3,1,5.0,2,0,3.40,25,98,64,17,14,10,9,2,4,0,59,,,0,0,0,24,1,0,0,2,0,0,.78,0.068,0.56,20.15,39.00,1t start tie,7t 3 out a3,Clayton Kershaw
7,325,49,May 21,LAD,@,TBR,"W,7-3",GS-7,W(4-0),6,6.1,6,2,2,1,8.0,0,0,3.33,26,97,65,13,15,12,5,4,0,0,60,,,0,0,0,25,2,0,0,0,0,0,.85,0.310,2.31,26.05,49.00,1b start a 1,7b -23 1 out a6,Clayton Kershaw
8,326,54,May 27,LAD,,NYM,"W,9-5",GS-6,W(5-0),5,6.0,10,3,3,1,5.0,1,0,3.46,26,95,59,11,7,10,10,3,2,0,44,,,0,0,0,25,3,0,0,1,0,0,1.14,-0.054,0.05,14.90,36.00,1t start tie,6t 3 out d1,Clayton Kershaw
9,327,59,Jun 1,LAD,,PHI,"W,4-3",GS-7,,4,7.0,6,1,0,0,6.0,0,0,3.05,27,95,65,13,13,8,13,9,0,0,69,,,0,0,0,27,1,1,0,1,0,1,1.29,0.334,2.56,24.15,39.00,1t start tie,7t 3 out a1,Clayton Kershaw
10,328,64,Jun 7,LAD,@,SFG,"L,1-2",GS-7,L(5-1),5,7.0,6,2,2,1,4.0,0,0,3.00,28,95,68,13,10,11,12,4,2,0,60,,,0,0,0,27,0,0,0,1,0,0,1.10,0.057,1.48,15.55,27.00,1b start tie,7b 3 out d2,Clayton Kershaw
11,329,69,Jun 13,LAD,,CHC,"W,7-3",GS-6,W(6-1),5,6.0,7,3,3,2,8.0,2,0,3.13,26,93,62,18,15,6,10,3,3,0,52,,,0,1,0,24,1,0,0,0,0,0,.95,-0.017,0.05,22.10,45.00,1t start tie,6t 3 out a3,Clayton Kershaw
