Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,193,76,Jun 21,ATL,@,WSN,"L,3-4",GS-5,L(0-1),99,5.0,8,4,3,0,3.0,1,2,5.40,26,99,64,15,6,10,11,6,0,0,40,,,0,0,0,23,1,2,0,0,0,1,1.35,-0.191,-1.19,5.25,15.00,1b start tie,5b 3 out d1,Dallas Keuchel
2,194,81,Jun 26,ATL,@,CHC,"W,5-3",GS-6,W(1-1),4,5.2,8,3,3,3,2.0,2,0,5.06,25,85,51,11,4,15,5,2,0,0,40,,,0,0,0,22,0,1,0,3,0,0,.79,0.059,0.00,8.15,26.00,1b start a 1,6b 1-- 2 out a2,Dallas Keuchel
3,195,86,Jul 2,ATL,,PHI,"L,0-2",GS-7,L(1-2),5,7.0,5,2,2,2,3.0,0,0,4.08,28,97,55,18,6,13,10,8,0,0,60,,,0,0,0,26,2,0,0,0,0,0,.92,0.110,1.89,13.55,24.00,1t start tie,7t 3 out d2,Dallas Keuchel
4,196,91,Jul 7,ATL,,MIA,"W,4-3",GS-8,W(2-2),4,7.1,5,2,2,1,4.0,0,0,3.60,28,108,71,15,14,14,9,2,3,0,63,,,0,0,0,27,1,0,0,0,0,0,.84,0.303,3.48,20.90,40.00,1t start tie,8t 12- 1 out a4,Dallas Keuchel
5,197,92,Jul 12,ATL,@,SDP,"W,5-3",GS-7,W(3-2),4,7.0,6,1,1,4,5.0,1,0,3.09,29,100,61,14,10,14,6,1,2,0,62,,,0,0,0,25,0,0,0,2,0,0,1.00,0.276,2.52,21.75,45.00,1b start a 3,7b 3 out a3,Dallas Keuchel
6,198,97,Jul 17,ATL,@,MIL,"L,4-5",GS-6,L(3-3),4,5.2,6,5,4,2,5.0,2,0,3.58,24,96,56,13,10,6,11,6,0,0,42,,,0,1,0,22,1,1,0,1,0,1,.61,-0.125,-2.04,9.95,20.00,1b start tie,6b 1-- 2 out d5,Dallas Keuchel
7,199,102,Jul 23,ATL,,KCR,"L,4-5",GS-6,,5,6.0,3,2,2,2,12.0,1,0,3.50,23,102,60,22,16,6,3,2,0,0,68,,,0,0,0,21,1,0,0,0,0,0,1.06,0.087,1.34,30.50,48.00,1t start tie,6t 3 out d1,Dallas Keuchel
8,200,107,Jul 29,ATL,@,WSN,"L,3-6",GS-6,L(3-4),5,5.1,6,4,4,4,4.0,0,1,3.86,27,108,61,22,5,11,7,6,0,0,40,,,0,0,0,21,1,0,0,0,0,0,1.01,-0.006,0.40,5.40,16.00,1b start tie,6b 12- 1 out tie,Dallas Keuchel
9,201,112,Aug 3,ATL,,CIN,"W,5-4",GS-7,,4,7.0,4,3,3,1,4.0,1,0,3.86,26,89,57,18,3,14,7,3,2,0,60,,,0,0,0,25,0,0,0,0,0,0,.95,0.057,0.89,14.75,24.00,1t start tie,7t 3 out tie,Dallas Keuchel
10,202,117,Aug 8,ATL,@,MIA,"L,2-9",GS-4,L(3-5),4,3.2,10,8,8,1,4.0,3,0,4.83,21,82,52,10,8,9,7,4,0,0,12,,,0,0,0,20,1,0,0,0,0,0,.53,-0.310,-6.12,-6.35,-1.00,1b start tie,4b --- 2 out d8,Dallas Keuchel
