Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,300,5,Apr 1,BOS,@,OAK,"L,0-7",GS-6,L(0-1),99,6.0,5,4,4,2,9.0,3,0,6.00,25,93,62,16,13,5,9,3,0,0,53,,,0,0,0,23,1,0,0,0,0,0,.60,-0.095,-0.85,19.30,33.00,1b start tie,6b 3 out d4,David Price
2,301,10,Apr 6,BOS,@,ARI,"L,4-5",GS-6,,4,6.0,7,4,4,1,4.0,0,0,6.00,24,83,57,16,7,7,12,8,1,0,45,,,0,0,0,23,2,0,0,1,0,0,.95,-0.104,-0.79,8.70,18.00,1b start tie,6b 3 out d1,David Price
3,302,16,Apr 14,BOS,,BAL,"W,4-0",GS-7,W(1-1),7,7.0,3,0,0,0,7.0,0,0,3.79,24,92,64,12,16,3,14,5,4,0,78,,,0,1,0,24,2,0,0,0,0,1,1.25,0.487,4.06,31.95,54.00,1t start tie,7t 3 out a1,David Price
4,303,22,Apr 21,BOS,@,TBR,"W,4-3",GS-5,,6,5.0,5,2,2,2,10.0,0,0,3.75,21,100,64,16,13,5,4,3,0,0,57,,,0,0,0,19,1,0,0,1,0,0,1.09,0.033,0.68,23.05,39.00,1b start tie,5b 3 out d1,David Price
5,304,27,Apr 27,BOS,,TBR,"L,1-2",GS-6,L(1-2),5,6.0,4,2,2,3,7.0,1,0,3.60,23,93,57,12,17,10,3,2,0,0,60,,,0,0,0,20,1,0,0,2,0,0,.98,0.094,1.48,19.30,33.00,1t start tie,6t 3 out d2,David Price
6,305,32,May 2,BOS,@,CHW,"L,4-6",GS-6,,4,6.0,7,3,3,2,5.0,1,0,3.75,25,97,64,17,11,7,11,5,3,0,49,,,0,0,0,23,2,0,0,1,0,0,1.45,0.003,0.22,12.10,24.00,1b start a 1,6b 3 out tie,David Price
7,306,47,May 20,BOS,@,TOR,"W,12-2",GS-5,W(2-2),17,5.0,3,2,0,0,4.0,1,0,3.29,19,67,48,16,5,8,7,4,0,0,61,,,0,0,0,19,0,0,0,0,0,1,.89,0.023,0.68,21.45,39.00,1b start a 2,5b 3 out a4,David Price
8,307,52,May 25,BOS,@,HOU,"L,3-4",GS-1,,4,0.2,1,0,0,0,1.0,0,0,3.24,3,15,9,2,3,1,1,0,0,0,51,,,0,0,0,3,0,0,0,0,0,0,.64,0.027,0.31,2.90,5.00,1b start tie,1b 1-- 2 out tie,David Price
9,308,55,May 28,BOS,,CLE,"L,5-7",GS-6,,2,6.0,3,0,0,1,6.0,0,0,2.83,21,96,63,21,4,8,6,4,1,0,71,,,1,0,0,20,0,0,0,1,0,0,1.12,0.378,3.48,23.10,36.00,1t start tie,6t 3 out tie,David Price
10,309,59,Jun 2,BOS,@,NYY,"W,8-5",GS-7,W(3-2),4,6.1,6,2,2,1,6.0,1,0,2.83,25,99,65,19,13,8,10,4,1,0,58,,,0,1,0,23,0,0,0,0,1,0,1.14,0.153,0.84,22.05,43.00,1b start a 1,7b 12- 1 out a4,David Price
11,310,65,Jun 8(2),BOS,,TBR,"W,5-1",GS-6,W(4-2),5,6.0,5,1,1,2,10.0,0,0,2.70,25,103,64,22,16,7,6,2,1,0,66,,,0,0,0,23,1,0,0,0,0,0,1.35,0.261,2.48,31.30,57.00,1t start tie,6t 3 out a2,David Price
12,311,70,Jun 13,BOS,,TEX,"W,7-6",GS-2,,4,1.1,5,6,6,1,2.0,0,2,3.52,12,49,27,6,5,4,3,1,0,0,21,,,0,0,0,9,2,0,0,0,0,0,1.02,-0.405,-5.58,-9.80,-8.00,1t start tie,2t -2- 1 out d5,David Price
13,312,75,Jun 18,BOS,@,MIN,"L,3-4",GS-5,,4,5.0,4,1,1,0,2.0,0,0,3.39,19,73,49,11,5,6,11,4,2,0,57,,,0,0,0,19,1,0,0,0,0,0,.91,0.166,1.76,10.85,18.00,1b start tie,5b 3 out tie,David Price
14,313,81,Jun 25,BOS,,CHW,"W,6-3",GS-6,W(5-2),6,6.0,8,3,2,0,9.0,0,0,3.36,26,97,72,21,17,7,10,8,0,0,55,,,0,0,0,26,2,0,0,0,0,1,1.16,0.061,0.48,26.70,51.00,1t start tie,6t 3 out a2,David Price
15,314,85,Jul 2,BOS,@,TOR,"W,10-6",GS-6,W(6-2),6,6.0,4,2,2,4,7.0,0,0,3.33,26,93,60,22,9,5,10,4,1,0,59,,,0,0,0,22,2,0,0,0,0,0,.65,0.091,1.22,22.70,45.00,1b start a 4,6b 3 out a5,David Price
16,315,90,Jul 7,BOS,@,DET,"W,6-3",GS-5,W(7-2),4,5.0,4,1,1,2,6.0,0,0,3.24,21,99,66,15,8,4,9,5,1,0,59,,,0,0,0,19,2,0,0,0,0,0,1.08,0.185,1.82,21.65,42.00,1b start tie,5b 3 out a4,David Price
17,316,93,Jul 14,BOS,,LAD,"L,4-7",GS-5,,6,5.0,4,4,1,3,7.0,1,1,3.16,24,113,75,16,15,6,7,3,2,0,53,,,0,0,0,20,1,0,0,0,0,1,1.00,-0.119,-1.10,18.45,33.00,1t start tie,5t 3 out d2,David Price
18,317,98,Jul 19,BOS,@,BAL,"L,2-11",GS-4,L(7-3),4,4.0,8,6,6,1,4.0,2,0,3.61,21,88,58,12,11,9,7,2,0,0,25,,,0,0,0,20,0,1,0,0,0,0,.72,-0.343,-3.81,-0.40,6.00,1b start tie,4b 3 out d4,David Price
19,318,103,Jul 24,BOS,@,TBR,"L,2-3",GS-6,L(7-4),4,6.0,4,3,3,2,8.0,1,0,3.66,23,98,63,25,4,5,8,4,2,0,58,,,1,0,0,21,1,0,0,1,0,0,1.05,-0.072,0.22,19.90,33.00,1b start tie,6b 3 out d1,David Price
20,319,108,Jul 30,BOS,,TBR,"L,5-6",GS-5,,5,4.1,9,4,4,2,9.0,2,0,3.86,24,94,61,15,11,4,9,6,0,0,36,,,0,0,0,22,2,1,0,0,0,1,1.34,-0.215,-1.59,13.15,28.00,1t start tie,5t -23 1 out tie,David Price
21,320,114,Aug 4,BOS,@,NYY,"L,4-7",GS-3,L(7-5),4,2.2,9,7,7,2,3.0,2,0,4.36,19,75,46,4,7,3,11,7,0,0,13,,,0,0,0,17,4,0,0,0,0,0,.62,-0.310,-5.84,-8.60,-4.00,1b start tie,3b 12- 2 out d7,David Price
22,321,137,Sep 1,BOS,@,LAA,"W,4-3",GS-2,,27,2.0,1,0,0,1,2.0,0,0,4.28,8,45,26,10,1,1,4,1,0,0,55,,,1,0,0,7,1,0,0,0,0,0,.92,0.108,1.08,7.30,12.00,1b start a 1,2b 3 out a1,David Price
