Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,22,87,Jul 4,SDP,@,LAD,"L,1-5",GS-5,L(0-1),99,5.0,3,3,3,2,7.0,1,1,5.40,21,80,48,17,8,2,9,4,2,0,54,,,0,0,0,17,1,0,0,0,1,0,.90,-0.076,-0.46,15.65,27.00,1b start tie,5b 3 out d3,Dinelson Lamet
2,23,91,Jul 12,SDP,,ATL,"L,3-5",GS-5,L(0-2),7,5.0,5,4,4,2,7.0,2,0,6.30,22,82,50,10,14,6,7,1,0,0,46,,,0,0,0,20,1,0,0,0,0,0,.65,-0.190,-1.49,13.05,24.00,1t start tie,5t 3 out d4,Dinelson Lamet
3,24,96,Jul 18,SDP,@,MIA,"L,3-4",GS-4,,5,4.0,6,3,1,2,5.0,1,0,5.14,21,85,55,17,10,6,8,3,1,0,45,,,0,0,0,19,1,0,0,0,0,1,1.14,-0.150,-1.01,12.20,24.00,1b start tie,4b 3 out d2,Dinelson Lamet
4,25,101,Jul 24,SDP,@,NYM,"W,7-2",GS-4,,5,4.0,4,2,2,1,6.0,0,0,5.00,17,80,53,10,15,4,6,3,2,0,51,,,0,0,0,16,2,0,0,0,0,0,1.12,0.013,-0.05,14.00,24.00,1b start tie,4b 3 out a2,Dinelson Lamet
5,26,107,Jul 30,SDP,,BAL,"L,5-8",GS-5,,5,5.0,5,3,3,2,5.0,0,0,5.09,22,88,61,17,11,5,10,7,3,0,48,,,0,0,0,20,2,0,0,0,0,0,1.20,0.012,-0.49,11.05,21.00,1t start tie,5t 3 out a1,Dinelson Lamet
6,27,112,Aug 6,SDP,@,SEA,"W,9-4",GS-7,W(1-2),6,7.0,2,0,0,4,12.0,0,0,3.90,26,104,64,26,15,4,6,3,1,0,81,,,1,0,0,22,1,0,0,1,0,0,.89,0.290,3.59,40.15,69.00,1b start tie,7b 3 out a5,Dinelson Lamet
7,28,117,Aug 11,SDP,,COL,"L,3-8",GS-6,,4,5.0,3,2,2,3,7.0,1,1,3.86,22,85,57,18,11,4,7,4,1,0,57,,,1,0,0,17,1,0,0,0,0,0,1.16,-0.010,0.51,17.05,30.00,1t start tie,6t --- 0 out tie,Dinelson Lamet
8,29,122,Aug 17,SDP,@,PHI,"W,5-3",GS-6,W(2-2),5,6.0,6,3,3,1,6.0,1,0,3.95,25,92,62,12,16,5,13,5,0,0,53,,,0,0,0,24,3,0,0,0,0,0,1.03,0.058,0.24,19.30,39.00,1b start tie,6b 3 out a2,Dinelson Lamet
9,30,128,Aug 24,SDP,,BOS,"L,4-5",GS-5,,6,5.0,6,4,4,3,5.0,0,1,4.30,23,88,48,15,8,6,8,6,1,0,41,,,0,1,0,19,1,0,0,1,0,0,1.11,-0.148,-1.49,7.25,18.00,1t start tie,5t 3 out d1,Dinelson Lamet
10,31,134,Aug 30,SDP,@,SFG,"L,3-8",GS-5,L(2-3),5,5.0,3,3,2,2,10.0,2,1,4.24,22,95,63,17,15,3,6,2,1,0,59,,,0,0,0,19,0,0,0,0,0,1,.59,-0.112,-0.52,23.65,39.00,1b start tie,5b 3 out d2,Dinelson Lamet
11,32,140,Sep 6,SDP,,COL,"L,2-3",GS-6,L(2-4),6,6.0,6,3,1,1,4.0,0,0,3.95,25,94,64,13,8,11,9,3,1,0,55,,,1,0,0,23,0,0,0,0,0,0,.98,-0.014,0.01,15.30,27.00,1t start tie,6t 3 out d1,Dinelson Lamet
12,33,146,Sep 12,SDP,,CHC,"L,1-4",GS-5,L(2-5),5,5.0,4,3,3,2,7.0,0,0,4.06,20,74,49,7,14,3,8,4,1,0,52,,,2,0,0,17,0,0,0,1,1,0,1.04,-0.097,-0.49,15.65,27.00,1t start tie,5t 3 out d3,Dinelson Lamet
13,34,152,Sep 18,SDP,@,MIL,"W,2-1",GS-6,W(3-5),5,6.0,3,1,1,3,14.0,1,0,3.84,24,98,64,21,18,3,4,2,1,0,73,,,0,0,0,21,0,0,0,0,0,0,1.16,0.247,2.21,39.90,69.00,1b start tie,6b 3 out a1,Dinelson Lamet
14,35,158,Sep 25,SDP,,LAD,"L,4-6",GS-5,,6,5.0,6,4,4,2,10.0,3,1,4.07,23,88,56,18,11,4,6,1,0,0,47,,,0,1,0,20,1,0,0,0,0,0,1.01,-0.177,-1.49,17.85,33.00,1t start tie,5t 3 out d1,Dinelson Lamet
