Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,29,4,Apr 1,NYY,,DET,"W,3-1",GS-5,W(1-0),99,5.0,1,1,0,5,7.0,0,0,0.00,21,79,44,10,16,2,7,2,1,0,65,,,0,0,0,16,0,0,0,0,0,0,1.10,0.192,1.71,25.65,48.00,1t start tie,5t 3 out a1,Domingo German
2,30,9,Apr 7,NYY,@,BAL,"W,15-3",GS-7,W(2-0),5,6.0,2,2,2,2,3.0,0,0,1.64,22,89,60,14,7,9,8,3,1,0,61,,,0,0,0,20,0,0,0,0,0,0,.57,0.254,2.27,17.10,33.00,1b start tie,7b 12- 0 out a9,Domingo German
3,31,14,Apr 13,NYY,,CHW,"W,4-0",6-7,W(3-0),5,2.0,0,0,0,0,4.0,0,0,1.38,7,25,19,6,5,2,1,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,1,1.14,0.169,1.08,16.50,30.00,6t --- 0 out tie,7t 3 out tie,Domingo German
4,32,18,Apr 18,NYY,,KCR,"L,1-6",GS-6,L(3-1),4,6.0,6,3,3,0,9.0,2,0,2.37,24,88,62,15,18,5,10,4,0,0,57,,,0,0,0,24,2,0,0,0,0,0,.70,-0.028,0.25,21.90,36.00,1t start tie,6t 3 out d2,Domingo German
5,33,23,Apr 23,NYY,@,LAA,"W,7-5",GS-7,W(4-1),4,6.2,4,1,0,1,5.0,0,0,1.75,25,99,65,20,8,8,11,4,3,0,68,,,0,0,0,24,2,0,0,1,0,1,.99,0.286,2.45,26.00,47.00,1b start a 1,7b -2- 2 out a5,Domingo German
6,34,28,Apr 28,NYY,@,SFG,"W,11-5",GS-6,W(5-1),4,6.0,5,4,4,1,4.0,0,0,2.56,25,87,63,20,8,10,10,4,4,0,49,,,0,0,0,24,1,0,0,0,0,1,.38,0.097,-1.02,13.90,30.00,1b start a 2,6b 3 out a4,Domingo German
7,35,33,May 5,NYY,,MIN,"W,4-1",GS-7,W(6-1),6,6.2,4,1,1,3,7.0,0,0,2.35,27,108,69,21,10,4,13,6,4,0,66,,,0,0,0,24,1,0,0,0,0,0,.88,0.223,2.33,26.80,50.00,1t start tie,7t 12- 2 out a3,Domingo German
8,36,38,May 10,NYY,@,TBR,"W,4-3",GS-5,W(7-1),4,5.0,5,3,3,2,5.0,2,0,2.70,22,84,54,15,12,5,10,6,0,0,48,,,0,0,0,20,2,0,0,0,0,0,1.19,-0.133,-0.32,15.05,33.00,1b start a 2,5b 3 out d1,Domingo German
9,37,42,May 15(2),NYY,,BAL,"W,3-1",GS-7,W(8-1),4,7.0,6,1,1,1,8.0,0,0,2.50,27,85,64,18,14,4,14,9,2,0,68,,,0,1,0,25,1,0,0,0,1,0,1.65,0.364,2.79,29.55,54.00,1t start tie,7t 3 out a1,Domingo German
10,38,47,May 21,NYY,@,BAL,"W,11-4",GS-5,W(9-1),5,5.0,5,3,2,1,5.0,1,1,2.60,23,93,62,10,14,10,6,4,1,0,51,,,0,0,0,21,0,0,0,0,0,1,.52,0.123,-0.27,17.05,36.00,1b start a 3,5b 3 out a6,Domingo German
