Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,157,4,Apr 1,TEX,,HOU,"L,1-2",GS-3,,99,3.0,4,1,1,2,2.0,1,0,3.00,15,73,46,15,4,1,10,3,2,0,47,,,0,0,0,13,1,0,0,0,0,0,.99,0.068,0.84,5.15,12.00,1t start tie,3t 3 out d1,Drew Smyly
2,158,9,Apr 6,TEX,@,LAA,"L,1-5",GS-4,L(0-1),4,3.1,6,4,4,3,4.0,1,1,7.11,20,90,56,19,6,5,7,4,1,0,33,,,1,0,0,16,0,0,0,0,0,1,1.64,-0.180,-2.12,1.50,10.00,1b start tie,4b --- 1 out d4,Drew Smyly
3,159,13,Apr 12,TEX,,OAK,"L,6-8",GS-6,,5,5.0,4,4,4,2,5.0,0,0,7.15,20,93,54,18,11,4,9,4,0,0,46,,,0,1,1,18,1,0,0,0,0,0,.82,0.102,0.22,9.65,18.00,1t start tie,6t 123 0 out a5,Drew Smyly
4,160,18,Apr 19,TEX,,HOU,"L,2-7",GS-4,L(0-2),6,3.2,5,4,4,3,8.0,2,0,7.80,20,102,60,18,15,3,6,3,0,0,40,,,1,0,0,17,1,0,0,0,0,1,.64,-0.196,-1.82,11.45,23.00,1t start tie,4t 1-- 2 out d4,Drew Smyly
5,161,32,May 5,TEX,,TOR,"W,10-2",GS-4,,15,4.0,2,1,1,2,5.0,1,0,6.63,15,68,41,13,10,3,5,2,1,0,57,,,0,0,0,13,1,0,0,1,0,0,.71,0.118,1.45,14.60,24.00,1t start tie,4t 3 out a5,Drew Smyly
6,162,37,May 11,TEX,@,HOU,"L,4-11",2-6,L(0-3),5,4.2,4,5,4,4,3.0,1,0,6.85,23,96,54,14,8,3,13,5,3,0,,0,0,0,0,0,19,1,0,0,0,0,0,1.09,-0.036,0.03,3.70,11.00,2b --- 0 out a1,6b 123 2 out d1,Drew Smyly
7,163,44,May 19,TEX,,STL,"W,5-4",GS-4,,7,4.0,3,2,2,4,4.0,0,0,6.51,19,93,56,17,5,4,7,2,2,0,48,,,2,0,0,15,2,0,0,0,0,0,.92,0.038,0.45,8.80,18.00,1t start tie,4t 3 out d1,Drew Smyly
8,164,48,May 24,TEX,@,LAA,"W,4-3",GS-6,W(1-3),4,6.0,5,3,3,4,4.0,2,0,6.15,27,93,59,23,6,7,12,5,0,0,50,,,0,0,0,23,1,0,0,0,0,0,.77,-0.047,0.25,14.10,33.00,1b start a 1,6b 3 out d1,Drew Smyly
9,165,53,May 29,TEX,@,SEA,"W,8-7",2-6,,4,5.0,8,7,7,3,4.0,2,0,6.98,26,91,52,17,5,3,16,4,2,0,,0,0,1,0,0,23,2,1,0,0,0,0,1.30,-0.686,-4.43,-1.35,6.00,2b --- 0 out a3,6b 3 out d2,Drew Smyly
10,166,58,Jun 4,TEX,,BAL,"L,11-12",GS-4,L(1-4),5,3.1,8,7,7,2,2.0,3,0,7.93,19,84,51,11,7,6,9,2,1,0,16,,,2,1,1,16,0,0,0,0,1,0,.76,-0.345,-4.17,-8.50,-5.00,1t start tie,4t 1-- 1 out d4,Drew Smyly
