Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,1,82,Jul 3(1),CHW,,DET,"W,7-5",GS-5,W(1-0),99,5.0,4,3,3,4,6.0,1,1,5.40,24,101,61,19,12,4,9,1,1,0,49,,,0,0,0,19,0,0,0,0,0,0,1.10,-0.018,-0.32,15.85,36.00,1t start tie,5t 3 out a1,Dylan Cease
2,2,91,Jul 16,CHW,@,KCR,"L,0-11",GS-6,L(1-1),12,6.0,8,6,4,1,7.0,1,0,5.73,27,108,67,20,12,9,10,7,0,0,42,,,1,0,0,26,1,1,0,0,0,0,.52,-0.252,-2.65,14.10,27.00,1b start tie,6b 3 out d6,Dylan Cease
3,3,96,Jul 21,CHW,@,TBR,"L,2-4",GS-5,L(1-2),4,5.0,3,4,4,4,4.0,1,0,6.19,21,99,61,20,7,8,5,1,0,0,45,,,0,0,0,17,1,0,0,1,0,0,.66,-0.201,-1.32,7.05,15.00,1b start tie,5b 3 out d4,Dylan Cease
4,4,101,Jul 26,CHW,,MIN,"L,2-6",GS-5,L(1-3),4,5.0,7,5,5,3,4.0,1,0,6.86,25,98,56,18,6,10,8,3,0,0,34,,,0,0,0,21,1,0,0,1,1,1,.78,-0.242,-2.32,3.25,12.00,1t start tie,5t 3 out d3,Dylan Cease
5,5,106,Aug 1,CHW,,NYM,"L,0-4",GS-7,L(1-4),5,7.0,7,4,4,2,6.0,1,0,6.43,27,104,62,14,11,9,10,6,1,0,51,,,0,0,0,25,1,0,0,2,0,0,.90,-0.074,-0.25,14.35,27.00,1t start tie,7t 3 out d4,Dylan Cease
6,6,111,Aug 6(1),CHW,@,DET,"W,5-3",GS-5,W(2-4),4,5.0,7,2,2,1,6.0,1,0,6.00,24,101,65,16,15,6,11,6,1,0,50,,,0,0,0,23,1,1,0,0,0,1,1.23,0.082,0.82,18.45,39.00,1b start a 1,5b 3 out a1,Dylan Cease
7,7,117,Aug 13(1),CHW,,HOU,"L,2-6",GS-7,L(2-5),6,6.0,5,4,2,5,2.0,2,0,5.54,27,98,56,7,5,11,9,3,3,0,47,,,0,0,0,22,1,0,1,1,0,0,1.04,-0.097,-0.18,7.50,18.00,1t start tie,7t 1-- 0 out d1,Dylan Cease
8,8,123,Aug 18,CHW,@,LAA,"L,2-9",GS-6,L(2-6),4,5.0,7,5,5,1,6.0,2,1,5.93,24,95,57,14,11,4,12,7,2,0,38,,,0,0,0,22,4,0,0,0,0,0,.66,-0.206,-1.92,7.85,18.00,1b start tie,6b -2- 0 out d3,Dylan Cease
9,9,128,Aug 23,CHW,,TEX,"W,8-3",GS-6,W(3-6),4,6.0,4,3,3,1,9.0,1,0,5.76,23,95,56,19,12,6,7,3,0,0,60,,,0,0,0,22,0,0,0,0,0,0,1.06,0.039,0.22,26.50,48.00,1t start tie,6t 3 out a2,Dylan Cease
10,10,133,Aug 29,CHW,,MIN,"L,5-10",GS-3,L(3-7),5,2.0,10,8,8,1,3.0,2,0,6.92,16,61,40,6,9,6,6,4,0,0,6,,,0,0,0,15,0,0,0,1,0,0,.83,-0.409,-6.93,-12.10,-9.00,1t start tie,3t --- 0 out d8,Dylan Cease
11,11,138,Sep 3,CHW,@,CLE,"W,6-5",GS-7,,4,6.2,4,4,4,2,11.0,1,0,6.75,25,106,64,21,12,6,6,3,2,0,59,,,0,0,0,23,1,0,0,0,0,0,.87,0.123,1.55,25.40,41.00,1b start tie,7b 12- 2 out tie,Dylan Cease
12,12,143,Sep 8,CHW,,LAA,"W,5-1",GS-4,,4,3.1,4,1,1,5,4.0,0,0,6.53,18,88,46,11,11,3,6,3,2,0,47,,,0,0,0,13,0,0,0,1,0,0,1.41,0.057,0.59,8.10,19.00,1t start tie,4t 1-- 1 out a1,Dylan Cease
13,13,148,Sep 14,CHW,@,SEA,"L,1-2",GS-5,,5,5.0,3,1,1,3,5.0,1,0,6.18,21,106,62,12,14,6,7,2,0,0,59,,,0,0,0,18,0,0,0,0,0,0,1.09,0.123,1.57,15.65,27.00,1b start tie,5b 3 out d1,Dylan Cease
14,14,153,Sep 20,CHW,@,DET,"W,10-1",GS-6,W(4-7),5,6.0,5,1,1,2,8.0,0,0,5.79,24,104,68,18,14,7,7,5,1,0,64,,,0,0,0,22,2,0,0,1,0,0,.78,0.112,2.38,27.30,51.00,1b start tie,6b 3 out a8,Dylan Cease
