Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,15,26,Apr 28,WSN,,SDP,"W,7-6",4-7,,99,4.0,2,0,0,1,3.0,0,0,0.00,13,49,34,14,7,7,2,1,0,0,,0,0,1,0,0,12,0,0,0,2,0,0,1.02,0.273,2.25,13.20,21.00,4t --- 0 out d2,7t 3 out tie,Erick Fedde
2,16,36,May 8,WSN,@,MIL,"L,3-7",6-6,,9,1.0,1,0,0,2,1.0,0,0,0.00,6,26,12,1,3,2,1,0,0,0,,0,0,0,0,0,4,1,0,0,0,0,0,.09,0.003,0.54,2.45,6.00,6b --- 0 out d6,6b 3 out d6,Erick Fedde
3,17,38,May 10,WSN,@,LAD,"L,0-5",8-GF(8),,1,1.0,0,0,0,1,0.0,0,0,0.00,4,18,11,3,0,2,1,0,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.02,0.001,0.51,1.65,3.00,8b --- 0 out d5,8b end d 5,Erick Fedde
4,18,41,May 14,WSN,,NYM,"L,2-6",7-8,,3,2.0,0,0,0,0,1.0,0,0,0.00,6,27,18,7,2,3,2,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.28,0.044,1.12,6.50,9.00,7t --- 0 out d3,8t 3 out d3,Erick Fedde
5,19,43,May 16,WSN,,NYM,"W,7-6",2-4,,1,2.2,4,4,4,0,2.0,1,0,3.38,12,44,28,7,3,4,6,3,1,0,,2,0,0,0,0,12,1,0,0,0,0,0,1.09,-0.158,-1.90,-0.40,2.00,2t 12- 1 out a4,4t 3 out tie,Erick Fedde
6,20,48,May 21,WSN,@,NYM,"L,5-6",GS-5,,4,5.0,4,1,1,1,1.0,0,2,2.87,20,61,36,9,3,10,6,3,1,0,55,,,0,0,0,17,1,0,0,2,0,0,1.38,0.133,1.43,7.05,15.00,1b start tie,5b 3 out tie,Erick Fedde
7,21,53,May 26,WSN,,MIA,"W,9-6",GS-5,W(1-0),4,5.0,4,0,0,3,4.0,0,0,2.18,21,83,51,13,9,5,9,4,0,0,60,,,0,1,0,17,1,0,1,0,0,0,.92,0.219,2.81,19.05,39.00,1t start tie,5t 3 out a5,Erick Fedde
8,22,58,Jun 1,WSN,@,CIN,"W,5-2",GS-5,,5,4.0,6,2,2,3,3.0,1,0,2.55,21,85,47,14,6,9,6,2,0,0,42,,,0,0,0,17,1,0,0,2,0,1,1.38,-0.007,-0.22,5.60,15.00,1b start tie,5b 1-- 0 out a2,Erick Fedde
9,23,63,Jun 7,WSN,@,SDP,"L,4-5",GS-6,,5,6.0,5,3,3,0,5.0,1,0,2.93,22,90,57,22,7,8,9,4,0,0,55,,,1,0,0,22,0,0,0,1,0,0,.77,-0.027,0.01,14.50,24.00,1b start tie,6b 3 out d3,Erick Fedde
10,24,68,Jun 13,WSN,,ARI,"L,0-5",GS-6,L(1-1),5,6.0,6,5,5,3,1.0,2,0,3.68,26,81,49,10,6,12,10,3,1,0,38,,,0,0,0,23,2,0,0,1,0,0,.70,-0.215,-1.63,0.10,6.00,1t start tie,6t 3 out d5,Erick Fedde
11,25,74,Jun 20,WSN,,PHI,"W,7-4",GS-4,,6,3.2,5,2,2,5,1.0,0,0,3.79,20,84,43,13,4,9,5,3,1,0,39,,,1,0,0,15,0,0,0,0,0,0,1.08,0.040,0.43,0.25,8.00,1t start tie,4t 123 2 out a2,Erick Fedde
12,26,94,Jul 17,WSN,@,BAL,"L,2-9",GS-6,,26,6.0,5,1,1,0,2.0,1,0,3.50,19,66,40,13,5,10,7,4,0,0,60,,,0,1,0,19,0,0,0,2,0,0,1.01,0.267,2.28,12.50,21.00,1b start tie,6b 3 out a1,Erick Fedde
13,27,100,Jul 24(1),WSN,,COL,"W,3-2",GS-4,,6,4.0,3,1,1,2,2.0,0,0,3.40,17,79,47,11,5,5,8,6,0,0,52,,,1,0,0,14,2,0,0,0,1,0,1.00,0.100,1.25,8.00,15.00,1t start tie,4t 3 out d1,Erick Fedde
14,28,107,Jul 30,WSN,,ATL,"L,8-11",GS-4,L(1-2),5,3.2,9,9,9,4,4.0,2,0,4.67,24,93,55,16,8,9,7,4,0,0,7,,,2,1,0,19,2,1,1,0,0,1,.82,-0.344,-6.87,-9.55,-4.00,1t start tie,4t --- 2 out d9,Erick Fedde
15,29,112,Aug 5,WSN,@,SFG,"W,4-0",GS-6,W(2-2),5,6.0,6,0,0,0,2.0,0,0,4.20,23,75,47,12,3,9,12,7,2,0,62,,,0,0,0,23,1,0,0,0,0,0,.91,0.330,2.98,17.90,36.00,1b start tie,6b 3 out a3,Erick Fedde
16,30,118,Aug 12,WSN,,CIN,"W,7-6",GS-6,W(3-2),6,6.0,6,2,2,2,4.0,1,0,4.09,24,102,61,14,11,11,7,3,0,0,54,,,0,0,0,22,1,0,0,1,0,0,.96,0.119,1.37,16.70,36.00,1t start tie,6t 3 out a4,Erick Fedde
17,31,123,Aug 18,WSN,,MIL,"W,16-8",GS-5,W(4-2),5,5.0,10,4,4,2,2.0,2,0,4.31,27,102,59,17,4,10,13,9,1,0,31,,,0,0,0,24,2,0,0,0,0,0,.48,0.111,-1.19,4.05,21.00,1t start tie,5t 3 out a9,Erick Fedde
18,32,136,Sep 2,WSN,,NYM,"L,3-7",7-8,,14,2.0,0,0,0,2,2.0,0,0,4.19,8,35,19,1,4,2,2,2,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.03,0.004,1.12,7.30,12.00,7t --- 0 out d7,8t 3 out d7,Erick Fedde
19,33,147,Sep 14,WSN,,ATL,"L,1-10",8-GF,,11,2.0,5,5,5,1,1.0,0,0,4.68,12,50,31,8,3,2,8,6,0,0,,0,0,0,0,0,10,1,0,0,0,1,0,.03,-0.031,-3.88,-7.10,-6.00,8t --- 0 out d4,9t end d 9,Erick Fedde
20,34,156,Sep 24(1),WSN,,PHI,"W,4-1",5-5,,9,1.0,0,0,0,0,0.0,0,0,4.62,3,13,9,3,0,0,3,2,1,0,,0,0,0,0,0,3,0,0,0,0,0,0,.88,0.070,0.56,2.25,3.00,5t --- 0 out tie,5t 3 out tie,Erick Fedde
21,35,162,Sep 29,WSN,,CLE,"W,8-2",8-GF,,4,2.0,0,0,0,1,0.0,0,0,4.50,6,24,12,1,0,4,1,0,1,0,,0,0,0,0,0,5,0,0,0,1,0,0,.15,0.018,1.12,3.90,6.00,8t --- 0 out a5,9t end a 6,Erick Fedde
