Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,160,2.0,Mar 29,HOU,@,TBR,"L,2-4",GS-6,L(0-1),99,6.0,5,4,1,0,10,1,0,1.50,25,101,71,14,16,4,11,5,0,0,62,,,1,0,0,25,0,0,0,0,0,2,1.00,-0.158,-0.79,28.50,45.0,1b start tie,6b 3 out d2,Gerit Cole
2,161,7.0,Apr 3,HOU,@,TEX,"L,0-4",GS-6,L(0-2),4,6.0,4,3,3,3,9,0,0,3.00,25,105,70,20,19,6,7,5,1,0,58,,,2,0,0,22,1,0,0,0,0,0,.68,-0.024,0.68,21.30,36.0,1b start tie,6b 3 out d3,Gerit Cole
3,162,12.0,Apr 9,HOU,,NYY,"W,6-3",GS-7,,5,7.0,4,3,3,3,6,1,0,3.32,27,99,64,13,13,9,9,5,0,0,60,,,0,0,0,24,1,0,0,1,0,0,1.18,0.027,0.98,17.55,30.0,1t start tie,7t 3 out d1,Gerit Cole
4,163,16.0,Apr 14,HOU,@,SEA,"W,3-2",GS-6,W(1-2),4,6.0,4,2,2,0,11,1,0,3.24,21,101,64,17,18,2,8,1,1,0,67,,,0,1,0,21,2,0,0,0,0,0,.68,0.073,1.08,33.10,57.0,1b start tie,6b 3 out tie,Gerit Cole
5,164,20.0,Apr 20,HOU,@,TEX,"L,4-9",GS-5,L(1-3),5,4.1,9,9,8,3,8,1,0,5.22,25,104,68,18,16,6,8,5,1,0,16,,,1,1,0,22,3,0,0,0,0,1,.59,-0.347,-4.96,2.55,13.0,1b start tie,5b 12- 1 out d5,Gerit Cole
6,165,25.0,Apr 25,HOU,,CLE,"L,1-2",GS-7,L(1-4),4,7.0,3,2,2,3,10,2,0,4.71,26,103,63,12,20,7,6,3,0,0,70,,,1,0,0,23,0,0,0,1,0,0,.83,0.167,1.98,28.15,45.0,1t start tie,7t 3 out d1,Gerit Cole
7,166,30.0,Apr 30,HOU,@,MIN,"W,11-0",GS-7,W(2-4),4,7.0,1,0,0,3,11,0,0,3.95,24,104,71,18,16,3,7,1,1,0,83,,,0,0,0,21,1,0,0,1,0,0,.66,0.309,3.87,39.35,66.0,1b start tie,7b 3 out a7,Gerit Cole
8,167,35.0,May 6,HOU,,KCR,"W,6-4",GS-7,W(3-4),5,6.1,7,4,4,0,9,2,0,4.17,26,107,77,21,18,6,11,5,1,0,52,,,1,0,0,26,0,0,0,0,0,0,1.08,-0.052,-0.32,24.05,46.0,1t start tie,7t --- 1 out a1,Gerit Cole
9,168,40.0,May 11,HOU,,TEX,"W,11-4",GS-6,W(4-4),4,6.0,4,1,1,0,12,1,0,3.88,22,97,68,11,16,4,6,2,1,0,72,,,0,0,0,22,0,0,0,0,0,0,1.18,0.263,2.42,37.10,63.0,1t start tie,6t 3 out a1,Gerit Cole
10,169,45.0,May 17,HOU,@,BOS,"W,3-1",GS-5,,5,5.0,6,0,0,1,7,0,0,3.56,22,99,62,12,13,6,8,6,0,0,61,,,1,0,0,21,3,0,0,0,0,0,1.19,0.298,2.90,21.05,36.0,1b start tie,5b 3 out tie,Gerit Cole
11,170,50.0,May 22,HOU,,CHW,"L,4-9",GS-6,L(4-5),4,5.0,7,6,6,1,7,2,0,4.11,22,92,62,13,12,6,8,5,0,0,35,,,0,0,0,21,1,0,0,0,0,0,.99,-0.374,-2.66,8.45,18.0,1t start tie,6t -23 0 out d1,Gerit Cole
12,171,55.0,May 27,HOU,,CHC,"W,6-5",GS-6,W(5-5),4,6.0,3,2,2,1,12,1,0,4.02,22,99,69,18,25,5,4,1,1,0,69,,,0,0,0,21,0,0,0,0,0,0,.70,0.075,1.42,35.10,60.0,1t start tie,6t 3 out a4,Gerit Cole
13,172,60.0,Jun 2,HOU,@,OAK,"W,6-4",GS-6,,5,6.0,4,2,2,2,4,2,0,3.94,23,104,67,11,8,8,9,1,3,0,58,,,0,1,0,21,1,0,0,0,0,0,1.09,0.146,1.15,13.90,24.0,1b start a 1,6b 3 out a1,Gerit Cole
14,173,65.0,Jun 7,HOU,,BAL,"W,4-3",GS-7,,4,7.0,4,3,1,0,14,1,1,3.72,27,113,80,16,27,8,4,1,1,0,75,,,0,0,0,26,1,0,0,0,0,1,.85,0.099,0.98,38.75,60.0,1t start tie,7t 3 out tie,Gerit Cole
15,174,70.0,Jun 14,HOU,,TOR,"W,15-2",GS-6,W(6-5),6,6.0,3,2,2,2,10,0,1,3.67,24,100,64,17,13,0,11,6,2,0,66,,,0,0,0,21,1,0,0,0,0,0,.53,0.131,1.42,29.90,54.0,1t start tie,6t 3 out a8,Gerit Cole
16,175,75.0,Jun 19,HOU,@,CIN,"L,2-3",GS-6,,4,6.0,6,1,1,3,8,1,0,3.54,26,94,64,18,13,7,8,5,1,0,61,,,0,0,0,23,0,0,0,1,0,0,1.03,0.233,2.27,22.10,39.0,1b start tie,6b 3 out a1,Gerit Cole
17,176,80.0,Jun 25,HOU,,PIT,"W,5-1",GS-6,W(7-5),5,6.0,7,1,1,2,3,0,0,3.42,26,104,69,14,15,9,12,8,1,0,55,,,0,1,0,23,2,0,0,0,0,0,1.36,0.258,2.42,16.10,36.0,1t start tie,6t 3 out a1,Gerit Cole
