Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,69,2,Mar 29,COL,@,MIA,"W,6-1",GS-6,W(1-0),99,6.0,2,1,1,3,7.0,1,1,1.50,22,93,59,15,14,9,2,1,0,0,68,,,0,2,0,18,0,0,0,0,0,0,1.15,0.194,1.98,25.90,48.00,1b start tie,6b 3 out tie,German Marquez
2,70,7,Apr 3,COL,@,TBR,"W,1-0",GS-7,,4,7.0,3,0,0,3,7.0,0,0,0.69,27,91,59,17,15,8,9,3,0,0,75,,,2,0,0,24,0,0,0,1,0,1,1.41,0.456,3.75,26.15,42.00,1b start tie,7b 3 out tie,German Marquez
3,71,12,Apr 9,COL,,ATL,"L,1-7",GS-5,L(1-1),5,5.0,7,5,5,0,2.0,2,0,3.00,22,92,64,18,6,9,11,6,0,0,35,,,0,0,0,21,1,0,0,0,0,0,.69,-0.178,-1.88,1.05,6.00,1t start tie,5t 3 out d4,German Marquez
4,72,16,Apr 14,COL,@,SFG,"W,4-0",SHO,W(2-1),4,9.0,1,0,0,0,9.0,0,1,2.00,29,105,75,24,12,11,8,5,0,0,94,,,0,0,0,28,0,0,0,0,0,0,.63,0.377,4.47,46.05,66.00,1b start tie,9b 3 out a4,German Marquez
5,73,20,Apr 19,COL,,PHI,"W,4-3",GS-5,,4,5.0,10,2,2,2,5.0,0,0,2.25,26,95,67,13,17,10,9,8,1,0,42,,,0,0,0,23,0,0,0,1,1,0,1.20,0.072,1.12,10.05,24.00,1t start tie,5t 3 out d2,German Marquez
6,74,25,Apr 24,COL,,WSN,"W,9-5",GS-7,W(3-1),4,7.0,8,3,3,2,7.0,1,0,2.54,31,102,69,21,14,11,11,6,2,0,54,,,0,0,0,29,3,0,0,0,0,0,.96,0.121,1.37,21.75,45.00,1t start tie,7t 3 out a3,German Marquez
7,75,30,Apr 30,COL,@,MIL,"L,3-4",GS-7,L(3-2),5,7.0,6,4,4,0,6.0,1,0,2.93,26,80,61,16,14,14,6,3,1,0,55,,,0,0,0,26,1,0,0,1,0,0,.82,0.001,-0.26,16.15,27.00,1b start tie,7b 3 out d4,German Marquez
8,76,35,May 5,COL,,ARI,"W,8-7",GS-6,,4,6.0,7,5,5,2,9.0,2,0,3.46,27,102,65,14,15,8,8,4,0,0,45,,,2,0,0,24,1,0,0,0,1,0,1.02,-0.233,-1.25,16.10,30.00,1t start tie,6t 3 out d2,German Marquez
9,77,38,May 10,COL,,SDP,"W,12-2",GS-6,W(4-2),4,5.2,10,2,2,0,7.0,0,1,3.43,28,102,70,18,16,13,7,6,0,0,48,,,0,0,0,27,0,0,0,0,0,0,.75,0.232,1.47,20.15,44.00,1t start tie,6t 1-- 2 out a7,German Marquez
10,78,42,May 15,COL,@,BOS,"L,5-6",GS-7,,4,6.1,10,5,5,0,6.0,1,0,3.80,27,87,62,13,8,9,12,8,0,0,39,,,0,0,0,27,0,1,0,1,0,0,.71,-0.227,-1.93,10.25,22.00,1b start tie,7b 12- 1 out tie,German Marquez
