Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,98,1,Mar 28,LAD,,ARI,"W,12-5",GS-6,W(1-0),99,6.0,4,1,1,0,8.0,1,0,1.50,22,82,59,24,6,5,9,3,3,0,68,,,0,0,0,22,2,0,0,0,0,0,.48,0.202,2.05,29.10,51.00,1t start tie,6t 3 out a6,Hyun-Jin Ryu
2,99,6,Apr 2,LAD,,SFG,"W,6-5",GS-7,W(2-0),4,7.0,6,2,2,0,5.0,1,0,2.08,25,87,58,13,9,13,7,3,1,0,62,,,0,0,0,25,0,0,0,2,0,0,.78,0.210,1.56,22.15,42.00,1t start tie,7t 3 out a3,Hyun-Jin Ryu
3,100,11,Apr 8,LAD,@,STL,"L,3-4",GS-2,,5,1.2,2,2,2,1,1.0,1,0,3.07,8,33,18,4,2,3,3,3,0,0,43,,,0,0,0,7,1,0,0,0,0,0,.84,-0.107,-1.07,-0.05,2.00,1b start a 2,2b --- 2 out tie,Hyun-Jin Ryu
4,101,23,Apr 20,LAD,@,MIL,"L,0-5",GS-6,L(2-1),11,5.2,6,2,2,1,9.0,2,0,3.10,24,92,62,17,17,5,9,3,0,0,57,,,0,0,0,23,1,0,0,0,0,0,.80,0.038,0.75,22.55,38.00,1b start tie,6b 12- 2 out d2,Hyun-Jin Ryu
5,102,28,Apr 26,LAD,,PIT,"W,6-2",GS-7,W(3-1),5,7.0,8,2,2,0,10.0,1,0,2.96,28,105,66,16,18,10,8,5,0,0,63,,,0,0,0,28,1,0,0,1,0,0,.83,0.103,1.56,30.95,57.00,1t start tie,7t 3 out a4,Hyun-Jin Ryu
6,103,33,May 1,LAD,@,SFG,"L,1-2",GS-8,,4,8.0,4,1,1,0,6.0,0,0,2.55,26,107,67,22,9,10,10,2,1,0,76,,,0,0,0,25,1,0,0,2,1,0,1.02,0.393,2.97,25.60,39.00,1b start tie,8b 3 out tie,Hyun-Jin Ryu
7,104,38,May 7,LAD,,ATL,"W,9-0",SHO,W(4-1),5,9.0,4,0,0,0,6.0,0,0,2.03,30,93,67,16,9,13,11,8,0,0,85,,,0,0,0,30,1,0,0,1,0,0,.41,0.246,4.57,38.85,57.00,1t start tie,9t 3 out a9,Hyun-Jin Ryu
8,105,43,May 12,LAD,,WSN,"W,6-0",GS-8,W(5-1),4,8.0,1,0,0,1,9.0,0,0,1.72,26,116,79,19,14,8,8,3,0,0,88,,,0,0,0,25,1,0,0,0,0,0,.94,0.492,4.06,38.80,63.00,1t start tie,8t 3 out a2,Hyun-Jin Ryu
9,106,48,May 19,LAD,@,CIN,"W,8-3",GS-7,W(6-1),6,7.0,5,0,0,1,5.0,0,0,1.52,26,88,59,13,11,8,12,5,1,0,71,,,1,0,0,25,0,0,0,1,0,0,1.09,0.415,3.81,26.15,48.00,1b start tie,7b 3 out a4,Hyun-Jin Ryu
10,107,52,May 25,LAD,@,PIT,"W,7-2",GS-6,W(7-1),5,6.0,10,2,2,0,3.0,0,0,1.65,27,93,66,15,6,13,11,8,0,0,47,,,0,0,0,26,3,0,0,2,0,0,1.29,0.065,1.05,13.50,33.00,1b start a 1,6b 3 out a5,Hyun-Jin Ryu
11,108,57,May 30,LAD,,NYM,"W,2-0",GS-8,W(8-1),4,7.2,4,0,0,1,7.0,0,0,1.48,28,106,70,18,15,9,11,8,1,0,77,,,0,0,0,27,1,0,0,0,0,0,1.28,0.530,3.83,32.25,56.00,1t start tie,8t 1-- 2 out a1,Hyun-Jin Ryu
12,109,62,Jun 4,LAD,@,ARI,"W,9-0",GS-7,W(9-1),4,7.0,3,0,0,0,2.0,0,0,1.35,25,104,69,19,9,19,4,1,0,0,73,,,0,0,0,25,1,0,0,1,0,2,.79,0.347,3.74,21.95,39.00,1b start a 2,7b 3 out a5,Hyun-Jin Ryu
13,110,67,Jun 10,LAD,@,LAA,"L,3-5",GS-6,,5,6.0,7,1,1,0,6.0,1,1,1.36,25,99,68,23,9,10,8,5,1,0,60,,,0,0,1,24,1,0,0,0,0,0,1.26,0.286,2.25,18.70,33.00,1b start tie,6b 3 out a2,Hyun-Jin Ryu
14,111,72,Jun 16,LAD,,CHC,"W,3-2",GS-7,,5,7.0,7,2,0,0,8.0,0,0,1.26,28,94,68,14,16,13,7,6,0,0,67,,,0,0,0,26,0,0,0,1,1,1,1.33,0.112,1.56,27.55,45.00,1t start tie,7t 3 out tie,Hyun-Jin Ryu
15,112,78,Jun 22,LAD,,COL,"W,5-4",GS-6,,5,6.0,6,3,1,1,5.0,0,0,1.27,25,107,70,16,14,9,10,6,0,0,56,,,0,1,1,24,1,0,0,0,0,1,1.07,-0.002,0.05,17.30,30.00,1t start tie,6t 3 out tie,Hyun-Jin Ryu
16,113,84,Jun 28,LAD,@,COL,"L,9-13",GS-5,L(9-2),5,4.0,9,7,7,1,4.0,3,0,1.83,21,81,52,14,9,4,12,7,0,0,19,,,0,0,0,20,3,0,0,1,0,0,1.16,-0.495,-4.50,-3.00,3.00,1b start a 3,5b --- 0 out d2,Hyun-Jin Ryu
17,114,89,Jul 4,LAD,,SDP,"W,5-1",GS-6,W(10-2),5,6.0,3,0,0,3,5.0,0,0,1.73,23,89,57,14,11,11,4,2,2,0,68,,,0,0,0,20,0,0,0,1,0,0,1.04,0.337,3.05,23.90,45.00,1t start tie,6t 3 out a3,Hyun-Jin Ryu
18,115,95,Jul 14,LAD,@,BOS,"W,7-4",GS-7,,9,7.0,7,2,0,1,6.0,0,0,1.63,29,94,62,14,16,15,7,5,1,0,64,,,0,0,0,28,1,0,0,0,0,1,1.23,0.316,2.06,22.95,39.00,1b start a 3,7b 3 out a2,Hyun-Jin Ryu
19,116,100,Jul 19,LAD,,MIA,"W,2-1",GS-7,W(11-2),4,7.0,4,1,1,3,7.0,0,1,1.61,29,102,61,16,12,11,7,4,3,0,69,,,0,0,0,24,2,0,0,1,0,2,1.13,0.287,2.56,26.95,51.00,1t start tie,7t 3 out a1,Hyun-Jin Ryu
20,117,105,Jul 26,LAD,@,WSN,"W,4-2",GS-7,,6,6.2,8,1,1,1,4.0,0,0,1.60,29,103,69,18,9,13,11,9,1,0,57,,,0,0,0,27,1,0,0,0,0,1,1.61,0.213,2.46,15.60,29.00,1b start a 1,7b 12- 2 out tie,Hyun-Jin Ryu
21,118,110,Jul 31,LAD,@,COL,"W,5-1",GS-6,,4,6.0,3,0,0,1,1.0,0,0,1.53,21,80,51,13,4,9,10,6,2,0,66,,,0,0,0,20,2,0,0,0,0,0,.94,0.390,3.75,13.10,21.00,1b start tie,6b 3 out tie,Hyun-Jin Ryu
22,119,120,Aug 11,LAD,,ARI,"W,9-3",GS-7,W(12-2),10,7.0,5,0,0,1,4.0,0,1,1.45,27,91,58,19,6,13,8,4,0,0,70,,,0,0,0,24,0,0,0,1,0,0,.44,0.166,3.56,23.55,45.00,1t start tie,7t 3 out a8,Hyun-Jin Ryu
23,120,125,Aug 17,LAD,@,ATL,"L,3-4",GS-6,L(12-3),5,5.2,6,4,4,1,5.0,2,0,1.64,24,101,66,9,12,5,13,5,1,0,45,,,0,0,0,22,3,0,0,0,0,0,.95,-0.173,-0.78,10.55,20.00,1b start tie,6b --- 2 out d2,Hyun-Jin Ryu
24,121,130,Aug 23,LAD,,NYY,"L,2-10",GS-5,L(12-4),5,4.1,9,7,7,1,7.0,3,0,2.00,24,90,63,15,13,6,10,4,1,0,23,,,0,0,0,23,3,0,1,0,0,1,1.11,-0.327,-4.15,3.75,13.00,1t start tie,5t -2- 1 out d5,Hyun-Jin Ryu
25,122,136,Aug 29,LAD,@,ARI,"L,5-11",GS-5,L(12-5),5,4.2,10,7,7,1,4.0,0,1,2.35,26,93,63,12,10,10,10,8,1,0,19,,,0,0,0,23,3,0,1,0,0,0,1.19,-0.566,-4.85,-2.70,5.00,1b start a 1,5b 1-3 2 out d3,Hyun-Jin Ryu
26,123,142,Sep 4,LAD,,COL,"W,7-3",GS-5,,5,4.1,6,3,3,4,5.0,0,0,2.45,22,93,58,16,6,5,8,7,0,0,40,,,0,0,0,18,1,0,0,0,0,0,.86,0.025,-1.38,7.75,19.00,1t start tie,5t 12- 1 out a4,Hyun-Jin Ryu
27,124,150,Sep 14,LAD,@,NYM,"L,0-3",GS-7,,9,7.0,2,0,0,0,6.0,0,0,2.35,23,90,61,13,11,9,8,4,1,0,79,,,0,0,0,23,0,0,0,0,0,0,.84,0.438,3.41,26.55,39.00,1b start tie,7b 3 out tie,Hyun-Jin Ryu
28,125,156,Sep 22,LAD,,COL,"W,7-4",GS-7,W(13-5),7,7.0,6,3,3,0,8.0,2,0,2.41,26,95,65,14,14,10,8,5,0,0,61,,,0,0,0,25,1,0,0,2,0,1,.74,0.124,0.56,26.15,48.00,1t start tie,7t 3 out a2,Hyun-Jin Ryu
29,126,161,Sep 28,LAD,@,SFG,"W,2-0",GS-7,W(14-5),5,7.0,5,0,0,0,7.0,0,0,2.32,26,97,66,18,12,12,7,4,2,0,74,,,0,0,0,26,0,0,0,0,0,0,1.08,0.442,3.48,30.75,54.00,1b start tie,7b 3 out a2,Hyun-Jin Ryu
