Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,35,2,Mar 29,STL,@,MIL,"W,9-5",GS-5,,99,4.1,7,4,4,1,4.0,1,0,8.31,20,89,52,16,10,6,9,5,1,0,36,,,0,1,0,18,1,0,0,0,1,0,1.03,-0.232,-1.88,4.95,13.00,1b start a 3,5b 1-- 1 out tie,Jack Flaherty
2,36,7,Apr 5,STL,,SDP,"L,3-5",GS-5,,6,5.0,6,0,0,2,6.0,0,0,3.86,23,98,57,10,15,5,10,6,3,0,59,,,0,0,0,21,1,0,0,0,0,0,1.25,0.287,2.59,18.45,33.00,1t start tie,5t 3 out a1,Jack Flaherty
3,37,12,Apr 10,STL,,LAD,"W,7-2",GS-6,W(1-0),4,6.0,3,1,1,0,8.0,1,1,2.93,21,99,69,16,10,3,9,3,2,0,70,,,0,0,0,20,0,0,0,1,0,0,.95,0.244,2.11,29.10,51.00,1t start tie,6t 3 out a1,Jack Flaherty
4,38,17,Apr 16,STL,@,MIL,"L,4-8",GS-3,L(1-1),5,2.2,9,5,5,1,4.0,2,0,5.00,18,75,51,14,11,6,7,4,1,0,23,,,0,0,0,17,2,0,0,0,0,0,.91,-0.273,-4.02,-2.00,5.00,1b start tie,3b -23 2 out d5,Jack Flaherty
5,39,22,Apr 22,STL,,MIL,"W,13-5",GS-6,W(2-1),5,6.0,3,4,4,1,10.0,3,0,5.25,23,103,67,22,17,6,6,2,0,0,59,,,0,0,0,22,0,0,0,0,0,0,.80,-0.086,-0.89,27.10,48.00,1t start tie,6t 3 out a1,Jack Flaherty
6,40,27,Apr 28,STL,,CIN,"W,5-2",GS-7,W(3-1),5,7.0,4,0,0,1,4.0,0,0,4.06,25,89,60,13,9,10,10,5,2,0,72,,,0,0,0,24,0,0,0,3,0,2,1.11,0.417,3.63,24.75,45.00,1t start tie,7t 3 out a2,Jack Flaherty
7,41,32,May 3,STL,@,CHC,"L,0-4",GS-6,L(3-2),4,5.2,4,3,3,4,9.0,1,0,4.17,25,110,66,18,16,6,6,3,2,0,54,,,0,0,0,21,0,0,0,0,0,0,.66,-0.106,-0.56,19.95,35.00,1b start tie,6b 123 2 out d3,Jack Flaherty
8,42,37,May 8,STL,,PHI,"L,0-5",GS-5,L(3-3),4,5.0,4,4,3,3,2.0,0,0,4.32,23,91,55,17,6,8,10,4,4,0,44,,,0,0,0,18,2,0,0,1,0,2,1.05,-0.160,-1.41,5.05,12.00,1t start tie,5t 3 out d4,Jack Flaherty
9,43,42,May 14,STL,@,ATL,"W,14-3",GS-6,W(4-3),5,6.0,3,3,3,5,6.0,0,0,4.34,25,109,61,18,11,6,8,1,1,0,55,,,0,0,0,18,0,0,0,1,1,0,.44,0.174,0.34,18.70,39.00,1b start a 3,6b 3 out a8,Jack Flaherty
10,44,47,May 19,STL,@,TEX,"L,4-5",GS-6,,4,6.0,4,2,2,2,5.0,1,0,4.19,22,87,51,18,9,5,10,4,1,0,59,,,0,0,0,20,2,0,0,1,0,0,1.18,0.193,1.68,15.90,27.00,1b start a 2,6b 3 out tie,Jack Flaherty
11,45,52,May 26,STL,,ATL,"L,3-4",GS-6,,6,6.0,3,0,0,0,7.0,0,1,3.77,21,91,59,12,12,5,8,4,1,0,73,,,0,0,0,20,0,0,0,1,0,0,.81,0.327,3.11,25.10,39.00,1t start tie,6t 3 out a3,Jack Flaherty
12,46,57,Jun 1,STL,,CHC,"W,7-4",GS-5,,5,5.0,4,2,2,0,8.0,2,0,3.76,19,77,56,15,12,2,9,3,1,0,59,,,0,0,0,19,0,0,0,0,0,0,.79,0.069,0.59,20.85,33.00,1t start tie,5t 3 out tie,Jack Flaherty
13,47,62,Jun 8,STL,@,CHC,"L,4-9",GS-4,,6,3.2,5,4,4,3,0.0,1,0,4.08,19,96,56,11,6,7,9,5,1,0,32,,,0,0,0,16,1,1,0,0,0,0,1.29,-0.175,-1.95,-4.55,-1.00,1b start a 4,4b --- 2 out tie,Jack Flaherty
14,48,67,Jun 13,STL,@,NYM,"W,5-4",GS-6,,4,5.1,6,4,4,2,8.0,1,0,4.28,24,101,61,15,17,2,12,6,1,0,46,,,0,0,0,22,1,0,0,0,0,0,.86,-0.261,-1.64,15.20,28.00,1b start tie,6b 123 1 out d1,Jack Flaherty
15,49,72,Jun 18,STL,,MIA,"L,0-6",GS-7,L(4-4),4,7.0,4,3,3,1,8.0,2,0,4.24,25,102,68,17,18,8,8,4,1,0,64,,,0,0,1,24,1,0,0,0,0,0,.83,0.010,0.63,22.75,36.00,1t start tie,7t 3 out d3,Jack Flaherty
16,50,78,Jun 25,STL,,OAK,"L,3-7",GS-5,L(4-5),6,4.2,9,7,7,1,5.0,3,0,4.75,24,92,60,17,9,5,13,5,3,0,22,,,0,0,0,23,2,0,0,0,0,0,.94,-0.393,-2.86,0.50,8.00,1t start tie,5t 12- 2 out d2,Jack Flaherty
17,51,83,Jul 2,STL,@,SEA,"L,4-5",GS-5,,6,4.2,7,4,4,4,7.0,1,0,4.90,25,103,61,21,6,8,6,2,1,0,37,,,0,0,0,21,1,0,0,0,0,0,1.12,-0.184,-1.54,9.90,23.00,1b start a 1,5b --- 2 out d3,Jack Flaherty
18,52,88,Jul 7,STL,@,SFG,"L,0-1",GS-7,L(4-6),4,7.0,2,1,1,1,6.0,1,0,4.64,24,83,58,10,18,4,13,4,3,0,74,,,0,0,0,23,0,0,0,0,0,0,.92,0.193,2.48,23.95,36.00,1b start tie,7b 3 out d1,Jack Flaherty
19,53,93,Jul 16,STL,,PIT,"L,1-3",GS-7,,8,7.0,3,1,1,3,8.0,0,0,4.41,25,101,61,11,14,7,7,3,1,0,72,,,0,2,0,22,1,0,1,0,0,0,1.18,0.299,2.63,26.15,42.00,1t start tie,7t 3 out tie,Jack Flaherty
20,54,98,Jul 21,STL,@,CIN,"W,3-1",GS-5,,4,4.1,6,0,0,2,7.0,0,1,4.24,22,86,56,14,15,3,9,4,2,0,56,,,0,0,0,19,1,0,0,0,0,0,1.38,0.086,1.10,18.35,34.00,1b start tie,5b 123 1 out a2,Jack Flaherty
21,55,103,Jul 26,STL,,HOU,"W,5-3",GS-6,,4,6.0,3,2,2,1,9.0,1,0,4.17,22,108,70,20,10,5,7,4,1,0,66,,,0,0,0,21,1,0,0,0,0,0,.75,0.078,1.11,25.10,39.00,1t start tie,6t 3 out d1,Jack Flaherty
22,56,108,Aug 1,STL,,CHC,"W,8-0",GS-7,W(5-6),5,7.0,1,0,0,2,9.0,0,0,3.93,24,98,65,12,14,6,7,1,1,0,82,,,0,0,0,22,0,0,0,0,0,0,.77,0.360,3.63,35.95,60.00,1t start tie,7t 3 out a6,Jack Flaherty
23,57,113,Aug 7,STL,@,LAD,"L,1-2",GS-7,,5,7.0,4,0,0,1,10.0,0,0,3.72,26,97,67,21,18,7,8,4,1,0,78,,,0,0,0,25,2,0,0,0,0,0,1.12,0.479,3.56,32.75,51.00,1b start tie,7b 3 out a1,Jack Flaherty
24,58,117,Aug 13,STL,@,KCR,"W,2-0",GS-7,W(6-6),5,7.0,3,0,0,1,7.0,0,1,3.52,25,110,68,18,12,6,10,3,2,0,77,,,0,0,0,23,1,0,1,1,0,0,1.23,0.472,3.91,30.75,54.00,1b start a 1,7b 3 out a2,Jack Flaherty
25,59,122,Aug 18,STL,@,CIN,"W,5-4",GS-6,W(7-6),4,5.0,3,1,1,3,5.0,1,1,3.46,22,83,55,10,10,5,8,3,2,0,59,,,0,0,0,18,0,0,0,0,0,0,.93,0.129,1.33,19.05,39.00,1b start tie,6b 1-- 0 out a4,Jack Flaherty
26,60,127,Aug 23,STL,,COL,"W,8-3",GS-6,W(8-6),4,6.0,3,0,0,1,9.0,0,1,3.32,23,88,60,19,13,5,7,2,1,0,74,,,0,0,0,21,0,0,0,0,0,0,.76,0.270,3.11,32.50,57.00,1t start tie,6t 3 out a6,Jack Flaherty
27,61,132,Aug 28,STL,@,MIL,"L,1-4",GS-6,L(8-7),4,6.0,5,3,2,1,7.0,1,0,3.31,24,101,60,18,13,7,9,5,1,0,58,,,0,0,0,22,2,0,0,1,1,0,.69,-0.062,0.21,19.90,33.00,1b start tie,6b 3 out d2,Jack Flaherty
28,62,138,Sep 3,STL,,SFG,"W,1-0",GS-8,W(9-7),5,8.0,1,0,0,1,8.0,0,0,3.14,26,113,84,17,19,4,13,3,7,0,87,,,0,0,0,25,0,0,0,0,0,0,1.02,0.580,4.14,36.80,60.00,1t start tie,8t 3 out a1,Jack Flaherty
29,63,143,Sep 8,STL,@,PIT,"W,2-0",GS-8,W(10-7),4,8.0,5,0,0,1,10.0,0,1,2.99,29,112,74,18,17,10,7,5,0,0,81,,,0,0,0,27,2,0,0,2,0,0,1.43,0.537,4.06,37.80,66.00,1b start tie,8b 3 out a2,Jack Flaherty
30,64,148,Sep 14,STL,,MIL,"L,2-5",GS-6,L(10-8),5,6.0,5,3,3,2,10.0,1,0,3.05,24,102,66,14,20,5,7,5,1,0,58,,,1,0,0,22,0,0,0,1,0,0,1.25,-0.050,0.11,23.30,39.00,1t start tie,6t 3 out d1,Jack Flaherty
31,65,153,Sep 19,STL,@,CHC,"W,5-4",GS-8,,4,8.0,3,1,1,1,8.0,1,0,2.96,28,118,84,19,15,12,7,1,2,0,79,,,0,0,0,27,0,0,0,0,0,0,.95,0.357,3.32,29.60,45.00,1b start tie,8b 3 out a3,Jack Flaherty
32,66,158,Sep 24,STL,@,ARI,"L,2-3",GS-7,,4,7.0,1,0,0,2,11.0,0,0,2.85,24,98,63,20,19,3,8,3,3,0,84,,,0,0,0,22,0,0,0,0,0,0,1.28,0.513,3.74,35.95,54.00,1b start a 1,7b 3 out a1,Jack Flaherty
