Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,140,1,Mar 28,NYM,@,WSN,"W,2-0",GS-6,W(1-0),99,6.0,5,0,0,1,10.0,0,0,0.00,23,93,59,16,17,4,8,5,1,0,71,,,3,0,0,22,1,0,0,0,0,0,1.32,0.409,3.37,33.90,60.00,1b start a 1,6b 3 out a1,Jacob deGrom
2,141,6,Apr 3,NYM,@,MIA,"W,6-4",GS-7,W(2-0),5,7.0,3,0,0,1,14.0,0,0,0.00,25,114,79,16,25,2,8,4,1,0,84,,,0,0,0,24,1,0,0,0,0,0,.86,0.342,3.48,45.35,75.00,1b start tie,7b 3 out a4,Jacob deGrom
3,142,10,Apr 9,NYM,,MIN,"L,8-14",GS-4,L(2-1),5,4.0,8,6,6,1,3.0,3,0,3.18,20,97,64,14,9,5,11,5,1,0,24,,,1,1,0,18,1,1,0,0,0,0,.83,-0.418,-4.05,-2.40,3.00,1t start tie,4t 3 out d3,Jacob deGrom
4,143,15,Apr 14,NYM,@,ATL,"L,3-7",GS-5,L(2-2),4,5.0,5,3,3,4,9.0,2,0,3.68,24,114,71,17,12,4,7,3,1,0,50,,,3,0,0,20,0,0,0,0,0,0,1.11,-0.074,-0.22,17.85,33.00,1b start tie,5b 3 out d2,Jacob deGrom
5,144,25,Apr 26,NYM,,MIL,"L,2-10",GS-4,L(2-3),11,4.0,5,5,5,3,7.0,0,2,4.85,22,89,55,12,11,5,5,3,2,0,36,,,2,0,0,17,1,0,0,0,0,0,1.21,-0.288,-3.05,7.00,18.00,1t start tie,4t 3 out d5,Jacob deGrom
6,145,30,May 1,NYM,,CIN,"L,0-1",GS-7,,4,7.0,3,0,0,2,6.0,0,1,3.82,27,101,74,10,16,10,8,3,1,0,75,,,0,0,0,24,0,0,0,1,0,1,1.40,0.438,3.41,24.15,39.00,1t start tie,7t 3 out tie,Jacob deGrom
7,146,35,May 6,NYM,@,SDP,"L,0-4",GS-7,L(2-4),4,7.0,4,2,2,1,7.0,1,0,3.60,26,103,72,14,19,8,10,7,1,0,67,,,0,0,0,24,1,0,0,0,1,0,.82,0.091,1.52,22.75,36.00,1b start tie,7b 3 out d2,Jacob deGrom
8,147,39,May 11,NYM,,MIA,"W,4-1",GS-7,W(3-4),4,7.0,5,1,1,1,8.0,0,0,3.26,27,106,78,16,20,10,8,5,1,0,70,,,0,0,0,26,3,0,0,0,0,0,.97,0.263,2.41,30.15,54.00,1t start tie,7t 3 out a3,Jacob deGrom
9,148,43,May 17,NYM,@,MIA,"L,6-8",GS-5,L(3-5),5,5.0,9,7,6,0,3.0,1,0,3.98,26,104,73,8,13,11,12,4,3,0,26,,,2,0,0,25,2,0,0,0,0,2,.84,-0.331,-4.52,-0.15,6.00,1b start tie,5b 3 out d6,Jacob deGrom
10,149,48,May 22,NYM,,WSN,"W,6-1",GS-6,,4,6.0,2,1,1,3,8.0,1,0,3.72,23,103,63,17,13,4,8,2,0,0,69,,,0,0,0,20,0,0,0,0,0,0,.92,0.190,1.92,24.50,39.00,1t start tie,6t 3 out d1,Jacob deGrom
11,150,53,May 27,NYM,@,LAD,"L,5-9",GS-5,,4,5.0,7,2,2,1,2.0,1,0,3.71,23,105,70,14,10,13,7,3,2,0,46,,,0,0,0,22,0,0,0,0,0,0,1.40,0.051,0.54,6.45,15.00,1b start a 1,5b 3 out a1,Jacob deGrom
12,151,58,Jun 1,NYM,@,ARI,"L,5-6",GS-7,,4,6.2,5,1,1,1,7.0,0,0,3.49,25,89,63,14,11,8,9,3,2,0,66,,,0,0,0,23,2,0,0,1,0,0,.75,0.221,2.12,23.40,38.00,1b start a 1,7b -23 2 out a3,Jacob deGrom
13,152,63,Jun 7,NYM,,COL,"L,1-5",GS-6,L(3-6),5,6.0,6,2,2,1,10.0,0,0,3.45,24,112,80,9,18,3,10,5,2,0,61,,,0,1,0,23,2,0,0,0,0,0,.88,0.032,0.92,25.30,42.00,1t start tie,6t 3 out d2,Jacob deGrom
14,153,68,Jun 13,NYM,,STL,"L,4-5",GS-7,,5,7.0,6,2,2,0,8.0,1,0,3.38,26,116,80,18,16,9,9,5,1,0,65,,,2,0,0,26,1,0,0,1,0,0,1.04,0.137,1.41,24.15,39.00,1t start tie,7t 3 out a2,Jacob deGrom
15,154,73,Jun 18,NYM,@,ATL,"W,10-2",GS-9,W(4-6),4,8.1,5,2,2,0,10.0,2,1,3.26,31,113,77,17,14,7,13,5,3,0,75,,,0,0,0,30,1,0,0,0,0,0,.32,0.203,2.71,35.15,61.00,1b start tie,9b --- 1 out a8,Jacob deGrom
16,155,78,Jun 23,NYM,@,CHC,"L,3-5",GS-6,,4,6.0,8,2,2,0,9.0,0,0,3.25,24,97,67,10,22,8,7,4,1,0,57,,,1,1,0,24,1,0,0,0,0,0,1.16,0.145,1.24,22.70,39.00,1b start tie,6b 3 out a1,Jacob deGrom
17,156,83,Jun 28,NYM,,ATL,"L,2-6",GS-6,L(4-7),4,6.0,6,3,3,2,7.0,1,0,3.32,26,107,71,17,13,6,11,5,1,0,53,,,2,0,0,23,1,0,1,0,1,0,.77,-0.073,-0.08,16.70,30.00,1t start tie,6t 3 out d2,Jacob deGrom
18,157,88,Jul 5,NYM,,PHI,"L,2-7",GS-7,,6,7.0,3,2,2,3,10.0,1,0,3.27,27,102,67,10,19,5,9,2,4,0,70,,,0,0,0,24,1,0,0,0,0,0,1.31,0.117,1.41,28.15,45.00,1t start tie,7t 3 out tie,Jacob deGrom
19,158,93,Jul 14,NYM,@,MIA,"W,6-2",GS-5,W(5-7),8,5.0,6,1,1,3,6.0,0,0,3.21,22,94,60,16,15,7,6,2,1,0,54,,,0,0,0,19,0,0,0,1,0,0,1.54,0.172,1.48,19.85,42.00,1b start a 1,5b 3 out a2,Jacob deGrom
20,159,97,Jul 19,NYM,@,SFG,"L,0-1",GS-7,,4,7.0,3,0,0,3,10.0,0,0,3.02,26,108,74,12,21,3,10,3,1,0,78,,,0,1,0,22,1,0,0,0,0,0,1.33,0.442,3.48,32.15,51.00,1b start tie,7b 3 out tie,Jacob deGrom
21,160,102,Jul 25,NYM,,SDP,"W,4-0",GS-7,W(6-7),5,7.0,4,0,0,1,9.0,0,0,2.86,26,105,70,15,19,8,8,4,1,0,77,,,0,0,0,25,0,0,0,0,0,0,.54,0.240,3.41,34.75,60.00,1t start tie,7t 3 out a4,Jacob deGrom
22,161,107,Jul 31,NYM,@,CHW,"W,4-2",GS-7,,5,7.0,5,1,1,2,11.0,0,0,2.78,28,116,77,16,19,5,10,5,2,0,72,,,0,0,0,25,1,0,0,0,1,0,1.31,0.306,2.75,31.55,51.00,1b start tie,7b 3 out tie,Jacob deGrom
23,162,112,Aug 5(1),NYM,,MIA,"W,6-2",GS-7,W(7-7),4,7.0,5,2,2,1,8.0,1,0,2.77,26,94,69,13,19,5,12,4,2,0,66,,,1,0,0,25,3,0,0,0,0,0,.92,0.177,1.41,28.15,51.00,1t start tie,7t 3 out a4,Jacob deGrom
24,163,118,Aug 11,NYM,,WSN,"L,4-7",GS-5,,5,5.0,4,3,0,1,7.0,0,1,2.68,22,101,65,16,9,6,7,4,0,0,59,,,0,0,0,20,0,0,0,0,0,1,1.13,-0.034,-0.57,21.65,36.00,1t start tie,5t 3 out tie,Jacob deGrom
