Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,162,2,Mar 30,MIN,,CLE,"L,1-2",GS-6,,99,6.0,1,1,1,2,11.0,1,0,1.50,21,92,57,15,13,4,4,0,2,0,75,,,0,0,0,19,0,0,0,0,0,0,.82,0.244,2.32,31.70,48.00,1t start tie,6t 3 out tie,Jake Odorizzi
2,163,6,Apr 5,MIN,@,PHI,"L,4-10",GS-1,L(0-1),5,0.2,2,5,4,3,1.0,0,0,6.75,7,36,18,4,6,0,3,3,0,0,28,,,0,0,0,4,1,0,0,0,0,0,1.08,-0.194,-2.26,-7.50,-7.00,1b start tie,1b 123 2 out d2,Jake Odorizzi
3,164,10,Apr 10,MIN,@,NYM,"L,6-9",GS-5,L(0-2),4,4.2,1,3,3,4,3.0,0,0,6.35,18,71,41,7,11,4,7,3,3,0,49,,,0,0,0,13,0,0,0,0,0,0,1.36,0.185,1.67,7.50,14.00,1b start tie,5b 123 2 out a1,Jake Odorizzi
4,165,15,Apr 17,MIN,,TOR,"W,4-1",GS-6,W(1-2),6,5.2,6,1,1,1,6.0,0,0,4.76,23,101,64,23,13,4,12,6,0,0,58,,,0,1,0,22,0,0,0,0,0,0,1.03,0.218,2.07,22.55,44.00,1t start tie,6t 1-- 2 out a3,Jake Odorizzi
5,166,20,Apr 22,MIN,@,HOU,"W,9-5",GS-6,W(2-2),4,5.2,8,2,2,0,2.0,1,1,4.37,25,100,63,17,7,8,14,6,3,0,47,,,0,0,0,24,1,0,0,0,0,0,.94,0.189,1.16,11.35,29.00,1b start a 2,6b 1-- 2 out a5,Jake Odorizzi
6,167,26,Apr 29,MIN,,HOU,"W,1-0",GS-7,W(3-2),6,7.0,4,0,0,1,7.0,0,0,3.34,26,86,57,16,12,2,16,4,4,0,75,,,0,0,0,25,0,0,0,0,0,0,1.16,0.479,3.87,30.75,54.00,1t start tie,7t 3 out a1,Jake Odorizzi
7,168,31,May 4,MIN,@,NYY,"W,7-3",GS-6,W(4-2),4,6.0,2,0,0,4,8.0,0,0,2.78,23,100,65,18,12,5,6,3,1,0,72,,,0,0,1,19,0,0,0,0,0,0,.92,0.323,3.25,29.90,54.00,1b start tie,6b 3 out a4,Jake Odorizzi
8,169,36,May 10,MIN,,DET,"W,6-0",GS-7,W(5-2),5,7.0,1,0,0,0,5.0,0,0,2.32,22,95,66,14,8,3,14,3,3,0,80,,,0,0,0,22,1,0,0,0,0,0,.60,0.292,3.87,29.15,48.00,1t start tie,7t 3 out a6,Jake Odorizzi
9,170,42,May 15,MIN,,LAA,"W,8-7",GS-6,W(6-2),4,5.1,9,3,3,2,3.0,2,0,2.63,26,98,63,18,8,7,14,6,2,0,39,,,0,0,1,24,1,0,0,1,0,1,1.05,0.041,-0.92,9.40,28.00,1t start tie,6t 1-3 1 out a3,Jake Odorizzi
10,171,47,May 20,MIN,@,LAA,"W,3-1",GS-5,,4,5.0,3,0,0,2,6.0,0,0,2.38,20,90,57,17,8,5,7,3,1,0,65,,,0,0,0,18,0,0,0,0,0,0,.98,0.311,2.71,20.25,33.00,1b start tie,5b 3 out a1,Jake Odorizzi
11,172,52,May 26,MIN,,CHW,"W,7-0",GS-6,W(7-2),5,5.1,1,0,0,1,9.0,0,0,2.16,18,93,58,13,18,2,6,1,0,0,74,,,0,0,0,17,0,0,0,0,0,0,.79,0.255,3.02,32.80,55.00,1t start tie,6t --- 1 out a4,Jake Odorizzi
12,173,58,Jun 2,MIN,@,TBR,"W,9-7",GS-6,W(8-2),6,6.0,3,0,0,1,9.0,0,0,1.96,21,108,74,13,20,5,6,1,2,0,74,,,0,0,0,19,1,0,0,0,0,0,.82,0.236,3.22,33.10,57.00,1b start tie,6b 3 out a7,Jake Odorizzi
13,174,64,Jun 9,MIN,@,DET,"W,12-2",GS-6,W(9-2),6,6.0,5,1,1,1,8.0,0,1,1.92,23,99,70,14,14,5,8,2,2,0,65,,,0,0,0,21,0,0,0,1,0,0,.53,0.112,2.38,27.30,51.00,1b start a 3,6b 3 out a10,Jake Odorizzi
14,175,69,Jun 15,MIN,,KCR,"W,5-4",GS-6,W(10-2),5,6.0,7,4,4,2,7.0,2,0,2.24,27,92,66,15,11,8,10,1,4,0,47,,,0,0,0,24,0,0,0,1,1,1,1.00,-0.098,-0.68,18.10,39.00,1t start tie,6t 3 out tie,Jake Odorizzi
15,176,74,Jun 20,MIN,@,KCR,"L,1-4",GS-4,L(10-3),4,4.0,8,4,4,1,2.0,0,0,2.58,20,80,53,13,4,9,8,6,0,0,31,,,1,0,0,18,3,0,0,1,0,0,.88,-0.205,-1.77,-0.40,6.00,1b start a 1,4b 3 out d3,Jake Odorizzi
16,177,79,Jun 26,MIN,,TBR,"W,6-4",GS-6,,5,5.1,4,3,3,2,7.0,2,0,2.73,21,91,55,15,12,4,8,1,0,0,53,,,0,0,0,19,0,0,0,0,0,0,1.00,-0.024,-0.25,16.40,28.00,1t start tie,6t 1-- 1 out tie,Jake Odorizzi
