Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,329,4,Mar 31,SFG,@,SDP,"L,1-3",GS-5,,99,5.0,3,1,0,4,2.0,0,0,0.00,21,86,47,13,6,4,11,3,0,0,57,,,0,0,0,17,1,0,1,0,0,0,1.29,0.127,1.51,11.05,21.00,1b start tie,5b 3 out tie,Jeff Samardzija
2,330,9,Apr 6,SFG,,TBR,"W,6-4",GS-5,,5,4.2,6,3,3,1,4.0,0,0,2.79,21,74,48,11,8,4,12,7,3,0,43,,,0,0,0,19,1,0,0,0,1,0,1.28,-0.193,-1.12,8.30,17.00,1t start tie,5t -23 2 out d1,Jeff Samardzija
3,331,14,Apr 11,SFG,,COL,"W,1-0",GS-7,W(1-0),4,7.0,3,0,0,1,7.0,0,0,1.62,24,90,61,20,13,9,7,2,2,0,77,,,0,0,0,23,0,0,0,1,0,0,.95,0.442,3.48,31.35,54.00,1t start tie,7t 3 out tie,Jeff Samardzija
4,332,19,Apr 17,SFG,@,WSN,"L,6-9",GS-5,L(1-1),5,5.0,5,4,4,2,7.0,2,0,2.91,21,86,51,16,9,4,8,5,0,0,46,,,0,0,0,18,0,0,0,1,0,0,.58,-0.156,-1.19,13.05,24.00,1b start tie,5b 3 out d2,Jeff Samardzija
5,333,24,Apr 23,SFG,@,TOR,"W,7-6",GS-6,W(2-1),5,5.1,5,2,2,1,4.0,1,0,3.00,22,85,60,13,5,5,12,2,3,0,53,,,0,0,0,21,1,1,0,0,0,0,.93,0.076,0.27,16.40,34.00,1b start tie,6b 12- 1 out a3,Jeff Samardzija
6,334,29,Apr 29,SFG,,LAD,"W,3-2",GS-5,,5,5.0,2,0,0,1,1.0,0,0,2.53,18,79,53,11,4,5,11,5,0,0,63,,,0,0,0,17,0,0,0,0,0,0,1.09,0.279,2.48,11.45,18.00,1t start tie,5t 3 out tie,Jeff Samardzija
7,335,34,May 5,SFG,@,CIN,"W,6-5",GS-5,,5,5.0,5,4,4,0,4.0,3,0,3.16,20,86,60,19,10,3,13,3,1,0,45,,,0,0,0,20,0,0,0,0,0,0,.36,-0.213,-1.28,8.25,15.00,1b start tie,5b 3 out d4,Jeff Samardzija
8,336,39,May 11,SFG,,CIN,"L,4-5",GS-4,,5,4.0,5,3,3,3,5.0,1,0,3.51,20,86,54,15,7,3,9,2,1,0,42,,,1,0,0,17,0,1,0,0,0,0,.90,-0.124,-1.01,8.20,18.00,1t start tie,4t 3 out d2,Jeff Samardzija
9,337,43,May 17,SFG,@,ARI,"L,0-7",GS-6,L(2-2),5,5.1,5,3,3,3,0.0,1,0,3.69,22,68,41,11,4,6,13,5,0,0,43,,,1,0,0,19,1,0,1,2,0,0,.98,-0.020,-0.24,1.20,7.00,1b start tie,6b -23 1 out d2,Jeff Samardzija
10,338,48,May 22,SFG,,ATL,"L,2-9",GS-6,L(2-3),4,6.0,4,6,0,2,7.0,2,1,3.27,27,107,68,19,13,6,11,5,0,0,57,,,0,0,0,24,0,0,0,0,0,1,.61,-0.335,-3.02,23.30,39.00,1t start tie,6t 3 out d5,Jeff Samardzija
11,339,53,May 28,SFG,@,MIA,"L,3-11",GS-5,L(2-4),5,4.0,8,5,5,1,4.0,0,0,3.83,21,89,57,14,6,7,9,6,0,0,29,,,1,0,0,20,1,0,0,0,0,0,1.06,-0.209,-2.01,1.60,9.00,1b start a 1,5b 12- 0 out d2,Jeff Samardzija
12,340,58,Jun 2,SFG,@,BAL,"W,8-1",GS-6,W(3-4),4,6.0,3,1,1,0,6.0,1,0,3.61,21,110,77,16,9,9,6,2,1,0,68,,,0,0,0,21,1,0,0,0,0,0,.68,0.211,2.28,25.70,45.00,1b start tie,6b 3 out a4,Jeff Samardzija
13,341,63,Jun 8,SFG,,LAD,"L,2-7",GS-6,L(3-5),5,5.1,7,3,3,2,5.0,0,1,3.72,28,101,68,13,17,8,12,6,1,0,45,,,0,0,0,25,4,0,2,0,0,1,1.48,-0.039,0.07,10.00,22.00,1t start tie,6t 12- 1 out tie,Jeff Samardzija
14,342,69,Jun 16,SFG,,MIL,"L,3-5",GS-5,L(3-6),7,5.0,9,4,4,2,5.0,1,1,3.96,26,114,71,22,9,9,9,4,1,0,36,,,1,0,0,23,2,0,0,1,0,0,1.12,-0.211,-1.52,6.05,18.00,1t start tie,5t 3 out d2,Jeff Samardzija
15,343,74,Jun 21,SFG,@,ARI,"W,11-5",GS-6,W(4-6),4,6.0,9,5,5,1,5.0,1,1,4.23,28,95,58,18,6,10,11,2,2,0,38,,,1,0,0,25,1,1,0,0,0,0,.99,-0.005,-1.79,10.90,30.00,1b start tie,6b 3 out a1,Jeff Samardzija
16,344,79,Jun 26,SFG,,COL,"L,3-6",GS-6,L(4-7),4,5.0,3,5,5,2,6.0,1,0,4.52,21,96,58,6,12,5,8,3,1,0,45,,,1,0,0,17,0,1,0,0,1,1,.98,-0.353,-2.90,10.25,18.00,1t start tie,6t 1-- 0 out d2,Jeff Samardzija
17,345,84,Jul 1,SFG,@,SDP,"W,13-2",GS-8,W(5-7),4,8.0,5,2,2,2,6.0,0,0,4.32,32,114,72,21,10,15,9,4,2,0,68,,,2,0,0,29,2,1,0,0,1,1,.53,0.235,2.02,25.80,48.00,1b start tie,8b 3 out a11,Jeff Samardzija
18,346,89,Jul 7,SFG,,STL,"W,1-0",GS-7,W(6-7),5,7.0,4,0,0,0,2.0,0,1,4.01,25,96,61,14,5,8,14,7,1,0,71,,,1,1,0,24,1,0,0,0,0,0,1.16,0.442,3.48,20.75,39.00,1t start tie,7t 3 out tie,Jeff Samardzija
19,347,93,Jul 15(1),SFG,@,COL,"W,19-2",GS-7,W(7-7),7,6.2,4,2,2,1,9.0,2,0,3.93,25,92,63,14,8,2,13,6,1,0,66,,,1,0,0,24,0,0,0,0,0,0,.14,0.088,2.09,30.00,53.00,1b start a 5,7b 1-- 2 out a14,Jeff Samardzija
20,348,99,Jul 20,SFG,,NYM,"L,4-11",GS-5,L(7-8),4,5.0,6,4,4,0,7.0,2,1,4.08,21,79,56,10,11,3,10,2,0,0,46,,,1,1,0,20,0,1,0,0,0,0,.88,-0.161,-1.52,13.05,24.00,1t start tie,5t 3 out d4,Jeff Samardzija
21,349,104,Jul 26,SFG,@,SDP,"W,2-1",GS-6,,5,6.0,4,1,1,3,6.0,1,0,3.95,24,100,61,15,12,8,7,5,0,0,63,,,0,1,0,21,1,0,0,0,0,0,1.02,0.212,2.01,19.30,33.00,1b start tie,6b 3 out tie,Jeff Samardzija
22,350,108,Jul 31,SFG,@,PHI,"W,5-1",GS-6,W(8-8),4,6.0,3,0,0,1,5.0,0,0,3.75,21,90,61,15,11,7,8,4,1,0,70,,,0,0,0,20,0,0,0,1,0,0,.83,0.316,3.24,25.10,45.00,1b start tie,6b 3 out a5,Jeff Samardzija
23,351,113,Aug 5,SFG,,WSN,"L,0-4",GS-4,L(8-9),4,4.0,3,1,1,3,3.0,0,0,3.70,18,98,55,12,6,4,8,4,4,0,52,,,0,0,0,15,0,0,0,0,0,0,1.03,0.082,0.99,9.40,18.00,1t start tie,4t 3 out d1,Jeff Samardzija
24,352,118,Aug 10,SFG,,PHI,"W,3-1",GS-8,W(9-9),4,8.0,2,1,1,0,5.0,1,0,3.55,25,103,65,13,10,5,15,3,2,0,79,,,0,0,0,25,0,0,0,1,0,0,.85,0.387,2.97,28.80,48.00,1t start tie,8t 3 out a2,Jeff Samardzija
