Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,69,2,Mar 31,PIT,@,CIN,"W,5-0",7-8,H(1),99,2.0,0,0,0,0,1.0,0,0,0.00,6,30,18,4,1,4,1,1,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,.49,0.077,1.09,6.50,9.00,7b --- 0 out a3,8b 3 out a5,Joe Musgrove
2,70,6,Apr 5,PIT,,CIN,"W,2-0",GS-7,W(1-0),4,7.0,3,0,0,1,8.0,0,1,0.00,24,88,63,16,17,5,9,5,1,0,78,,,0,1,1,22,2,0,0,0,0,0,1.04,0.446,3.56,32.75,57.00,1t start tie,7t 3 out tie,Joe Musgrove
3,71,11,Apr 11,PIT,@,CHC,"L,0-2",GS-7,L(1-1),5,6.1,4,2,0,2,6.0,0,0,0.00,25,87,55,15,8,7,10,5,1,0,65,,,2,0,0,23,1,0,0,1,0,1,1.28,0.156,2.07,22.65,37.00,1b start tie,7b -2- 1 out d1,Joe Musgrove
4,72,15,Apr 16,PIT,@,DET,"W,5-3",GS-7,,4,7.0,6,2,2,1,6.0,0,0,0.81,27,104,73,21,15,7,13,6,2,0,62,,,0,0,0,26,3,0,0,0,0,0,1.25,0.314,1.95,19.55,33.00,1b start tie,7b 3 out a1,Joe Musgrove
5,73,20,Apr 22,PIT,,ARI,"L,4-12",GS-7,,5,6.0,5,3,3,2,5.0,1,0,1.59,25,94,68,17,13,10,8,3,0,0,53,,,0,0,0,23,2,0,0,0,0,0,.84,0.101,1.05,13.30,24.00,1t start tie,7t 12- 0 out a3,Joe Musgrove
6,74,25,Apr 27,PIT,@,LAD,"L,1-3",GS-7,L(1-2),4,6.2,6,3,1,1,5.0,0,1,1.54,28,99,67,17,9,12,9,3,2,0,58,,,0,0,0,25,0,1,0,1,1,1,1.57,-0.133,0.19,18.20,32.00,1b start tie,7b --3 2 out d2,Joe Musgrove
7,75,29,May 3,PIT,,OAK,"L,1-14",GS-3,L(1-3),5,2.2,6,7,5,2,1.0,0,1,2.63,19,69,44,12,6,8,7,4,1,0,21,,,0,0,0,16,1,0,0,0,0,1,.92,-0.461,-6.25,-7.40,-4.00,1t start tie,3t 123 2 out d6,Joe Musgrove
8,76,34,May 9,PIT,@,STL,"L,4-17",GS-4,L(1-4),5,3.0,6,8,8,5,3.0,0,0,4.20,20,78,43,11,6,5,7,5,0,0,13,,,0,0,0,15,2,0,0,0,0,0,.91,-0.437,-5.45,-9.85,-6.00,1b start a 1,4b 12- 0 out d4,Joe Musgrove
9,77,39,May 14,PIT,@,ARI,"W,6-2",GS-7,W(2-4),4,7.0,1,0,0,2,5.0,0,0,3.59,23,75,48,14,9,6,10,4,0,0,78,,,0,0,0,21,0,0,0,1,0,0,.90,0.403,3.74,27.95,48.00,1b start tie,7b 3 out a3,Joe Musgrove
10,78,44,May 19,PIT,@,SDP,"W,6-4",GS-7,W(3-4),4,6.1,4,4,3,1,4.0,1,0,3.67,23,87,58,16,6,9,9,2,4,0,54,,,0,0,1,22,1,0,0,1,0,1,.67,-0.069,-0.75,17.25,34.00,1b start a 4,7b --- 1 out a1,Joe Musgrove
