Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,52,8,Apr 7,WSN,@,NYM,"W,12-9",9-9,,99,0.1,1,3,3,1,0.0,1,1,81.00,4,22,10,2,3,0,2,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,.26,-0.014,-2.77,-7.05,-8.00,9b --- 0 out a6,9b --- 1 out a3,Joe Ross
2,53,10,Apr 9,WSN,@,PHI,"W,10-6",5-6,,1,2.0,1,0,0,0,2.0,0,0,11.57,7,27,18,4,2,2,3,0,0,0,,0,0,0,0,0,7,0,0,0,0,0,0,.14,0.020,1.08,7.90,12.00,5b --- 0 out d5,6b 3 out d4,Joe Ross
3,54,18,Apr 19,WSN,@,MIA,"L,2-3",6-8,,9,2.0,1,0,0,0,1.0,0,0,6.23,7,22,18,1,4,2,4,1,1,0,,3,0,0,0,0,7,0,0,0,0,0,0,.79,0.105,1.66,5.90,9.00,6b 123 2 out d2,8b --- 2 out d1,Joe Ross
4,55,22,Apr 23,WSN,@,COL,"W,6-3",7-7,H(1),3,0.1,0,0,0,0,0.0,0,0,5.79,1,3,2,0,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1.90,0.052,0.29,0.75,1.00,7b --- 0 out a1,7b --- 1 out a1,Joe Ross
5,56,25,Apr 27,WSN,,SDP,"L,3-8",8-8,,3,1.0,1,0,0,1,1.0,0,0,4.76,4,19,12,3,2,2,0,0,0,0,,0,0,0,0,0,3,0,0,0,1,0,0,2.86,0.114,0.56,3.05,6.00,8t --- 0 out tie,8t 3 out tie,Joe Ross
6,57,26,Apr 28,WSN,,SDP,"W,7-6",9-9,,0,1.0,2,0,0,1,1.0,0,0,4.05,6,21,12,2,5,2,2,1,1,0,,0,0,0,0,0,5,0,0,0,0,0,0,3.34,0.149,0.56,2.45,6.00,9t --- 0 out tie,9t 3 out tie,Joe Ross
7,58,28,Apr 30,WSN,,STL,"L,2-3",9-GF,,1,0.1,0,0,0,0,0.0,0,0,3.86,1,2,2,1,0,1,0,0,0,0,,2,0,0,0,0,1,0,0,0,0,0,0,1.38,0.037,0.47,0.75,1.00,9t 12- 2 out d1,9t end d 1,Joe Ross
8,59,29,May 1,WSN,,STL,"L,1-5",8-8,,0,0.0,2,2,2,1,0.0,0,0,6.43,3,9,5,0,0,1,1,1,0,0,,0,0,0,0,0,2,1,0,0,0,0,0,.68,-0.108,-2.35,-5.80,-6.00,8t --- 0 out d2,8t 1-3 0 out d3,Joe Ross
9,60,32,May 4,WSN,@,PHI,"W,10-8",7-7,BS(1),2,0.1,5,5,5,1,0.0,0,0,12.27,7,29,18,4,2,3,3,3,0,0,,0,0,0,0,0,6,4,0,0,0,0,0,1.76,-0.714,-5.17,-12.85,-14.00,7b --- 0 out a2,7b -2- 1 out d3,Joe Ross
10,61,35,May 7,WSN,@,MIL,"L,0-6",8-GF(8),,2,1.0,0,0,0,0,1.0,0,0,10.80,3,16,10,1,2,1,1,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.54,4.25,6.00,8b --- 0 out d6,8b end d 6,Joe Ross
11,62,38,May 10,WSN,@,LAD,"L,0-5",6-6,,2,1.0,0,0,0,0,2.0,0,0,9.64,3,14,9,4,2,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.23,0.018,0.51,6.25,9.00,6b --- 0 out d3,6b 3 out d3,Joe Ross
12,63,41,May 14,WSN,,NYM,"L,2-6",9-GF,,3,1.0,1,1,1,1,0.0,1,0,9.58,5,20,10,2,1,2,2,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.11,-0.016,-0.44,-0.95,0.00,9t --- 0 out d3,9t end d 4,Joe Ross
13,64,44,May 17,WSN,,CHC,"L,6-14",7-7,,2,0.1,1,0,0,0,0.0,0,1,9.28,3,8,6,2,0,1,1,0,0,0,,1,0,0,0,0,2,0,0,0,0,0,0,.82,0.012,0.25,-0.45,1.00,7t 1-- 2 out d3,7t 3 out d3,Joe Ross
