Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,27,2,Mar 29,SDP,,SFG,"W,4-1",GS-6,W(1-0),99,5.1,3,0,0,2,7.0,0,0,0.00,21,87,56,18,14,7,5,4,0,0,67,,,0,0,0,19,2,0,0,0,0,0,.79,0.242,2.49,27.00,49.00,1t start tie,6t 1-- 1 out a4,Joey Lucchesi
2,28,7,Apr 3,SDP,,ARI,"W,4-1",GS-5,W(2-0),4,5.0,4,0,0,1,6.0,0,0,0.00,20,83,55,12,9,5,8,5,1,0,64,,,0,0,0,19,3,0,0,0,0,0,.94,0.280,2.51,24.25,45.00,1t start tie,5t 3 out tie,Joey Lucchesi
3,29,12,Apr 9,SDP,@,SFG,"L,2-7",GS-4,L(2-1),5,4.0,7,7,7,2,4.0,0,0,4.40,21,76,46,12,12,7,8,6,0,0,22,,,0,0,0,17,3,0,0,0,1,0,.57,-0.346,-5.01,-2.40,3.00,1b start tie,4b 3 out d7,Joey Lucchesi
4,30,18,Apr 15,SDP,,COL,"L,2-5",GS-7,L(2-2),5,7.0,7,5,5,2,4.0,2,0,5.06,29,89,58,18,4,11,12,6,1,0,45,,,0,1,0,26,2,0,0,1,0,1,.80,-0.178,-1.49,8.35,18.00,1t start tie,7t 3 out d4,Joey Lucchesi
5,31,23,Apr 21,SDP,,CIN,"W,4-3",GS-6,W(3-2),5,5.2,5,1,1,2,8.0,0,0,4.33,24,92,58,15,14,10,4,2,0,0,61,,,0,0,0,22,1,0,0,0,0,0,.78,0.134,1.58,26.55,50.00,1t start tie,6t 12- 2 out a3,Joey Lucchesi
6,32,28,Apr 28,SDP,@,WSN,"L,6-7",GS-4,,6,4.0,9,5,4,1,5.0,2,0,4.94,23,84,51,7,7,7,10,3,1,0,30,,,0,0,0,22,0,0,0,0,0,1,1.04,-0.136,-2.75,5.00,15.00,1b start a 1,4b 3 out a1,Joey Lucchesi
7,33,34,May 4,SDP,,LAD,"L,6-7",GS-6,,5,5.0,5,3,3,2,2.0,0,0,5.00,22,100,64,21,6,11,7,0,2,0,45,,,0,0,0,20,1,0,0,0,0,0,.94,0.028,0.52,5.05,12.00,1t start tie,6t 12- 0 out a2,Joey Lucchesi
8,34,40,May 11,SDP,@,COL,"W,4-3",GS-6,,6,5.1,3,1,1,1,4.0,0,0,4.57,20,71,46,11,10,7,8,2,2,0,61,,,0,0,0,19,2,0,0,0,0,0,.91,0.300,2.97,15.60,25.00,1b start tie,6b -2- 1 out a2,Joey Lucchesi
9,35,45,May 17,SDP,,PIT,"L,3-5",GS-7,L(3-3),5,7.0,5,2,2,0,6.0,1,0,4.28,25,77,52,16,6,14,5,2,1,0,65,,,0,0,0,25,0,0,0,2,0,1,.83,0.121,1.52,20.75,33.00,1t start tie,7t 3 out d1,Joey Lucchesi
10,36,51,May 24,SDP,@,TOR,"W,6-3",GS-7,,6,6.2,3,3,3,1,11.0,2,0,4.25,24,95,66,20,16,2,10,2,1,0,66,,,0,0,0,23,0,0,0,0,0,0,.87,0.047,0.51,28.60,44.00,1b start tie,7b 1-- 2 out tie,Joey Lucchesi
11,37,57,May 31,SDP,,MIA,"W,5-2",GS-7,W(4-3),6,6.1,2,1,1,1,5.0,1,0,3.96,23,86,54,14,12,8,9,2,1,0,69,,,0,0,0,22,1,0,0,0,0,0,.99,0.234,1.99,24.45,43.00,1t start tie,7t 1-- 1 out a1,Joey Lucchesi
12,38,63,Jun 6,SDP,,WSN,"W,5-4",GS-5,W(5-3),5,5.0,4,4,4,3,5.0,1,0,4.21,23,95,60,22,7,8,7,1,0,0,45,,,0,0,0,20,2,0,0,0,0,1,.72,-0.168,-1.49,13.05,30.00,1t start tie,5t 3 out d2,Joey Lucchesi
13,39,68,Jun 12,SDP,@,SFG,"L,2-4",GS-6,L(5-4),5,6.0,5,3,2,2,6.0,1,0,4.11,25,90,55,13,12,8,9,2,1,0,56,,,0,0,0,23,0,0,0,0,0,0,1.01,-0.107,-0.02,17.30,30.00,1b start tie,6b 3 out d1,Joey Lucchesi
14,40,73,Jun 17,SDP,,MIL,"W,2-0",GS-7,W(6-4),4,7.0,3,0,0,3,5.0,0,0,3.74,25,103,62,19,11,10,7,4,0,0,73,,,0,0,0,22,1,0,0,2,0,0,1.03,0.410,3.52,26.15,48.00,1t start tie,7t 3 out a2,Joey Lucchesi
15,41,78,Jun 23,SDP,@,PIT,"L,10-11",GS-5,,5,5.0,6,4,4,0,4.0,0,1,3.95,22,86,56,12,14,3,14,8,1,0,43,,,0,0,0,19,2,0,0,0,2,0,1.31,-0.251,-1.46,7.05,15.00,1b start a 1,5b 3 out d1,Joey Lucchesi
16,42,83,Jun 30,SDP,,STL,"L,3-5",GS-6,,6,5.1,4,2,2,3,6.0,0,0,3.91,22,87,51,14,9,6,7,3,0,0,55,,,1,0,0,19,0,0,0,1,0,0,1.11,0.145,1.44,15.80,28.00,1t start tie,6t 123 1 out a3,Joey Lucchesi
17,43,90,Jul 7,SDP,@,LAD,"W,5-3",GS-7,W(7-4),6,6.1,6,3,3,0,4.0,2,0,3.94,25,91,59,16,12,9,12,3,1,0,53,,,1,0,0,25,1,0,0,0,0,0,.79,0.061,0.02,16.65,34.00,1b start a 1,7b 1-- 1 out a2,Joey Lucchesi
18,44,92,Jul 13,SDP,,ATL,"L,5-7",GS-5,,5,5.0,3,2,2,2,4.0,1,0,3.92,20,79,49,12,6,9,5,2,0,0,55,,,0,0,0,18,0,0,0,0,0,0,.82,0.046,0.51,12.25,21.00,1t start tie,5t 3 out d1,Joey Lucchesi
19,45,98,Jul 20,SDP,@,CHC,"L,5-6",GS-5,L(7-5),6,4.1,10,6,6,3,3.0,1,0,4.27,24,97,60,12,10,10,8,4,0,0,19,,,0,0,0,21,3,1,0,1,0,0,1.29,-0.509,-4.25,-4.05,4.00,1b start tie,5b 12- 1 out d1,Joey Lucchesi
20,46,103,Jul 26,SDP,,SFG,"L,1-2",GS-6,,5,6.0,2,1,1,4,8.0,0,0,4.12,25,97,60,18,12,6,7,2,2,0,68,,,1,0,0,21,1,0,0,1,0,1,1.38,0.212,2.01,23.90,39.00,1t start tie,6t 3 out tie,Joey Lucchesi
21,47,108,Aug 1,SDP,@,LAD,"L,2-8",GS-6,L(7-6),5,5.2,4,4,4,3,4.0,1,0,4.23,23,99,59,20,10,7,9,6,2,0,46,,,0,0,0,19,0,0,0,1,0,0,1.29,0.151,1.27,8.55,17.00,1b start tie,6b 123 2 out a1,Joey Lucchesi
22,48,113,Aug 7,SDP,@,SEA,"L,2-3",GS-6,,5,5.1,5,2,2,1,8.0,1,0,4.19,22,102,67,25,11,6,7,3,1,0,57,,,1,0,0,21,0,1,0,0,0,0,.92,0.054,0.81,20.40,34.00,1b start a 1,6b --- 1 out tie,Joey Lucchesi
23,49,118,Aug 12,SDP,,TBR,"L,4-10",GS-5,L(7-7),4,4.2,5,3,3,3,6.0,1,0,4.25,21,94,54,12,11,6,6,2,2,0,45,,,1,1,0,18,0,0,0,0,0,0,.95,-0.093,-0.72,11.70,23.00,1t start tie,5t 1-- 2 out d1,Joey Lucchesi
24,50,123,Aug 18,SDP,@,PHI,"W,3-2",GS-6,W(8-7),5,6.0,3,2,2,2,4.0,0,0,4.20,23,109,69,19,4,7,10,4,2,0,60,,,0,0,0,21,2,0,0,0,0,0,.99,0.090,1.24,18.50,36.00,1b start tie,6b 3 out tie,Joey Lucchesi
25,51,129,Aug 25,SDP,,BOS,"W,3-1",GS-5,W(9-7),6,5.0,3,1,1,2,3.0,1,0,4.11,20,73,47,16,4,8,7,3,0,0,58,,,0,0,0,18,0,0,0,0,0,0,.77,0.167,1.51,16.25,33.00,1t start tie,5t 3 out a2,Joey Lucchesi
26,52,135,Aug 31,SDP,@,SFG,"W,4-1",GS-6,,5,6.0,8,1,1,1,3.0,1,1,4.00,26,102,62,15,7,9,12,3,3,0,54,,,0,0,0,24,1,0,0,2,0,0,1.07,0.199,1.98,11.50,24.00,1b start tie,6b 3 out tie,Joey Lucchesi
27,53,141,Sep 7,SDP,,COL,"W,3-0",GS-6,W(10-7),6,6.0,2,0,0,5,8.0,0,0,3.84,24,90,52,16,6,6,5,2,2,0,71,,,0,0,0,19,0,0,0,1,0,0,1.35,0.361,3.01,29.30,54.00,1t start tie,6t 3 out a1,Joey Lucchesi
28,54,147,Sep 13,SDP,@,COL,"L,8-10",GS-4,L(10-8),5,3.2,9,8,8,0,2.0,3,0,4.22,20,45,32,4,5,7,11,4,0,0,13,,,0,0,0,18,2,1,0,0,1,0,.78,-0.390,-5.64,-9.15,-7.00,1b start tie,4b --- 2 out d6,Joey Lucchesi
29,55,153,Sep 19,SDP,@,MIL,"L,1-5",GS-4,L(10-9),5,4.0,6,3,3,2,7.0,1,0,4.28,21,85,51,17,6,4,8,3,1,0,43,,,0,0,0,19,2,0,0,0,0,0,1.00,-0.126,-0.86,12.20,24.00,1b start tie,4b 3 out d2,Joey Lucchesi
30,56,159,Sep 26,SDP,,LAD,"L,0-1",GS-6,L(10-10),6,6.0,3,1,1,2,6.0,0,0,4.18,23,79,50,17,9,11,4,1,0,0,66,,,0,0,0,20,0,0,0,1,0,1,1.12,0.173,2.01,20.50,33.00,1t start tie,6t 3 out d1,Joey Lucchesi
