Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,73,1,Mar 28,MIN,,CLE,"W,2-0",GS-8,W(1-0),99,7.2,2,0,0,1,10.0,0,0,0.00,26,96,67,17,15,5,10,2,3,0,84,,,0,0,0,25,1,0,0,0,0,0,.99,0.506,4.17,39.45,65.00,1t start tie,8t 1-- 2 out a2,Jose Berrios
2,74,4,Apr 2,MIN,@,KCR,"W,5-4",GS-7,,4,7.0,7,3,3,0,4.0,1,0,1.84,27,86,59,17,7,9,14,7,0,0,55,,,1,0,0,26,2,1,0,0,1,1,1.04,0.058,0.91,13.55,24.00,1b start tie,7b 3 out tie,Jose Berrios
3,75,8,Apr 7,MIN,@,PHI,"L,1-2",GS-6,L(1-1),4,6.0,2,2,2,3,7.0,1,0,2.18,23,98,64,22,9,7,6,0,3,0,64,,,1,0,0,20,0,0,0,0,0,0,1.11,0.031,1.24,20.50,33.00,1b start a 1,6b 3 out d1,Jose Berrios
4,76,12,Apr 14,MIN,,DET,"W,6-4",GS-7,W(2-1),6,6.2,4,2,2,1,7.0,1,1,2.30,26,98,66,19,14,9,8,3,1,0,64,,,0,0,0,24,1,0,0,0,0,0,.92,0.154,1.62,25.40,47.00,1t start tie,7t 1-- 2 out a3,Jose Berrios
5,77,17,Apr 20(1),MIN,@,BAL,"W,6-5",GS-6,W(3-1),5,6.0,8,4,4,3,5.0,3,1,2.97,28,104,63,20,12,4,15,5,4,0,42,,,2,0,1,24,2,0,0,0,0,0,1.14,-0.079,-0.72,12.30,33.00,1b start tie,6b 3 out a2,Jose Berrios
6,78,24,Apr 27,MIN,,BAL,"W,9-2",GS-6,W(4-1),6,6.0,7,2,2,0,8.0,0,0,2.97,25,101,70,19,13,3,14,4,3,0,58,,,1,0,0,25,1,0,0,0,0,0,1.07,0.090,1.32,25.30,48.00,1t start tie,6t 3 out d1,Jose Berrios
7,79,29,May 2,MIN,,HOU,"W,8-2",GS-7,W(5-1),4,7.0,7,2,2,0,5.0,1,0,2.91,28,88,68,20,6,6,17,4,3,0,60,,,0,0,0,27,1,0,0,0,1,0,.67,0.144,1.87,21.55,42.00,1t start tie,7t 3 out a6,Jose Berrios
8,80,34,May 7,MIN,@,TOR,"W,3-0",GS-7,W(6-1),4,7.0,4,0,0,0,5.0,0,0,2.53,25,92,65,16,10,7,13,6,1,0,74,,,0,0,0,25,1,0,0,0,0,0,1.07,0.430,3.75,27.35,48.00,1b start a 1,7b 3 out a3,Jose Berrios
9,81,40,May 13,MIN,,LAA,"L,4-5",GS-6,L(6-2),5,5.2,12,5,5,3,3.0,2,0,3.05,30,101,63,19,4,15,9,7,0,0,25,,,1,0,0,27,1,0,0,2,0,0,1.08,-0.313,-2.15,-0.25,11.00,1t start tie,6t 12- 2 out d1,Jose Berrios
10,82,45,May 18,MIN,@,SEA,"W,18-4",GS-5,,4,4.2,8,4,4,0,6.0,0,0,3.39,22,105,70,14,8,5,11,7,3,0,38,,,0,0,0,22,1,0,0,0,0,0,.23,0.086,-1.88,9.70,20.00,1b start tie,5b 12- 2 out a11,Jose Berrios
11,83,50,May 24,MIN,,CHW,"W,11-4",GS-7,W(7-2),5,6.2,9,4,1,0,4.0,0,2,3.20,31,98,74,18,9,13,12,6,2,0,50,,,0,0,0,28,1,0,0,1,0,1,.91,-0.109,-0.38,18.40,41.00,1t start tie,7t 1-- 2 out a6,Jose Berrios
12,84,56,May 31,MIN,@,TBR,"W,5-3",GS-7,,6,6.2,3,3,3,3,8.0,1,1,3.27,27,99,64,17,16,9,6,1,0,0,61,,,2,0,0,23,0,0,0,0,0,0,.99,0.083,0.64,20.80,35.00,1b start a 1,7b --- 2 out tie,Jose Berrios
13,85,61,Jun 6,MIN,@,CLE,"W,5-4",GS-7,W(8-2),5,6.0,2,2,1,1,6.0,1,0,3.14,23,107,74,23,10,10,6,1,2,0,67,,,0,0,0,22,1,0,0,0,0,2,.79,0.236,2.05,25.70,45.00,1b start a 1,7b 1-- 0 out a4,Jose Berrios
14,86,66,Jun 12,MIN,,SEA,"L,6-9",GS-7,,5,6.2,7,1,1,2,6.0,1,0,3.01,28,107,71,19,12,8,12,5,3,0,60,,,0,1,1,26,4,0,0,0,0,0,1.16,0.219,2.52,19.60,35.00,1t start tie,7t -2- 2 out d1,Jose Berrios
15,87,71,Jun 17,MIN,,BOS,"L,0-2",GS-8,L(8-3),4,8.0,5,1,1,0,10.0,0,0,2.86,28,109,83,18,22,6,12,8,1,0,78,,,1,0,0,28,0,0,0,0,0,0,.86,0.342,3.42,33.00,51.00,1t start tie,8t 3 out d1,Jose Berrios
16,88,76,Jun 22,MIN,@,KCR,"W,5-3",GS-8,,4,7.0,5,2,2,3,3.0,0,0,2.84,27,90,55,17,7,9,12,7,0,0,59,,,0,0,0,24,2,0,0,1,0,0,1.29,0.375,2.89,12.95,24.00,1b start tie,8b 12- 0 out a3,Jose Berrios
17,89,81,Jun 28,MIN,@,CHW,"L,4-6",GS-8,L(8-4),5,7.1,9,6,3,0,5.0,2,0,2.89,33,105,78,16,8,12,16,8,1,0,47,,,0,0,0,33,0,0,0,0,0,2,.93,-0.170,-2.00,15.10,28.00,1b start tie,8b --- 1 out d4,Jose Berrios
18,90,86,Jul 4,MIN,@,OAK,"L,2-7",GS-5,L(8-5),5,5.0,6,3,3,3,2.0,1,1,3.00,24,92,54,18,6,7,11,4,2,0,42,,,0,0,0,20,1,0,0,1,0,0,1.41,-0.142,-0.38,3.25,12.00,1b start a 1,5b 3 out d1,Jose Berrios
19,91,92,Jul 14,MIN,@,CLE,"L,3-4",GS-5,,9,5.0,6,3,3,3,6.0,0,0,3.10,24,92,60,14,10,6,9,3,3,0,46,,,1,0,0,21,3,0,0,0,0,0,.83,-0.065,-0.13,11.85,24.00,1b start tie,5b 3 out d3,Jose Berrios
20,92,97,Jul 20,MIN,,OAK,"L,4-5",GS-6,,5,5.2,5,0,0,3,4.0,0,2,2.96,26,113,74,17,8,11,6,3,0,0,60,,,0,0,0,21,0,0,0,2,0,1,1.25,0.288,2.85,14.75,29.00,1t start tie,6t 12- 2 out a2,Jose Berrios
21,93,102,Jul 25,MIN,@,CHW,"W,10-3",GS-7,W(9-5),4,7.0,6,3,2,1,8.0,1,0,2.94,29,106,80,16,14,11,9,2,1,0,62,,,0,0,0,26,0,0,0,0,1,1,.67,0.127,0.75,27.55,51.00,1b start a 1,7b 3 out a7,Jose Berrios
22,94,107,Jul 31,MIN,@,MIA,"W,7-4",GS-7,W(10-5),5,7.0,2,0,0,0,11.0,0,0,2.80,23,81,56,21,13,6,6,3,0,0,84,,,0,0,0,23,0,0,0,0,0,0,.46,0.223,3.48,40.55,66.00,1b start tie,7b 3 out a7,Jose Berrios
23,95,113,Aug 6,MIN,,ATL,"L,7-12",GS-6,L(10-6),5,5.2,9,9,9,4,7.0,2,0,3.24,29,97,63,25,6,7,11,2,2,0,18,,,2,0,0,25,0,1,0,1,0,1,.50,-0.264,-5.07,0.95,11.00,1t start tie,6t --3 2 out d8,Jose Berrios
24,96,118,Aug 11,MIN,,CLE,"L,3-7",GS-7,,4,6.0,6,3,3,1,4.0,1,0,3.29,25,96,66,24,6,7,13,4,1,0,51,,,0,0,0,24,2,0,0,0,0,0,.72,-0.083,-0.70,11.30,21.00,1t start tie,7t 12- 0 out d2,Jose Berrios
25,97,123,Aug 17,MIN,@,TEX,"W,12-7",GS-5,,5,4.1,7,7,3,3,6.0,2,0,3.37,24,92,57,17,15,7,8,4,1,0,32,,,0,0,0,21,0,0,0,0,0,1,1.00,-0.359,-5.63,9.75,22.00,1b start a 6,5b 123 1 out a2,Jose Berrios
26,98,128,Aug 23,MIN,,DET,"L,6-9",GS-6,L(10-7),5,5.1,10,5,5,2,5.0,1,0,3.53,26,93,66,15,9,6,13,10,0,0,31,,,0,0,0,24,2,0,0,1,0,0,1.34,-0.342,-2.25,4.80,16.00,1t start tie,6t 1-- 1 out d2,Jose Berrios
27,99,133,Aug 29,MIN,@,CHW,"W,10-5",GS-6,W(11-7),5,6.0,7,3,3,2,8.0,0,0,3.57,25,101,63,13,11,8,7,3,1,0,52,,,0,0,0,23,2,0,0,2,0,0,.34,0.080,0.22,22.10,45.00,1b start a 4,6b 3 out a6,Jose Berrios
28,100,139,Sep 4,MIN,@,BOS,"L,2-6",GS-6,L(11-8),5,5.0,8,6,6,3,6.0,2,0,3.78,26,101,65,12,16,9,8,3,1,0,30,,,0,0,0,23,1,0,0,0,0,0,.52,-0.221,-3.60,4.65,15.00,1b start tie,6b -23 0 out d5,Jose Berrios
29,101,144,Sep 10,MIN,,WSN,"W,5-0",GS-7,W(12-8),5,7.0,2,0,0,1,4.0,0,0,3.63,23,94,63,20,4,9,9,5,1,0,76,,,0,0,0,22,0,0,0,1,0,0,1.01,0.462,3.87,25.95,45.00,1t start tie,7t 3 out tie,Jose Berrios
30,102,150,Sep 16,MIN,,CHW,"W,5-3",GS-8,W(13-8),5,7.1,5,2,2,2,8.0,1,0,3.58,28,94,65,20,15,11,7,4,0,0,66,,,0,0,1,25,1,0,0,0,1,1,.93,0.216,1.70,28.30,52.00,1t start tie,8t -2- 1 out a3,Jose Berrios
31,103,155,Sep 21,MIN,,KCR,"L,5-12",GS-6,,4,6.0,8,5,5,1,5.0,1,1,3.70,27,97,66,18,12,5,15,6,2,0,40,,,0,0,0,24,2,0,0,1,1,0,.98,-0.221,-1.68,7.50,18.00,1t start tie,6t 3 out tie,Jose Berrios
32,104,160,Sep 27,MIN,@,KCR,"W,6-2",CG(6),W(14-8),5,6.0,6,2,2,2,9.0,0,0,3.68,26,99,61,13,14,6,9,4,0,0,59,,,0,0,0,23,2,1,0,0,1,0,.82,0.115,1.35,29.20,51.00,1b start a 2,6b 3 out a4,Jose Berrios
