Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,420,1.0,Mar 28,HOU,@,TBR,"W,5-1",GS-7,W(1-0),99,7.0,3,1,1,1,9,1,2,1.29,27,102,74,15,21,9,6,4,0,0,75,,,0,0,0,24,1,0,0,0,0,1,.92,0.226,2.75,32.15,57.0,1b start tie,7b 3 out a4
2,421,6.0,Apr 2,HOU,@,TEX,"L,4-6",GS-5,,4,4.0,6,4,4,3,4,1,1,4.09,22,94,55,9,9,7,7,3,1,0,35,,,0,0,0,18,1,1,0,0,0,0,1.18,-0.325,-2.89,3.00,12.0,1b start a 1,5b 1-3 0 out d1
3,422,11.0,Apr 8,HOU,,NYY,"W,4-3",GS-6,,5,6.0,7,3,3,2,6,1,0,4.24,27,111,71,15,10,6,13,5,1,0,50,,,1,0,0,25,1,0,0,0,0,0,1.08,-0.037,0.42,14.10,27.0,1t start tie,6t 3 out d2
4,423,15.0,Apr 13,HOU,@,SEA,"W,3-1",GS-6,W(2-0),4,6.0,2,1,1,0,11,1,0,3.52,20,105,76,20,15,5,4,0,0,0,75,,,0,0,0,20,0,0,0,0,0,0,.93,0.249,2.08,36.30,60.0,1b start tie,6b 3 out a2
5,424,19.0,Apr 19,HOU,@,TEX,"W,7-2",GS-7,W(3-0),5,7.0,3,1,1,3,8,1,0,3.00,27,107,71,23,15,1,15,7,1,0,72,,,0,0,0,24,1,0,0,0,0,0,.52,0.228,3.29,30.15,54.0,1b start a 3,7b 3 out a6
6,425,24.0,Apr 24,HOU,,MIN,"W,7-1",GS-8,W(4-0),4,8.0,4,1,1,0,8,1,0,2.61,28,98,69,14,12,4,16,9,1,0,78,,,0,0,0,28,1,0,0,0,0,0,.62,0.279,3.55,33.60,57.0,1t start tie,8t 3 out a4
7,426,29.0,Apr 29,HOU,@,MIN,"L,0-1",GS-6,L(4-1),4,6.0,2,1,1,2,7,1,0,2.45,22,100,66,16,14,5,7,2,3,0,69,,,0,0,0,19,1,0,0,1,0,0,.80,0.196,2.32,23.10,36.0,1b start tie,6b 3 out d1
8,427,34.0,May 5,HOU,@,LAA,"W,10-4",GS-7,W(5-1),5,6.1,5,4,4,1,7,3,0,2.86,25,100,67,20,11,7,9,2,2,1,53,,,0,0,0,24,1,0,0,0,0,0,.85,-0.052,-0.50,20.65,40.0,1b start tie,7b --- 1 out a2
9,428,39.0,May 10,HOU,,TEX,"W,3-0",GS-7,W(6-1),4,7.0,1,0,0,2,8,0,1,2.51,24,101,66,14,21,5,8,2,1,0,81,,,0,0,0,21,0,0,0,1,0,0,1.01,0.485,3.98,33.35,57.0,1t start tie,7t 3 out a1
10,429,44.0,May 15,HOU,@,DET,"W,5-1",GS-7,W(7-1),4,7.0,2,1,1,2,9,1,0,2.38,26,101,71,18,20,5,10,2,1,0,76,,,0,0,0,24,0,1,0,0,0,1,1.04,0.326,2.95,33.35,57.0,1b start a 1,7b 3 out a3
11,430,49.0,May 21,HOU,,CHW,"W,5-1",GS-8,W(8-1),5,8.0,1,1,1,1,12,1,0,2.24,26,101,74,11,27,5,8,1,3,0,87,,,0,0,0,25,0,0,0,0,0,0,.59,0.355,3.55,42.80,69.0,1t start tie,8t 3 out a4
12,431,54.0,May 26,HOU,,BOS,"L,1-4",GS-7,L(8-2),4,7.0,5,3,2,0,6,1,0,2.27,28,103,75,19,12,7,15,5,4,0,63,,,2,0,0,27,1,0,0,0,1,2,1.01,0.019,0.98,20.75,33.0,1t start tie,7t 3 out d2
13,432,59.0,Jun 1,HOU,@,OAK,"W,5-1",GS-8,W(9-2),5,8.0,4,1,1,2,8,1,0,2.16,30,114,77,13,22,6,14,6,1,0,76,,,0,0,0,28,1,0,0,0,0,0,1.12,0.426,3.20,32.40,57.0,1b start tie,8b 3 out a2
14,433,64.0,Jun 6,HOU,@,SEA,"W,8-7",GS-7,,4,6.1,5,3,3,0,7,0,0,2.31,24,94,65,18,7,5,12,2,2,0,58,,,1,0,0,24,1,0,0,0,0,0,.89,0.211,1.67,19.25,31.0,1b start a 3,7b 12- 1 out a4
15,434,69.0,Jun 12,HOU,,MIL,"L,3-6",GS-7,,5,7.0,4,3,3,0,15,3,0,2.41,25,100,75,14,27,3,7,2,0,0,72,,,0,0,0,25,1,0,0,0,0,0,.88,0.066,0.98,37.35,57.0,1t start tie,7t 3 out tie
16,435,74.0,Jun 18,HOU,@,CIN,"L,3-4",GS-7,L(9-3),5,7.0,6,4,4,1,8,3,0,2.59,28,110,83,24,21,6,13,4,3,0,56,,,0,0,0,27,3,0,0,0,0,0,.48,-0.124,-0.19,19.55,33.0,1b start tie,7b 3 out d3
17,436,79.0,Jun 23,HOU,@,NYY,"W,9-4",GS-7,W(10-3),4,7.0,4,3,3,2,9,1,0,2.67,26,107,69,19,18,5,10,5,1,0,64,,,0,0,0,24,0,0,0,1,0,0,.47,0.200,0.79,28.15,51.0,1b start a 1,7b 3 out a6
18,437,84.0,Jun 29,HOU,,SEA,"W,6-5",GS-5,,5,5.0,5,4,4,4,5,2,0,2.86,23,100,61,22,9,7,7,1,1,0,42,,,1,1,0,19,1,0,0,0,0,0,.96,-0.096,-1.15,7.85,18.0,1t start tie,5t 3 out a1
19,438,88.0,Jul 5,HOU,,LAA,"L,4-5",GS-7,L(10-4),5,7.0,7,4,4,1,6,3,0,2.98,28,102,75,20,15,8,13,5,2,0,52,,,0,0,0,27,2,0,0,1,0,0,.83,-0.086,-0.02,14.95,27.0,1t start tie,7t 3 out d2
20,439,94.0,Jul 14,HOU,@,TEX,"W,12-4",GS-6,W(11-4),8,6.0,4,2,2,1,7,0,0,2.98,22,95,67,20,16,3,11,4,4,0,62,,,1,0,0,21,0,0,0,0,0,0,1.00,0.185,1.68,24.50,45.0,1b start a 3,6b 3 out a3
21,440,99.0,Jul 19,HOU,,TEX,"W,4-3",GS-6,W(12-4),4,6.0,8,2,2,1,12,2,0,2.99,27,116,80,18,18,4,10,5,0,0,59,,,1,0,0,26,2,0,0,0,0,0,.95,0.171,1.42,32.10,60.0,1t start tie,6t 3 out a2
22,441,104.0,Jul 24,HOU,,OAK,"W,4-2",GS-6,W(13-4),4,6.0,2,1,0,2,11,0,0,2.86,23,101,62,15,13,4,6,1,2,0,75,,,1,0,0,21,0,0,0,0,0,1,.87,0.248,2.42,37.10,63.0,1t start tie,6t 3 out a3
23,442,108.0,Jul 30,HOU,@,CLE,"W,2-0",GS-7,W(14-4),5,7.0,2,0,0,0,13,0,0,2.73,23,105,71,14,22,5,5,2,1,0,86,,,1,0,0,23,0,0,0,0,0,0,1.07,0.470,4.02,44.55,72.0,1b start tie,7b 3 out a2
24,443,113.0,Aug 4,HOU,,SEA,"W,3-1",GS-7,W(15-4),4,6.0,3,1,1,2,10,1,0,2.68,23,98,61,15,12,3,8,2,2,0,70,,,0,0,0,21,0,1,0,0,0,0,1.01,0.260,2.42,32.50,57.0,1t start tie,7t --- 0 out a1
25,444,118.0,Aug 11,HOU,@,BAL,"L,7-8",GS-5,,6,5.0,9,4,4,1,11,0,1,2.82,25,109,76,21,18,3,9,4,1,0,43,,,0,0,0,22,3,1,0,0,1,0,1.28,-0.193,-1.27,18.65,36.0,1b start tie,5b 3 out d1
