Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,101,3,Mar 30,LAD,,ARI,"W,18-5",GS-7,W(1-0),99,6.2,5,3,3,2,6.0,3,0,4.05,25,106,68,21,15,8,9,2,1,0,56,,,0,0,0,23,0,0,0,2,0,0,.54,0.108,0.32,20.80,41.00,1t start tie,7t 1-- 2 out a8,Kenta Maeda
2,102,8,Apr 5,LAD,@,COL,"W,10-6",GS-5,W(2-0),5,5.0,4,1,1,4,4.0,0,0,3.09,22,91,55,14,10,6,8,5,1,0,55,,,0,0,0,17,0,0,0,1,1,0,1.31,0.172,2.12,16.45,36.00,1b start tie,5b 3 out a5,Kenta Maeda
3,103,13,Apr 10,LAD,@,STL,"L,2-7",GS-6,L(2-1),4,5.1,7,5,5,1,5.0,1,0,4.76,23,82,58,17,15,7,10,5,0,0,38,,,1,0,0,21,1,1,0,0,0,0,.87,-0.203,-2.17,7.20,16.00,1b start tie,6b --- 1 out d4,Kenta Maeda
4,104,19,Apr 16,LAD,,CIN,"W,6-1",GS-7,W(3-1),5,6.2,4,1,1,3,5.0,0,0,3.80,27,98,62,9,18,6,13,5,2,0,64,,,0,0,0,24,3,0,0,0,0,0,.90,0.262,2.45,22.80,44.00,1t start tie,7t --- 2 out a3,Kenta Maeda
5,105,25,Apr 23,LAD,@,CHC,"L,2-7",GS-4,L(3-2),6,4.0,7,6,6,3,5.0,1,0,5.20,22,74,52,23,5,6,8,3,2,0,26,,,0,0,0,19,2,0,1,0,0,0,.71,-0.324,-3.84,1.00,9.00,1b start tie,4b 3 out d5,Kenta Maeda
6,106,31,Apr 29,LAD,@,SFG,"L,2-3",GS-6,,5,5.0,7,0,0,2,3.0,0,0,4.41,22,73,45,11,5,6,11,6,0,0,54,,,0,0,0,20,1,0,0,1,0,0,1.26,0.189,1.86,11.85,24.00,1b start tie,6b -2- 0 out a2,Kenta Maeda
7,107,36,May 5,LAD,@,SDP,"L,5-8",GS-6,,5,6.0,3,4,4,3,6.0,1,0,4.66,24,84,56,14,15,4,11,5,3,0,53,,,0,0,0,20,1,1,0,0,1,0,.65,-0.095,-0.99,13.90,24.00,1b start tie,6b 3 out d1,Kenta Maeda
8,108,41,May 10,LAD,,WSN,"W,5-0",GS-6,W(4-2),4,6.0,1,0,0,2,6.0,0,0,4.03,21,86,57,13,11,4,9,2,1,0,74,,,0,0,0,19,0,0,0,0,0,0,.91,0.329,3.05,27.70,48.00,1t start tie,6t 3 out a3,Kenta Maeda
9,109,45,May 15,LAD,,SDP,"W,2-0",GS-7,W(5-2),4,6.2,3,0,0,0,12.0,0,0,3.51,23,85,64,17,22,4,7,2,1,0,80,,,0,0,0,23,1,0,0,0,0,0,.96,0.373,3.32,41.20,68.00,1t start tie,7t 1-- 2 out a2,Kenta Maeda
10,110,53,May 26,LAD,@,PIT,"W,11-7",GS-5,W(6-2),10,5.0,5,3,3,0,4.0,2,0,3.67,20,81,57,8,13,8,8,2,2,0,49,,,0,0,0,20,0,0,0,0,0,0,.80,-0.083,-0.46,14.25,30.00,1b start tie,5b 3 out a1,Kenta Maeda
11,111,58,May 31,LAD,,PHI,"W,6-3",GS-6,W(7-2),4,6.0,3,2,2,0,6.0,1,1,3.61,22,88,57,14,16,5,10,6,2,0,64,,,0,0,0,21,0,0,0,0,0,0,1.04,0.086,1.05,23.10,42.00,1t start tie,6t 3 out a3,Kenta Maeda
12,112,63,Jun 5,LAD,@,ARI,"L,2-3",GS-5,,4,5.0,2,1,1,1,7.0,0,0,3.48,18,70,52,19,12,3,7,4,2,0,65,,,1,0,0,17,1,0,0,0,0,0,1.14,0.188,1.67,21.45,33.00,1b start tie,5b 3 out a1,Kenta Maeda
13,113,68,Jun 11,LAD,@,LAA,"L,3-5",GS-5,L(7-3),5,4.1,3,5,5,3,4.0,2,1,3.89,20,97,58,24,6,4,8,2,3,0,38,,,0,0,0,16,0,0,0,0,0,0,.47,-0.275,-2.58,3.55,10.00,1b start tie,5b --- 1 out d3,Kenta Maeda
14,114,73,Jun 17,LAD,,SFG,"L,2-3",GS-5,L(7-4),5,5.0,3,2,2,2,4.0,0,0,3.87,20,89,58,13,12,4,10,6,2,0,55,,,0,0,0,18,1,0,0,0,0,0,.91,0.040,0.54,12.25,21.00,1t start tie,5t 3 out d1,Kenta Maeda
15,115,79,Jun 23,LAD,,COL,"W,6-3",GS-7,,5,7.0,7,2,2,2,6.0,1,0,3.76,30,86,62,14,14,8,14,6,3,0,59,,,1,0,0,28,0,0,0,0,0,0,.83,0.084,1.56,18.35,33.00,1t start tie,7t 3 out d2,Kenta Maeda
16,116,86,Jun 30,LAD,@,COL,"W,10-5",GS-5,,6,4.1,3,2,2,2,5.0,0,0,3.78,18,88,56,14,10,5,6,2,1,0,52,,,0,0,0,16,0,1,0,0,0,0,1.13,0.174,1.82,12.75,22.00,1b start tie,5b 1-3 1 out a3,Kenta Maeda
17,117,91,Jul 6,LAD,,SDP,"L,1-3",GS-8,L(7-5),5,7.2,4,3,3,1,6.0,2,1,3.76,28,101,68,17,16,12,8,2,1,0,64,,,0,0,0,26,0,0,0,2,0,1,.96,0.044,0.83,19.65,32.00,1t start tie,8t 1-- 2 out d3,Kenta Maeda
18,118,93,Jul 12,LAD,@,BOS,"L,1-8",GS-6,L(7-6),5,5.2,4,3,3,1,7.0,2,0,3.82,22,87,60,13,11,3,11,2,3,0,55,,,0,0,0,21,2,0,0,0,0,0,.72,-0.034,0.08,17.75,29.00,1b start tie,6b --3 2 out d2,Kenta Maeda
19,119,98,Jul 17,LAD,@,PHI,"W,7-2",GS-2,,4,2.0,0,0,0,2,3.0,0,0,3.75,8,35,19,10,3,2,1,0,0,0,57,,,0,0,0,6,0,0,0,0,0,0,1.08,0.108,1.08,9.30,15.00,1b start a 1,2b 3 out a1,Kenta Maeda
20,120,100,Jul 19,LAD,,MIA,"W,2-1",8-8,H(1),1,1.0,0,0,0,0,2.0,0,0,3.71,3,12,10,2,6,1,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,1.59,0.121,0.51,6.25,9.00,8t --- 0 out a1,8t 3 out a1,Kenta Maeda
21,121,103,Jul 23,LAD,,LAA,"L,4-5",GS-5,L(7-7),3,4.1,4,3,3,2,7.0,1,1,3.81,21,95,59,13,15,6,5,1,1,0,48,,,0,0,0,18,1,0,0,0,0,1,1.08,-0.071,-0.15,13.55,25.00,1t start tie,5t -2- 1 out d1,Kenta Maeda
22,122,108,Jul 29,LAD,@,COL,"L,1-9",GS-5,L(7-8),5,4.0,7,6,5,2,5.0,0,0,4.07,23,92,58,12,9,10,6,6,0,0,29,,,1,0,0,21,1,1,0,0,0,2,.87,-0.172,-5.01,3.60,12.00,1b start tie,5b -23 0 out d6,Kenta Maeda
23,123,114,Aug 4,LAD,,SDP,"W,11-10",GS-3,,5,2.2,5,5,5,1,4.0,1,0,4.37,14,61,39,11,10,3,6,5,1,0,31,,,0,0,0,13,1,0,0,0,0,0,1.05,-0.390,-3.71,0.40,5.00,1t start tie,3t 1-- 2 out d2,Kenta Maeda
24,124,119,Aug 10,LAD,,ARI,"W,4-0",GS-7,W(8-8),5,7.0,3,0,0,0,6.0,0,0,4.12,23,93,63,17,14,9,8,4,0,0,77,,,1,1,0,23,0,0,0,0,0,0,.75,0.309,3.56,29.95,51.00,1t start tie,7t 3 out a4,Kenta Maeda
25,125,124,Aug 16,LAD,@,ATL,"W,8-3",GS-5,,5,4.2,5,3,3,4,9.0,0,0,4.18,23,87,54,12,14,3,7,6,0,0,47,,,1,0,0,19,1,0,0,0,0,0,1.09,-0.095,-0.69,17.10,32.00,1b start tie,5b 12- 2 out d1,Kenta Maeda
26,126,129,Aug 22,LAD,,TOR,"W,3-2",GS-6,,5,6.0,4,2,2,1,9.0,1,0,4.13,23,85,57,15,17,6,7,3,1,0,64,,,0,0,0,22,0,0,0,0,0,0,.84,0.061,1.05,24.50,39.00,1t start tie,6t 3 out d2,Kenta Maeda
27,127,135,Aug 28,LAD,@,SDP,"W,6-4",GS-5,,5,5.0,2,2,2,3,3.0,0,0,4.11,20,79,47,9,4,7,7,1,1,0,55,,,0,0,0,15,1,0,0,0,1,0,1.22,0.102,0.51,10.25,18.00,1b start tie,5b 3 out a1,Kenta Maeda
