Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,161,7,Apr 5,ATL,,MIA,"W,4-0",GS-7,W(1-0),99,7.0,2,0,0,2,7.0,0,0,0.00,22,88,54,14,12,4,9,4,2,0,78,,,0,0,0,20,0,0,0,3,0,0,.83,0.331,3.89,31.35,54.00,1t start tie,7t 3 out a4,Kevin Gausman
2,162,12,Apr 11,ATL,,NYM,"L,3-6",GS-6,L(1-1),5,5.2,4,4,4,3,5.0,1,0,2.84,24,102,65,10,12,8,8,5,0,0,47,,,0,0,0,20,0,0,0,0,0,0,.97,-0.032,-0.20,10.55,20.00,1t start tie,6t 1-3 2 out d1,Kevin Gausman
3,163,17,Apr 17,ATL,,ARI,"L,2-3",GS-7,,5,7.0,3,2,2,1,10.0,1,0,2.75,25,99,67,13,19,5,9,3,1,0,72,,,1,0,0,24,1,0,0,0,0,0,1.09,0.185,1.89,29.35,45.00,1t start tie,7t 3 out tie,Kevin Gausman
4,164,22,Apr 23,ATL,@,CIN,"L,6-7",GS-6,L(1-2),5,5.1,8,6,5,2,6.0,2,0,3.96,27,88,58,19,8,9,10,4,1,0,34,,,0,0,0,23,1,0,0,0,0,1,.89,-0.429,-2.45,8.00,19.00,1b start tie,6b -2- 1 out d1,Kevin Gausman
5,165,27,Apr 28,ATL,,COL,"W,8-7",GS-5,,4,5.0,5,5,5,2,5.0,1,0,4.80,22,79,55,10,8,7,8,1,1,0,40,,,1,0,0,18,3,0,0,0,1,0,1.11,-0.237,-2.22,7.05,15.00,1t start tie,5t 3 out tie,Kevin Gausman
6,166,32,May 3,ATL,@,MIA,"W,7-2",GS-2,,4,1.2,1,1,1,1,1.0,0,1,4.83,8,27,16,5,3,3,2,1,0,0,49,,,0,0,0,6,0,0,0,0,0,0,1.27,-0.071,-0.61,1.95,5.00,1b start a 1,2b -23 2 out tie,Kevin Gausman
7,167,35,May 6,ATL,@,LAD,"L,3-5",GS-5,L(1-3),2,4.1,7,5,3,4,6.0,0,0,5.00,24,85,53,13,14,6,8,5,1,0,35,,,1,0,0,19,2,0,0,0,1,0,.78,-0.251,-3.88,9.15,22.00,1b start tie,5b -23 1 out d5,Kevin Gausman
8,168,40,May 11,ATL,@,ARI,"W,6-4",GS-6,W(2-3),4,6.0,5,1,1,2,6.0,0,1,4.50,26,84,59,14,10,7,10,6,0,0,62,,,0,0,0,22,1,0,0,1,1,0,1.76,0.250,2.21,22.70,45.00,1b start tie,6b 3 out a1,Kevin Gausman
9,169,46,May 18,ATL,,MIL,"W,4-3",GS-6,,6,6.0,6,2,2,2,4.0,0,0,4.31,26,94,67,17,12,14,6,4,1,0,54,,,1,0,0,24,3,0,1,0,0,0,1.02,0.117,1.34,12.70,24.00,1t start tie,6t 3 out d1,Kevin Gausman
10,170,51,May 23,ATL,@,SFG,"W,5-4",GS-6,,4,6.0,4,3,3,2,6.0,0,1,4.33,25,88,58,10,17,2,14,6,0,0,56,,,0,0,0,21,2,0,0,0,1,0,.92,-0.087,-0.02,15.30,27.00,1b start tie,6b 3 out d1,Kevin Gausman
11,171,56,May 29,ATL,,WSN,"L,4-14",GS-2,L(2-4),5,1.0,8,8,8,2,1.0,0,0,5.56,13,42,26,7,3,4,6,3,0,0,4,,,1,0,0,10,0,1,0,0,1,0,1.01,-0.411,-6.84,-17.75,-18.00,1t start tie,2t 1-- 0 out d7,Kevin Gausman
12,172,61,Jun 5,ATL,@,PIT,"L,4-7",GS-5,L(2-5),6,5.0,12,7,7,0,3.0,2,1,6.15,27,88,61,8,11,10,13,9,0,0,18,,,3,0,0,26,4,0,0,0,0,0,.52,-0.400,-4.46,-4.55,3.00,1b start tie,5b 3 out d6,Kevin Gausman
