Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,215,3,Mar 31,TEX,,CHC,"W,11-10",GS-6,,99,5.2,10,7,7,0,5.0,1,0,11.12,28,103,63,16,10,11,12,5,0,0,26,,,0,0,0,27,2,0,0,0,0,0,1.03,-0.333,-2.60,2.75,11.00,1t start tie,6t 1-- 2 out d1,Lance Lynn
2,216,8,Apr 5,TEX,@,LAA,"L,1-3",GS-7,L(0-1),4,7.0,5,2,2,1,5.0,1,0,6.39,26,105,65,26,6,8,12,5,1,0,63,,,0,0,0,25,1,0,0,1,0,0,1.06,0.109,1.79,18.15,30.00,1b start tie,7b 3 out d1,Lance Lynn
3,217,12,Apr 10,TEX,@,ARI,"W,5-2",GS-6,W(1-1),4,6.0,4,1,1,2,9.0,0,1,4.82,25,111,72,14,14,7,6,2,0,0,67,,,0,0,0,22,1,0,0,0,0,0,1.01,0.215,2.21,29.30,54.00,1b start tie,6b 3 out tie,Lance Lynn
4,218,17,Apr 17,TEX,,LAA,"W,5-4",GS-6,W(2-1),6,5.2,7,2,2,3,2.0,0,0,4.44,26,102,68,19,3,7,14,7,2,0,46,,,0,0,0,23,1,0,0,1,0,0,1.09,0.084,1.18,10.75,29.00,1t start tie,6t 12- 2 out a3,Lance Lynn
5,219,22,Apr 23,TEX,@,OAK,"L,5-11",GS-4,L(2-2),5,3.1,9,8,8,2,3.0,1,1,6.51,22,79,52,14,6,5,11,5,1,0,11,,,1,0,0,19,2,1,0,0,0,0,.92,-0.461,-6.84,-9.70,-5.00,1b start a 1,4b 12- 1 out d6,Lance Lynn
6,220,27,Apr 28,TEX,@,SEA,"W,14-1",GS-7,W(3-2),4,7.0,5,1,1,3,9.0,0,0,5.45,27,113,74,14,18,4,11,5,2,0,69,,,0,0,0,24,2,0,0,1,0,0,.63,0.140,2.59,30.95,57.00,1b start a 1,7b 3 out a9,Lance Lynn
7,221,31,May 4,TEX,,TOR,"W,8-5",GS-6,W(4-2),5,6.0,8,5,5,5,3.0,0,0,5.75,29,103,62,12,9,10,11,7,0,0,34,,,0,0,0,23,1,1,0,1,1,0,1.01,0.024,-1.32,5.70,24.00,1t start tie,6t 3 out a3,Lance Lynn
8,222,36,May 10,TEX,@,HOU,"L,0-3",GS-7,L(4-3),5,7.0,6,3,3,1,8.0,3,0,5.48,28,118,70,17,11,8,11,6,1,0,60,,,0,0,0,27,1,0,0,0,0,0,.74,0.065,0.98,21.55,36.00,1b start tie,7b 3 out d3,Lance Lynn
9,223,41,May 16,TEX,@,KCR,"W,16-1",GS-7,W(5-3),5,7.0,6,1,1,1,5.0,0,1,4.94,27,91,58,14,6,10,10,4,1,0,65,,,0,0,0,24,2,0,0,2,1,0,.64,0.150,2.91,22.95,45.00,1b start tie,7b 3 out a9,Lance Lynn
10,224,46,May 21,TEX,,SEA,"W,5-3",GS-7,W(6-3),4,7.0,5,2,2,1,11.0,0,0,4.67,26,120,75,21,16,5,9,5,0,0,69,,,0,0,0,24,0,0,0,1,1,0,1.25,0.278,2.29,34.15,60.00,1t start tie,7t 3 out a1,Lance Lynn
11,225,51,May 27,TEX,@,SEA,"L,2-6",GS-6,L(6-4),5,6.0,7,3,3,3,10.0,0,0,4.66,28,116,71,10,18,5,10,6,3,0,53,,,2,0,0,25,1,0,0,0,0,0,1.10,-0.043,0.08,21.50,39.00,1b start tie,6b 3 out d1,Lance Lynn
12,226,56,Jun 1,TEX,,KCR,"W,6-2",GS-7,W(7-4),4,6.1,6,2,2,0,7.0,0,1,4.50,26,102,69,16,12,7,11,8,2,0,60,,,1,0,0,25,4,0,0,0,0,0,.97,0.218,1.52,24.05,46.00,1t start tie,7t -2- 1 out a3,Lance Lynn
13,227,61,Jun 7,TEX,,OAK,"L,3-5",GS-6,,5,6.0,6,2,2,1,8.0,1,0,4.39,24,104,62,20,14,8,7,3,3,0,59,,,0,0,0,23,1,0,0,0,0,0,.97,0.116,1.68,21.30,36.00,1t start tie,6t 3 out d2,Lance Lynn
14,228,67,Jun 12,TEX,@,BOS,"L,3-4",GS-6,,4,6.0,6,3,3,1,8.0,0,0,4.40,24,100,64,22,12,6,9,4,0,0,55,,,1,1,0,23,2,2,0,0,0,0,1.04,0.011,0.48,19.30,33.00,1b start a 2,6b 3 out d1,Lance Lynn
15,229,72,Jun 17,TEX,,CLE,"W,7-2",GS-7,W(8-4),4,7.0,6,1,1,0,9.0,1,0,4.16,27,108,68,15,15,10,8,2,1,0,70,,,0,0,0,27,1,0,0,0,0,0,.80,0.273,3.29,32.15,57.00,1t start tie,7t 3 out a6,Lance Lynn
16,230,77,Jun 22,TEX,,CHW,"W,6-5",GS-7,W(9-4),4,7.0,6,5,5,1,6.0,1,0,4.32,28,109,71,12,14,11,10,4,1,0,50,,,0,0,0,27,3,0,0,0,0,0,1.06,-0.004,-0.71,17.55,36.00,1t start tie,7t 3 out a1,Lance Lynn
17,231,82,Jun 28,TEX,@,TBR,"W,5-0",GS-8,W(10-4),5,8.0,3,0,0,1,10.0,0,0,4.00,28,112,73,17,18,7,10,3,3,0,85,,,0,0,0,27,1,0,0,1,0,0,.73,0.334,4.29,39.60,66.00,1b start tie,8b 3 out a4,Lance Lynn
18,232,87,Jul 4,TEX,,LAA,"W,9-3",GS-7,W(11-4),5,7.0,9,2,2,0,5.0,1,0,3.91,30,115,76,19,10,12,13,7,2,0,56,,,0,0,0,30,0,0,0,0,0,0,.89,0.155,2.29,20.35,42.00,1t start tie,7t 3 out a4,Lance Lynn
19,233,91,Jul 11,TEX,,HOU,"W,5-0",GS-7,W(12-4),6,7.0,6,0,0,2,11.0,0,0,3.69,29,110,75,21,13,5,11,7,2,0,74,,,0,0,0,27,1,0,0,0,0,0,.67,0.249,4.29,36.95,66.00,1t start tie,7t 3 out a5,Lance Lynn
20,234,95,Jul 16,TEX,,ARI,"L,2-9",GS-6,L(12-5),4,6.0,8,5,5,1,6.0,1,0,3.87,27,109,75,10,14,10,10,3,0,0,41,,,0,0,0,26,2,0,0,0,0,0,1.07,-0.177,-1.32,10.10,21.00,1t start tie,6t 3 out d4,Lance Lynn
21,235,99,Jul 21,TEX,@,HOU,"L,3-5",GS-7,L(12-6),4,7.0,7,4,4,2,12.0,2,0,3.93,29,118,74,18,14,6,9,3,2,0,57,,,0,0,0,27,0,0,0,1,0,0,.63,-0.083,-0.02,26.35,45.00,1b start tie,7b 3 out d2,Lance Lynn
22,236,104,Jul 26,TEX,@,OAK,"W,5-2",GS-6,W(13-6),4,6.0,4,2,1,2,8.0,0,0,3.83,24,111,73,15,19,7,7,3,1,0,64,,,0,0,0,21,0,0,0,2,1,2,1.30,0.151,1.15,27.90,51.00,1b start tie,6b 3 out a2,Lance Lynn
23,237,109,Aug 2,TEX,,DET,"W,5-4",GS-7,W(14-6),6,7.0,4,1,1,2,10.0,0,0,3.71,27,115,74,17,22,7,8,4,2,0,73,,,2,0,0,25,0,1,0,0,0,0,1.11,0.327,3.29,34.15,60.00,1t start tie,7t 3 out a3,Lance Lynn
24,238,114,Aug 7(2),TEX,@,CLE,"L,1-5",GS-7,L(14-7),4,7.0,4,2,1,3,8.0,1,1,3.60,27,120,73,12,21,6,9,5,1,0,68,,,0,1,0,22,1,0,0,1,1,0,.91,0.139,2.02,24.95,42.00,1b start tie,7b 3 out d2,Lance Lynn
25,239,119,Aug 13,TEX,@,TOR,"L,0-3",GS-5,L(14-8),5,5.0,4,1,1,3,6.0,1,0,3.54,22,101,64,19,13,5,8,5,1,0,58,,,0,0,0,19,1,0,0,0,0,0,1.05,0.139,1.68,17.05,30.00,1b start tie,5b 3 out d1,Lance Lynn
26,240,124,Aug 18,TEX,,MIN,"L,3-6",GS-5,,4,5.0,4,3,3,5,3.0,0,0,3.60,26,112,66,19,8,6,12,6,0,0,45,,,0,0,0,20,2,0,0,0,1,2,1.01,-0.018,0.07,5.85,15.00,1t start tie,5t 3 out d1,Lance Lynn
27,241,130,Aug 23,TEX,@,CHW,"L,3-8",GS-6,L(14-9),4,5.2,11,7,7,2,10.0,0,0,3.85,30,109,75,17,21,5,13,9,0,0,27,,,0,0,0,28,4,0,0,0,0,0,.93,-0.364,-3.12,10.95,26.00,1b start a 3,6b -2- 2 out d3,Lance Lynn
28,242,135,Aug 29,TEX,,SEA,"L,3-5",GS-6,,5,6.0,4,3,1,2,5.0,0,2,3.77,26,103,60,13,5,6,11,7,1,0,59,,,1,0,0,22,1,0,0,0,0,0,1.24,0.092,0.68,16.70,30.00,1t start tie,6t 3 out tie,Lance Lynn
29,243,141,Sep 4,TEX,@,NYY,"L,1-4",GS-5,L(14-10),5,5.0,5,3,3,3,7.0,2,0,3.81,23,108,63,12,16,4,9,3,0,0,49,,,0,0,0,20,0,0,0,0,0,0,.74,-0.089,-0.29,14.45,27.00,1b start tie,5b 3 out d3,Lance Lynn
30,244,146,Sep 10,TEX,,TBR,"L,3-5",GS-7,,5,7.0,4,1,1,3,7.0,0,0,3.72,27,111,72,14,16,8,9,4,1,0,69,,,0,1,0,24,1,0,0,0,0,0,1.03,0.371,3.29,23.55,39.00,1t start tie,7t 3 out a2,Lance Lynn
31,245,152,Sep 17,TEX,@,HOU,"L,1-4",GS-7,L(14-11),6,7.0,7,4,4,1,8.0,3,0,3.77,29,103,71,19,8,7,13,1,2,0,54,,,0,0,0,28,0,1,0,0,0,0,.72,-0.044,-0.02,18.95,33.00,1b start tie,7b 3 out d3,Lance Lynn
32,246,156,Sep 22,TEX,@,OAK,"W,8-3",GS-6,W(15-11),4,5.1,7,2,2,1,12.0,0,1,3.76,25,111,78,19,18,4,7,6,0,0,57,,,0,0,0,23,3,0,0,0,0,0,.60,0.108,0.60,30.60,58.00,1b start a 4,6b 1-- 1 out a6,Lance Lynn
33,247,162,Sep 29,TEX,,NYY,"W,6-1",GS-8,W(16-11),6,7.1,2,1,1,1,10.0,1,0,3.67,25,101,72,13,20,3,11,3,5,0,79,,,0,0,0,24,0,0,0,0,0,0,.67,0.272,3.57,36.70,61.00,1t start tie,8t --- 1 out a5,Lance Lynn
