Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,46,3,Mar 31,CHW,@,KCR,"W,6-3",GS-7,W(1-0),99,6.2,3,2,2,1,8.0,0,0,2.70,24,99,68,21,14,6,9,5,1,0,67,,,0,0,0,23,1,0,0,0,0,0,.70,0.307,1.66,28.60,50.00,1b start tie,7b 1-- 2 out a4,Lucas Giolito
2,47,7,Apr 6,CHW,,SEA,"L,2-9",GS-5,L(1-1),5,4.1,6,5,5,4,4.0,1,0,5.73,21,89,53,19,8,8,5,4,0,0,31,,,0,0,0,17,2,0,0,1,0,0,.84,-0.188,-1.88,1.75,10.00,1t start tie,5t 1-- 1 out d3,Lucas Giolito
3,48,12,Apr 12,CHW,@,NYY,"W,9-6",GS-6,W(2-1),5,5.0,6,6,4,4,6.0,1,0,6.19,25,102,64,17,10,4,11,6,1,0,37,,,0,0,0,20,1,0,0,0,1,1,1.05,-0.395,-3.30,13.25,33.00,1b start a 1,6b 12- 0 out a2,Lucas Giolito
4,49,17,Apr 17,CHW,,KCR,"L,3-4",GS-3,,4,2.2,0,0,0,1,5.0,0,1,5.30,10,36,24,7,9,1,2,0,0,0,62,,,0,0,0,8,0,0,0,0,0,0,.96,0.146,1.50,14.80,23.00,1t start tie,3t --- 2 out tie,Lucas Giolito
5,50,29,May 2,CHW,,BOS,"W,6-4",GS-5,,14,5.0,7,3,3,2,7.0,1,0,5.32,24,98,64,12,15,6,9,6,1,0,46,,,1,0,0,21,0,0,0,0,1,0,1.20,-0.055,-0.32,13.85,27.00,1t start tie,5t 3 out d1,Lucas Giolito
6,51,34,May 7,CHW,@,CLE,"W,2-0",GS-8,W(3-1),4,7.1,3,0,0,3,8.0,0,0,4.06,26,105,70,20,8,8,7,2,3,0,77,,,0,1,0,23,1,0,0,1,0,0,1.22,0.534,4.29,32.90,58.00,1b start tie,8b --- 1 out a2,Lucas Giolito
7,52,39,May 12,CHW,@,TOR,"W,5-1",GS-7,W(4-1),4,7.0,4,1,1,1,8.0,0,0,3.55,26,105,69,22,12,0,17,7,4,0,72,,,0,0,0,25,1,0,0,0,0,0,.85,0.204,2.75,30.75,54.00,1b start tie,7b 3 out a4,Lucas Giolito
8,53,44,May 18,CHW,,TOR,"W,4-1",CG(5),W(5-1),5,5.0,3,1,1,2,4.0,0,0,3.35,19,78,47,9,8,7,6,2,2,0,59,,,0,0,0,17,1,0,0,1,0,0,1.04,0.153,1.68,20.75,36.00,1t start tie,5t 3 out a3,Lucas Giolito
9,54,49,May 23,CHW,@,HOU,"W,4-0",SHO,W(6-1),4,9.0,4,0,0,1,9.0,0,1,2.77,32,107,82,23,11,7,14,7,3,0,87,,,0,0,0,30,0,0,0,1,0,0,.76,0.390,5.12,43.65,66.00,1b start tie,9b 3 out a4,Lucas Giolito
10,55,54,May 28,CHW,,KCR,"W,4-3",GS-8,W(7-1),4,8.0,3,3,3,1,10.0,1,1,2.85,28,107,73,16,24,5,11,2,3,0,73,,,0,1,0,26,0,0,0,0,0,0,1.00,0.275,1.29,33.00,57.00,1t start tie,8t 3 out a1,Lucas Giolito
11,56,59,Jun 2,CHW,,CLE,"W,2-0",GS-8,W(8-1),4,7.1,5,0,0,0,9.0,0,0,2.54,26,103,68,21,18,6,11,6,3,0,77,,,0,0,0,26,1,0,0,1,0,0,1.12,0.466,3.73,35.50,61.00,1t start tie,8t 1-- 1 out a1,Lucas Giolito
