Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,53,4,Mar 31,ARI,@,LAD,"L,7-8",GS-5,,99,4.1,6,5,4,2,3.0,1,1,8.31,23,97,62,14,7,6,11,6,2,0,34,,,0,0,0,19,1,0,0,0,1,1,1.01,-0.281,-2.99,2.35,10.00,1b start tie,5b 1-- 1 out a2,Luke Weaver
2,54,9,Apr 6,ARI,,BOS,"W,5-4",GS-5,,5,5.0,5,3,3,2,4.0,0,0,6.75,21,84,53,19,6,12,3,2,0,0,47,,,0,0,0,19,1,0,1,1,0,0,1.15,0.001,-0.33,9.05,18.00,1t start tie,5t 3 out a1,Luke Weaver
3,55,14,Apr 12,ARI,,SDP,"L,1-2",GS-7,L(0-1),5,6.1,5,2,2,0,8.0,1,0,5.17,24,92,62,19,10,6,10,4,1,0,63,,,0,0,0,24,3,0,0,0,0,0,.98,0.046,1.03,23.25,37.00,1t start tie,7t -2- 1 out d1,Luke Weaver
4,56,19,Apr 18,ARI,@,ATL,"W,4-1",GS-5,W(1-1),5,5.0,4,0,0,1,9.0,0,0,3.92,20,93,63,17,15,7,3,2,0,0,67,,,0,0,0,19,0,0,0,0,0,0,1.20,0.316,2.78,30.25,54.00,1b start a 1,5b 3 out a1,Luke Weaver
5,57,24,Apr 23,ARI,@,PIT,"W,2-1",GS-7,W(2-1),4,6.1,6,1,1,1,7.0,0,0,3.33,25,94,64,20,9,8,9,4,2,0,63,,,0,0,0,24,2,0,0,1,0,0,1.16,0.243,2.02,26.05,49.00,1b start tie,7b 1-- 1 out a1,Luke Weaver
6,58,29,Apr 28,ARI,,CHC,"L,5-6",GS-5,,4,4.1,6,3,3,1,5.0,2,1,3.73,21,96,56,16,11,3,11,5,2,0,43,,,0,0,0,19,2,0,0,0,0,0,.79,-0.133,-1.04,8.95,19.00,1t start tie,5t -2- 1 out d2,Luke Weaver
7,59,33,May 4,ARI,@,COL,"W,9-2",GS-7,W(3-1),5,7.0,3,1,1,1,8.0,0,0,3.29,25,102,70,18,15,7,9,3,1,0,74,,,0,0,0,24,2,0,0,0,0,0,.39,0.177,3.37,31.35,54.00,1b start tie,7b 3 out a7,Luke Weaver
8,60,38,May 9,ARI,,ATL,"W,3-2",GS-7,,4,7.0,3,1,1,2,6.0,0,1,2.98,25,104,64,16,10,6,10,5,0,0,71,,,0,0,0,22,2,0,0,1,0,0,1.02,0.346,2.74,22.15,36.00,1t start tie,7t 3 out tie,Luke Weaver
9,61,43,May 14,ARI,,PIT,"L,2-6",GS-6,L(3-2),4,6.0,7,3,3,2,5.0,1,0,3.16,27,103,65,13,15,7,13,5,4,0,49,,,0,0,0,25,1,0,0,0,0,0,1.09,-0.045,0.21,12.10,24.00,1t start tie,6t 3 out d3,Luke Weaver
10,62,48,May 20,ARI,@,SDP,"L,1-2",GS-6,L(3-3),5,6.0,4,2,2,0,7.0,1,0,3.14,22,82,52,16,5,4,11,3,1,0,63,,,0,0,0,22,0,0,0,0,0,0,.91,-0.003,1.01,21.10,33.00,1b start tie,6b 3 out d1,Luke Weaver
11,63,53,May 26,ARI,@,SFG,"W,6-2",GS-6,W(4-3),5,5.0,6,1,1,2,6.0,0,0,3.03,21,87,53,10,9,5,8,5,0,0,55,,,0,0,0,19,2,0,0,1,0,0,.85,0.062,1.10,20.45,42.00,1b start a 2,6b 1-- 0 out a5,Luke Weaver
12,64,155,Sep 21,ARI,@,SDP,"W,4-2",GS-2,,99,2.0,0,0,0,0,1.0,0,0,2.94,6,19,13,3,0,2,3,1,0,0,57,,,0,0,0,6,0,0,0,0,0,0,.69,0.105,1.00,6.50,9.00,1b start a 1,2b 3 out a1,Luke Weaver
