Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,256,1,Mar 28,SFG,@,SDP,"L,0-2",GS-7,L(0-1),99,7.0,5,2,2,1,9.0,1,0,2.57,25,92,66,15,15,4,11,4,1,0,67,,,0,1,1,24,1,0,0,1,0,0,.69,0.071,1.52,26.15,42.00,1b start tie,7b 3 out d2,Madison Bumgarner
2,257,6,Apr 2,SFG,@,LAD,"L,5-6",GS-6,L(0-2),4,6.0,5,5,0,2,4.0,1,0,1.38,25,95,58,19,7,9,10,4,2,0,54,,,0,0,0,23,0,0,0,0,0,1,.85,-0.233,-1.95,17.30,30.00,1b start tie,6b 3 out d3,Madison Bumgarner
3,258,11,Apr 8,SFG,,SDP,"L,5-6",GS-7,,5,6.0,4,5,5,1,3.0,2,2,3.32,25,93,63,18,8,8,11,4,2,0,46,,,0,0,0,21,1,0,0,0,0,0,.86,-0.086,-1.51,5.30,12.00,1t start tie,7t -23 0 out a2,Madison Bumgarner
4,259,16,Apr 13,SFG,,COL,"W,5-2",GS-8,W(1-2),4,7.0,6,2,2,0,7.0,1,0,3.12,26,98,67,17,10,8,11,6,0,0,64,,,0,0,0,26,2,0,0,0,0,0,1.07,0.075,0.85,26.15,48.00,1t start tie,8t -2- 0 out a1,Madison Bumgarner
5,260,21,Apr 19,SFG,@,PIT,"L,1-4",GS-6,L(1-3),5,6.0,6,4,4,1,7.0,0,0,3.66,25,100,66,17,13,8,9,6,2,0,50,,,1,1,1,24,1,0,0,0,0,1,.25,-0.221,-0.95,15.30,27.00,1b start tie,6b 3 out d4,Madison Bumgarner
6,261,26,Apr 26,SFG,,NYY,"L,3-7",GS-6,L(1-4),6,5.2,11,5,5,0,5.0,0,0,4.30,27,104,72,14,9,10,12,8,0,0,32,,,0,0,0,25,3,0,0,0,0,0,.86,-0.247,-2.62,6.15,17.00,1t start tie,6t -23 2 out d4,Madison Bumgarner
7,262,31,May 1,SFG,,LAD,"W,2-1",GS-6,,4,6.0,4,1,1,2,8.0,0,0,3.92,24,114,78,16,15,4,10,3,1,0,66,,,1,0,0,22,1,0,0,0,0,0,1.42,0.199,1.98,23.90,39.00,1t start tie,6t 3 out tie,Madison Bumgarner
8,263,36,May 7,SFG,@,COL,"W,14-4",GS-6,W(2-4),5,6.0,8,3,3,1,8.0,2,0,3.99,26,102,69,16,15,6,11,4,1,0,51,,,0,0,0,25,1,1,0,0,0,0,.94,0.117,0.75,22.10,45.00,1b start tie,6b 3 out a4,Madison Bumgarner
9,264,40,May 12,SFG,,CIN,"W,6-5",GS-6,,4,6.0,8,4,3,0,7.0,1,0,4.04,26,107,71,13,14,7,12,7,1,0,49,,,1,0,0,25,2,0,0,0,0,0,.91,-0.146,-1.02,16.70,30.00,1t start tie,6t 3 out d2,Madison Bumgarner
10,265,44,May 18,SFG,@,ARI,"W,8-5",GS-7,W(3-4),5,6.1,5,4,4,3,6.0,1,0,4.21,27,105,67,18,9,6,12,5,0,0,50,,,0,0,0,23,2,0,0,1,0,1,1.00,-0.023,-0.70,17.45,37.00,1b start a 1,7b -23 1 out a3,Madison Bumgarner
11,266,49,May 23,SFG,,ATL,"L,4-5",GS-6,,4,6.0,6,2,2,2,6.0,1,0,4.10,25,102,71,15,17,9,8,4,1,0,56,,,0,0,0,23,0,0,0,1,0,0,1.24,0.109,0.98,16.70,30.00,1t start tie,6t 3 out a1,Madison Bumgarner
12,267,54,May 29,SFG,@,MIA,"L,2-4",GS-7,L(3-5),5,6.0,6,2,2,1,4.0,0,1,4.01,25,81,55,10,5,8,11,5,1,0,55,,,0,0,0,22,1,0,1,0,1,0,1.12,0.172,1.60,12.70,24.00,1b start tie,7b 1-- 0 out tie,Madison Bumgarner
13,268,59,Jun 4,SFG,@,NYM,"W,9-3",GS-6,,5,6.0,6,3,3,2,5.0,2,1,4.05,25,95,64,14,11,5,12,5,3,0,51,,,0,0,0,22,0,0,0,2,0,0,1.26,-0.172,-0.08,12.10,24.00,1b start tie,6b 3 out d1,Madison Bumgarner
