Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,133,1,Mar 28,NYY,,BAL,"W,7-2",GS-6,W(1-0),99,5.2,6,2,1,0,5.0,0,0,1.59,22,83,56,15,9,10,7,3,0,0,56,,,0,0,0,22,1,0,0,0,0,0,.58,0.156,0.91,21.15,41.00,1t start tie,6t -2- 2 out a4,Masahiro Tanaka
2,134,5,Apr 2,NYY,,DET,"L,1-3",GS-7,,4,6.2,8,1,1,0,7.0,0,0,1.46,27,87,63,15,13,11,9,3,1,0,61,,,0,0,0,27,4,0,0,1,0,0,1.21,0.248,2.45,22.20,38.00,1t start tie,7t -2- 2 out tie,Masahiro Tanaka
3,135,10,Apr 8,NYY,@,HOU,"L,3-4",GS-6,,5,6.0,3,1,1,2,3.0,1,0,1.47,22,78,50,15,6,10,7,4,0,0,63,,,0,0,0,20,1,0,0,1,0,0,1.20,0.264,2.42,14.50,24.00,1b start tie,6b 3 out a2,Masahiro Tanaka
4,136,15,Apr 14,NYY,,CHW,"L,2-5",GS-5,L(1-1),5,4.0,7,5,5,3,6.0,1,0,3.22,20,81,49,16,9,5,6,4,0,0,31,,,1,1,0,17,3,0,0,0,0,0,1.06,-0.361,-3.68,5.00,15.00,1t start tie,5t 123 0 out d2,Masahiro Tanaka
5,137,20,Apr 20,NYY,,KCR,"W,9-2",GS-7,W(2-1),5,7.0,4,1,1,3,7.0,1,0,2.76,26,94,59,21,9,8,8,3,3,0,69,,,0,0,0,23,1,1,0,2,0,0,.71,0.240,2.79,27.55,51.00,1t start tie,7t 3 out a7,Masahiro Tanaka
6,138,25,Apr 25,NYY,@,LAA,"L,5-11",GS-6,L(2-2),4,5.2,6,6,5,3,2.0,2,0,3.60,25,89,55,24,1,6,14,3,5,0,34,,,0,1,0,22,0,0,0,0,0,0,1.02,-0.131,-1.21,1.35,8.00,1b start tie,6b 12- 2 out tie,Masahiro Tanaka
7,139,30,May 1,NYY,@,ARI,"L,2-3",GS-4,L(2-3),5,4.0,5,3,3,1,6.0,1,0,3.92,18,74,47,14,11,4,7,2,0,0,45,,,0,0,0,17,1,0,0,0,0,0,.80,-0.118,-0.86,11.40,21.00,1b start tie,4b 3 out d3,Masahiro Tanaka
8,140,35,May 7,NYY,,SEA,"W,5-4",GS-7,,5,6.1,5,2,2,2,4.0,1,0,3.77,26,95,61,12,8,4,16,8,2,0,57,,,0,0,0,23,1,0,0,1,1,1,1.11,0.061,1.08,14.05,25.00,1t start tie,7t -2- 1 out d1,Masahiro Tanaka
9,141,40,May 12,NYY,@,TBR,"W,7-1",GS-7,W(3-3),4,7.0,5,1,1,0,7.0,1,0,3.44,26,73,55,12,8,9,10,4,2,0,70,,,0,0,0,26,0,0,0,0,0,0,1.02,0.355,2.75,28.75,51.00,1b start tie,7b 3 out a1,Masahiro Tanaka
10,142,44,May 18,NYY,,TBR,"L,1-2",GS-6,,5,6.0,3,0,0,0,6.0,0,0,3.09,22,88,60,14,15,10,6,3,2,0,72,,,0,0,0,22,1,0,0,0,0,1,.90,0.377,3.25,23.70,36.00,1t start tie,6t 3 out a1,Masahiro Tanaka
11,143,49,May 23,NYY,@,BAL,"W,6-5",GS-6,,4,6.0,5,1,1,1,5.0,0,0,2.94,24,95,70,13,16,12,6,3,2,0,62,,,0,0,0,23,0,1,0,0,0,0,1.04,0.240,2.28,17.90,30.00,1b start tie,6b 3 out a2,Masahiro Tanaka
12,144,54,May 28,NYY,,SDP,"L,4-5",GS-6,L(3-4),4,6.0,9,5,4,2,7.0,1,1,3.20,29,100,67,19,11,8,11,5,2,0,41,,,0,0,0,26,0,0,0,2,0,1,.60,-0.233,-1.75,12.30,27.00,1t start tie,6t 3 out d4,Masahiro Tanaka
13,145,59,Jun 4,NYY,@,TOR,"L,3-4",GS-6,L(3-5),6,6.0,6,4,4,2,2.0,2,1,3.42,26,85,57,13,9,9,12,3,4,0,44,,,1,0,0,23,1,0,0,1,0,0,.99,-0.225,-0.79,4.10,12.00,1b start tie,6b 3 out d2,Masahiro Tanaka
14,146,65,Jun 11(1),NYY,,NYM,"W,12-5",GS-7,W(4-5),6,6.2,7,5,4,0,7.0,1,0,3.58,29,101,74,19,15,13,9,7,1,0,49,,,0,0,0,29,1,0,0,0,0,2,.78,-0.151,-1.46,20.80,41.00,1t start tie,7t 1-- 2 out a4,Masahiro Tanaka
