Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,91,2,Mar 29,DET,@,TOR,"L,0-6",GS-5,L(0-1),99,5.0,5,4,3,1,10.0,0,0,5.40,21,85,54,14,15,4,6,2,2,0,52,,,0,0,0,20,0,1,0,0,0,0,1.05,-0.158,-1.32,21.65,36.00,1b start tie,5b 3 out d4,Matt Boyd
2,92,7,Apr 3,DET,@,NYY,"W,2-1",GS-7,,4,6.1,5,1,1,3,13.0,0,0,3.18,27,98,62,16,22,1,10,6,4,0,69,,,1,0,0,24,1,0,0,0,0,1,1.11,0.287,2.50,33.45,55.00,1b start tie,7b --- 1 out tie,Matt Boyd
3,93,12,Apr 10,DET,,CLE,"W,4-1",GS-6,W(1-1),6,6.0,4,1,1,2,6.0,0,1,2.60,24,91,59,20,9,5,10,3,5,0,64,,,0,0,0,21,2,0,0,1,0,0,1.22,0.248,2.38,23.30,45.00,1t start tie,6t 3 out a1,Matt Boyd
4,94,16,Apr 16,DET,,PIT,"L,3-5",GS-7,,5,7.0,6,3,3,1,7.0,1,0,2.96,28,104,69,15,15,13,7,3,0,0,59,,,0,0,0,26,0,0,0,0,0,0,1.03,0.081,0.95,19.55,33.00,1t start tie,7t 3 out d1,Matt Boyd
5,95,21,Apr 23(1),DET,@,BOS,"W,7-4",GS-7,W(2-1),6,7.0,3,3,3,2,3.0,1,0,3.16,26,88,60,11,14,6,14,4,5,0,60,,,0,0,0,23,1,0,0,2,0,1,1.14,0.081,1.06,16.75,33.00,1b start tie,7b 3 out tie,Matt Boyd
6,96,26,Apr 28,DET,@,CHW,"L,1-4",GS-6,L(2-2),4,6.0,5,2,2,1,9.0,0,1,3.13,25,99,68,15,13,7,7,4,1,0,62,,,0,0,0,23,1,0,0,0,0,0,.96,0.098,1.22,23.30,39.00,1b start tie,6b 3 out d1,Matt Boyd
7,97,29,May 3,DET,,KCR,"W,4-3",GS-7,W(3-2),4,7.0,5,2,2,1,9.0,0,1,3.05,27,102,77,19,12,5,11,5,2,0,67,,,0,1,1,24,0,1,0,0,1,0,.97,0.268,1.95,29.55,54.00,1t start tie,7t 3 out a2,Matt Boyd
8,98,33,May 8,DET,,LAA,"W,10-3",GS-6,W(4-2),4,6.0,3,1,1,0,6.0,1,1,2.86,23,93,64,22,10,7,9,0,3,0,68,,,0,0,0,22,1,0,0,0,0,1,.75,0.180,2.38,25.10,45.00,1t start tie,6t 3 out a7,Matt Boyd
9,99,39,May 13,DET,,HOU,"L,1-8",GS-4,L(4-3),4,4.0,5,3,3,2,2.0,2,0,3.15,18,96,64,19,3,6,8,1,2,0,40,,,0,1,1,16,1,0,0,0,0,0,.63,-0.115,-0.75,2.80,9.00,1t start tie,4t 3 out d3,Matt Boyd
10,100,44,May 18,DET,,OAK,"L,1-4",GS-7,L(4-4),4,6.1,7,4,4,0,8.0,2,0,3.41,25,101,73,20,15,5,12,3,2,0,51,,,1,0,0,25,1,0,0,1,0,0,.78,-0.113,-0.63,18.05,31.00,1t start tie,7t 1-- 1 out d3,Matt Boyd
11,101,48,May 23,DET,,MIA,"L,2-5",GS-7,,4,6.0,5,0,0,1,7.0,0,1,3.11,26,102,69,15,11,6,11,9,0,0,68,,,0,0,0,24,1,0,0,0,0,1,1.34,0.305,2.98,23.30,39.00,1t start tie,7t 1-- 0 out a1,Matt Boyd
12,102,53,May 28,DET,@,BAL,"W,3-0",GS-7,W(5-4),4,6.0,6,0,0,1,8.0,0,0,2.85,24,96,66,17,13,7,8,4,2,0,67,,,1,1,1,23,0,0,0,0,0,0,1.02,0.212,2.27,29.30,54.00,1b start a 1,7b 12- 0 out a3,Matt Boyd
13,103,57,Jun 2,DET,@,ATL,"L,4-7",GS-5,,4,5.0,5,3,3,0,9.0,1,0,3.01,21,99,61,14,16,6,6,3,1,0,54,,,0,0,0,21,3,0,0,0,0,1,.88,-0.069,-0.22,20.25,33.00,1b start tie,5b 3 out d3,Matt Boyd
14,104,61,Jun 7,DET,,MIN,"L,3-6",GS-7,,4,7.0,9,3,3,0,8.0,2,0,3.08,29,108,70,11,18,5,16,5,3,0,55,,,0,1,1,29,2,0,0,0,0,0,1.11,0.092,0.95,20.35,36.00,1t start tie,7t 3 out tie,Matt Boyd
15,105,66,Jun 13,DET,@,KCR,"L,3-7",GS-4,L(5-5),5,4.0,6,5,4,2,7.0,1,0,3.35,21,94,60,13,11,5,7,6,0,0,37,,,0,0,0,19,3,0,0,0,0,1,.86,-0.211,-2.77,10.20,21.00,1b start tie,4b 3 out d5,Matt Boyd
16,106,72,Jun 21,DET,@,CLE,"L,6-7",GS-6,,7,6.0,7,5,5,2,6.0,3,0,3.61,27,95,58,19,8,7,12,7,1,0,42,,,0,0,0,24,0,0,0,0,0,0,1.15,-0.205,-1.55,10.10,21.00,1b start tie,6b 3 out tie,Matt Boyd
17,107,76,Jun 26,DET,,TEX,"L,1-4",GS-7,L(5-6),4,7.0,5,4,4,1,11.0,3,0,3.72,27,96,67,17,20,3,12,4,0,0,61,,,0,0,0,25,1,0,0,0,1,0,.70,-0.134,-0.05,26.15,42.00,1t start tie,7t 3 out d3,Matt Boyd
18,108,83,Jul 4,DET,@,CHW,"W,11-5",GS-6,W(6-6),7,5.1,9,4,4,0,13.0,2,0,3.87,25,106,74,18,19,6,6,2,2,0,47,,,0,0,0,25,1,0,0,0,0,0,1.15,-0.038,-1.34,28.60,55.00,1b start tie,6b 1-- 1 out a4,Matt Boyd
