Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,24,1,Mar 28,ATL,@,PHI,"L,4-10",8-GF(8),,99,1.0,0,0,0,0,0.0,0,0,0.00,3,11,7,1,3,3,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.01,0.001,0.54,2.25,3.00,8b --- 0 out d6,8b end d 6,Max Fried
2,25,3,Mar 31,ATL,@,PHI,"L,1-5",5-5,,2,0.2,0,0,0,2,0.0,0,0,0.00,4,25,13,3,2,0,2,2,0,0,,2,2,0,0,0,1,0,0,0,0,1,0,2.22,-0.158,-1.05,0.30,2.00,5b 12- 1 out tie,5b 3 out d2,Max Fried
3,26,6,Apr 4,ATL,,CHC,"W,9-4",GS-6,W(1-0),3,6.0,1,0,0,0,5.0,0,0,0.00,19,88,60,22,7,11,3,2,0,0,75,,,0,0,0,19,0,0,0,0,0,0,.64,0.310,3.34,26.90,45.00,1t start tie,6t 3 out a6,Max Fried
4,27,11,Apr 9,ATL,@,COL,"W,7-1",GS-6,W(2-0),4,6.0,5,1,0,1,4.0,0,0,0.00,23,90,57,8,8,10,8,3,1,0,63,,,0,0,0,22,1,0,0,0,0,0,.92,0.269,2.75,21.90,42.00,1b start tie,6b 3 out a4,Max Fried
5,28,16,Apr 16,ATL,,ARI,"L,6-9",GS-6,,6,6.0,7,2,2,1,3.0,0,1,0.92,26,98,62,19,9,10,11,7,0,0,52,,,0,0,0,24,1,0,0,1,0,0,1.06,0.094,1.34,10.10,21.00,1t start tie,6t 3 out a3,Max Fried
6,29,21,Apr 21,ATL,@,CLE,"W,11-5",GS-7,W(3-0),4,6.1,7,2,2,3,6.0,1,0,1.38,29,101,63,17,10,10,10,2,1,0,54,,,0,0,0,26,0,0,0,0,0,0,.41,0.115,2.44,20.25,43.00,1b start a 2,7b 1-- 1 out a10,Max Fried
7,30,25,Apr 26,ATL,,COL,"L,4-8",GS-6,L(3-1),4,5.1,7,4,4,0,8.0,2,0,2.30,23,87,59,16,11,6,9,6,0,0,46,,,0,0,0,23,4,0,0,0,0,0,.99,-0.230,-1.39,15.80,28.00,1t start tie,6t -2- 1 out d2,Max Fried
8,31,30,May 1,ATL,,SDP,"W,5-1",GS-7,W(4-1),4,7.0,4,1,1,0,7.0,1,0,2.11,25,85,58,11,12,10,8,6,0,0,72,,,0,0,1,25,0,0,0,1,0,2,1.14,0.361,2.89,29.35,51.00,1t start tie,7t 3 out a1,Max Fried
9,32,36,May 7,ATL,@,LAD,"L,0-9",GS-2,L(4-2),5,1.0,4,4,4,1,1.0,1,0,2.97,8,35,19,8,2,3,3,1,0,0,29,,,0,0,0,7,0,0,0,0,0,0,.91,-0.250,-2.88,-6.75,-6.00,1b start tie,2b 1-- 0 out d3,Max Fried
10,33,41,May 12,ATL,@,ARI,"W,5-3",GS-5,W(5-2),4,5.0,9,3,3,1,7.0,1,0,3.25,24,95,62,15,15,8,8,5,0,0,43,,,0,0,0,23,1,0,0,1,0,0,1.09,0.008,-0.33,17.25,39.00,1b start tie,5b 3 out a1,Max Fried
11,34,45,May 17,ATL,,MIL,"W,12-8",GS-6,W(6-2),4,6.0,2,0,0,2,5.0,0,0,2.86,21,79,50,13,8,11,3,1,0,0,71,,,0,0,0,19,0,0,0,0,0,0,.90,0.312,3.34,25.10,45.00,1t start tie,6t 3 out a3,Max Fried
12,35,50,May 22,ATL,@,SFG,"W,9-2",GS-6,W(7-2),4,6.0,4,2,2,2,5.0,1,0,2.88,22,94,61,18,10,10,5,3,0,0,59,,,0,0,0,20,1,0,0,1,0,0,.45,0.109,0.98,19.90,39.00,1b start tie,6b 3 out a4,Max Fried
13,36,55,May 28,ATL,,WSN,"L,4-5",GS-6,L(7-3),5,5.2,9,4,4,3,5.0,0,2,3.19,29,88,53,14,7,8,11,7,2,0,37,,,0,0,2,23,2,0,0,0,0,0,1.52,-0.153,-0.48,6.35,20.00,1t start tie,6t 123 2 out d1,Max Fried
14,37,60,Jun 4,ATL,@,PIT,"W,12-5",GS-4,,6,4.0,9,5,5,2,3.0,1,0,3.68,24,83,58,11,11,9,10,7,0,0,25,,,0,0,0,21,3,0,1,0,0,0,.66,-0.332,-2.97,-1.60,6.00,1b start a 1,4b 3 out d3,Max Fried
15,38,65,Jun 9,ATL,@,MIA,"W,7-6",GS-6,,4,6.0,6,3,3,1,7.0,1,0,3.75,24,85,57,15,10,11,5,2,0,0,54,,,0,0,0,23,1,0,0,1,0,0,.99,-0.089,-0.02,17.30,30.00,1b start tie,6b 3 out d2,Max Fried
16,39,70,Jun 14,ATL,,PHI,"W,9-8",GS-5,,4,4.2,7,5,5,2,4.0,2,0,4.11,23,98,61,15,7,9,8,2,0,0,32,,,0,0,0,21,0,0,0,0,0,0,.82,-0.272,-2.75,3.10,11.00,1t start tie,5t 1-3 2 out d4,Max Fried
17,40,75,Jun 19,ATL,,NYM,"W,7-2",GS-6,W(8-3),4,6.0,8,2,2,1,6.0,0,0,4.03,25,101,63,16,10,8,10,10,0,0,53,,,2,0,0,24,4,0,0,0,0,0,1.10,0.161,1.34,20.10,42.00,1t start tie,6t 3 out tie,Max Fried
18,41,80,Jun 25,ATL,@,CHC,"W,3-2",GS-6,W(9-3),5,6.0,2,2,2,5,8.0,0,0,3.96,23,90,57,16,16,7,3,2,0,0,63,,,0,1,0,18,1,0,1,0,0,0,1.21,0.070,1.24,25.30,48.00,1b start a 1,6b 3 out d1,Max Fried
19,42,85,Jun 30,ATL,@,NYM,"L,5-8",GS-5,,4,5.0,8,3,3,1,6.0,0,0,4.04,23,81,54,15,8,12,4,3,0,0,44,,,0,0,0,21,0,0,0,1,1,0,1.22,-0.111,-0.57,11.85,24.00,1b start a 1,5b 3 out d1,Max Fried
20,43,90,Jul 6,ATL,,MIA,"L,4-5",GS-5,L(9-4),5,5.0,11,5,5,1,7.0,2,0,4.29,27,96,66,23,12,8,11,8,0,0,31,,,0,0,0,26,2,0,0,0,0,0,1.21,-0.280,-2.22,8.05,21.00,1t start tie,5t 3 out d1,Max Fried
21,44,95,Jul 15,ATL,@,MIL,"W,4-2",GS-5,W(10-4),8,5.0,3,0,0,2,5.0,0,0,4.08,20,78,46,7,7,6,7,4,0,0,64,,,2,0,0,18,1,0,0,0,0,0,1.21,0.268,2.67,22.25,42.00,1b start tie,5b 3 out a3,Max Fried
22,45,105,Jul 27,ATL,@,PHI,"W,15-7",GS-6,W(11-4),11,5.1,7,5,4,3,6.0,2,0,4.21,25,89,58,20,9,8,8,2,1,0,39,,,0,0,0,22,0,0,0,1,0,0,.39,0.032,-2.05,14.00,34.00,1b start tie,6b --- 1 out a9,Max Fried
23,46,110,Aug 1,ATL,,CIN,"W,4-1",CG(6),W(12-4),4,6.0,4,1,1,0,4.0,0,0,4.07,21,75,52,14,11,10,6,3,1,0,64,,,0,1,1,20,1,0,0,1,0,0,.93,0.270,2.34,23.60,39.00,1t start tie,6t 3 out a2,Max Fried
24,47,116,Aug 7,ATL,@,MIN,"W,11-7",GS-6,W(13-4),5,5.1,5,3,0,1,10.0,0,0,3.89,23,94,61,21,11,4,8,4,0,0,61,,,0,0,0,22,2,0,0,0,0,1,.56,0.133,1.35,32.40,58.00,1b start a 3,6b 12- 1 out a6,Max Fried
25,48,121,Aug 13,ATL,,NYM,"W,5-3",GS-6,W(14-4),5,6.0,6,1,1,3,4.0,0,1,3.78,26,100,60,12,8,8,10,6,3,0,57,,,0,0,0,22,2,0,0,1,0,0,.88,0.215,2.34,17.50,39.00,1t start tie,6t 3 out a4,Max Fried
