Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,339,1,Mar 28,WSN,,NYM,"L,0-2",GS-8,L(0-1),99,7.2,2,2,2,3,12.0,1,0,2.35,28,109,76,18,20,7,6,2,0,0,76,,,0,0,0,25,0,0,0,0,0,0,.74,0.321,3.24,34.25,53.00,1t start tie,8t 1-- 2 out d1,Max Scherzer
2,340,4,Apr 2,WSN,,PHI,"L,2-8",GS-5,L(0-2),4,5.0,7,2,1,1,9.0,1,0,2.13,23,96,65,15,14,5,8,3,1,0,55,,,0,0,0,22,2,0,1,0,0,0,1.10,0.038,0.81,22.45,39.00,1t start tie,5t 3 out d2,Max Scherzer
3,341,8,Apr 7,WSN,@,NYM,"W,12-9",GS-7,W(1-2),4,6.1,8,4,4,0,7.0,0,2,3.32,27,100,70,18,18,6,12,7,0,0,48,,,0,0,0,25,3,0,0,1,0,0,.54,0.126,0.02,18.25,40.00,1b start tie,7b -23 1 out a10,Max Scherzer
4,342,14,Apr 14,WSN,,PIT,"L,3-4",GS-8,,6,8.0,7,3,3,1,7.0,0,0,3.33,30,98,71,20,15,14,8,4,0,0,62,,,0,0,0,29,3,0,0,1,0,0,1.20,0.277,1.49,21.20,36.00,1t start tie,8t 3 out tie,Max Scherzer
5,343,19,Apr 20,WSN,@,MIA,"L,3-9",GS-6,L(1-3),5,5.1,11,7,6,0,9.0,1,0,4.45,27,108,77,19,18,4,14,9,1,0,29,,,2,0,0,27,4,0,0,0,0,0,1.00,-0.420,-3.70,11.40,25.00,1b start tie,6b -2- 1 out d3,Max Scherzer
6,344,24,Apr 26,WSN,,SDP,"L,3-4",GS-7,,5,7.0,4,2,2,0,10.0,1,0,4.12,24,101,69,19,20,7,7,2,2,0,71,,,0,0,0,24,1,0,0,0,0,0,1.11,0.182,1.93,29.35,45.00,1t start tie,7t 3 out tie,Max Scherzer
7,345,29,May 1,WSN,,STL,"L,1-5",GS-7,L(1-4),4,7.0,8,3,3,2,8.0,0,0,4.08,30,110,73,16,13,7,13,6,2,0,55,,,0,0,0,28,3,0,0,1,0,0,.82,0.009,0.93,19.75,36.00,1t start tie,7t 3 out d2,Max Scherzer
8,346,34,May 6,WSN,@,MIL,"L,3-5",GS-6,,4,6.0,6,2,1,1,10.0,0,0,3.78,27,112,70,12,15,8,7,3,2,0,63,,,0,0,0,25,2,0,0,0,0,1,1.39,0.168,1.21,27.30,45.00,1b start a 2,6b 3 out tie,Max Scherzer
9,347,39,May 11,WSN,@,LAD,"W,5-2",GS-7,W(2-4),4,7.0,5,2,2,2,7.0,1,2,3.64,29,115,75,18,17,6,12,7,0,0,64,,,0,0,0,25,1,0,0,1,0,0,.70,0.045,1.56,24.35,48.00,1b start tie,7b 3 out d2,Max Scherzer
10,348,44,May 17,WSN,,CHC,"L,6-14",GS-6,L(2-5),5,6.0,6,3,3,4,8.0,1,0,3.72,26,112,74,14,21,5,9,5,2,0,52,,,0,0,0,22,1,0,0,2,0,0,1.05,0.026,0.37,17.50,33.00,1t start tie,6t 3 out d1,Max Scherzer
11,349,49,May 22,WSN,@,NYM,"L,1-6",GS-6,,4,6.0,4,0,0,2,9.0,0,0,3.41,25,109,73,16,23,8,6,2,0,0,71,,,0,0,0,23,2,0,0,0,0,0,1.39,0.389,2.92,27.90,45.00,1b start a 1,6b 3 out a1,Max Scherzer
12,350,54,May 27,WSN,,MIA,"L,2-3",GS-6,,4,6.0,7,1,1,1,6.0,0,0,3.26,25,103,81,16,10,10,8,3,1,0,59,,,0,0,0,24,2,0,0,0,0,0,1.10,0.245,2.37,18.70,33.00,1t start tie,6t 3 out a1,Max Scherzer
13,351,59,Jun 2,WSN,@,CIN,"W,4-1",GS-8,W(3-5),5,8.0,3,1,1,1,15.0,0,1,3.06,29,120,84,19,23,1,11,4,2,0,86,,,0,0,0,27,3,0,0,0,0,0,1.21,0.459,3.36,47.00,78.00,1b start a 1,8b 3 out a3,Max Scherzer
14,352,64,Jun 8,WSN,@,SDP,"W,4-1",GS-7,W(4-5),5,7.0,6,0,0,1,9.0,0,0,2.83,28,101,71,28,10,10,8,4,1,0,73,,,0,0,0,27,1,0,1,0,0,0,.95,0.327,3.52,33.55,60.00,1b start a 1,7b 3 out a4,Max Scherzer
15,353,69,Jun 14,WSN,,ARI,"W,7-3",GS-7,W(5-5),5,7.0,3,2,2,1,10.0,2,1,2.81,27,104,73,19,22,4,11,2,1,0,72,,,1,0,0,25,0,0,0,0,0,1,.87,0.207,1.93,32.75,57.00,1t start tie,7t 3 out a3,Max Scherzer
16,354,73,Jun 19(2),WSN,,PHI,"W,2-0",GS-7,W(6-5),4,7.0,4,0,0,2,10.0,0,0,2.62,27,117,76,12,23,5,10,3,4,0,77,,,0,0,0,25,1,0,0,0,0,0,1.24,0.484,3.93,36.15,63.00,1t start tie,7t 3 out a1,Max Scherzer
17,355,78,Jun 25,WSN,@,MIA,"W,6-1",GS-8,W(7-5),5,8.0,5,1,1,0,10.0,0,1,2.52,29,94,71,17,17,10,8,3,2,0,78,,,0,0,0,28,1,0,0,1,0,0,.57,0.225,2.97,36.40,63.00,1b start tie,8b 3 out a5,Max Scherzer
18,356,83,Jun 30,WSN,@,DET,"W,2-1",GS-8,W(8-5),4,8.0,4,1,1,0,14.0,1,0,2.43,28,115,86,15,24,5,9,5,0,0,84,,,0,0,0,28,1,0,0,0,0,0,1.17,0.432,3.51,45.60,75.00,1b start tie,8b 3 out a1,Max Scherzer
19,357,88,Jul 6,WSN,,KCR,"W,6-0",GS-7,W(9-5),5,7.0,4,0,0,1,11.0,0,0,2.30,26,103,75,20,24,5,9,6,1,0,79,,,1,0,0,25,1,0,0,0,0,0,.73,0.291,3.93,38.75,66.00,1t start tie,7t 3 out a4,Max Scherzer
20,358,102,Jul 25,WSN,,COL,"L,7-8",GS-5,,18,5.0,4,3,3,2,8.0,1,0,2.41,20,86,57,18,16,3,7,4,1,0,53,,,0,1,0,18,1,0,0,0,0,0,.81,-0.076,-0.19,17.65,30.00,1t start tie,5t 3 out d3,Max Scherzer
21,359,127,Aug 22,WSN,@,PIT,"W,7-1",GS-4,,27,4.0,4,1,1,1,3.0,1,0,2.41,17,71,48,7,10,5,8,3,0,0,52,,,2,0,0,16,1,0,0,0,0,0,1.08,0.118,1.03,10.00,18.00,1b start a 2,4b 3 out a1,Max Scherzer
22,360,132,Aug 28,WSN,,BAL,"W,8-4",GS-5,,5,4.1,6,2,2,1,8.0,1,0,2.46,20,89,58,17,10,6,5,1,2,0,50,,,1,0,0,19,1,0,0,0,0,0,.61,0.006,-0.17,17.55,31.00,1t start tie,5t 12- 1 out a3,Max Scherzer
23,361,137,Sep 3,WSN,,NYM,"W,11-10",GS-6,,5,6.0,5,4,4,1,7.0,1,0,2.60,24,90,61,14,15,7,9,5,1,0,52,,,1,0,0,22,2,0,0,0,1,0,.84,-0.160,-0.63,15.90,27.00,1t start tie,6t 3 out d3,Max Scherzer
24,362,142,Sep 8,WSN,@,ATL,"W,9-4",GS-6,W(10-5),4,6.0,2,1,1,2,9.0,1,0,2.56,22,98,64,18,16,3,8,3,1,0,71,,,0,0,0,20,1,0,0,0,0,0,.86,0.247,2.34,31.10,54.00,1b start a 2,6b 3 out a3,Max Scherzer
25,363,146,Sep 13,WSN,,ATL,"L,0-5",GS-5,L(10-6),4,5.0,7,3,3,2,6.0,0,0,2.65,24,99,63,12,10,5,11,7,0,0,45,,,0,0,0,21,2,0,0,0,1,0,1.15,-0.067,-0.19,11.85,24.00,1t start tie,5t 3 out d3,Max Scherzer
26,364,151,Sep 18,WSN,@,STL,"L,1-5",GS-7,L(10-7),4,6.2,7,5,5,0,11.0,2,0,2.81,27,109,77,21,15,7,9,3,1,0,51,,,0,0,0,27,2,0,0,0,0,0,.71,-0.136,-1.48,22.80,38.00,1b start tie,7b --- 2 out d4,Max Scherzer
