Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,1,5,Apr 1,ARI,@,SDP,"W,10-3",GS-6,W(1-0),99,6.0,5,3,3,2,3.0,1,0,4.50,25,88,58,18,7,7,13,7,2,0,51,,,0,0,0,22,1,0,0,0,1,0,.43,0.147,0.01,13.30,30.00,1b start a 2,6b 3 out a6,Merill Kelly
2,2,10,Apr 7,ARI,,BOS,"L,0-1",GS-8,L(1-1),5,8.0,4,1,1,0,9.0,1,0,2.57,27,94,70,22,6,7,11,3,1,0,79,,,0,0,0,27,0,0,0,1,0,0,.91,0.293,3.28,31.60,48.00,1t start tie,8t 3 out d1,Merill Kelly
3,3,15,Apr 13,ARI,,SDP,"L,4-5",GS-5,,5,5.0,8,4,4,1,5.0,1,0,3.79,23,95,60,13,12,9,8,4,1,0,39,,,0,0,0,22,3,0,0,0,0,0,.70,-0.184,-1.33,7.85,18.00,1t start tie,5t 3 out d4,Merill Kelly
4,4,20,Apr 19,ARI,@,CHC,"L,1-5",GS-4,L(1-2),5,3.2,6,3,3,7,5.0,0,0,4.37,24,109,60,18,9,6,6,2,2,0,35,,,0,0,0,17,2,1,0,0,0,0,1.30,-0.150,-1.64,4.45,17.00,1b start tie,4b 123 2 out d3,Merill Kelly
5,5,25,Apr 24,ARI,@,PIT,"W,11-2",GS-7,W(2-2),4,7.0,6,2,2,2,5.0,2,0,3.94,29,106,64,27,7,10,12,7,2,0,60,,,0,0,0,27,1,0,0,0,0,0,.78,0.151,1.56,20.95,42.00,1b start a 2,7b 3 out a6,Merill Kelly
6,6,31,May 1,ARI,,NYY,"W,3-2",GS-6,W(3-2),6,5.1,5,1,1,2,2.0,1,0,3.60,22,90,55,15,10,10,8,2,0,0,54,,,0,0,0,20,2,0,0,1,0,0,1.03,0.158,1.50,13.80,31.00,1t start tie,6t -2- 1 out a2,Merill Kelly
7,7,35,May 6,ARI,@,TBR,"L,1-12",GS-4,L(3-3),4,4.0,7,7,7,3,2.0,1,1,4.85,22,94,53,10,12,7,9,6,0,0,19,,,0,0,0,18,1,0,0,1,0,0,.77,-0.340,-4.86,-7.60,-3.00,1b start tie,4b 3 out d7,Merill Kelly
8,8,40,May 11,ARI,,ATL,"L,4-6",GS-7,L(3-4),4,7.0,8,3,3,0,5.0,1,0,4.70,28,93,65,13,8,8,15,7,3,0,54,,,0,1,0,28,0,0,0,0,0,0,.91,-0.022,0.74,14.95,27.00,1t start tie,7t 3 out d2,Merill Kelly
9,9,45,May 17,ARI,,SFG,"W,7-0",GS-6,W(4-4),5,5.1,6,0,0,1,4.0,0,0,4.21,23,89,56,13,7,2,16,6,3,0,59,,,0,0,0,22,2,0,0,0,0,0,1.17,0.136,1.60,19.80,40.00,1t start tie,6t 123 1 out a1,Merill Kelly
10,10,50,May 22,ARI,@,SDP,"L,2-5",GS-2,L(4-5),4,1.2,5,4,4,4,0.0,0,0,4.75,14,63,33,11,0,1,9,4,0,0,25,,,0,0,0,9,2,0,0,0,1,0,.85,-0.298,-3.77,-9.65,-7.00,1b start tie,2b 123 2 out d4,Merill Kelly
