Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,77,4,Apr 1,CLE,,CHW,"W,5-3",GS-7,,99,7.0,1,0,0,3,12.0,0,0,0.00,25,106,62,19,18,3,7,3,1,0,84,,,0,0,0,22,0,0,0,0,0,0,1.12,0.478,4.02,37.35,57.00,1t start tie,7t 3 out a1,Mike Clevinger
2,78,9,Apr 7,CLE,,TOR,"W,3-1",GS-5,W(1-0),5,5.0,1,0,0,1,10.0,0,0,0.00,17,75,52,14,20,4,2,1,0,0,74,,,0,0,0,16,1,0,0,0,0,0,1.01,0.284,2.87,34.05,57.00,1t start tie,5t 3 out a2,Mike Clevinger
3,79,71,Jun 17,CLE,@,TEX,"L,2-7",GS-5,L(1-1),70,4.2,3,5,5,3,7.0,1,0,2.70,20,91,57,21,7,4,6,3,0,0,42,,,1,0,0,17,2,0,0,0,0,0,.74,-0.070,-0.43,10.90,20.00,1b start tie,5b 12- 2 out d2,Mike Clevinger
4,80,81,Jun 28,CLE,@,BAL,"L,0-13",GS-2,L(1-2),10,1.2,5,7,7,3,2.0,1,0,5.89,13,52,29,5,7,1,7,3,0,0,16,,,1,0,0,9,2,0,0,0,1,0,.66,-0.351,-5.15,-11.05,-10.00,1b start tie,2b 1-- 2 out d6,Mike Clevinger
5,81,85,Jul 3,CLE,@,KCR,"W,4-0",GS-6,W(2-2),4,6.0,4,0,0,0,9.0,0,0,4.44,21,79,53,15,12,7,5,2,1,0,73,,,1,1,0,21,0,0,0,0,0,0,1.08,0.380,3.35,33.10,57.00,1b start tie,6b 3 out a2,Mike Clevinger
6,82,89,Jul 12,CLE,,MIN,"L,3-5",GS-6,,8,5.0,4,1,1,2,6.0,1,0,3.99,20,92,56,15,17,5,7,3,2,0,59,,,0,0,1,18,1,0,0,0,0,0,1.05,0.126,1.47,17.65,30.00,1t start tie,6t 1-- 0 out a2,Mike Clevinger
7,83,94,Jul 17,CLE,,DET,"W,7-2",GS-6,W(3-2),4,6.0,6,1,1,1,12.0,0,0,3.57,24,100,68,18,22,4,7,5,0,0,67,,,0,0,0,23,2,0,0,0,0,0,1.05,0.256,2.45,35.30,63.00,1t start tie,6t 3 out a1,Mike Clevinger
8,84,99,Jul 22,CLE,@,TOR,"W,7-3",GS-7,W(4-2),4,7.0,5,3,3,2,7.0,2,1,3.61,25,104,63,24,13,9,6,3,0,0,60,,,0,1,0,22,0,0,0,2,0,0,.97,0.098,0.75,22.95,45.00,1b start tie,7b 3 out a3,Mike Clevinger
9,85,104,Jul 27,CLE,@,KCR,"W,9-1",GS-7,W(5-2),4,7.0,8,1,1,0,7.0,0,0,3.28,27,111,73,19,15,11,9,6,0,0,64,,,0,0,0,27,0,0,0,1,0,0,.40,0.154,2.91,26.95,51.00,1b start a 4,7b 3 out a8,Mike Clevinger
10,86,109,Aug 2,CLE,,LAA,"W,7-3",GS-7,W(6-2),5,6.1,3,1,1,4,8.0,1,0,3.07,25,107,65,26,9,5,8,5,1,0,67,,,0,1,0,21,1,0,0,0,0,0,.54,0.074,1.77,28.05,52.00,1t start tie,7t 1-3 1 out a6,Mike Clevinger
11,87,115,Aug 8,CLE,@,MIN,"W,7-5",GS-7,W(7-2),5,7.0,3,2,2,1,9.0,0,1,3.02,26,117,70,19,23,7,8,6,0,0,71,,,0,0,0,24,1,0,0,0,0,0,.84,0.190,1.87,30.75,54.00,1b start tie,7b 3 out a4,Mike Clevinger
12,88,120,Aug 13,CLE,,BOS,"L,6-7",GS-5,,4,4.2,11,4,4,2,6.0,0,0,3.34,25,103,68,17,13,5,12,5,2,0,30,,,0,1,0,23,2,1,0,0,0,0,1.05,-0.189,-1.60,6.70,20.00,1t start tie,5t 12- 2 out d3,Mike Clevinger
13,89,125,Aug 18,CLE,@,NYY,"W,8-4",GS-5,W(8-2),4,5.0,3,0,0,2,10.0,0,0,3.11,20,104,63,24,11,4,4,3,0,0,69,,,0,0,0,18,1,0,0,0,0,0,.69,0.195,2.71,32.25,57.00,1b start tie,5b 3 out a5,Mike Clevinger
14,90,130,Aug 24,CLE,,KCR,"W,4-2",GS-6,W(9-2),5,5.2,4,1,1,2,8.0,0,0,3.00,24,106,66,15,15,8,6,1,1,0,63,,,0,0,0,22,2,0,0,0,0,1,.86,0.223,2.05,27.15,50.00,1t start tie,6t --3 2 out a3,Mike Clevinger
15,91,134,Aug 29,CLE,@,DET,"W,2-0",GS-8,W(10-2),4,8.0,4,0,0,0,10.0,0,0,2.72,27,115,82,23,23,9,8,3,2,0,84,,,0,1,0,27,1,0,0,0,0,0,1.08,0.592,4.51,39.60,66.00,1b start tie,8b 3 out a2,Mike Clevinger
16,92,139,Sep 3,CLE,,CHW,"L,5-6",GS-7,,4,7.0,2,2,2,4,9.0,1,0,2.71,27,109,71,19,18,6,8,2,1,0,70,,,1,0,0,23,1,0,0,0,0,0,1.15,0.199,2.02,26.15,42.00,1t start tie,7t 3 out tie,Mike Clevinger
17,93,144,Sep 8,CLE,@,MIN,"W,5-2",GS-7,W(11-2),4,6.1,4,2,2,2,7.0,1,0,2.72,25,113,70,17,18,4,12,2,0,0,62,,,0,0,0,23,2,0,0,0,0,0,.84,0.174,1.41,24.65,46.00,1b start tie,7b -23 1 out a4,Mike Clevinger
18,94,148,Sep 14(1),CLE,,MIN,"L,0-2",GS-8,L(11-3),5,8.0,6,2,2,1,10.0,1,0,2.68,31,112,69,21,17,3,17,8,4,0,71,,,0,0,0,30,2,0,0,0,0,0,.74,0.160,2.60,29.80,48.00,1t start tie,8t 3 out d2,Mike Clevinger
19,95,153,Sep 19,CLE,,DET,"W,7-0",GS-6,W(12-3),4,6.0,7,0,0,1,6.0,0,0,2.54,25,103,69,15,17,7,11,8,0,0,63,,,0,0,0,24,0,0,0,0,0,0,.89,0.280,3.45,24.70,48.00,1t start tie,6t 3 out a7,Mike Clevinger
20,96,157,Sep 24,CLE,@,CHW,"W,11-0",GS-7,W(13-3),4,7.0,5,0,0,1,10.0,0,0,2.39,27,92,59,13,14,6,10,3,4,0,76,,,0,0,0,26,2,0,0,0,0,0,.18,0.096,3.75,36.15,63.00,1b start a 4,7b 3 out a11,Mike Clevinger
21,97,162,Sep 29,CLE,@,WSN,"L,2-8",GS-6,L(13-4),4,5.2,7,6,6,2,4.0,1,0,2.71,25,99,61,11,8,8,11,4,1,0,33,,,5,0,0,23,1,0,0,1,0,0,.78,-0.189,-1.88,3.35,11.00,1b start tie,6b 1-- 2 out d4,Mike Clevinger
