Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,270,5,Mar 30,SEA,,BOS,"W,6-5",GS-6,W(1-0),99,6.0,7,2,2,2,7.0,0,0,3.00,27,97,60,12,7,9,9,5,2,0,55,,,1,0,0,25,1,0,0,0,0,0,1.07,0.114,1.08,22.10,45.00,1t start tie,6t 3 out a4,Mike Leake
2,271,10,Apr 6,SEA,@,CHW,"W,9-2",GS-7,W(2-0),6,6.1,9,2,2,0,6.0,2,0,2.92,28,106,80,16,12,8,14,6,2,0,53,,,0,0,0,28,0,0,0,0,0,0,.66,0.150,0.80,20.85,43.00,1b start tie,7b 12- 1 out a6,Mike Leake
3,272,15,Apr 11,SEA,@,KCR,"W,7-6",GS-5,,4,5.0,5,4,4,2,4.0,3,1,4.15,24,87,53,19,6,5,12,5,2,0,43,,,0,0,0,21,2,0,0,0,0,1,.69,-0.146,-1.21,6.45,15.00,1b start tie,5b 3 out d4,Mike Leake
4,273,20,Apr 16,SEA,,CLE,"L,2-4",GS-6,L(2-1),4,6.0,8,2,2,0,4.0,0,0,3.86,23,85,57,15,7,8,11,6,0,0,52,,,0,1,0,23,3,0,0,2,0,0,1.05,0.072,1.08,12.70,24.00,1t start tie,6t 3 out d1,Mike Leake
5,274,25,Apr 21,SEA,@,LAA,"L,6-8",GS-6,L(2-2),4,6.0,6,4,4,2,4.0,3,1,4.30,26,81,53,20,4,7,12,4,0,0,46,,,0,0,0,23,2,0,0,1,0,0,.70,-0.130,-0.75,8.10,18.00,1b start tie,6b 3 out d3,Mike Leake
6,275,30,Apr 27,SEA,,TEX,"L,1-15",GS-5,L(2-3),5,5.0,10,9,5,1,4.0,2,0,4.98,28,98,64,19,9,12,11,4,1,0,22,,,0,0,0,27,4,0,0,0,0,2,.46,-0.461,-6.43,2.65,12.00,1t start tie,5t 3 out d8,Mike Leake
7,276,35,May 4,SEA,@,CLE,"L,4-5",GS-6,,6,6.0,7,3,3,2,4.0,1,0,4.91,24,102,67,17,11,13,5,1,0,0,48,,,1,1,0,22,2,0,0,0,0,0,.97,0.033,0.45,10.10,21.00,1b start tie,6b 3 out tie,Mike Leake
8,277,40,May 9,SEA,@,NYY,"L,1-3",GS-7,L(2-4),4,7.0,6,1,1,0,2.0,0,0,4.37,27,105,70,17,4,11,14,6,1,0,63,,,0,0,0,27,2,0,0,0,0,0,.93,0.239,2.79,14.15,24.00,1b start tie,7b 3 out d1,Mike Leake
9,278,45,May 14,SEA,,OAK,"W,4-3",GS-7,W(3-4),4,6.2,5,3,1,1,6.0,0,0,4.00,26,99,67,18,11,9,10,4,0,0,61,,,0,1,0,25,1,0,0,0,0,1,1.03,0.019,0.36,25.40,47.00,1t start tie,7t 1-- 2 out a1,Mike Leake
10,279,50,May 20,SEA,@,TEX,"L,9-10",GS-5,L(3-5),5,5.0,11,7,7,1,4.0,3,0,4.73,26,84,61,12,4,11,10,6,0,0,20,,,0,0,0,25,3,0,0,1,0,0,.40,-0.315,-3.93,-1.95,6.00,1b start tie,5b 3 out d7,Mike Leake
