Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,205,1,Mar 28,TEX,,CHC,"L,4-12",GS-5,L(0-1),99,4.2,5,6,6,2,3.0,1,1,11.57,21,76,44,14,6,11,4,1,0,0,31,,,0,0,0,18,1,0,0,1,0,0,1.04,-0.205,-1.43,-0.30,5.00,1t start tie,5t 12- 2 out d2,Mike Minor
2,206,6,Apr 3,TEX,,HOU,"W,4-0",GS-7,W(1-1),5,7.0,5,0,0,2,7.0,0,0,4.63,27,95,58,21,8,8,10,4,4,0,72,,,0,1,1,25,2,0,0,2,0,2,1.01,0.407,4.29,29.55,54.00,1t start tie,7t 3 out a3,Mike Minor
3,207,11,Apr 9,TEX,@,ARI,"L,4-5",GS-7,,5,7.0,5,2,2,2,5.0,2,0,3.86,27,99,62,13,14,6,14,3,0,0,62,,,0,0,0,25,1,0,0,1,0,0,.96,0.230,1.74,17.55,30.00,1b start a 2,7b 3 out a2,Mike Minor
4,208,16,Apr 16,TEX,,LAA,"W,5-0",SHO,W(2-1),6,9.0,3,0,0,2,7.0,0,0,2.60,30,103,68,22,15,7,14,4,5,0,86,,,0,0,0,28,0,0,0,2,0,0,.79,0.398,5.52,40.25,60.00,1t start tie,9t 3 out a5,Mike Minor
5,209,21,Apr 22,TEX,@,OAK,"L,1-6",GS-6,L(2-2),5,6.0,4,4,4,3,4.0,1,0,3.21,25,99,59,19,8,7,11,6,2,0,49,,,0,0,0,20,2,0,0,0,2,0,.67,-0.095,-0.85,9.30,18.00,1b start tie,6b 3 out d4,Mike Minor
6,210,26,Apr 27,TEX,@,SEA,"W,15-1",GS-7,W(3-2),4,7.0,3,1,1,1,13.0,1,1,2.88,26,111,76,22,19,6,5,1,0,0,79,,,0,0,0,24,0,0,0,0,0,0,.24,0.036,2.59,40.75,69.00,1b start a 3,7b 3 out a9,Mike Minor
7,211,30,May 3,TEX,,TOR,"L,0-1",GS-8,,5,8.0,7,0,0,2,9.0,0,0,2.40,30,116,76,19,11,8,11,6,4,0,75,,,0,0,0,28,1,0,0,1,0,0,1.26,0.604,4.91,30.60,51.00,1t start tie,8t 3 out tie,Mike Minor
8,212,35,May 9,TEX,@,HOU,"L,2-4",GS-6,L(3-3),5,5.0,7,3,3,3,5.0,1,0,2.68,24,102,65,17,11,7,9,3,2,0,43,,,0,0,0,20,0,0,0,1,1,0,1.26,-0.076,-0.17,9.25,21.00,1b start tie,6b 12- 0 out tie,Mike Minor
9,213,40,May 15,TEX,@,KCR,"W,6-1",GS-5,W(4-3),5,5.0,8,1,1,2,3.0,0,0,2.61,24,90,54,15,7,9,10,7,0,0,48,,,3,0,0,20,1,0,0,1,0,0,1.62,0.215,1.79,13.25,33.00,1b start a 2,5b 3 out a2,Mike Minor
10,214,45,May 20,TEX,,SEA,"W,10-9",GS-6,W(5-3),4,6.0,6,2,2,1,11.0,0,0,2.64,25,107,74,18,18,4,9,4,0,0,62,,,0,0,0,23,1,0,0,0,1,0,.48,0.152,1.68,31.30,57.00,1t start tie,6t 3 out a5,Mike Minor
