Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,6,18,Apr 18,ATL,,ARI,"L,1-4",GS-5,L(0-1),99,5.0,4,1,1,2,6.0,0,2,1.80,24,85,58,17,10,9,5,4,1,0,59,,,1,0,0,20,2,0,1,0,0,1,1.20,0.165,1.78,16.45,30.00,1t start tie,5t 3 out d1,Mike Soroka
2,7,23,Apr 24,ATL,@,CIN,"W,3-1",GS-6,W(1-1),5,5.2,5,1,1,3,7.0,0,0,1.69,25,109,67,20,12,10,5,5,0,0,59,,,0,0,0,22,0,0,0,0,0,0,1.34,0.164,1.47,23.95,47.00,1b start a 1,6b 123 2 out a1,Mike Soroka
3,8,28,Apr 29,ATL,,SDP,"W,3-1",GS-6,W(2-1),4,6.0,4,1,1,1,8.0,0,0,1.62,22,81,57,22,8,6,7,4,2,0,67,,,0,0,0,20,0,0,0,1,0,0,1.17,0.260,2.34,28.50,51.00,1t start tie,6t 3 out a2,Mike Soroka
4,9,33,May 4,ATL,@,MIA,"W,9-2",GS-7,W(3-1),4,7.0,3,2,0,2,6.0,0,1,1.14,30,89,60,15,10,16,5,2,0,0,71,,,0,0,0,26,0,0,0,0,0,2,.76,0.043,1.48,28.15,51.00,1b start tie,7b 3 out a7,Mike Soroka
5,10,38,May 9,ATL,@,ARI,"L,2-3",GS-6,,4,6.0,4,1,1,3,4.0,0,2,1.21,26,102,60,13,8,10,7,3,0,0,61,,,2,0,0,21,1,1,0,1,0,0,1.24,0.256,2.21,14.10,27.00,1b start tie,6b 3 out tie,Mike Soroka
6,11,43,May 15,ATL,,STL,"W,4-0",GS-7,W(4-1),5,7.0,3,0,0,3,3.0,0,1,0.98,27,93,57,15,6,10,10,3,2,0,71,,,0,0,0,22,0,0,0,1,0,0,1.19,0.435,3.89,21.55,42.00,1t start tie,7t 3 out a2,Mike Soroka
7,12,48,May 20,ATL,@,SFG,"W,4-1",GS-8,W(5-1),4,8.0,2,1,1,0,7.0,1,0,1.01,26,94,63,16,14,12,7,2,3,0,81,,,0,0,0,26,0,0,0,1,0,1,.94,0.385,2.97,32.80,54.00,1b start a 1,8b 3 out a3,Mike Soroka
8,13,53,May 25,ATL,@,STL,"L,3-6",GS-6,,4,6.0,5,2,1,1,5.0,0,1,1.07,25,80,57,15,11,11,6,4,1,0,60,,,0,0,0,22,0,0,0,1,0,0,1.14,0.049,1.11,17.30,30.00,1b start tie,6b 3 out d1,Mike Soroka
9,14,58,Jun 1,ATL,,DET,"W,10-5",GS-7,W(6-1),6,6.2,7,4,3,0,5.0,0,0,1.41,27,100,68,13,17,12,10,5,2,0,51,,,0,1,0,27,2,0,0,0,0,1,.92,0.016,0.64,18.80,38.00,1t start tie,7t 1-- 2 out a3,Mike Soroka
10,15,63,Jun 7,ATL,@,MIA,"W,7-1",GS-9,W(7-1),5,8.0,3,1,1,2,6.0,0,0,1.38,28,99,67,14,11,14,6,5,0,0,76,,,0,0,0,26,1,0,0,1,0,0,.47,0.180,3.59,29.00,51.00,1b start a 2,9b 1-- 0 out a7,Mike Soroka
11,16,68,Jun 12,ATL,,PIT,"W,8-7",GS-5,,4,5.0,10,5,5,1,3.0,1,0,1.92,25,98,68,12,7,9,12,9,2,0,29,,,1,0,0,24,1,0,0,1,0,0,1.30,-0.136,-2.22,0.65,9.00,1t start tie,5t 3 out a1,Mike Soroka
12,17,73,Jun 17,ATL,,NYM,"W,12-3",GS-6,W(8-1),4,6.0,6,3,3,1,2.0,1,0,2.12,23,68,49,9,7,12,8,6,1,0,49,,,1,0,0,22,1,0,0,2,0,0,1.17,0.052,0.34,11.30,27.00,1t start tie,6t 3 out a2,Mike Soroka
13,18,78,Jun 23,ATL,@,WSN,"W,4-3",GS-2,,5,2.0,1,0,0,0,1.0,0,0,2.07,6,21,16,7,2,3,2,1,0,0,55,,,0,0,0,6,0,0,0,1,0,0,.78,0.104,1.12,5.90,9.00,1b start tie,2b 3 out tie,Mike Soroka
14,19,83,Jun 28,ATL,@,NYM,"W,6-2",GS-7,W(9-1),4,6.1,7,2,2,0,4.0,1,0,2.13,26,93,66,11,5,12,10,4,1,0,55,,,0,0,0,26,0,0,0,0,0,0,1.19,0.024,0.51,18.05,37.00,1b start tie,7b 12- 1 out a1,Mike Soroka
15,20,88,Jul 4,ATL,,PHI,"W,12-6",GS-5,,5,4.2,9,4,4,2,6.0,0,0,2.42,24,100,63,13,11,9,7,5,0,0,34,,,1,0,0,22,0,0,0,1,0,0,.91,-0.139,-1.69,7.90,20.00,1t start tie,5t 12- 2 out a5,Mike Soroka
16,21,94,Jul 14,ATL,@,SDP,"W,4-1",GS-7,W(10-1),9,7.0,6,0,0,1,9.0,0,0,2.24,27,83,62,11,15,10,7,2,1,0,73,,,0,0,0,26,0,0,0,1,0,0,1.18,0.444,3.52,33.55,60.00,1b start tie,7b 3 out tie,Mike Soroka
17,22,100,Jul 20,ATL,,WSN,"L,3-5",GS-6,L(10-2),5,6.0,9,4,4,2,4.0,1,0,2.46,27,84,57,13,9,11,10,6,1,0,40,,,0,0,0,25,2,0,0,2,0,0,1.06,-0.157,-0.66,6.90,18.00,1t start tie,6t 3 out d3,Mike Soroka
18,23,104,Jul 26,ATL,@,PHI,"W,9-2",GS-5,,5,4.2,8,1,1,1,5.0,0,0,2.44,22,88,60,14,7,7,9,3,2,0,48,,,0,0,0,21,1,0,0,1,0,0,1.12,0.161,0.90,13.10,26.00,1b start a 1,5b 123 2 out a4,Mike Soroka
