Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,157,2,Mar 29,BOS,@,SEA,"W,7-6",GS-5,,99,5.0,8,6,6,2,3.0,3,0,10.80,26,89,63,21,7,4,17,10,1,0,28,,,0,0,0,22,2,0,0,0,2,1,.50,-0.308,-3.43,-0.75,6.00,1b start tie,5b 3 out d4,Nathan Eovaldi
2,158,7,Apr 3,BOS,@,OAK,"W,6-3",GS-5,,4,5.0,4,3,3,4,3.0,1,1,8.10,23,96,51,15,5,10,5,3,0,0,46,,,0,0,0,18,0,0,0,1,0,0,1.07,-0.078,-0.38,5.85,15.00,1b start tie,5b 3 out d2,Nathan Eovaldi
3,159,13,Apr 11,BOS,,TOR,"W,7-6",GS-5,,7,5.0,6,5,5,4,4.0,2,0,8.40,21,89,51,14,10,8,5,0,0,0,35,,,0,0,0,17,0,0,0,4,0,0,.93,-0.177,-2.10,3.25,12.00,1t start tie,5t 3 out d2,Nathan Eovaldi
4,160,19,Apr 17,BOS,@,NYY,"L,3-5",GS-6,,5,6.0,3,1,0,1,6.0,0,0,6.00,23,104,67,21,10,9,7,1,2,0,69,,,0,0,0,22,2,0,0,0,0,1,1.13,0.269,2.25,23.10,36.00,1b start a 1,6b 3 out a2,Nathan Eovaldi
5,161,101,Jul 22,BOS,@,TBR,"W,9-4",8-8,,95,0.2,5,3,3,0,2.0,0,0,7.06,7,24,14,7,1,3,2,2,0,0,,0,0,0,0,0,7,2,0,0,0,0,0,.16,-0.018,-2.92,-3.50,-1.00,8b --- 0 out a8,8b 12- 2 out a5,Nathan Eovaldi
6,162,104,Jul 25,BOS,,NYY,"W,19-3",9-GF,,2,1.0,1,0,0,0,1.0,0,0,6.75,4,18,11,5,0,2,1,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.00,0.000,0.58,3.65,6.00,9t --- 0 out a16,9t end a16,Nathan Eovaldi
7,163,106,Jul 27,BOS,,NYY,"W,9-5",8-8,,1,1.0,3,2,2,0,2.0,0,0,7.23,6,36,25,8,3,1,3,2,1,0,,0,0,0,0,0,6,1,0,0,0,0,0,.25,-0.004,-1.42,0.45,3.00,8t --- 0 out a6,8t 3 out a4,Nathan Eovaldi
8,164,108,Jul 30,BOS,,TBR,"L,5-6",8-8,,2,1.0,1,0,0,1,3.0,0,0,6.93,5,25,15,5,5,0,1,1,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,1.19,0.062,0.58,7.05,12.00,8t --- 0 out d1,8t 3 out d1,Nathan Eovaldi
9,165,111,Aug 2,BOS,@,NYY,"L,2-4",8-GF(8),,2,1.0,0,0,0,0,1.0,0,0,6.66,3,12,8,5,0,1,1,1,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,.20,0.016,0.54,4.25,6.00,8b --- 0 out d2,8b end d 2,Nathan Eovaldi
10,166,115,Aug 5,BOS,,KCR,"W,7-5",7-7,H(1),2,1.0,1,1,1,1,0.0,1,0,6.75,5,15,8,2,1,0,4,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,.88,-0.003,-0.42,-0.95,0.00,7t --- 0 out a3,7t 3 out a2,Nathan Eovaldi
