Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,88,2,Mar 30,NYM,@,WSN,"W,11-8",GS-6,,99,6.0,7,4,4,0,7.0,1,1,6.00,25,103,69,19,15,11,6,3,0,0,49,,,1,0,1,23,3,0,0,0,1,0,1.11,-0.057,-0.63,14.70,27.00,1b start a 3,6b 3 out tie,Noah Syndergaard
2,89,7,Apr 4,NYM,,WSN,"L,0-4",GS-6,L(0-1),4,6.0,1,2,2,2,6.0,1,0,4.50,21,98,61,15,13,6,7,1,3,0,66,,,0,0,0,18,0,0,0,0,0,0,.87,0.049,0.92,19.70,30.00,1t start tie,6t 3 out d2,Noah Syndergaard
3,90,11,Apr 10,NYM,,MIN,"W,9-6",GS-8,W(1-1),5,7.0,5,4,4,0,7.0,0,0,4.74,26,98,71,14,14,12,7,4,1,0,58,,,0,0,0,25,1,1,0,0,0,0,.58,0.151,-0.51,22.75,42.00,1t start tie,8t --3 0 out a6,Noah Syndergaard
4,91,16,Apr 15,NYM,@,PHI,"W,7-6",GS-5,,4,5.0,9,5,5,3,9.0,1,0,5.63,25,102,69,26,8,5,8,3,2,0,35,,,1,1,0,22,1,0,0,1,0,0,1.27,-0.267,-2.30,12.05,27.00,1b start tie,5b 3 out tie,Noah Syndergaard
5,92,21,Apr 21,NYM,@,STL,"L,4-6",GS-5,L(1-2),5,5.0,8,6,4,2,5.0,0,0,5.90,26,93,63,17,11,8,11,7,0,0,34,,,0,0,0,24,2,0,0,0,0,1,.96,-0.342,-3.41,7.25,18.00,1b start a 1,5b 3 out d3,Noah Syndergaard
6,93,26,Apr 27,NYM,,MIL,"L,6-8",GS-5,L(1-3),5,5.0,10,5,5,3,5.0,2,0,6.35,25,100,66,14,13,8,9,5,2,0,29,,,2,1,0,22,0,0,0,1,0,0,.98,-0.281,-2.57,3.45,15.00,1t start tie,5t 3 out d4,Noah Syndergaard
7,94,31,May 2,NYM,,CIN,"W,1-0",SHO,W(2-3),4,9.0,4,0,0,1,10.0,0,0,5.02,31,104,74,23,10,10,10,5,2,0,88,,,1,0,0,30,0,0,0,2,0,1,1.27,0.734,4.38,46.25,69.00,1t start tie,9t 3 out a1,Noah Syndergaard
8,95,36,May 7,NYM,@,SDP,"W,7-6",GS-6,,4,6.0,9,5,4,1,5.0,2,0,5.14,27,101,71,21,12,12,9,3,0,0,40,,,2,0,0,26,2,0,0,0,0,0,.74,-0.268,-1.99,9.50,21.00,1b start a 2,6b 3 out d3,Noah Syndergaard
9,96,40,May 14,NYM,@,WSN,"W,6-2",GS-8,W(3-3),6,8.0,4,2,2,1,6.0,1,1,4.74,28,102,64,24,7,11,9,3,1,0,71,,,0,0,0,26,0,0,0,2,0,0,.82,0.287,2.49,26.40,48.00,1b start a 4,8b 3 out a3,Noah Syndergaard
10,97,45,May 19,NYM,@,MIA,"L,0-3",GS-7,L(3-4),4,7.0,5,2,2,1,3.0,0,1,4.50,26,82,53,14,7,9,12,4,1,0,61,,,0,0,0,23,2,0,0,2,1,0,.88,0.083,1.48,13.55,24.00,1b start tie,7b 3 out d2,Noah Syndergaard
11,98,50,May 24,NYM,,DET,"L,8-9",GS-6,,4,5.1,10,6,6,1,9.0,2,0,4.93,28,104,68,18,14,6,12,9,1,0,32,,,1,0,0,26,1,0,0,0,1,1,.87,-0.456,-3.47,11.40,25.00,1t start tie,6t -23 1 out a1,Noah Syndergaard
12,99,55,May 29,NYM,@,LAD,"L,8-9",GS-6,,4,6.0,7,3,3,2,5.0,0,0,4.90,26,116,78,17,18,6,13,6,2,0,49,,,1,0,0,24,5,0,0,0,0,0,1.12,0.032,0.05,12.10,24.00,1b start a 2,6b 3 out a3,Noah Syndergaard
13,100,60,Jun 4,NYM,,SFG,"L,3-9",GS-7,,5,6.2,5,3,3,3,4.0,0,0,4.83,29,103,68,18,13,11,11,5,1,0,53,,,1,0,0,26,0,0,0,0,0,1,1.31,0.077,1.18,12.20,23.00,1t start tie,7t 1-- 2 out a1,Noah Syndergaard
14,101,65,Jun 9,NYM,,COL,"W,6-1",GS-7,W(4-4),4,7.0,1,0,0,2,7.0,0,0,4.45,23,98,68,13,15,7,7,1,1,0,80,,,0,0,1,21,0,0,0,0,0,0,.55,0.230,3.41,31.95,54.00,1t start tie,7t 3 out a6,Noah Syndergaard
15,102,70,Jun 15,NYM,,STL,"W,8-7",GS-7,W(5-4),5,6.0,6,5,4,2,5.0,1,1,4.55,27,105,68,23,12,9,10,3,3,0,45,,,5,0,0,23,0,0,0,0,1,0,.76,-0.015,-1.07,14.10,33.00,1t start tie,7t 12- 0 out a5,Noah Syndergaard
16,103,85,Jun 30,NYM,,ATL,"W,8-5",GS-6,,14,5.2,7,3,3,3,5.0,1,0,4.56,26,106,71,16,15,6,12,5,4,0,45,,,3,1,0,23,1,0,0,0,0,0,1.38,-0.143,-0.84,10.75,23.00,1t start tie,6t 123 2 out tie,Noah Syndergaard
17,104,89,Jul 6,NYM,,PHI,"W,6-5",GS-5,W(6-4),5,5.0,7,4,4,3,3.0,2,0,4.68,24,87,53,18,7,9,9,4,0,0,37,,,1,0,0,21,1,0,0,1,0,0,1.08,-0.191,-1.57,7.25,24.00,1t start tie,5t 3 out d1,Noah Syndergaard
18,105,92,Jul 13,NYM,@,MIA,"W,4-2",GS-7,W(7-4),6,7.0,5,2,2,0,9.0,0,1,4.55,27,105,69,17,20,12,5,5,0,0,68,,,0,0,0,26,1,1,0,0,0,0,1.16,0.188,1.48,30.15,54.00,1b start tie,7b 3 out tie,Noah Syndergaard
19,106,96,Jul 18,NYM,@,SFG,"L,2-3",GS-7,,4,7.0,6,1,1,1,8.0,0,0,4.36,28,108,76,11,16,7,12,5,2,0,68,,,1,0,0,26,1,2,1,0,1,0,1.54,0.316,2.48,25.55,42.00,1b start a 1,7b 3 out tie,Noah Syndergaard
20,107,101,Jul 24,NYM,,SDP,"L,2-7",GS-7,L(7-5),5,7.0,8,4,3,5,8.0,0,0,4.33,32,109,73,25,15,12,7,4,1,0,50,,,2,0,0,26,2,0,1,1,1,0,1.00,-0.138,-0.59,17.95,36.00,1t start tie,7t 3 out d2,Noah Syndergaard
21,108,106,Jul 30,NYM,@,CHW,"W,5-2",GS-8,,5,7.1,5,1,0,1,11.0,0,0,4.10,28,97,66,10,21,11,5,3,0,0,76,,,2,0,0,27,1,0,0,1,0,1,1.66,0.129,1.84,34.90,55.00,1b start tie,8b -23 1 out a1,Noah Syndergaard
22,109,111,Aug 4,NYM,@,PIT,"W,13-2",GS-7,W(8-5),4,7.0,3,1,1,1,3.0,0,0,3.96,25,91,64,13,9,12,9,1,3,0,69,,,2,0,0,24,1,0,0,0,0,0,.35,0.130,2.56,21.35,39.00,1b start a 3,7b 3 out a12,Noah Syndergaard
23,110,117,Aug 10,NYM,,WSN,"W,4-3",GS-7,,5,7.0,7,2,2,2,5.0,1,0,3.89,28,97,66,22,6,10,11,4,1,0,58,,,2,0,0,26,0,0,0,2,0,0,.96,0.184,1.41,16.35,30.00,1t start tie,7t 3 out tie,Noah Syndergaard
24,111,122,Aug 16,NYM,@,KCR,"L,1-4",GS-6,L(8-6),5,6.0,5,2,2,2,6.0,0,0,3.86,25,90,59,13,12,9,8,4,0,0,58,,,1,0,0,23,4,0,0,0,0,0,1.14,0.061,1.35,17.30,30.00,1b start tie,6b 3 out d1,Noah Syndergaard
