Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,173,3,Mar 31,WSN,,NYM,"W,6-5",GS-6,,99,6.0,7,2,2,2,4.0,0,0,3.00,26,94,55,12,14,8,12,5,0,0,52,,,2,0,0,24,2,0,0,1,0,0,.97,0.158,1.37,12.10,24.00,1t start tie,6t 3 out a2,Patrick Corbin
2,174,7,Apr 6,WSN,@,NYM,"L,5-6",GS-6,,5,6.0,6,3,3,1,9.0,3,0,3.75,25,86,57,19,12,5,10,5,0,0,56,,,1,0,0,24,1,0,0,0,0,0,.80,-0.134,-0.08,21.30,36.00,1b start tie,6b 3 out d2,Patrick Corbin
3,175,12,Apr 12,WSN,,PIT,"L,3-6",GS-7,,5,7.0,4,1,1,1,11.0,1,0,2.84,25,106,65,17,18,7,6,2,0,0,75,,,2,1,1,24,0,0,0,0,0,0,1.06,0.380,2.93,32.75,51.00,1t start tie,7t 3 out a1,Patrick Corbin
4,176,17,Apr 18,WSN,,SFG,"W,4-2",GS-8,W(1-0),5,7.2,2,1,1,1,9.0,0,1,2.36,26,107,71,26,10,6,9,4,2,0,79,,,0,1,1,24,2,0,0,0,0,0,.74,0.332,3.14,34.85,59.00,1t start tie,8t -2- 2 out a3,Patrick Corbin
5,177,22,Apr 23,WSN,@,COL,"W,6-3",GS-6,W(2-0),4,6.0,5,3,2,1,6.0,1,0,2.48,25,103,66,15,10,8,10,4,0,0,57,,,0,0,0,24,0,0,0,0,0,1,1.04,0.107,0.75,21.90,42.00,1b start tie,6b 3 out a1,Patrick Corbin
6,178,27,Apr 29,WSN,,STL,"L,3-6",GS-5,L(2-1),5,5.0,6,6,6,4,5.0,1,0,3.58,25,92,52,19,5,7,9,4,2,0,32,,,0,0,0,21,1,0,0,1,0,1,1.06,-0.416,-3.19,3.25,12.00,1t start tie,5t 3 out d3,Patrick Corbin
7,179,32,May 4,WSN,@,PHI,"W,10-8",GS-6,,4,6.0,6,3,3,3,6.0,0,0,3.71,28,118,74,26,14,11,8,4,0,0,51,,,0,0,0,23,2,0,0,1,1,2,1.39,0.027,0.24,14.10,27.00,1b start a 1,6b 3 out tie,Patrick Corbin
8,180,37,May 9,WSN,@,LAD,"W,6-0",GS-7,W(3-1),4,7.0,3,0,0,4,8.0,0,1,3.20,27,107,65,16,19,7,7,2,0,0,75,,,0,0,0,22,0,0,0,2,0,0,1.06,0.357,3.56,30.95,57.00,1b start a 3,7b 3 out a3,Patrick Corbin
9,181,42,May 15,WSN,,NYM,"W,5-1",GS-8,W(4-1),5,8.0,4,1,1,1,11.0,0,0,2.91,29,108,72,12,17,10,7,5,0,0,80,,,0,0,0,27,1,0,0,0,0,0,.63,0.245,3.49,39.00,66.00,1t start tie,8t 3 out a4,Patrick Corbin
10,182,47,May 20,WSN,@,NYM,"L,3-5",GS-5,L(4-2),4,5.0,6,4,4,3,7.0,2,0,3.25,24,98,60,8,16,5,9,2,1,0,43,,,0,0,0,21,1,0,1,0,0,0,.66,-0.172,-1.57,11.85,24.00,1b start tie,5b 3 out d2,Patrick Corbin
11,183,52,May 25,WSN,,MIA,"W,5-0",SHO,W(5-2),4,9.0,4,0,0,1,5.0,0,0,2.85,29,116,70,21,8,15,8,3,1,0,83,,,0,0,0,28,1,0,0,3,0,0,.57,0.318,5.05,36.25,54.00,1t start tie,9t 3 out a5,Patrick Corbin
12,184,57,May 31,WSN,@,CIN,"L,3-9",GS-3,L(5-3),5,2.2,11,8,6,0,2.0,1,0,3.46,20,65,41,9,7,7,11,10,0,0,10,,,1,0,0,19,0,0,0,0,1,1,.66,-0.396,-6.83,-8.60,-4.00,1b start tie,3b 12- 2 out d7,Patrick Corbin
13,185,62,Jun 6,WSN,@,SDP,"L,4-5",GS-5,L(5-4),5,5.0,5,5,3,5,6.0,1,0,3.59,24,101,57,18,13,7,6,2,1,0,42,,,0,0,0,18,0,0,0,1,1,0,1.43,-0.330,-2.49,11.25,24.00,1b start a 4,5b 3 out d1,Patrick Corbin
14,186,67,Jun 11,WSN,@,CHW,"L,5-7",GS-6,L(5-5),4,5.0,6,7,7,2,5.0,2,0,4.11,23,88,53,16,10,3,13,7,0,0,30,,,0,0,0,21,3,0,0,0,0,0,.62,-0.342,-3.95,2.45,9.00,1b start a 2,6b -2- 0 out d4,Patrick Corbin
15,187,72,Jun 19(1),WSN,,PHI,"W,6-2",GS-7,W(6-5),7,7.0,4,1,1,3,8.0,1,0,3.90,27,101,63,12,16,11,5,2,1,0,70,,,1,0,0,23,0,0,0,0,0,0,1.20,0.361,2.93,29.55,54.00,1t start tie,7t 3 out a2,Patrick Corbin
16,188,79,Jun 26,WSN,@,MIA,"W,7-5",GS-7,W(7-5),6,7.0,3,1,1,1,9.0,0,0,3.71,25,100,70,16,17,7,8,4,1,0,75,,,0,0,0,24,0,0,0,0,0,0,.80,0.230,2.48,33.35,57.00,1b start tie,7b 3 out a3,Patrick Corbin
17,189,84,Jul 2,WSN,,MIA,"W,3-2",GS-7,,5,7.0,6,1,1,0,7.0,0,0,3.55,25,87,56,12,12,12,6,1,4,0,68,,,0,1,1,25,0,0,0,2,0,1,1.18,0.390,2.93,24.15,39.00,1t start tie,7t 3 out a1,Patrick Corbin
18,190,89,Jul 7,WSN,,KCR,"W,5-2",GS-7,,4,7.0,5,0,0,0,11.0,0,0,3.34,25,104,69,16,21,4,10,7,1,0,78,,,0,0,0,25,2,0,0,0,0,0,1.16,0.484,3.93,34.75,54.00,1t start tie,7t 3 out a1,Patrick Corbin
19,191,91,Jul 13,WSN,@,PHI,"W,4-3",GS-6,,5,6.0,6,3,3,2,10.0,1,0,3.39,25,103,68,16,21,7,6,1,1,0,56,,,0,1,0,22,3,0,0,0,1,0,.68,-0.060,0.24,22.70,39.00,1b start tie,6b 3 out d2,Patrick Corbin
20,192,96,Jul 19,WSN,@,ATL,"L,3-4",GS-5,,5,5.0,8,2,2,2,5.0,0,0,3.40,24,100,62,13,11,6,11,7,1,0,46,,,1,1,1,22,3,0,1,0,0,0,1.08,0.027,0.78,11.25,24.00,1b start tie,5b 3 out d2,Patrick Corbin
21,193,101,Jul 24(2),WSN,,COL,"W,2-0",GS-6,W(8-5),4,6.0,3,0,0,3,7.0,0,0,3.25,23,106,64,19,14,6,7,3,1,0,70,,,0,0,0,20,0,1,0,1,0,0,1.17,0.380,3.37,27.90,51.00,1t start tie,6t 3 out a1,Patrick Corbin
22,194,106,Jul 29,WSN,,ATL,"W,6-3",GS-6,W(9-5),4,6.0,5,2,2,1,8.0,0,0,3.23,25,107,67,12,21,8,8,3,0,0,61,,,0,0,0,23,0,0,0,0,1,1,1.15,0.123,1.37,25.90,48.00,1t start tie,6t 3 out tie,Patrick Corbin
23,195,111,Aug 4,WSN,@,ARI,"L,5-7",GS-6,,5,5.1,7,5,5,3,5.0,1,0,3.43,25,87,55,10,8,7,10,5,1,0,36,,,0,0,0,22,3,0,0,1,0,0,1.01,-0.395,-3.01,6.00,16.00,1b start tie,6b 1-3 1 out d1,Patrick Corbin
24,196,116,Aug 10,WSN,@,NYM,"L,3-4",GS-6,,5,6.0,3,2,2,1,8.0,2,0,3.41,22,94,62,17,15,9,4,1,1,0,65,,,0,0,0,21,0,0,0,0,0,0,.79,0.097,0.92,23.10,36.00,1b start a 2,6b 3 out tie,Patrick Corbin
25,197,121,Aug 16,WSN,,MIL,"W,2-1",GS-6,,5,6.0,7,1,1,4,8.0,1,0,3.34,29,110,61,14,23,10,7,4,0,0,58,,,2,0,0,23,2,0,0,0,0,0,1.48,0.261,2.37,20.90,39.00,1t start tie,6t 3 out tie,Patrick Corbin
26,198,126,Aug 21,WSN,@,PIT,"W,11-1",GS-8,W(10-5),4,8.0,3,0,0,2,4.0,0,0,3.17,28,93,63,11,11,15,7,2,0,0,78,,,0,0,0,26,0,0,0,1,0,0,.47,0.187,4.06,27.00,48.00,1b start tie,8b 3 out a9,Patrick Corbin
27,199,131,Aug 27,WSN,,BAL,"L,0-2",GS-7,L(10-6),5,7.0,4,2,2,0,9.0,0,1,3.15,26,104,69,17,13,8,8,5,0,0,70,,,0,0,0,24,1,0,0,0,1,0,.77,0.119,1.93,26.75,42.00,1t start tie,7t 3 out d2,Patrick Corbin
28,200,135,Sep 1,WSN,,MIA,"W,9-3",GS-6,W(11-6),4,6.0,3,3,3,3,8.0,1,0,3.19,24,95,63,8,17,7,6,3,0,0,59,,,0,0,0,20,1,0,0,0,1,0,1.13,-0.007,0.37,23.90,45.00,1t start tie,6t 3 out a1,Patrick Corbin
29,201,140,Sep 6,WSN,@,ATL,"L,3-4",GS-5,L(11-7),4,5.0,3,2,1,6,9.0,1,0,3.16,24,107,63,16,20,3,6,2,1,0,58,,,0,1,0,17,2,0,0,0,1,1,1.01,0.021,0.78,21.85,39.00,1b start tie,5b 3 out d2,Patrick Corbin
30,202,145,Sep 12,WSN,@,MIN,"W,12-6",GS-6,W(12-7),5,6.0,9,3,3,0,3.0,1,0,3.20,27,100,65,17,8,15,9,4,0,0,45,,,0,0,0,26,2,0,0,0,0,0,1.03,0.028,0.32,12.10,30.00,1b start a 1,6b 3 out a7,Patrick Corbin
