Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,272,30,Apr 28,LAD,,PIT,"W,7-6",GS-6,,99,6.0,5,5,1,0,6.0,2,0,1.50,24,85,62,21,8,9,9,1,2,0,56,,,0,0,0,23,1,0,0,0,0,1,.72,-0.230,-1.95,20.50,33.00,1t start tie,6t 3 out tie,Rich Hill
2,273,35,May 4,LAD,@,SDP,"W,7-6",GS-5,,5,4.0,7,3,3,1,3.0,2,1,3.60,20,85,55,17,6,6,9,6,1,0,38,,,0,0,0,17,0,0,0,1,1,0,.77,-0.203,-1.99,3.60,12.00,1b start tie,5b 12- 0 out d2,Rich Hill
3,274,40,May 9,LAD,,WSN,"L,0-6",GS-5,L(0-1),4,5.0,5,3,3,2,5.0,1,1,4.20,22,96,59,15,6,7,7,1,2,0,48,,,2,1,0,18,1,0,0,0,0,0,.70,-0.118,-0.46,10.45,21.00,1t start tie,5t 3 out d3,Rich Hill
4,275,46,May 17,LAD,@,CIN,"W,6-0",GS-6,W(1-1),7,6.0,2,0,0,0,10.0,0,0,3.00,20,84,64,17,12,7,3,1,0,0,78,,,0,0,0,20,0,0,0,0,0,0,.70,0.260,3.27,36.30,60.00,1b start tie,6b 3 out a5,Rich Hill
5,276,50,May 22,LAD,@,TBR,"L,1-8",GS-6,,4,6.0,5,1,1,2,7.0,1,0,2.67,24,90,63,22,9,10,5,3,0,0,63,,,0,0,0,22,0,0,0,2,0,1,1.02,0.213,2.22,21.30,36.00,1b start tie,6b 3 out tie,Rich Hill
6,277,55,May 28,LAD,,NYM,"L,3-7",GS-6,,5,6.0,6,2,2,1,6.0,1,0,2.73,25,104,76,24,8,8,10,6,2,0,57,,,1,1,0,24,1,0,0,0,0,0,1.26,0.113,1.05,17.30,30.00,1t start tie,6t 3 out tie,Rich Hill
7,278,60,Jun 2,LAD,,PHI,"W,8-0",GS-7,W(2-1),4,7.0,3,0,0,3,9.0,0,0,2.25,27,103,75,20,13,9,6,2,1,0,77,,,0,0,0,23,1,0,2,0,0,0,1.30,0.446,3.56,34.15,60.00,1t start tie,7t 3 out tie,Rich Hill
8,279,65,Jun 8,LAD,@,SFG,"W,7-2",GS-5,W(3-1),5,5.0,7,2,2,3,6.0,1,0,2.40,24,94,59,19,11,5,10,6,1,0,48,,,0,0,0,21,1,0,0,1,0,0,1.59,0.016,0.48,17.25,39.00,1b start tie,5b 3 out tie,Rich Hill
9,280,70,Jun 14,LAD,,CHC,"W,5-3",GS-7,W(4-1),5,7.0,7,3,3,0,7.0,2,0,2.60,28,99,73,18,14,12,9,4,0,0,58,,,0,0,0,27,2,0,0,0,0,0,.90,0.091,0.56,23.55,45.00,1t start tie,7t 3 out a2,Rich Hill
10,281,75,Jun 19,LAD,,SFG,"W,9-2",GS-1,,4,1.0,0,0,0,0,2.0,0,0,2.55,3,15,11,5,2,0,1,1,0,0,55,,,0,0,0,3,0,0,0,0,0,0,.63,0.048,0.51,6.25,9.00,1t start tie,1t 3 out tie,Rich Hill
11,282,148,Sep 12,LAD,@,BAL,"W,4-2",GS-1,,84,0.2,0,1,1,2,2.0,0,2,2.68,6,27,14,5,3,0,0,0,0,0,48,,,0,0,0,2,0,0,0,0,0,0,1.17,-0.112,-1.26,1.10,5.00,1b start tie,1b 123 2 out d1,Rich Hill
12,283,157,Sep 24,LAD,@,SDP,"W,6-3",GS-2,,11,2.0,0,0,0,2,5.0,0,0,2.59,8,35,19,8,5,1,0,0,0,0,59,,,0,0,0,6,0,0,0,0,0,0,1.11,0.105,1.00,13.30,21.00,1b start a 1,2b 3 out a1,Rich Hill
13,284,162,Sep 29,LAD,@,SFG,"W,9-0",GS-3,,4,3.0,1,0,0,2,4.0,0,0,2.45,11,49,34,10,7,3,2,1,0,0,59,,,0,0,0,9,0,0,0,1,0,0,.51,0.089,1.49,12.95,21.00,1b start a 5,3b 3 out a5,Rich Hill
