Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,39,5,Apr 1,TBR,,COL,"W,7-1",2-6,W(1-0),99,4.1,3,1,1,0,3.0,0,1,2.08,16,57,37,9,7,5,7,3,1,0,,0,0,0,0,0,15,0,0,0,1,0,0,1.02,0.175,1.73,15.35,31.00,2t --- 0 out tie,6t 12- 1 out a3,Ryan Yarbrough
2,40,9,Apr 6,TBR,@,SFG,"L,4-6",5-7,BL(1-1),4,3.0,4,4,4,1,2.0,1,0,6.14,14,49,32,8,5,4,7,1,1,0,,0,0,0,0,0,13,1,0,0,0,0,0,.76,-0.404,-2.51,-0.25,3.00,5b --- 0 out a1,7b 3 out d2,Ryan Yarbrough
3,41,14,Apr 12,TBR,@,TOR,"W,11-7",3-4,W(2-1),5,2.0,0,0,0,0,1.0,0,0,4.82,6,16,12,4,0,4,1,0,1,0,,0,0,0,0,0,6,0,0,0,0,0,0,.41,0.063,1.07,10.50,21.00,3b --- 0 out a5,4b 3 out a5,Ryan Yarbrough
4,42,20,Apr 19,TBR,,BOS,"L,4-6",3-5,,6,3.0,3,3,3,1,6.0,1,0,5.84,13,55,38,9,10,3,3,2,0,0,,0,0,0,0,0,12,1,0,0,0,0,0,.99,-0.209,-1.39,10.35,18.00,3t --- 0 out a1,5t 3 out d1,Ryan Yarbrough
5,43,25,Apr 24,TBR,,KCR,"L,2-10",4-8,,4,4.1,8,7,7,2,2.0,1,0,8.10,22,74,43,12,2,6,12,7,0,0,,1,1,0,0,0,19,3,1,1,1,1,0,.47,-0.205,-4.23,-6.25,-2.00,4t --3 1 out d1,8t -2- 2 out d7,Ryan Yarbrough
6,44,47,May 23,TBR,@,CLE,"W,7-2",GS-8,W(3-1),28,7.1,4,2,2,1,4.0,0,0,6.38,27,99,67,16,17,9,13,8,2,0,65,,,0,0,0,26,1,0,0,0,0,0,.60,0.294,2.29,21.50,40.00,1b start a 2,8b --- 1 out a5,Ryan Yarbrough
7,45,52,May 28,TBR,,TOR,"W,3-1",3-6,W(4-1),4,3.2,2,0,0,1,1.0,0,0,5.53,14,53,33,12,3,5,7,3,2,0,,0,0,0,0,0,13,1,0,0,0,0,0,1.19,0.233,2.03,12.45,26.00,3t --- 0 out a1,6t --- 2 out a2,Ryan Yarbrough
8,46,57,Jun 2,TBR,,MIN,"L,7-9",GS-7,L(4-2),4,7.0,10,7,7,2,4.0,0,2,6.23,31,92,57,13,8,12,11,8,2,0,31,,,1,0,0,26,3,0,0,4,1,1,.70,-0.252,-3.25,1.35,12.00,1t start tie,7t 3 out d7,Ryan Yarbrough
9,47,62,Jun 8(1),TBR,@,BOS,"W,9-2",GS-8,W(5-2),5,7.2,4,2,1,0,7.0,1,0,5.31,27,110,75,18,14,14,6,2,0,0,72,,,0,0,0,27,0,0,0,2,0,2,.84,0.278,2.52,30.85,53.00,1b start tie,8b --- 2 out a3,Ryan Yarbrough
10,48,68,Jun 13,TBR,,LAA,"L,3-5",GS-6,L(5-3),4,6.0,5,5,5,1,4.0,2,2,5.59,26,90,58,20,5,5,14,7,2,0,45,,,0,0,0,23,2,1,0,0,0,0,.68,-0.179,-1.79,6.70,15.00,1t start tie,6t 3 out d2,Ryan Yarbrough
