Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,21,3,Mar 31,CLE,@,MIN,"L,3-9",7-GF(8),,99,2.0,2,1,1,0,2.0,0,1,4.50,8,17,13,4,2,1,4,3,1,0,,0,0,0,0,0,7,0,0,0,0,0,0,.02,-0.002,0.11,4.70,9.00,7b --- 0 out d8,8b end d 6,Shane Bieber
2,22,7,Apr 5,CLE,,TOR,"W,3-2",GS-6,,4,6.0,2,2,2,2,9.0,1,0,3.38,22,91,58,18,19,4,7,2,1,0,67,,,0,0,0,20,0,0,0,0,0,0,.90,0.110,1.45,25.10,39.00,1t start tie,6t 3 out tie,Shane Bieber
3,23,12,Apr 11,CLE,@,DET,"W,4-0",GS-7,W(1-0),5,7.0,3,0,0,1,6.0,0,0,1.80,26,105,68,20,13,10,9,6,2,0,76,,,1,0,0,25,0,0,0,0,0,1,.98,0.386,3.95,29.35,51.00,1b start a 1,7b 3 out a4,Shane Bieber
4,24,17,Apr 16,CLE,@,SEA,"W,4-2",GS-7,W(2-0),4,6.0,4,1,1,3,5.0,0,0,1.71,26,106,64,14,12,6,12,4,2,0,62,,,0,1,0,23,2,0,0,0,0,2,1.23,0.195,1.46,21.30,42.00,1b start tie,7b -2- 0 out a3,Shane Bieber
5,25,21,Apr 21,CLE,,ATL,"L,5-11",GS-3,L(2-1),4,2.1,6,7,5,1,3.0,2,1,3.47,16,65,41,17,5,3,8,4,0,0,23,,,0,0,0,14,3,0,0,0,0,1,.72,-0.317,-4.26,-3.55,1.00,1t start tie,3t 12- 1 out d5,Shane Bieber
6,26,26,Apr 27,CLE,@,HOU,"L,3-4",GS-6,,5,6.0,3,3,3,4,9.0,1,0,3.68,25,106,63,19,13,4,8,6,1,0,59,,,1,0,0,21,1,0,0,0,0,0,1.07,-0.041,0.42,21.30,36.00,1b start tie,6b 3 out d2,Shane Bieber
7,27,30,May 3,CLE,,SEA,"W,2-1",GS-8,,5,7.2,6,1,1,1,8.0,1,0,3.16,29,114,71,24,11,11,9,4,2,0,70,,,1,0,0,28,2,0,0,0,0,0,1.09,0.435,3.48,27.05,44.00,1t start tie,8t --- 2 out tie,Shane Bieber
8,28,35,May 8,CLE,,CHW,"W,5-3",GS-7,,4,6.1,8,3,3,1,6.0,1,0,3.32,27,87,60,20,10,8,12,5,1,0,50,,,1,0,0,25,0,0,0,1,0,0,1.17,-0.087,0.28,14.85,28.00,1t start tie,7t -2- 1 out tie,Shane Bieber
9,29,40,May 13,CLE,@,CHW,"L,2-5",GS-7,L(2-2),4,6.1,7,5,5,0,6.0,4,0,3.81,25,101,64,18,12,8,11,3,0,0,45,,,0,0,0,25,1,0,0,0,0,0,.60,-0.152,-0.96,12.05,22.00,1b start a 1,7b -2- 1 out d2,Shane Bieber
10,30,45,May 19,CLE,,BAL,"W,10-0",SHO,W(3-2),5,9.0,5,0,0,0,15.0,0,0,3.22,31,107,75,24,26,8,8,5,1,0,92,,,0,0,0,31,0,0,0,1,0,0,.41,0.238,5.17,56.25,84.00,1t start tie,9t 3 out a10,Shane Bieber
11,31,50,May 24,CLE,,TBR,"W,3-1",GS-5,,4,5.0,4,1,1,4,10.0,0,0,3.11,23,111,67,16,21,2,7,6,0,0,61,,,1,0,0,19,2,0,0,0,0,0,1.19,0.184,1.87,24.45,42.00,1t start tie,5t 3 out tie,Shane Bieber
