Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,156,2.0,Mar 31,CIN,,PIT,"L,0-5",GS-3,L(0-1),99,2.2,5,3,2,4,0,0,1,6.75,18,72,35,10,4,9,4,3,0,0,34,,,1,0,0,13,0,0,0,1,0,1,1.11,-0.192,-2.17,-4.00,2.0,1t start tie,3t 123 2 out d3,Sonny Gray
2,157,7.0,Apr 5,CIN,@,PIT,"L,0-2",GS-7,L(0-2),4,6.2,3,1,1,0,7,0,0,2.89,23,83,50,17,9,7,9,5,0,0,71,,,0,0,0,23,1,0,0,0,0,0,1.03,0.168,2.23,25.20,38.0,1b start tie,7b -2- 2 out d1,Sonny Gray
3,158,12.0,Apr 11,CIN,,MIA,"W,5-0",GS-4,,5,4.0,2,0,0,0,6,0,0,2.03,13,60,34,14,6,3,4,1,1,0,64,,,0,0,0,13,0,0,0,0,0,0,.84,0.221,2.18,19.80,30.0,1t start tie,4t 3 out tie,Sonny Gray
4,159,17.0,Apr 17,CIN,@,LAD,"L,2-3",GS-6,L(0-3),5,6.0,2,3,3,2,9,1,0,2.79,22,87,54,21,10,6,5,1,0,0,63,,,1,0,0,20,0,0,1,0,0,0,1.08,-0.038,0.05,23.10,36.0,1b start tie,6b 3 out d3,Sonny Gray
5,160,22.0,Apr 23,CIN,,ATL,"W,7-6",GS-6,,5,5.1,6,4,4,0,9,0,0,3.65,23,88,59,19,15,8,6,3,1,0,49,,,1,0,0,21,1,1,0,0,2,1,1.13,-0.289,-1.71,18.40,31.0,1t start tie,6t --3 1 out d1,Sonny Gray
6,161,27.0,Apr 28,CIN,@,STL,"L,2-5",GS-5,L(0-4),4,5.0,3,2,2,2,5,0,0,3.64,20,90,55,17,4,8,5,3,0,0,56,,,0,0,0,16,1,0,0,0,1,0,.98,0.000,0.59,14.25,24.0,1b start tie,5b 3 out d2,Sonny Gray
7,162,32.0,May 3,CIN,,SFG,"L,11-12",GS-5,,4,5.0,4,3,3,3,2,0,0,3.89,22,82,49,13,6,10,7,2,0,0,46,,,0,0,0,18,1,0,0,0,0,0,.66,0.121,-0.28,5.05,12.0,1t start tie,5t 3 out a6,Sonny Gray
8,163,37.0,May 8,CIN,@,OAK,"L,4-5",GS-5,,4,4.1,6,4,3,5,3,1,0,4.15,22,83,50,22,10,10,4,4,0,0,35,,,0,0,0,17,0,0,0,2,0,0,1.18,-0.116,-0.98,3.15,13.0,1b start tie,5b 123 1 out a2,Sonny Gray
9,164,43.0,May 15,CIN,,CHC,"W,6-5",GS-5,,6,5.0,5,3,3,0,7,2,0,4.30,20,88,56,12,11,6,7,2,1,0,52,,,0,0,0,20,0,0,0,0,0,0,.71,-0.057,-0.28,16.25,27.0,1t start tie,5t 3 out d1,Sonny Gray
10,165,48.0,May 21,CIN,@,MIL,"W,3-0",GS-6,W(1-4),5,6.0,5,0,0,4,9,0,0,3.78,25,103,58,19,12,8,4,2,0,0,67,,,0,1,0,21,1,0,0,1,0,0,1.15,0.314,3.21,30.10,57.0,1b start a 3,6b 3 out a3,Sonny Gray
