Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,207,2,Mar 30,WSN,,NYM,"L,8-11",GS-6,,99,6.0,7,4,4,2,8.0,0,0,6.00,27,96,62,17,15,9,8,5,0,0,48,,,0,0,0,24,2,1,0,0,0,0,.82,-0.057,-0.63,16.10,30.00,1t start tie,6t 3 out d1,Stephen Strasburg
2,208,6,Apr 4,WSN,@,NYM,"W,4-0",GS-7,W(1-0),4,6.2,3,0,0,1,9.0,0,0,2.84,25,108,67,12,16,10,5,2,0,0,76,,,0,0,0,24,0,0,0,1,0,2,1.17,0.378,2.98,34.60,59.00,1b start tie,7b 12- 2 out a2,Stephen Strasburg
3,209,10,Apr 9,WSN,@,PHI,"W,10-6",GS-4,,4,4.0,6,6,6,4,3.0,2,0,5.40,22,83,49,20,6,8,7,2,2,0,25,,,0,0,0,18,0,1,1,0,0,0,.78,-0.334,-3.84,-3.00,3.00,1b start a 1,4b 3 out d5,Stephen Strasburg
4,210,15,Apr 16,WSN,,SFG,"L,3-7",GS-6,L(1-1),6,6.0,6,4,4,0,8.0,3,0,5.56,24,97,68,19,12,8,8,5,0,0,52,,,0,0,0,24,1,0,0,0,0,0,.87,-0.154,-0.63,17.90,30.00,1t start tie,6t 3 out d3,Stephen Strasburg
5,211,20,Apr 21,WSN,@,MIA,"W,5-0",GS-8,W(2-1),4,8.0,2,0,0,2,11.0,0,0,4.11,27,104,67,23,20,10,4,2,0,0,87,,,0,0,0,25,0,0,0,1,0,0,.95,0.472,3.97,41.60,69.00,1b start tie,8b 3 out a3,Stephen Strasburg
6,212,25,Apr 27,WSN,,SDP,"L,3-8",GS-7,,5,7.0,4,2,2,1,9.0,1,0,3.82,26,100,66,16,21,6,10,3,3,0,69,,,0,0,0,25,1,0,0,0,0,0,.83,0.170,1.93,26.75,42.00,1t start tie,7t 3 out tie,Stephen Strasburg
7,213,30,May 2,WSN,,STL,"W,2-1",GS-7,W(3-1),4,6.2,6,1,1,2,9.0,0,0,3.45,27,108,69,23,17,8,8,3,2,0,65,,,2,0,0,24,0,0,0,0,0,0,1.32,0.275,2.46,30.20,56.00,1t start tie,7t 12- 2 out a1,Stephen Strasburg
8,214,35,May 7,WSN,@,MIL,"L,0-6",GS-7,L(3-2),4,6.2,6,4,4,2,11.0,0,1,3.71,28,106,67,19,21,9,5,2,1,0,55,,,0,0,0,25,1,0,0,1,0,0,1.41,0.019,0.37,23.60,41.00,1b start tie,7b --3 2 out d3,Stephen Strasburg
9,215,40,May 12,WSN,@,LAD,"L,0-6",GS-6,L(3-3),4,6.0,4,2,2,2,7.0,0,0,3.63,24,97,67,20,12,7,8,4,0,0,61,,,1,0,0,20,1,0,0,0,1,0,.81,0.028,1.05,19.90,33.00,1b start tie,6b 3 out d2,Stephen Strasburg
10,216,45,May 18,WSN,,CHC,"W,5-2",GS-8,W(4-3),5,8.0,4,2,1,0,7.0,1,0,3.32,26,93,69,21,13,14,5,2,0,0,75,,,0,0,0,26,0,0,0,1,0,0,.75,0.288,2.49,31.60,54.00,1t start tie,8t 3 out a3,Stephen Strasburg
11,217,50,May 23,WSN,@,NYM,"L,4-6",GS-7,,4,7.0,5,3,2,2,5.0,0,1,3.25,28,101,64,10,10,7,13,6,3,0,60,,,1,1,0,23,0,0,0,0,2,0,1.09,-0.115,0.41,16.95,30.00,1b start tie,7b 3 out d2,Stephen Strasburg
12,218,55,May 28,WSN,@,ATL,"W,5-4",GS-7,W(5-3),4,7.0,5,2,2,2,11.0,0,1,3.19,29,103,66,21,15,3,12,8,2,0,68,,,1,0,0,25,0,0,1,0,1,0,1.20,0.159,1.89,32.95,60.00,1b start tie,7b 3 out a3,Stephen Strasburg
13,219,60,Jun 4,WSN,,CHW,"W,9-5",GS-5,W(6-3),6,5.0,5,5,5,3,6.0,1,1,3.54,24,105,67,10,17,6,8,5,1,0,40,,,0,1,0,20,1,0,0,0,0,1,.88,-0.225,-2.19,11.85,30.00,1t start tie,5t 3 out d2,Stephen Strasburg
14,220,65,Jun 9,WSN,@,SDP,"W,5-2",GS-7,W(7-3),4,7.0,6,1,1,0,6.0,0,0,3.36,26,104,72,19,15,15,5,2,0,0,67,,,2,0,0,26,1,0,0,2,0,1,1.21,0.320,2.52,26.15,48.00,1b start a 1,7b 3 out tie,Stephen Strasburg
