Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,161,2,Mar 30,CLE,@,MIN,"W,2-1",GS-7,,99,7.0,1,1,1,1,9.0,0,1,1.29,23,108,67,19,17,4,8,1,2,0,79,,,0,0,0,21,0,1,0,1,0,0,1.14,0.336,2.87,29.95,45.00,1b start tie,7b 3 out tie,Trevor Bauer
2,162,6,Apr 4,CLE,,TOR,"W,4-1",GS-7,W(1-0),4,7.0,0,0,0,6,8.0,0,1,0.64,28,117,75,22,18,8,5,2,1,0,79,,,0,0,0,21,0,0,0,0,0,0,1.22,0.440,4.02,31.55,57.00,1t start tie,7t 3 out a2,Trevor Bauer
3,163,11,Apr 10,CLE,@,DET,"L,1-4",GS-6,L(1-1),5,5.2,10,4,4,1,7.0,2,0,2.29,28,115,75,18,13,5,15,9,1,0,39,,,0,0,0,27,2,0,0,0,0,0,.67,-0.145,-0.87,12.15,26.00,1b start tie,6b 1-- 2 out d3,Trevor Bauer
4,164,16,Apr 15,CLE,@,SEA,"W,6-4",GS-7,W(2-1),4,6.2,5,1,1,3,8.0,0,0,2.05,27,112,68,25,6,4,12,8,1,0,65,,,0,1,0,24,2,0,0,0,0,0,1.18,0.245,2.15,28.20,53.00,1b start a 2,7b 12- 2 out a2,Trevor Bauer
5,165,20,Apr 20(2),CLE,,ATL,"L,7-8",GS-7,,4,6.1,3,2,2,2,10.0,0,0,2.20,23,120,76,15,18,3,8,5,1,0,67,,,0,1,0,21,1,1,0,0,0,0,.40,0.150,2.44,27.25,43.00,1t start tie,7t 1-- 1 out a6,Trevor Bauer
6,166,24,Apr 25,CLE,@,HOU,"W,2-1",GS-8,W(3-1),4,8.0,4,1,1,6,3.0,1,0,1.99,30,118,65,21,6,10,11,5,0,0,67,,,0,1,0,24,0,0,0,2,0,0,1.39,0.550,3.55,20.00,42.00,1b start tie,8b 3 out a1,Trevor Bauer
7,167,28,Apr 30,CLE,@,MIA,"W,7-4",GS-7,W(4-1),4,7.0,4,4,4,4,10.0,1,1,2.45,30,105,64,22,17,11,4,2,1,0,59,,,0,0,0,24,1,0,0,1,0,0,1.14,0.002,-0.52,26.35,51.00,1b start tie,7b 3 out a2,Trevor Bauer
8,168,33,May 6,CLE,,CHW,"L,1-9",GS-6,L(4-2),5,5.0,10,8,7,1,7.0,2,1,3.42,25,88,57,11,13,2,14,7,3,0,23,,,0,0,0,22,2,0,0,0,1,0,.58,-0.280,-5.48,4.05,15.00,1t start tie,6t 1-3 0 out d6,Trevor Bauer
9,169,38,May 11,CLE,@,OAK,"L,2-3",GS-7,,4,7.0,2,2,0,3,10.0,0,0,3.02,27,122,77,25,16,4,10,2,2,0,76,,,1,0,0,24,0,1,0,0,0,1,.81,0.091,1.67,32.75,51.00,1b start tie,7b 3 out d1,Trevor Bauer
10,170,42,May 16,CLE,,BAL,"W,14-7",GS-5,,4,5.0,5,7,7,4,3.0,2,0,3.76,24,99,58,22,6,9,8,0,2,0,28,,,1,0,0,20,1,0,0,0,0,0,1.08,-0.460,-4.13,-2.15,3.00,1t start tie,5t 3 out d1,Trevor Bauer
11,171,47,May 21,CLE,,OAK,"L,3-5",GS-6,L(4-3),4,6.0,4,4,4,4,5.0,1,3,3.95,29,123,73,21,10,3,14,6,1,0,49,,,0,0,0,22,2,0,0,0,0,0,1.06,-0.084,-0.55,8.90,21.00,1t start tie,6t 3 out d1,Trevor Bauer
12,172,52,May 26,CLE,,TBR,"L,3-6",GS-6,L(4-4),4,6.0,4,4,2,1,8.0,1,2,3.87,26,109,68,17,17,6,9,2,2,0,59,,,3,0,0,22,2,0,0,0,1,1,.68,-0.132,-0.55,21.30,36.00,1t start tie,6t 3 out d4,Trevor Bauer
13,173,57,May 31,CLE,@,CHW,"L,1-6",GS-7,L(4-5),4,7.0,9,6,2,1,8.0,0,1,3.76,35,111,81,13,21,11,14,5,3,0,50,,,1,0,0,31,1,0,0,0,1,2,.91,-0.291,-2.25,21.15,39.00,1b start a 1,7b 3 out d5,Trevor Bauer
14,174,62,Jun 6,CLE,,MIN,"L,4-5",GS-8,L(4-6),5,8.0,5,5,5,3,7.0,3,1,3.93,34,119,77,17,15,14,9,2,0,0,56,,,0,0,0,30,1,0,0,0,0,1,.55,-0.110,-0.40,16.60,30.00,1t start tie,8t 3 out d2,Trevor Bauer
15,175,66,Jun 11,CLE,,CIN,"W,2-1",GS-8,,4,7.2,6,1,1,5,6.0,0,0,3.71,31,118,76,26,9,11,9,6,1,0,64,,,0,0,0,26,3,0,0,2,0,0,1.49,0.403,3.34,20.65,38.00,1t start tie,8t 1-- 2 out tie,Trevor Bauer
16,176,70,Jun 16,CLE,@,DET,"W,8-0",SHO,W(5-6),4,9.0,4,0,0,0,8.0,0,0,3.41,31,117,80,26,9,12,11,3,2,0,87,,,0,0,0,31,2,1,0,0,0,0,.40,0.218,5.07,42.85,63.00,1b start a 1,9b 3 out a8,Trevor Bauer
17,177,75,Jun 21,CLE,,DET,"W,7-6",GS-5,,4,4.0,10,5,5,1,5.0,2,0,3.69,23,91,57,23,5,4,13,7,1,0,26,,,1,0,0,22,3,0,0,0,0,0,1.12,-0.358,-4.21,2.40,12.00,1t start tie,5t -23 0 out d3,Trevor Bauer
18,178,80,Jun 26,CLE,,KCR,"W,5-3",GS-7,W(6-6),4,6.2,3,1,1,1,12.0,0,2,3.55,26,127,79,22,14,7,4,1,0,0,75,,,0,0,0,23,1,0,0,0,0,0,.86,0.278,2.55,37.40,65.00,1t start tie,7t 12- 2 out a3,Trevor Bauer
19,179,84,Jul 2,CLE,@,KCR,"W,9-5",GS-7,W(7-6),5,6.0,11,5,5,1,6.0,2,0,3.74,28,107,69,21,10,7,14,5,4,0,35,,,0,0,0,27,0,1,0,0,0,0,.68,-0.114,-1.50,12.30,33.00,1b start tie,7b 123 0 out a4,Trevor Bauer
20,180,88,Jul 7,CLE,@,CIN,"W,11-1",GS-7,W(8-6),4,7.0,4,1,1,3,9.0,0,1,3.61,29,114,71,28,13,5,11,3,3,0,71,,,0,0,0,25,1,0,0,0,0,0,1.28,0.311,2.81,30.95,57.00,1b start tie,7b 3 out a4,Trevor Bauer
21,181,90,Jul 13,CLE,,MIN,"L,2-6",GS-6,L(8-7),5,6.0,6,3,3,3,11.0,3,0,3.65,27,117,75,15,21,2,11,5,1,0,56,,,0,0,0,24,0,0,0,0,0,0,.89,0.002,0.45,24.10,42.00,1t start tie,6t 3 out d2,Trevor Bauer
22,182,95,Jul 18,CLE,,DET,"W,6-3",GS-7,W(9-7),4,6.2,5,3,3,2,10.0,2,0,3.67,27,120,80,19,22,4,11,4,3,0,60,,,1,0,0,25,0,0,0,0,0,0,1.06,0.065,0.55,28.80,53.00,1t start tie,7t 12- 2 out a2,Trevor Bauer
23,183,100,Jul 23,CLE,@,TOR,"L,1-2",GS-8,,4,7.2,3,0,0,3,9.0,0,0,3.49,27,117,68,26,13,6,9,4,0,0,79,,,0,0,0,24,1,0,0,1,0,0,1.57,0.584,4.04,31.65,50.00,1b start tie,8b 1-- 2 out a1,Trevor Bauer
24,184,105,Jul 28,CLE,@,KCR,"L,6-9",GS-5,L(9-8),4,4.1,9,8,7,4,6.0,0,0,3.79,26,91,53,13,12,8,8,4,1,0,17,,,0,0,0,22,3,0,0,0,0,0,1.53,-0.592,-5.18,-0.05,10.00,1b start a 3,5b 12- 1 out d2,Trevor Bauer
25,185,109,Aug 3,CIN,@,ATL,"L,4-5",GS-5,,5,4.2,7,3,3,3,4.0,0,1,3.85,24,107,63,9,12,8,8,3,1,0,39,,,2,0,0,20,3,1,0,0,0,0,1.19,-0.082,-0.86,5.90,17.00,1b start tie,5b -23 2 out d3,Trevor Bauer
26,186,114,Aug 9,CIN,,CHC,"W,5-2",GS-7,W(10-8),5,7.0,3,1,1,2,11.0,1,1,3.74,27,106,67,17,19,6,7,3,2,0,76,,,0,0,0,24,0,0,0,0,0,0,1.12,0.306,2.81,36.15,63.00,1t start tie,7t 3 out a3,Trevor Bauer
27,187,119,Aug 14,CIN,@,WSN,"L,7-17",GS-5,L(10-9),4,4.1,8,9,9,2,4.0,2,0,4.12,23,101,64,22,7,5,12,4,1,0,13,,,2,0,0,19,1,0,0,0,1,0,1.03,-0.300,-5.17,-6.25,-2.00,1b start tie,5b 12- 1 out d6,Trevor Bauer
28,188,124,Aug 19,CIN,,SDP,"L,2-3",GS-7,L(10-10),4,7.0,5,3,2,1,11.0,1,0,4.06,27,102,67,25,13,4,11,4,2,0,67,,,0,0,0,26,0,0,0,0,0,1,.86,0.004,0.81,30.15,48.00,1t start tie,7t 3 out d2,Trevor Bauer
29,189,129,Aug 25,CIN,@,PIT,"L,8-9",GS-3,L(10-11),5,3.0,8,8,7,2,2.0,0,1,4.34,20,79,45,11,8,5,10,4,0,0,13,,,0,0,0,15,3,1,0,0,1,0,1.16,-0.559,-6.48,-9.85,-6.00,1b start a 3,3b 3 out d5,Trevor Bauer
