Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,3,32,May 3,SFG,@,CIN,"W,12-11",GS-3,,99,2.1,7,8,7,2,3.0,2,0,27.00,17,65,41,9,10,7,5,2,0,0,14,,,0,0,0,15,2,0,0,0,0,0,.49,-0.344,-7.32,-8.15,-5.00,1b start tie,3b 12- 1 out d8,Tyler Beede
2,4,37,May 9,SFG,@,COL,"L,11-12",4-6,L(0-1),5,2.0,3,2,2,3,2.0,0,0,18.69,12,56,33,7,7,2,5,1,0,0,,0,0,0,0,0,9,1,0,0,0,0,0,.83,-0.085,-0.39,0.90,6.00,4b --- 0 out d2,6b -2- 0 out tie,Tyler Beede
3,5,41,May 14,SFG,,TOR,"L,3-7",2-4,,4,2.1,4,1,1,3,5.0,0,0,13.50,14,61,35,12,7,3,3,1,1,0,,0,0,0,0,0,11,0,0,0,0,0,0,.91,-0.122,-1.08,9.05,19.00,2t --- 0 out d3,4t 123 1 out d2,Tyler Beede
4,6,55,May 30,SFG,@,MIA,"W,3-1",GS-6,,15,6.0,5,1,1,3,4.0,0,0,7.82,24,94,60,18,9,11,6,2,2,0,59,,,0,0,0,21,1,0,1,2,0,0,.95,0.170,1.98,14.70,27.00,1b start tie,6b 3 out d1,Tyler Beede
5,7,60,Jun 5,SFG,@,NYM,"L,0-7",GS-5,L(0-2),5,5.0,5,6,5,4,5.0,2,1,8.15,25,101,57,10,16,6,9,4,0,0,36,,,0,0,0,19,1,0,0,1,1,0,.68,-0.238,-3.57,5.25,15.00,1b start tie,5b 3 out d6,Tyler Beede
6,8,65,Jun 11,SFG,,SDP,"W,6-5",GS-5,,5,4.2,5,4,4,2,7.0,1,0,8.06,21,95,61,18,9,6,6,2,0,0,43,,,1,0,0,19,0,0,0,0,0,0,1.24,-0.063,-0.29,12.30,23.00,1t start tie,5t 123 2 out a1,Tyler Beede
7,9,70,Jun 17,SFG,@,LAD,"W,3-2",GS-6,W(1-2),5,6.0,3,1,1,5,7.0,1,0,6.67,26,97,57,22,9,8,6,2,0,0,64,,,0,0,0,21,0,0,0,0,0,0,1.29,0.275,2.05,24.70,48.00,1b start tie,6b 3 out a2,Tyler Beede
8,10,75,Jun 22,SFG,@,ARI,"W,7-4",GS-5,,4,4.0,6,4,4,3,3.0,0,0,6.96,21,95,56,18,7,5,10,6,0,0,34,,,2,0,0,18,1,0,0,0,0,0,1.14,-0.247,-2.49,1.60,9.00,1b start tie,5b -2- 0 out a1,Tyler Beede
9,11,80,Jun 27,SFG,,ARI,"L,1-5",GS-6,L(1-3),4,5.1,4,2,2,3,3.0,1,0,6.45,22,84,52,13,8,6,10,3,2,0,52,,,0,0,0,19,2,0,0,1,0,0,.94,-0.050,0.07,9.80,19.00,1t start tie,6t 12- 1 out d1,Tyler Beede
10,12,85,Jul 2,SFG,@,SDP,"W,10-4",GS-7,W(2-3),4,7.0,4,1,1,0,4.0,1,0,5.64,24,100,63,13,10,11,9,1,2,0,69,,,0,0,0,24,0,0,0,0,0,0,.66,0.166,2.52,23.35,42.00,1b start a 1,7b 3 out a6,Tyler Beede
