Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,68,3,Mar 30,TBR,,HOU,"W,3-1",GS-5,W(1-0),99,5.0,6,1,1,1,4.0,1,0,1.80,20,77,51,13,8,11,4,2,1,0,54,,,0,1,0,19,0,0,0,1,0,0,.85,0.157,1.68,17.05,36.00,1t start tie,5t 3 out d1,Tyler Glasnow
2,69,8,Apr 5,TBR,@,SFG,"W,5-2",GS-6,W(2-0),5,6.0,3,0,0,1,6.0,0,0,0.82,23,82,59,16,10,6,10,5,1,0,71,,,1,0,0,22,0,0,0,0,0,1,.88,0.229,2.98,27.10,48.00,1b start a 4,6b 3 out a4,Tyler Glasnow
3,70,13,Apr 10,TBR,@,CHW,"W,9-1",GS-6,W(3-0),4,6.0,2,0,0,1,11.0,0,0,0.53,21,85,54,18,15,3,6,2,1,0,78,,,2,0,0,20,0,0,0,0,0,0,.70,0.182,3.22,37.70,63.00,1b start a 3,6b 3 out a8,Tyler Glasnow
4,71,17,Apr 16,TBR,,BAL,"W,4-2",GS-7,W(4-0),5,7.0,7,2,2,0,3.0,0,0,1.13,27,87,61,17,7,11,13,7,2,0,58,,,1,0,0,27,1,0,0,1,0,0,1.05,0.235,1.75,17.55,36.00,1t start tie,7t 3 out a1,Tyler Glasnow
5,72,22,Apr 21,TBR,,BOS,"L,3-4",GS-6,,4,5.1,3,2,2,3,5.0,1,0,1.53,20,76,49,19,7,7,5,2,1,0,56,,,2,1,1,17,0,0,0,0,0,0,1.08,0.185,1.66,14.40,25.00,1t start tie,6t 1-- 1 out a1,Tyler Glasnow
6,73,27,Apr 28,TBR,@,BOS,"W,5-2",GS-7,W(5-0),6,6.2,6,2,2,1,9.0,1,0,1.75,26,102,65,25,9,7,9,4,2,0,62,,,0,0,0,24,2,0,0,1,1,0,.91,0.168,1.71,28.80,53.00,1b start a 2,7b -2- 2 out a2,Tyler Glasnow
7,74,32,May 3,TBR,@,BAL,"W,7-0",GS-7,W(6-0),4,7.0,3,0,0,0,8.0,0,0,1.47,23,92,62,20,8,10,5,1,3,0,79,,,0,0,0,23,0,0,0,1,0,0,.50,0.250,3.83,33.95,57.00,1b start a 1,7b 3 out a7,Tyler Glasnow
8,75,37,May 10,TBR,,NYY,"L,3-4",GS-6,L(6-1),6,5.1,5,4,3,2,9.0,0,0,1.86,23,92,58,16,18,6,6,2,1,0,51,,,1,0,0,21,1,0,0,1,0,1,1.15,-0.039,0.27,19.80,34.00,1t start tie,6t 12- 1 out a1,Tyler Glasnow
9,76,145,Sep 8,TBR,,TOR,"W,8-3",GS-2,,99,2.0,1,2,2,2,5.0,1,0,2.15,9,41,25,9,7,0,2,0,1,0,49,,,0,0,0,7,0,0,0,0,0,0,.86,-0.105,-0.93,8.70,15.00,1t start tie,2t 3 out d1,Tyler Glasnow
10,77,150,Sep 14,TBR,@,LAA,"W,3-1",GS-3,,5,3.0,2,0,0,1,5.0,0,0,2.03,12,51,29,11,2,3,3,1,1,0,59,,,0,0,0,11,0,1,0,0,0,0,1.00,0.159,1.62,14.95,24.00,1b start tie,3b 3 out tie,Tyler Glasnow
11,78,155,Sep 21,TBR,,BOS,"W,5-4",GS-3,,6,3.0,2,0,0,0,7.0,0,0,1.92,11,52,38,12,10,1,3,2,0,0,62,,,0,0,0,11,1,0,0,0,0,0,.74,0.158,1.61,19.55,30.00,1t start tie,3t 3 out tie,Tyler Glasnow
12,79,160,Sep 27,TBR,@,TOR,"W,6-2",GS-5,,5,4.1,0,0,0,2,4.0,0,0,1.78,15,66,35,15,7,5,4,0,2,0,65,,,2,0,0,13,0,0,0,0,0,0,.88,0.241,2.39,16.55,25.00,1b start tie,5b --- 1 out a3,Tyler Glasnow
