Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,217,4,Mar 31,HOU,@,TBR,"L,1-3",GS-6,L(0-1),99,6.0,8,3,3,0,4.0,1,0,4.50,26,87,60,14,9,10,12,7,1,0,48,,,0,0,0,26,2,0,0,0,0,0,.92,-0.071,0.22,10.70,21.00,1b start tie,6b 3 out d2,Wade Miley
2,218,9,Apr 6,HOU,,OAK,"W,6-0",GS-6,W(1-1),5,5.2,4,0,0,2,4.0,0,0,2.31,23,95,56,14,14,10,7,3,1,0,63,,,0,0,0,21,1,0,0,0,0,0,.93,0.302,2.94,21.15,41.00,1t start tie,6t 12- 2 out a5,Wade Miley
3,219,14,Apr 12,HOU,@,SEA,"W,10-6",GS-4,,5,4.0,6,3,3,1,2.0,0,0,3.45,19,82,49,9,6,3,13,6,1,0,39,,,0,0,0,18,1,0,0,0,0,0,1.03,-0.100,-0.95,2.80,9.00,1b start tie,4b 3 out d1,Wade Miley
4,220,18,Apr 17,HOU,@,OAK,"L,1-2",GS-6,L(1-2),4,6.0,4,2,2,1,1.0,1,1,3.32,23,92,57,16,4,11,9,2,0,0,56,,,0,0,0,21,2,0,0,1,0,0,.93,0.022,1.15,7.90,15.00,1b start tie,6b 3 out d1,Wade Miley
5,221,23,Apr 23,HOU,,MIN,"W,10-4",GS-6,,5,6.0,3,3,3,1,7.0,1,0,3.58,22,87,57,16,10,7,7,2,0,0,60,,,0,0,0,21,1,0,0,0,0,0,.75,0.025,0.42,19.10,30.00,1t start tie,6t 3 out a1,Wade Miley
6,222,28,Apr 28,HOU,,CLE,"W,4-1",GS-6,,4,5.2,6,1,1,2,3.0,1,0,3.24,25,106,64,13,7,10,10,6,0,0,54,,,0,0,0,23,0,0,0,0,0,0,1.13,0.193,2.16,11.95,23.00,1t start tie,6t 1-- 2 out d1,Wade Miley
7,223,33,May 4,HOU,@,LAA,"W,14-2",GS-6,W(2-2),5,6.0,6,2,2,2,2.0,1,0,3.20,27,102,62,20,7,10,13,6,0,0,52,,,0,0,0,25,1,0,0,0,0,1,.52,0.143,1.25,12.70,30.00,1b start a 1,6b 3 out a8,Wade Miley
8,224,38,May 9,HOU,,TEX,"W,4-2",GS-6,W(3-2),4,6.0,2,2,2,2,7.0,1,0,3.18,20,92,54,18,12,7,4,2,0,0,65,,,0,0,1,18,0,0,0,0,0,0,.97,0.124,1.42,25.10,45.00,1t start tie,6t 3 out tie,Wade Miley
9,225,43,May 14,HOU,@,DET,"W,11-4",GS-6,W(4-2),4,6.0,7,4,4,2,5.0,1,0,3.51,26,100,60,16,10,10,9,3,1,0,45,,,0,0,0,23,1,1,0,1,1,0,.40,0.076,-0.62,14.10,33.00,1b start a 3,6b 3 out a6,Wade Miley
10,226,47,May 19,HOU,@,BOS,"L,3-4",GS-5,,4,5.0,7,3,2,0,2.0,1,0,3.51,22,89,55,10,5,10,10,5,1,0,45,,,0,0,1,22,1,0,0,0,0,1,1.00,-0.054,-0.10,7.05,15.00,1b start tie,5b 3 out tie,Wade Miley
11,227,52,May 24,HOU,,BOS,"W,4-3",GS-6,W(5-2),4,6.0,4,1,1,2,8.0,1,0,3.32,23,102,61,17,12,4,9,3,1,0,66,,,0,0,0,21,1,0,0,1,0,0,1.01,0.258,2.42,27.90,51.00,1t start tie,6t 3 out a3,Wade Miley
12,228,57,May 29,HOU,,CHC,"L,1-2",GS-7,L(5-3),4,7.0,6,2,2,1,9.0,2,0,3.25,26,102,66,23,16,10,6,0,1,0,65,,,0,0,0,25,0,0,0,2,0,0,.85,0.179,1.98,25.55,42.00,1t start tie,7t 3 out d1,Wade Miley
13,229,62,Jun 4,HOU,@,SEA,"W,11-5",GS-6,,5,5.0,3,3,3,3,6.0,1,0,3.39,20,95,56,15,9,5,6,3,1,0,52,,,1,0,0,17,0,0,0,1,0,0,.98,0.032,0.57,13.65,24.00,1b start tie,6b 12- 0 out a3,Wade Miley
14,230,67,Jun 9,HOU,,BAL,"W,4-0",GS-7,W(6-3),4,6.0,6,0,0,2,5.0,0,0,3.14,23,95,60,16,11,13,3,2,1,0,63,,,0,1,0,21,0,0,0,2,0,0,1.08,0.143,1.56,22.70,45.00,1t start tie,7t 123 0 out a3,Wade Miley
15,231,73,Jun 17,HOU,@,CIN,"L,2-3",GS-5,L(6-4),7,4.1,4,3,3,4,6.0,0,1,3.30,22,88,50,15,6,8,3,0,2,0,45,,,0,0,0,16,0,0,0,0,0,0,1.08,-0.128,-1.90,10.35,22.00,1b start tie,5b 123 1 out d3,Wade Miley
16,232,78,Jun 22,HOU,@,NYY,"L,5-7",GS-6,,4,5.0,2,4,4,4,7.0,1,0,3.51,21,85,48,12,11,4,6,2,0,0,50,,,0,0,0,17,0,0,0,1,0,1,1.02,-0.194,-1.14,13.65,24.00,1b start tie,6b 123 0 out tie,Wade Miley
17,233,83,Jun 28,HOU,,SEA,"W,2-1",GS-6,,5,6.0,3,1,1,2,2.0,1,0,3.39,23,99,61,14,6,14,5,1,0,0,62,,,0,0,0,21,0,0,0,0,0,0,1.00,0.225,2.42,12.50,21.00,1t start tie,6t 3 out d1,Wade Miley
18,234,87,Jul 3,HOU,@,COL,"W,4-2",GS-6,W(7-4),4,6.0,5,1,1,2,6.0,0,0,3.28,25,108,64,18,9,5,12,5,1,0,62,,,0,0,0,23,1,0,0,0,0,0,1.20,0.271,2.75,23.30,45.00,1b start a 1,6b 3 out a3,Wade Miley
19,235,93,Jul 13,HOU,@,TEX,"W,7-6",GS-7,,9,6.2,4,5,3,1,5.0,3,1,3.32,28,111,69,16,10,13,8,1,2,0,54,,,1,0,0,25,1,0,0,0,1,1,1.10,-0.152,-0.98,15.40,26.00,1b start a 2,7b 1-- 2 out tie,Wade Miley
20,236,98,Jul 18,HOU,@,LAA,"W,6-2",GS-6,W(8-4),4,5.1,3,2,1,2,3.0,0,0,3.25,22,94,58,18,7,10,7,3,1,0,57,,,0,0,0,19,1,0,0,0,1,0,.58,0.137,1.29,17.00,34.00,1b start a 2,6b 12- 1 out a5,Wade Miley
21,237,103,Jul 23,HOU,,OAK,"L,3-4",GS-9,,4,8.0,4,2,2,2,6.0,0,0,3.18,29,109,67,18,15,14,7,4,0,0,70,,,0,0,0,27,0,0,0,1,0,0,1.08,0.316,3.53,22.40,36.00,1t start tie,9t 12- 0 out a2,Wade Miley
22,238,107,Jul 28,HOU,@,STL,"W,6-2",GS-5,W(9-4),4,5.0,5,0,0,2,6.0,0,1,3.06,23,97,60,11,10,8,6,2,1,0,61,,,0,0,0,20,0,0,0,0,0,0,1.40,0.254,2.59,22.45,45.00,1b start a 1,5b 3 out a5,Wade Miley
23,239,111,Aug 2,HOU,,SEA,"W,10-2",GS-6,W(10-4),4,6.0,3,2,2,5,6.0,1,0,3.05,26,108,56,16,6,6,9,2,1,0,59,,,0,0,0,21,0,0,0,0,0,0,.54,0.218,1.42,20.70,42.00,1t start tie,6t 3 out a7,Wade Miley
24,240,116,Aug 9,HOU,@,BAL,"W,3-2",GS-6,W(11-4),6,5.2,5,1,1,2,4.0,1,0,2.99,23,100,59,13,14,10,7,5,0,0,57,,,0,0,0,21,1,0,0,1,0,0,1.08,0.229,2.03,18.55,38.00,1b start a 2,6b 1-- 2 out a1,Wade Miley
25,241,121,Aug 14,HOU,@,CHW,"L,9-13",GS-4,,4,3.1,9,7,3,1,1.0,0,0,3.11,20,71,43,12,2,8,10,9,0,0,22,,,0,0,0,18,4,0,0,2,0,1,1.09,-0.535,-5.30,-2.50,4.00,1b start a 1,4b -23 1 out d2,Wade Miley
26,242,126,Aug 19,HOU,,DET,"W,5-4",GS-6,W(12-4),4,5.2,10,3,3,0,8.0,1,0,3.18,26,107,72,16,19,8,10,5,0,0,45,,,0,0,0,25,0,0,0,0,1,0,.98,0.056,0.16,20.75,44.00,1t start tie,6t 1-- 2 out a2,Wade Miley
27,243,131,Aug 24,HOU,,LAA,"W,5-2",GS-5,W(13-4),4,5.0,5,1,1,1,4.0,1,0,3.13,20,96,57,20,9,6,9,6,0,0,56,,,0,0,0,19,1,0,0,0,0,0,.71,0.184,1.85,17.65,36.00,1t start tie,5t 3 out a4,Wade Miley
28,244,136,Aug 30,HOU,@,TOR,"W,7-4",GS-4,,5,3.2,2,1,0,5,5.0,0,0,3.06,18,95,52,17,7,1,6,3,1,0,55,,,0,0,1,12,0,0,0,0,0,0,1.14,0.066,0.90,14.05,26.00,1b start tie,4b 1-- 2 out d1,Wade Miley
