Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,33,4,Mar 31,LAD,,ARI,"W,8-7",GS-4,,99,3.0,5,5,5,1,0.0,0,0,15.00,15,66,45,10,1,8,6,2,1,0,28,,,0,0,0,14,1,0,0,0,0,0,1.06,-0.279,-2.82,-6.85,-6.00,1t start tie,4t 1-3 0 out a1,Walker Buehler
2,34,9,Apr 6,LAD,@,COL,"W,7-2",GS-5,W(1-0),5,5.0,3,1,1,2,4.0,1,0,6.75,19,79,50,14,10,8,5,2,0,0,59,,,0,0,0,17,0,0,0,1,0,0,.92,0.213,2.12,18.25,36.00,1b start tie,5b 3 out a1,Walker Buehler
3,35,14,Apr 11,LAD,@,STL,"L,7-11",GS-4,,4,4.0,5,5,5,2,5.0,0,1,8.25,20,85,51,15,12,5,7,2,2,0,35,,,0,0,0,15,1,0,0,0,1,0,1.43,-0.279,-2.93,4.20,12.00,1b start a 1,4b 3 out a2,Walker Buehler
4,36,20,Apr 17,LAD,,CIN,"W,3-2",GS-7,W(2-0),5,6.1,3,1,0,1,8.0,0,0,5.40,22,92,57,18,11,4,9,6,0,0,72,,,0,0,1,21,0,0,0,0,0,0,.92,0.309,2.64,31.85,55.00,1t start tie,7t 12- 1 out a3,Walker Buehler
5,37,26,Apr 24,LAD,@,CHC,"L,6-7",GS-6,,6,5.2,4,3,3,2,1.0,1,0,5.25,22,96,55,14,6,5,14,6,0,0,48,,,0,0,0,20,1,0,0,0,0,0,.92,-0.044,0.13,5.15,11.00,1b start tie,6b --- 2 out tie,Walker Buehler
6,38,32,Apr 30,LAD,@,SFG,"W,10-3",GS-6,W(3-0),5,5.1,6,3,3,1,6.0,0,0,5.22,22,95,66,18,10,9,6,4,0,0,49,,,0,0,0,21,1,1,0,1,0,0,.89,0.128,-0.96,17.80,37.00,1b start tie,6b --3 1 out a6,Walker Buehler
7,39,37,May 6,LAD,,ATL,"W,5-3",GS-7,W(4-0),5,7.0,5,3,3,0,8.0,2,0,4.95,26,100,74,26,11,4,14,7,0,0,63,,,2,0,0,26,0,0,0,0,0,0,.77,0.175,0.56,26.75,48.00,1t start tie,7t 3 out a2,Walker Buehler
8,40,42,May 11,LAD,,WSN,"L,2-5",GS-7,,4,7.0,4,0,0,1,7.0,0,0,4.15,25,97,66,19,10,8,9,4,1,0,75,,,0,0,0,24,1,0,0,0,0,0,1.09,0.409,3.56,26.75,42.00,1t start tie,7t 3 out a2,Walker Buehler
9,41,47,May 18,LAD,@,CIN,"L,0-4",GS-6,L(4-1),6,6.0,7,4,1,0,7.0,1,0,3.83,26,99,71,10,15,8,11,4,2,0,55,,,0,0,0,25,0,0,0,0,0,0,.61,-0.165,-0.73,21.30,36.00,1b start tie,6b 3 out d4,Walker Buehler
10,42,51,May 24,LAD,@,PIT,"W,10-2",GS-6,W(5-1),5,6.0,5,1,1,1,6.0,0,0,3.58,24,99,74,21,8,10,7,3,1,0,63,,,0,0,0,23,3,0,0,0,0,0,.51,0.089,2.05,23.90,45.00,1b start a 5,6b 3 out a6,Walker Buehler
11,43,56,May 29,LAD,,NYM,"W,9-8",GS-5,,4,5.0,7,5,5,1,6.0,2,0,4.03,23,95,63,9,11,5,11,6,0,0,38,,,0,0,0,22,2,0,0,0,0,1,.79,-0.305,-2.46,8.45,18.00,1t start tie,5t 3 out d2,Walker Buehler
12,44,61,Jun 3,LAD,@,ARI,"W,3-1",GS-8,W(6-1),4,8.0,2,1,1,0,11.0,1,0,3.69,26,102,69,18,16,7,8,3,0,0,85,,,0,0,0,26,0,0,0,0,0,0,.86,0.441,3.28,40.80,66.00,1b start tie,8b 3 out a2,Walker Buehler
13,45,66,Jun 9,LAD,@,SFG,"W,1-0",GS-7,W(7-1),5,7.0,5,0,0,1,9.0,0,0,3.35,27,91,69,15,15,6,11,7,1,0,75,,,1,0,0,26,1,0,0,0,0,0,1.33,0.499,3.48,34.15,60.00,1b start a 1,7b 3 out a1,Walker Buehler
14,46,71,Jun 15,LAD,,CHC,"L,1-2",GS-7,,5,7.0,3,0,0,0,6.0,0,0,3.06,25,100,69,15,11,9,10,4,2,0,77,,,0,0,0,25,0,0,0,0,0,1,1.15,0.462,3.56,25.95,39.00,1t start tie,7t 3 out a1,Walker Buehler
15,47,77,Jun 21,LAD,,COL,"W,4-2",CG,W(8-1),5,9.0,3,2,2,0,16.0,2,0,2.96,30,111,83,23,23,5,9,1,2,0,89,,,0,0,0,30,0,0,0,0,0,0,1.10,0.412,2.57,52.95,81.00,1t start tie,9t 3 out tie,Walker Buehler
16,48,83,Jun 27,LAD,@,COL,"W,12-8",GS-6,,5,5.2,13,7,7,1,4.0,0,0,3.43,30,96,66,15,12,12,13,9,0,0,18,,,0,0,0,28,4,2,0,0,1,0,1.31,-0.489,-3.39,-1.65,8.00,1b start tie,6b --- 2 out d1,Walker Buehler
17,49,88,Jul 3,LAD,,ARI,"W,5-4",GS-7,,5,7.0,9,3,3,0,9.0,1,0,3.46,30,106,83,26,9,10,11,4,2,0,56,,,0,0,0,30,1,0,0,0,0,0,1.13,0.060,0.56,22.35,39.00,1t start tie,7t 3 out tie,Walker Buehler
18,50,97,Jul 16,LAD,@,PHI,"L,8-9",GS-6,,12,6.0,4,6,2,3,7.0,3,0,3.44,27,101,67,23,12,9,8,2,1,0,52,,,0,0,0,24,0,0,0,0,0,2,.73,-0.247,-2.76,19.30,33.00,1b start tie,6b 3 out d1,Walker Buehler
19,51,102,Jul 21,LAD,,MIA,"W,9-0",GS-7,W(9-1),4,7.0,5,0,0,0,11.0,0,0,3.23,26,94,71,19,21,7,8,2,0,0,78,,,0,0,0,26,1,0,0,0,0,0,.48,0.231,3.56,38.75,66.00,1t start tie,7t 3 out a6,Walker Buehler
20,52,107,Jul 28,LAD,@,WSN,"L,4-11",GS-6,L(9-2),6,5.1,8,7,4,3,6.0,1,1,3.38,28,100,62,17,9,7,11,8,1,0,33,,,0,0,0,24,1,1,0,0,0,1,.91,-0.257,-3.88,8.80,22.00,1b start tie,6b 1-3 1 out d5,Walker Buehler
21,53,113,Aug 3,LAD,,SDP,"W,4-1",CG,W(10-2),5,9.0,5,1,1,0,15.0,1,0,3.22,31,110,80,24,17,9,7,4,0,0,88,,,0,0,0,31,0,0,0,2,0,1,.79,0.389,3.57,51.75,81.00,1t start tie,9t 3 out a3,Walker Buehler
22,54,118,Aug 9,LAD,,ARI,"L,2-3",GS-6,,5,6.0,4,0,0,3,8.0,0,1,3.08,26,101,65,18,14,8,6,4,0,0,69,,,0,0,0,22,0,0,0,0,0,0,1.41,0.338,3.05,24.70,42.00,1t start tie,6t 3 out a2,Walker Buehler
23,55,123,Aug 15,LAD,@,MIA,"L,7-13",GS-5,L(10-3),5,4.0,5,5,5,3,6.0,0,2,3.31,21,86,54,13,10,3,7,4,0,0,35,,,0,0,0,15,2,0,0,1,1,0,1.18,-0.247,-2.64,5.00,15.00,1b start tie,5b -2- 0 out d3,Walker Buehler
24,56,128,Aug 21,LAD,,TOR,"W,2-1",GS-7,,5,7.0,5,0,0,0,8.0,0,0,3.16,26,91,64,17,11,8,10,6,1,0,75,,,0,0,0,26,2,0,0,0,0,0,1.13,0.462,3.56,28.75,45.00,1t start tie,7t 3 out a1,Walker Buehler
25,57,134,Aug 27,LAD,@,SDP,"W,9-0",GS-6,W(11-3),5,6.0,4,0,0,2,11.0,0,1,3.03,23,98,66,24,11,4,5,3,0,0,73,,,2,1,0,20,1,0,0,1,0,0,.80,0.221,3.01,35.30,63.00,1b start tie,6b 3 out a8,Walker Buehler
26,58,140,Sep 2,LAD,,COL,"W,16-9",GS-5,W(12-3),5,5.0,8,6,6,0,5.0,2,1,3.28,24,89,58,15,5,4,14,8,0,0,32,,,0,0,0,22,5,0,0,0,1,0,.68,-0.198,-3.46,7.85,24.00,1t start tie,5t 3 out a4,Walker Buehler
27,59,146,Sep 10,LAD,@,BAL,"W,7-3",GS-7,W(13-3),7,7.0,4,0,0,0,11.0,0,0,3.14,25,91,66,15,17,4,10,4,2,0,80,,,0,0,0,25,0,0,0,0,0,0,.37,0.160,3.83,39.35,66.00,1b start a 4,7b 3 out a7,Walker Buehler
28,60,151,Sep 15,LAD,@,NYM,"W,3-2",GS-5,,4,5.0,2,2,2,2,1.0,0,0,3.15,18,71,53,12,6,9,6,2,0,0,54,,,0,0,0,16,0,1,0,1,0,0,.85,0.005,0.43,6.85,12.00,1b start tie,5b 3 out d1,Walker Buehler
29,61,155,Sep 21,LAD,,COL,"L,2-4",GS-7,L(13-4),5,6.0,5,4,4,3,5.0,2,0,3.25,25,93,55,19,6,8,9,4,1,0,48,,,2,0,0,22,0,0,0,1,0,0,.82,-0.149,-0.95,10.70,21.00,1t start tie,7t --- 0 out d2,Walker Buehler
30,62,160,Sep 27,LAD,@,SFG,"W,9-2",GS-5,W(14-4),5,5.0,5,2,2,4,8.0,0,0,3.26,25,104,67,9,17,5,8,4,1,0,53,,,1,0,0,19,1,0,0,0,2,1,1.17,0.111,0.48,21.85,45.00,1b start tie,5b 3 out a3,Walker Buehler
