Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,19,4,Mar 31,TBR,,HOU,"W,3-1",GS-7,W(1-0),99,7.0,2,1,1,0,6.0,1,0,1.29,22,88,60,13,12,7,9,3,3,0,75,,,0,1,0,22,0,0,0,0,0,0,.82,0.313,2.75,28.55,48.00,1t start tie,7t 3 out a2,Yonny Chirinos
2,20,10,Apr 7,TBR,@,SFG,"W,3-0",GS-5,W(2-0),6,5.0,2,0,0,1,5.0,0,0,0.75,16,67,44,11,6,3,7,1,1,0,67,,,0,0,0,15,0,0,0,1,0,0,.93,0.291,2.48,23.45,42.00,1b start a 1,5b 3 out a2,Yonny Chirinos
3,21,14,Apr 12,TBR,@,TOR,"W,11-7",5-7,,4,2.1,7,6,6,2,3.0,1,0,4.40,15,48,30,3,6,4,6,3,0,0,,0,0,0,0,0,13,2,0,0,0,0,0,.49,-0.135,-4.68,-6.15,-2.00,5b --- 0 out a5,7b --- 1 out a2,Yonny Chirinos
4,22,18,Apr 17,TBR,,BAL,"W,8-1",2-6,W(3-0),4,5.0,1,0,0,1,5.0,0,0,3.26,17,70,47,16,8,5,6,4,1,0,,0,0,0,0,0,16,1,0,0,1,0,1,.38,0.126,2.68,24.05,42.00,2t --- 0 out a3,6t 3 out a7,Yonny Chirinos
5,23,23,Apr 22,TBR,,KCR,"W,6-3",GS-6,,4,6.0,6,3,3,1,3.0,3,0,3.55,24,91,59,12,7,5,15,5,2,0,50,,,0,0,0,23,0,0,0,1,0,0,.80,-0.035,0.22,9.30,18.00,1t start tie,6t 3 out d2,Yonny Chirinos
6,24,28,Apr 29,TBR,@,KCR,"W,8-5",2-7,W(4-0),6,5.2,2,4,2,1,4.0,1,0,3.48,21,73,46,12,5,5,11,3,2,0,,1,0,0,0,0,19,0,1,0,0,1,1,1.01,0.026,-0.64,18.95,35.00,2b 1-- 1 out a4,7b 3 out a1,Yonny Chirinos
7,25,33,May 4,TBR,@,BAL,"L,0-3",GS-8,L(4-1),4,7.1,7,3,3,1,3.0,1,0,3.52,29,93,60,5,3,12,13,8,0,0,54,,,0,0,0,28,2,0,0,2,0,1,.55,-0.046,1.08,11.70,22.00,1b start tie,8b --- 1 out d3,Yonny Chirinos
8,26,38,May 11,TBR,,NYY,"W,7-2",3-6,W(5-1),6,4.0,4,2,2,1,2.0,1,2,3.61,17,63,45,9,8,7,5,2,1,0,,0,0,0,0,0,14,1,0,0,2,0,0,1.25,-0.002,0.14,8.80,24.00,3t --- 0 out a1,6t 3 out tie,Yonny Chirinos
9,27,42,May 17,TBR,@,NYY,"L,3-4",3-7,,5,4.2,4,0,0,0,2.0,0,0,3.26,18,68,45,13,5,8,8,3,2,0,,0,0,0,0,0,18,1,0,0,0,0,0,1.18,0.325,2.59,12.10,20.00,3b --- 0 out d1,7b --- 2 out tie,Yonny Chirinos
10,28,46,May 22,TBR,,LAD,"W,8-1",2-6,,4,3.2,3,1,1,0,2.0,1,0,3.20,14,49,28,4,5,3,9,6,1,0,,0,0,0,0,0,14,0,0,0,0,0,0,.99,0.043,0.70,8.45,14.00,2t --- 2 out tie,6t 1-- 1 out tie,Yonny Chirinos
11,29,51,May 27,TBR,,TOR,"W,8-3",GS-5,W(6-1),4,5.0,0,0,0,2,7.0,0,0,2.91,17,69,45,14,9,3,5,3,0,0,72,,,0,0,0,15,0,0,0,0,0,0,.74,0.260,2.68,28.05,48.00,1t start tie,5t 3 out a4,Yonny Chirinos
