Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,140,2.0,Mar 30,CHC,@,TEX,"L,6-8",GS-3,,99,2.2,2,3,3,7,4,1,0,10.13,16,75,38,12,4,2,3,1,0,0,39,,,0,1,0,9,0,0,0,0,0,0,1.30,-0.114,-1.29,2.60,11.0,1b start a 3,3b --- 2 out a1,Yu Darvish
2,141,6.0,Apr 4,CHC,@,ATL,"L,4-9",GS-5,L(0-1),4,4.0,5,3,3,4,2,0,0,8.10,20,71,47,10,9,8,6,5,1,0,38,,,0,1,0,16,1,0,1,0,0,0,1.14,0.011,0.21,1.60,9.0,1b start tie,5b 12- 0 out d1,Yu Darvish
3,142,11.0,Apr 10,CHC,,PIT,"L,2-5",GS-6,L(0-2),5,5.1,5,5,4,0,4,2,1,7.50,21,77,53,8,12,7,9,5,1,0,44,,,1,0,0,20,0,0,0,1,0,0,.63,-0.138,-0.98,8.40,16.0,1t start tie,6t 1-3 1 out d2,Yu Darvish
4,143,15.0,Apr 15,CHC,@,MIA,"W,7-2",GS-6,W(1-2),4,5.2,4,2,2,4,8,1,1,6.11,26,96,57,18,14,8,5,2,0,0,57,,,0,0,0,21,0,0,0,0,0,0,1.06,0.093,0.75,23.35,47.0,1b start a 3,6b 1-- 2 out a3,Yu Darvish
5,144,19.0,Apr 20,CHC,,ARI,"L,0-6",GS-5,L(1-3),4,5.0,5,3,3,3,7,2,0,5.96,22,88,50,11,14,4,8,4,0,0,49,,,0,0,0,16,1,0,0,0,1,0,.64,-0.095,-0.30,14.45,27.0,1t start tie,5t 3 out d3,Yu Darvish
6,145,25.0,Apr 27,CHC,@,ARI,"W,9-1",GS-6,W(2-3),6,6.0,2,1,1,4,8,1,1,5.02,25,110,65,20,19,8,4,2,1,0,68,,,1,0,0,20,1,0,0,1,0,1,.76,0.179,2.21,27.30,51.0,1b start tie,6b 3 out a6,Yu Darvish
7,146,30.0,May 4,CHC,,STL,"W,6-5",GS-5,,6,4.0,6,5,5,5,4,1,0,5.79,22,81,40,12,8,9,4,2,0,0,29,,,2,0,0,17,3,0,0,1,0,0,1.10,-0.401,-3.85,0.40,9.0,1t start tie,5t 12- 0 out tie,Yu Darvish
8,147,35.0,May 9,CHC,,MIA,"W,4-1",GS-4,,4,4.0,1,1,1,6,7,0,0,5.40,19,97,50,16,10,3,3,1,1,0,57,,,4,0,0,13,0,0,0,0,0,0,1.34,0.114,1.16,16.80,30.0,1t start tie,4t 3 out a1,Yu Darvish
9,148,40.0,May 15,CHC,@,CIN,"L,5-6",GS-6,,5,5.1,5,2,2,0,11,0,0,5.14,21,102,67,26,11,2,8,5,0,0,61,,,2,0,0,21,2,0,0,0,0,0,1.07,0.138,0.98,27.00,43.0,1b start tie,6b --- 1 out a1,Yu Darvish
10,149,45.0,May 20,CHC,,PHI,"L,4-5",GS-6,,4,6.0,4,3,3,3,7,0,0,5.06,25,95,58,19,15,8,7,5,1,0,56,,,2,0,0,22,0,1,0,0,0,0,1.36,-0.092,0.24,17.30,30.0,1t start tie,6t 3 out d2,Yu Darvish
11,150,50.0,May 25,CHC,,CIN,"W,8-6",GS-8,,4,7.0,12,6,6,2,5,3,0,5.40,34,108,82,20,14,12,15,9,1,0,32,,,0,0,0,32,1,0,0,1,0,0,1.18,-0.367,-2.61,5.35,18.0,1t start tie,8t 1-- 0 out tie,Yu Darvish
12,151,55.0,May 31,CHC,@,STL,"L,1-2",GS-6,,5,6.0,3,1,1,3,6,0,1,5.02,23,93,54,9,13,8,5,1,1,0,65,,,1,0,0,18,0,0,0,1,1,0,1.26,0.257,2.11,19.30,33.0,1b start tie,6b 3 out tie,Yu Darvish
13,152,60.0,Jun 5,CHC,,COL,"W,9-8",GS-6,,4,5.1,3,3,2,3,5,0,0,4.88,22,95,65,7,16,7,7,3,3,0,54,,,1,0,0,19,1,0,0,0,0,0,.94,0.118,1.02,14.40,25.0,1t start tie,6t 1-3 1 out a2,Yu Darvish
14,153,65.0,Jun 10,CHC,@,COL,"L,5-6",GS-6,,4,6.0,6,4,4,0,3,2,1,4.98,25,83,63,12,8,7,14,5,0,0,47,,,1,0,0,24,0,0,0,0,0,0,1.02,0.026,-0.25,7.30,15.0,1b start tie,6b 3 out tie,Yu Darvish
15,154,70.0,Jun 15,CHC,@,LAD,"W,2-1",GS-7,,4,7.0,2,1,1,1,10,1,0,4.65,24,109,68,26,9,4,9,4,1,0,78,,,1,0,0,23,0,0,0,0,0,0,.78,0.216,2.56,31.95,48.0,1b start tie,7b 3 out d1,Yu Darvish
16,155,75.0,Jun 21,CHC,,NYM,"L,4-5",GS-6,,5,6.0,4,4,4,2,6,2,0,4.75,24,88,58,20,10,6,10,2,1,0,52,,,0,0,0,22,0,0,0,1,0,1,.93,-0.138,-0.76,13.90,24.0,1t start tie,6t 3 out tie,Yu Darvish
17,156,80.0,Jun 26,CHC,,ATL,"L,3-5",GS-5,L(2-4),4,5.0,5,5,5,2,8,2,0,4.98,22,92,56,14,13,7,5,2,1,0,43,,,1,0,0,20,1,0,0,0,0,0,.64,-0.242,-2.30,13.05,24.0,1t start tie,5t 3 out d4,Yu Darvish
18,157,87.0,Jul 3,CHC,@,PIT,"L,5-6",GS-7,,6,6.2,7,4,4,0,6,2,1,5.01,28,86,62,13,9,10,11,6,0,0,50,,,1,0,0,27,2,0,0,0,0,0,.95,-0.163,-0.68,14.20,26.0,1b start tie,7b 1-- 2 out a1,Yu Darvish
19,158,91.0,Jul 12,CHC,,PIT,"W,4-3",GS-6,,8,6.0,2,0,0,1,8,0,0,4.72,21,94,62,12,12,2,10,5,2,0,75,,,0,0,0,20,0,0,0,0,0,0,1.08,0.367,3.24,27.70,42.0,1t start tie,6t 3 out tie,Yu Darvish
20,159,96.0,Jul 17,CHC,,CIN,"W,5-2",GS-6,W(3-4),4,6.0,2,0,0,0,7,0,2,4.46,22,83,60,12,10,8,5,2,1,0,75,,,0,0,0,20,1,0,0,0,0,0,1.03,0.347,3.24,29.10,51.0,1t start tie,6t 3 out a2,Yu Darvish
