Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,1,73,Jun 20,MIA,@,STL,"W,7-6",GS-5,,99,5.0,5,1,1,2,6.0,0,0,1.80,22,99,61,14,10,4,10,5,1,0,57,,,0,0,0,20,1,0,0,0,0,0,1.21,0.139,1.59,17.05,30.00,1b start tie,5b 3 out tie,Zac Gallen
2,2,78,Jun 26,MIA,,WSN,"L,5-7",GS-6,L(0-1),5,5.0,4,3,3,2,8.0,0,0,3.60,21,91,59,14,13,2,9,4,4,0,53,,,1,0,0,19,0,0,0,0,0,0,1.11,-0.009,0.49,17.65,30.00,1t start tie,6t 12- 0 out tie,Zac Gallen
3,3,83,Jul 2,MIA,@,WSN,"L,2-3",GS-2,,5,2.0,3,2,2,1,2.0,1,0,4.50,10,37,23,7,4,1,6,0,0,0,43,,,0,0,0,9,1,0,0,0,0,0,1.04,-0.096,-0.88,2.10,6.00,1b start a 1,2b 3 out d1,Zac Gallen
4,4,90,Jul 13,MIA,,NYM,"L,2-4",GS-5,,10,5.0,4,2,2,5,5.0,1,0,4.24,23,92,55,14,12,5,8,4,0,0,51,,,0,1,0,18,1,0,0,0,0,0,.98,0.026,0.48,11.85,24.00,1t start tie,5t 3 out tie,Zac Gallen
5,5,95,Jul 19,MIA,@,LAD,"L,1-2",GS-6,L(0-2),5,5.1,3,2,1,4,5.0,0,0,3.63,23,95,54,17,9,7,7,1,2,0,57,,,1,0,0,19,1,0,0,0,0,0,1.41,0.128,1.46,15.80,28.00,1b start tie,6b 123 1 out a1,Zac Gallen
6,6,100,Jul 24,MIA,@,CHW,"W,2-0",GS-7,W(1-2),4,7.0,2,0,0,1,9.0,0,2,2.76,26,95,68,20,14,7,7,2,0,0,81,,,0,0,0,23,1,0,0,0,0,0,1.22,0.456,3.75,34.75,60.00,1b start tie,7b 3 out tie,Zac Gallen
7,7,105,Jul 30,MIA,,MIN,"L,1-2",GS-7,L(1-3),5,7.0,4,2,2,3,8.0,1,0,2.72,26,105,68,21,14,4,11,5,1,0,66,,,0,1,0,23,1,0,1,0,0,0,.96,0.125,1.48,23.55,39.00,1t start tie,7t 3 out d1,Zac Gallen
8,8,115,Aug 7,ARI,,PHI,"W,6-1",GS-5,W(2-3),7,5.0,1,0,0,3,6.0,0,0,2.40,17,85,54,15,16,4,4,2,0,0,68,,,1,0,0,14,0,0,0,1,0,0,.99,0.252,2.67,24.85,45.00,1t start tie,5t 3 out a4,Zac Gallen
9,9,120,Aug 13,ARI,@,COL,"W,9-3",GS-4,,5,4.0,9,2,2,1,3.0,0,0,2.58,22,90,59,15,9,6,12,8,0,0,38,,,1,0,0,20,3,0,0,0,1,0,.85,0.044,0.50,5.00,15.00,1b start a 5,4b 3 out a5,Zac Gallen
10,10,126,Aug 19,ARI,,COL,"W,5-3",GS-6,,5,6.0,5,1,1,6,8.0,0,0,2.45,27,103,61,22,12,7,6,4,0,0,60,,,0,1,1,21,0,0,0,1,0,0,1.23,0.204,2.21,20.90,39.00,1t start tie,6t 3 out d1,Zac Gallen
11,11,130,Aug 24,ARI,@,MIL,"L,0-4",GS-5,L(2-4),4,5.0,6,2,2,2,8.0,2,1,2.56,24,104,66,21,17,5,8,3,1,0,53,,,1,1,0,21,1,0,0,0,0,1,1.03,0.008,0.67,17.85,33.00,1b start tie,5b 3 out d2,Zac Gallen
12,12,135,Aug 30,ARI,,LAD,"W,5-4",GS-5,,5,5.0,5,3,3,1,6.0,0,0,2.79,21,97,70,14,14,8,6,3,1,0,50,,,0,0,0,20,2,1,0,0,0,0,.77,-0.094,-0.33,13.65,24.00,1t start tie,5t 3 out d3,Zac Gallen
13,13,140,Sep 4,ARI,,SDP,"W,4-1",GS-7,W(3-4),4,7.0,1,0,0,1,8.0,0,1,2.50,23,103,70,23,12,6,7,2,2,0,82,,,0,1,0,21,0,0,0,1,0,1,1.10,0.456,3.74,33.95,57.00,1t start tie,7t 3 out tie,Zac Gallen
14,14,145,Sep 10,ARI,@,NYM,"L,2-3",GS-6,L(3-5),5,6.0,5,3,3,2,9.0,0,0,2.66,25,88,61,13,16,7,7,4,0,0,57,,,0,0,0,23,4,0,0,0,0,0,.95,-0.094,-0.08,21.30,36.00,1b start a 1,6b 3 out d2,Zac Gallen
15,15,150,Sep 15,ARI,,CIN,"L,1-3",GS-6,L(3-6),4,5.2,5,3,3,2,5.0,3,0,2.81,24,103,66,23,7,6,11,2,1,0,50,,,1,0,0,22,0,0,0,0,0,0,.79,-0.092,-0.31,12.55,23.00,1t start tie,6t 1-3 2 out d2,Zac Gallen
