Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,456,1,Mar 28,ARI,@,LAD,"L,5-12",GS-4,L(0-1),99,3.2,7,7,7,2,3.0,4,0,17.18,20,82,52,12,5,7,8,3,0,0,20,,,0,0,0,17,1,0,0,0,0,0,.71,-0.288,-5.08,-5.15,-1.00,1b start tie,4b --- 2 out d7,Zack Greinke
2,457,6,Apr 2,ARI,@,SDP,"W,8-5",GS-6,W(1-1),4,6.0,6,3,3,0,10.0,2,0,9.31,24,102,68,25,13,4,10,5,2,0,58,,,1,0,0,24,0,0,0,0,0,0,.74,0.036,0.01,27.90,51.00,1b start tie,6b 3 out a3,Zack Greinke
3,458,11,Apr 9,ARI,,TEX,"W,5-4",GS-7,,6,6.2,7,4,3,1,9.0,0,0,7.16,29,102,67,24,9,10,9,7,0,0,54,,,0,0,0,27,3,0,0,0,0,1,.81,-0.144,-0.59,22.20,38.00,1t start tie,7t -2- 2 out d3,Zack Greinke
4,459,16,Apr 14,ARI,,SDP,"W,8-4",GS-7,W(2-1),4,7.0,4,2,2,1,6.0,2,0,5.79,24,98,67,17,8,4,13,6,2,0,66,,,0,0,0,23,0,0,0,2,0,0,.88,0.159,1.74,24.75,45.00,1t start tie,7t 3 out a4,Zack Greinke
5,460,21,Apr 20,ARI,@,CHC,"W,6-0",GS-6,W(3-1),5,6.0,3,0,0,2,4.0,0,0,4.60,21,100,61,24,3,8,7,2,0,0,68,,,0,0,0,19,1,0,0,2,0,0,.84,0.279,3.24,22.50,42.00,1b start a 2,6b 3 out a6,Zack Greinke
6,461,26,Apr 25,ARI,@,PIT,"W,5-0",GS-7,W(4-1),4,7.0,2,0,0,1,7.0,0,0,3.72,24,105,70,21,13,10,6,3,2,0,79,,,0,0,0,23,0,0,0,0,0,0,.72,0.283,3.56,31.95,54.00,1b start a 2,7b 3 out a5,Zack Greinke
7,462,30,Apr 30,ARI,,NYY,"W,3-1",GS-8,W(5-1),4,7.2,5,1,1,1,7.0,0,0,3.27,27,102,67,20,12,9,10,5,2,0,71,,,0,1,1,26,2,0,0,1,0,0,1.17,0.449,3.17,29.65,53.00,1t start tie,8t --- 2 out a1,Zack Greinke
8,463,34,May 5,ARI,@,COL,"L,7-8",GS-6,,4,6.0,6,3,3,0,4.0,0,0,3.42,24,93,65,18,6,9,11,7,1,0,52,,,0,0,0,23,2,0,0,0,1,0,1.06,0.056,0.75,11.90,21.00,1b start tie,6b 3 out a2,Zack Greinke
9,464,39,May 10,ARI,,ATL,"L,1-2",GS-7,,4,7.0,5,1,1,0,7.0,0,0,3.16,25,98,67,15,14,8,10,7,0,0,70,,,0,1,0,25,1,1,0,0,0,0,1.14,0.295,2.74,24.75,39.00,1t start tie,7t 3 out tie,Zack Greinke
10,465,44,May 15,ARI,,PIT,"W,11-1",GS-8,W(6-1),4,7.2,4,0,0,0,5.0,0,0,2.78,26,91,62,23,5,13,8,3,1,0,76,,,0,0,0,26,1,0,0,1,0,0,.49,0.208,4.17,28.85,50.00,1t start tie,8t --- 2 out a8,Zack Greinke
11,466,49,May 21,ARI,@,SDP,"L,2-3",GS-7,L(6-2),5,7.0,4,3,3,1,5.0,1,0,2.89,26,98,67,17,9,9,11,3,3,0,61,,,0,0,0,24,0,0,0,0,0,0,.96,-0.110,0.52,16.75,27.00,1b start tie,7b 3 out d1,Zack Greinke
12,467,54,May 27,ARI,@,COL,"L,3-4",GS-6,,5,6.0,4,1,1,2,6.0,1,0,2.78,24,98,63,22,8,8,8,4,1,0,64,,,0,0,0,22,1,0,0,0,0,0,1.18,0.287,2.75,19.90,33.00,1b start tie,6b 3 out a1,Zack Greinke
13,468,59,Jun 1,ARI,,NYM,"W,6-5",GS-4,,4,4.0,7,4,4,1,2.0,1,0,3.09,19,80,49,10,9,7,9,5,1,0,33,,,0,0,0,18,1,0,0,1,0,0,.84,-0.182,-1.86,0.20,6.00,1t start tie,4t 3 out d4,Zack Greinke
14,469,65,Jun 8,ARI,@,TOR,"W,6-0",GS-7,W(7-2),6,6.0,4,0,0,2,7.0,0,0,2.87,23,98,57,14,13,3,11,7,1,0,69,,,0,0,0,21,0,1,0,0,0,0,.66,0.223,2.29,27.90,51.00,1b start tie,7b --3 0 out a5,Zack Greinke
15,470,70,Jun 13,ARI,@,WSN,"W,5-0",GS-8,W(8-2),4,7.1,2,0,0,0,3.0,0,1,2.65,23,75,54,15,4,7,12,5,2,0,77,,,0,0,0,22,0,0,0,1,0,0,.60,0.283,4.19,24.70,43.00,1b start a 2,8b --- 1 out a5,Zack Greinke
16,471,75,Jun 19,ARI,,COL,"L,4-6",GS-7,L(8-3),5,7.0,11,5,5,0,2.0,1,0,2.91,29,87,58,14,3,14,13,9,1,0,37,,,0,0,0,29,1,0,0,1,0,0,.97,-0.229,-1.26,3.15,12.00,1t start tie,7t 3 out d3,Zack Greinke
17,472,80,Jun 24,ARI,,LAD,"W,8-5",GS-7,,4,6.0,7,4,4,1,6.0,0,1,3.08,27,95,63,13,15,9,10,7,0,0,47,,,0,0,0,25,2,0,1,1,0,1,1.42,0.031,-0.18,12.10,24.00,1t start tie,7t 1-- 0 out a1,Zack Greinke
18,473,85,Jun 29,ARI,@,SFG,"W,4-3",GS-7,W(9-3),4,7.0,5,0,0,0,6.0,0,1,2.90,24,90,57,17,10,10,7,2,1,0,73,,,0,1,0,23,1,0,0,2,0,0,1.09,0.462,3.48,28.15,51.00,1b start tie,7b 3 out a1,Zack Greinke
19,474,89,Jul 5,ARI,,COL,"W,8-0",GS-7,W(10-3),5,7.0,4,0,0,0,9.0,0,0,2.73,26,104,71,18,13,9,8,6,0,0,78,,,0,0,0,26,1,0,0,0,0,0,.68,0.290,3.74,35.35,60.00,1t start tie,7t 3 out a8,Zack Greinke
20,475,94,Jul 14,ARI,@,STL,"L,2-5",GS-6,L(10-4),8,6.0,8,5,5,1,6.0,1,0,2.95,26,90,62,11,10,7,12,6,1,0,41,,,0,1,1,23,2,0,0,0,1,0,.51,-0.228,-1.89,10.10,21.00,1b start tie,6b 3 out d5,Zack Greinke
21,476,99,Jul 20,ARI,,MIL,"L,3-8",GS-7,,5,7.0,6,2,2,1,9.0,1,0,2.93,28,101,67,20,15,7,11,3,3,0,65,,,0,0,0,27,3,0,1,0,0,0,1.18,0.232,1.74,25.55,42.00,1t start tie,7t 3 out a1,Zack Greinke
22,477,104,Jul 26,ARI,@,MIA,"L,2-3",GS-6,,5,6.0,4,1,1,1,5.0,0,0,2.87,23,102,61,16,13,4,13,5,1,0,64,,,0,0,0,21,2,0,0,0,1,0,1.23,0.275,1.98,18.50,30.00,1b start tie,6b 3 out a1,Zack Greinke
23,478,109,Jul 31,ARI,@,NYY,"L,5-7",GS-5,,4,5.0,2,2,2,3,7.0,1,0,2.90,20,82,52,15,12,1,9,1,2,0,59,,,0,0,0,17,1,0,0,0,0,0,.70,0.047,0.71,18.25,30.00,1b start tie,5b 3 out a1,Zack Greinke
24,479,114,Aug 6,HOU,,COL,"W,11-6",GS-6,W(11-4),5,6.0,6,5,2,2,2.0,1,0,2.90,26,99,56,14,6,13,9,2,1,0,46,,,0,0,0,23,1,0,0,2,1,2,1.29,-0.166,-1.59,12.70,30.00,1t start tie,6t 3 out tie,Zack Greinke
25,480,119,Aug 13(1),HOU,@,CHW,"W,6-2",GS-6,W(12-4),6,6.0,7,2,2,2,6.0,0,1,2.91,25,102,63,24,10,9,7,3,0,0,54,,,0,0,0,22,2,0,0,2,0,0,1.51,0.129,1.22,19.50,42.00,1b start a 1,6b 3 out a1,Zack Greinke
