Rk,Gcar,Gtm,Date,Tm,Unnamed: 5,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited,player
1,96,3,Mar 31,NYM,@,WSN,"L,5-6",GS-5,,99,5.0,6,4,4,1,7.0,1,0,7.20,22,95,60,21,10,8,6,3,0,0,45,,,1,0,0,21,1,0,0,0,0,0,.86,-0.179,-1.19,13.05,24.00,1b start tie,5b 3 out d3,Zack Wheeler
2,97,9,Apr 7,NYM,,WSN,"L,9-12",GS-5,L(0-1),6,4.2,4,7,7,7,2.0,0,0,10.24,24,103,51,12,5,8,7,4,0,0,23,,,0,0,0,16,1,0,0,1,1,0,.88,-0.339,-4.33,-6.10,-1.00,1t start tie,5t 123 2 out d5,Zack Wheeler
3,98,13,Apr 12,NYM,@,ATL,"W,6-2",GS-6,W(1-1),4,6.0,6,2,2,3,8.0,0,0,7.47,27,111,69,17,14,6,10,5,0,0,57,,,0,0,0,23,2,0,0,0,1,0,.89,0.140,1.34,24.10,48.00,1b start tie,6b 3 out a4,Zack Wheeler
4,99,18,Apr 17,NYM,@,PHI,"L,2-3",GS-7,L(1-2),4,7.0,5,3,3,3,5.0,2,0,6.35,29,109,72,20,8,11,10,6,1,0,57,,,0,0,0,25,0,0,0,0,1,0,.82,0.002,0.78,14.95,27.00,1b start tie,7b 3 out d2,Zack Wheeler
5,100,23,Apr 23,NYM,,PHI,"W,9-0",GS-7,W(2-2),5,7.0,5,0,0,0,11.0,0,0,4.85,25,105,74,20,15,8,6,4,1,0,78,,,0,0,0,25,1,0,0,0,0,0,.56,0.224,3.41,38.75,66.00,1t start tie,7t 3 out a9,Zack Wheeler
6,101,28,Apr 29,NYM,,CIN,"L,4-5",GS-6,,5,6.0,7,4,4,3,4.0,0,0,5.05,27,94,67,17,6,8,12,6,3,0,43,,,0,0,0,23,3,0,1,1,1,0,1.06,-0.066,-1.08,7.50,18.00,1t start tie,6t 3 out tie,Zack Wheeler
7,102,33,May 4,NYM,@,MIL,"L,3-4",GS-7,,4,7.0,6,2,2,1,10.0,0,0,4.64,28,111,77,20,19,10,7,3,1,0,66,,,0,0,0,27,1,0,0,1,0,1,.96,0.121,1.74,27.55,45.00,1b start tie,7b 3 out d1,Zack Wheeler
8,103,38,May 10,NYM,,MIA,"W,11-2",GS-7,W(3-2),5,7.0,9,2,2,1,11.0,0,0,4.35,32,107,81,20,16,12,8,5,1,0,61,,,0,0,0,30,0,0,0,0,1,1,.19,0.059,1.41,31.75,60.00,1t start tie,7t 3 out a9,Zack Wheeler
9,104,42,May 16,NYM,@,WSN,"L,6-7",GS-6,L(3-3),5,6.0,11,6,6,2,6.0,1,0,4.85,30,98,68,17,10,11,11,5,1,0,30,,,0,0,0,28,3,0,1,1,0,0,.94,-0.302,-2.63,5.70,18.00,1b start tie,6b 3 out d2,Zack Wheeler
10,105,47,May 21,NYM,,WSN,"W,6-5",GS-7,,4,7.0,4,3,3,2,6.0,2,0,4.74,26,118,78,22,10,5,13,5,2,0,61,,,1,1,0,23,0,0,0,0,0,0,1.03,-0.082,0.41,18.15,30.00,1t start tie,7t 3 out d2,Zack Wheeler
11,106,52,May 26,NYM,,DET,"W,4-3",GS-8,W(4-3),4,7.1,5,3,3,1,8.0,1,0,4.63,28,102,75,20,13,9,10,5,2,0,63,,,1,0,0,27,0,0,0,0,0,0,1.19,0.008,0.00,26.90,49.00,1t start tie,8t 12- 1 out a1,Zack Wheeler
12,107,57,May 31,NYM,@,ARI,"W,5-4",GS-7,W(5-3),4,7.0,7,4,4,0,9.0,2,0,4.68,28,102,74,19,14,7,12,5,3,0,56,,,1,0,0,28,0,0,0,0,0,0,1.03,-0.168,-0.26,25.55,48.00,1b start tie,7b 3 out d1,Zack Wheeler
13,108,62,Jun 6,NYM,,SFG,"W,7-3",GS-7,,5,7.0,3,3,3,1,6.0,2,1,4.61,26,107,78,11,12,4,14,3,3,0,64,,,0,0,0,24,0,0,0,0,0,0,.83,-0.023,0.41,18.75,30.00,1t start tie,7t 3 out d1,Zack Wheeler
14,109,66,Jun 11(1),NYM,@,NYY,"L,5-12",GS-5,L(5-4),4,4.2,10,9,5,1,6.0,2,0,4.87,27,94,60,15,12,8,12,5,1,0,21,,,0,0,0,26,2,1,0,0,0,2,1.03,-0.625,-6.67,5.90,17.00,1b start tie,5b --3 2 out d5,Zack Wheeler
15,110,72,Jun 17,NYM,@,ATL,"L,3-12",GS-6,L(5-5),5,6.0,10,5,4,2,4.0,1,0,4.94,30,108,72,9,9,8,16,10,2,0,36,,,0,0,0,28,0,0,0,1,0,1,1.03,-0.253,-1.66,6.30,18.00,1b start tie,6b 3 out d2,Zack Wheeler
16,111,77,Jun 22,NYM,@,CHC,"W,10-2",GS-7,W(6-5),4,7.0,5,1,1,1,5.0,0,0,4.69,26,94,62,6,6,10,10,6,0,0,67,,,0,0,0,24,0,0,0,2,0,1,.65,0.163,2.78,24.15,45.00,1b start a 1,7b 3 out a9,Zack Wheeler
17,112,82,Jun 27,NYM,@,PHI,"L,3-6",GS-6,,4,6.0,2,1,1,2,7.0,1,0,4.51,23,107,72,14,7,8,6,1,4,0,69,,,0,0,0,20,0,0,0,0,0,1,1.13,0.181,2.24,23.10,36.00,1b start tie,6b 3 out d1,Zack Wheeler
18,113,86,Jul 2,NYM,,NYY,"W,4-2",GS-7,,4,6.1,5,2,2,1,8.0,0,0,4.42,25,116,75,18,12,12,4,1,1,0,62,,,0,0,0,22,1,0,0,0,0,0,.93,0.054,1.15,22.65,37.00,1t start tie,7t --- 1 out d1,Zack Wheeler
